Date,Open,High,Low,Close,Volume
2021-07-12,68.54,69.57,68.15,69.32,4014200
2021-07-13,69.49,69.77,69.07,69.19,3083400
2021-07-14,69.43,70.06,69.1,69.83,6308200
2021-07-15,69.27,69.79,69.06,69.54,3622600
2021-07-16,69.63,69.91,68.99,69.24,5462600
2021-07-19,68.73,69.1,67.41,68.35,5135300
2021-07-20,68.54,70.23,68.46,69.31,6382500
2021-07-21,69.85,70.52,69.52,70.38,6804500
2021-07-22,70.5,70.6,69.84,70.44,4675000
2021-07-23,70.75,71.29,70.57,70.98,4090800
2021-07-26,71.12,71.84,70.51,70.64,4784100
2021-07-27,70.37,71.35,70.16,71.3,4298000
2021-07-28,71.29,71.37,70.32,71.01,3281900
2021-07-29,71.59,71.73,70.58,70.8,4284700
2021-07-30,70.72,71.15,70.01,70.2,5996300
2021-08-02,70.2,70.68,69.92,70.25,4679000
2021-08-03,70.55,71.75,69.59,71.6,7620300
2021-08-04,68.41,70.92,68.2,69.51,14338400
2021-08-05,69.35,69.68,67.62,68.24,11322500
2021-08-06,68.64,69.67,68.32,69.26,7020900
2021-08-09,69.22,69.83,68.89,69.6,4570300
2021-08-10,69.6,71.01,69.24,70.96,5908400
2021-08-11,71.23,72.58,71.23,72.41,7758200
2021-08-12,72.63,72.88,71.77,72.57,6540500
2021-08-13,72.67,72.87,71.8,71.91,3659700
2021-08-16,71.83,72.88,71.49,72.79,4502400
2021-08-17,72.56,73.93,72.5,73.71,6132600
2021-08-18,73.55,73.76,72.05,72.11,4501600
2021-08-19,71.57,72.4,71.2,71.8,5192200
2021-08-20,71.69,72.43,71.38,72.33,3992700
2021-08-23,72.79,73.17,72.04,72.11,3708400
2021-08-24,72.02,72.04,71.42,71.44,3269900
2021-08-25,71.24,71.76,70.72,71.24,3158500
2021-08-26,71.42,71.42,70.32,70.78,3914400
2021-08-27,71.02,71.42,70.78,71.36,3903100
2021-08-30,71.55,72.19,71.1,72.11,5480000
2021-08-31,72.26,74.06,72.12,73.64,8277300
2021-09-01,73.39,73.49,71.51,73.06,6689100
2021-09-02,73.09,74.59,73.08,74.13,5223300
2021-09-03,74.25,74.83,73.84,74.56,4936900
2021-09-07,74.33,74.5,73.19,73.8,4626200
2021-09-08,73.6,73.84,72.7,73.5,3553200
2021-09-09,73.24,73.34,72.63,72.8,4076300
2021-09-10,73.14,73.15,71.06,71.42,6454400
2021-09-13,71.72,72.62,71.62,72.04,4495200
2021-09-14,72.5,72.51,71.33,71.51,3882400
2021-09-15,71.48,73.29,71.31,72.92,6352400
2021-09-16,73.29,73.59,72.09,72.75,4169200
2021-09-17,72.45,73.16,72.32,72.89,8731800
2021-09-20,72.14,72.84,71.24,72.1,5337000
2021-09-21,72.41,72.98,71.47,71.54,5052900
2021-09-22,72.05,72.36,71.44,71.48,3919200
2021-09-23,71.72,72.98,71.49,72.34,3875700
2021-09-24,72.45,72.75,72.03,72.21,2888300
2021-09-27,72.04,73.68,72.04,73.09,5255100
2021-09-28,73.01,73.6,72.66,73.02,6257800
2021-09-29,72.91,74.37,72.83,73.98,4827000
2021-09-30,74.25,74.61,72.28,72.34,6024800
2021-10-01,72.28,72.38,70.2,71.66,6888400
2021-10-04,71.6,72.86,70.84,71.44,4768000
2021-10-05,71.58,72.36,71.16,71.3,4848600
2021-10-06,70.75,71.13,69.71,70.88,5205100
2021-10-07,71.06,72.17,71.06,71.77,4262000
2021-10-08,72.03,72.23,71.48,71.92,2990600
2021-10-11,72.13,72.73,71.63,71.84,3283400
2021-10-12,71.83,72.17,71.23,71.42,2916200
2021-10-13,71.24,71.27,70.07,70.89,4261900
2021-10-14,71.89,72.84,70.68,72.08,7284600
2021-10-15,72.48,73.55,72.4,73.17,5449000
2021-10-18,73.09,73.09,71.71,72.01,4822100
2021-10-19,72.43,72.72,72.13,72.36,3833000
2021-10-20,72.54,74.02,72.46,73.78,5023300
2021-10-21,73.6,74.5,73.49,74.47,5347200
2021-10-22,74.15,75.1,73.94,75.04,5035900
2021-10-25,75.21,75.45,74.61,75.17,5774100
2021-10-26,75.44,76.0,74.24,75.72,6215300
2021-10-27,75.9,76.12,75.19,75.53,5211500
2021-10-28,75.79,76.17,75.36,75.98,4394600
2021-10-29,75.68,76.76,75.5,76.55,5335600
2021-11-01,76.97,78.12,76.8,77.72,7682500
2021-11-02,77.95,78.41,77.32,78.15,6950900
2021-11-03,79.32,82.8,79.05,82.6,16938000
2021-11-04,82.55,82.56,80.63,81.01,7417800
2021-11-05,81.18,82.2,79.74,80.4,7437300
2021-11-08,80.59,81.1,80.1,80.39,3982100
2021-11-09,80.49,80.57,79.36,79.53,4446700
2021-11-10,79.98,80.94,79.24,79.7,4966600
2021-11-11,79.46,81.05,79.34,80.77,4273000
2021-11-12,81.09,81.74,80.04,80.61,3792500
2021-11-15,80.69,80.85,80.1,80.16,3602100
2021-11-16,80.53,80.74,79.58,79.64,4038600
2021-11-17,79.42,79.79,78.95,79.5,3878200
2021-11-18,79.79,82.03,79.51,81.74,8619700
2021-11-19,81.5,81.5,79.15,79.87,6446000
2021-11-22,79.82,80.99,79.69,79.73,4334600
2021-11-23,79.83,80.98,79.05,80.28,6625500
2021-11-24,79.97,80.46,79.07,79.44,6109400
2021-11-26,78.42,79.09,77.93,78.47,4241000
2021-11-29,78.87,79.5,78.1,78.9,5215600
2021-11-30,78.25,78.59,76.23,76.36,9051700
2021-12-01,77.32,78.07,76.11,76.12,6223500
2021-12-02,76.42,78.17,76.14,77.15,5992700
2021-12-03,77.71,78.53,77.26,77.91,5660200
2021-12-06,78.56,80.11,78.53,79.44,6039400
2021-12-07,79.74,80.12,79.43,79.68,3965700
2021-12-08,80.02,80.84,79.3,79.82,5767900
2021-12-09,81.32,83.82,80.76,83.43,14096800
2021-12-10,83.76,84.99,83.21,84.76,9217300
2021-12-13,84.86,85.16,83.95,84.79,4986100
2021-12-14,85.28,86.57,84.56,84.69,6282700
2021-12-15,84.69,86.29,84.31,86.21,7052700
2021-12-16,86.18,87.64,85.94,86.78,7360800
2021-12-17,86.92,87.14,85.13,86.05,9409800
2021-12-20,85.66,86.14,84.57,86.01,5233100
2021-12-21,86.41,86.97,86.1,86.41,5040000
2021-12-22,86.39,86.87,85.76,86.51,4318200
2021-12-23,86.65,87.34,86.65,86.86,3111000
2021-12-27,87.25,87.81,87.07,87.79,2596600
2021-12-28,87.88,88.52,87.76,88.11,2732400
2021-12-29,88.39,89.03,88.33,88.91,2782500
2021-12-30,89.16,89.65,88.69,88.89,2484500
2021-12-31,88.72,88.96,88.42,88.45,3251600
2022-01-03,88.15,89.46,87.71,89.3,4951000
2022-01-04,89.55,90.4,88.99,89.41,6089800
2022-01-05,89.44,91.31,89.44,90.72,6957500
2022-01-06,90.34,90.66,87.8,87.96,9847600
2022-01-07,87.84,89.84,86.88,89.33,6862200
2022-01-10,89.35,90.21,88.47,90.08,6105500
2022-01-11,90.94,91.96,90.25,90.92,8694200
2022-01-12,90.43,91.27,90.1,90.69,4933700
2022-01-13,90.24,90.86,89.32,90.32,6511000
2022-01-14,90.63,91.28,90.05,91.07,6706700
2022-01-18,90.71,91.0,89.18,89.6,8109300
2022-01-19,89.98,90.68,88.67,88.69,7286600
2022-01-20,88.49,89.55,88.13,88.26,6694700
2022-01-21,88.72,89.14,87.06,87.54,7822800
2022-01-24,86.97,89.7,85.93,89.22,13768700
2022-01-25,88.32,89.13,86.97,88.87,7472300
2022-01-26,89.3,90.78,88.99,90.38,10827900
2022-01-27,90.83,92.75,90.5,92.05,12385100
2022-01-28,91.95,94.25,91.5,94.19,10339500
2022-01-31,93.28,93.52,90.88,91.81,8540100
2022-02-01,91.6,92.38,90.69,91.6,7040200
2022-02-02,91.21,94.01,91.05,93.87,8771800
2022-02-03,94.77,94.94,93.28,93.71,6612800
2022-02-04,92.73,94.4,92.36,93.51,5473000
2022-02-07,93.94,94.66,93.01,94.31,5450500
2022-02-08,93.86,95.89,93.85,95.53,7793400
2022-02-09,91.76,93.32,89.75,90.32,15269800
2022-02-10,90.16,91.92,90.04,90.78,8605700
2022-02-11,90.93,91.49,89.71,89.85,5923100
2022-02-14,89.7,89.77,87.94,88.78,7663400
2022-02-15,89.52,90.09,88.38,88.76,4441300
2022-02-16,88.82,89.85,88.63,89.59,5623900
2022-02-17,89.34,89.59,87.97,88.18,4635600
2022-02-18,88.39,88.77,87.25,88.03,4850700
2022-02-22,88.06,88.59,87.08,87.85,4776700
2022-02-23,88.38,89.19,87.89,88.13,4947700
2022-02-24,86.42,87.01,84.87,86.86,7055300
2022-02-25,87.4,90.38,87.22,89.9,6573400
2022-02-28,87.31,89.41,87.31,89.34,6678100
2022-03-01,88.96,89.21,87.02,87.96,5642900
2022-03-02,88.79,90.53,87.88,90.01,5031700
2022-03-03,90.07,91.12,89.19,90.11,5741900
2022-03-04,88.53,90.75,87.98,90.67,5347300
2022-03-07,90.07,92.07,89.42,90.13,6424200
2022-03-08,90.57,91.25,88.13,88.23,6801100
2022-03-09,90.11,90.44,88.24,89.3,4936900
2022-03-10,88.87,89.87,88.41,89.71,3595000
2022-03-11,89.79,90.66,89.12,89.19,4799000
2022-03-14,89.58,90.15,87.13,90.07,5750300
2022-03-15,90.5,92.62,90.15,92.21,6845100
2022-03-16,92.23,92.5,90.94,92.32,5183000
2022-03-17,91.93,93.64,91.13,93.57,5583100
2022-03-18,93.52,93.63,91.84,92.49,7129700
2022-03-21,92.9,94.55,92.12,92.56,4673800
2022-03-22,93.09,93.26,91.65,92.43,3305700
2022-03-23,92.64,92.89,91.5,91.54,3182400
2022-03-24,91.71,93.15,91.42,93.13,3618100
2022-03-25,92.88,93.84,92.52,93.57,3788800
2022-03-28,93.09,93.31,92.16,93.13,3774400
2022-03-29,92.05,92.48,89.57,90.23,8510700
2022-03-30,89.73,90.82,88.19,89.26,7971600
2022-03-31,87.92,88.58,87.21,87.24,8521100
2022-04-01,87.24,88.08,86.45,87.13,6344300
2022-04-04,86.62,86.66,85.04,86.2,6951500
2022-04-05,85.63,87.3,85.49,85.73,7124900
2022-04-06,86.17,88.17,85.93,87.97,6590200
2022-04-07,87.88,89.63,87.29,89.31,5731600
2022-04-08,89.99,92.68,89.26,91.89,7756100
2022-04-11,91.68,92.86,89.79,90.03,6368600
2022-04-12,89.99,90.53,89.44,90.19,4127900
2022-04-13,89.99,91.19,88.95,90.49,3768300
2022-04-14,90.77,91.15,89.31,89.37,5134800
2022-04-18,89.11,90.07,88.76,89.14,3003400
2022-04-19,89.3,90.0,88.74,89.52,3615300
2022-04-20,90.42,92.75,90.14,91.92,5629800
2022-04-21,91.93,92.19,90.86,91.13,3386100
2022-04-22,90.34,90.38,88.0,88.1,5779200
2022-04-25,88.24,88.71,85.96,88.18,4957500
2022-04-26,87.6,89.16,87.54,87.88,3929000
2022-04-27,87.69,88.66,86.42,87.38,4730800
2022-04-28,88.15,88.89,86.96,87.38,5907500
2022-04-29,86.88,87.02,83.08,83.29,8778300
2022-05-02,83.57,84.32,82.33,83.61,6520200
2022-05-03,84.14,84.68,83.12,83.16,5894400
2022-05-04,83.85,87.69,82.77,87.14,9361200
2022-05-05,87.17,87.17,83.61,84.68,8236300
2022-05-06,84.31,87.45,84.21,87.24,8220400
2022-05-09,86.28,86.77,85.23,85.65,7147000
2022-05-10,86.13,86.73,84.67,85.05,5221800
2022-05-11,85.12,86.53,84.81,84.9,4667200
2022-05-12,84.42,85.13,83.43,85.13,4919400
2022-05-13,85.26,85.45,83.68,84.46,4502300
2022-05-16,84.91,86.08,84.11,85.39,3438600
2022-05-17,85.68,86.23,84.84,86.1,4160200
2022-05-18,85.28,85.28,80.52,81.46,8246800
2022-05-19,80.6,81.17,79.25,80.7,7000000
2022-05-20,80.82,82.51,80.35,82.25,5194200
2022-05-23,83.18,84.1,82.29,82.8,6136200
2022-05-24,83.26,84.05,82.13,83.57,3959200
2022-05-25,84.09,84.94,83.64,84.17,3603600
2022-05-26,84.77,85.66,84.59,84.74,4779100
2022-05-27,83.57,85.0,82.97,84.95,4318000
2022-05-31,84.48,85.05,83.54,83.83,9286800
2022-06-01,84.37,84.71,82.46,83.64,4410400
2022-06-02,83.71,84.29,81.9,84.24,4175600
2022-06-03,83.97,84.16,82.06,82.22,4312700
2022-06-06,82.58,83.44,81.97,82.93,3925100
2022-06-07,82.02,83.3,81.63,83.11,4852400
2022-06-08,82.54,82.56,81.01,81.34,3778300
2022-06-09,81.3,82.02,80.33,80.35,4153500
