Date,Open,High,Low,Close,Volume
2021-07-12,60.21,60.52,59.9,60.45,2327600
2021-07-13,60.22,60.39,59.45,59.61,2066000
2021-07-14,59.54,60.44,59.3,60.2,2661800
2021-07-15,60.1,60.95,60.02,60.92,3210700
2021-07-16,61.1,62.03,60.81,61.74,3401900
2021-07-19,61.61,62.51,60.11,60.7,5314800
2021-07-20,60.81,61.44,60.4,60.55,3701200
2021-07-21,60.62,60.66,59.76,59.78,3022100
2021-07-22,59.98,60.13,59.38,59.52,3317100
2021-07-23,59.69,60.31,59.44,60.26,3353900
2021-07-26,60.26,60.31,59.72,60.08,3190100
2021-07-27,60.27,61.83,59.8,61.47,3188500
2021-07-28,61.44,61.51,60.22,60.6,2358700
2021-07-29,60.57,60.8,60.05,60.42,2053500
2021-07-30,60.41,60.96,59.75,59.9,3339000
2021-08-02,60.01,60.59,59.87,60.29,2779700
2021-08-03,60.43,61.11,60.11,60.41,2697300
2021-08-04,60.01,60.43,59.56,60.39,2835300
2021-08-05,60.53,60.92,60.11,60.87,2519800
2021-08-06,60.81,61.11,60.5,60.81,2974700
2021-08-09,60.8,60.97,60.27,60.81,3031400
2021-08-10,60.85,61.51,60.58,61.16,3931900
2021-08-11,61.0,61.7,60.92,61.55,3919100
2021-08-12,61.47,62.02,61.42,61.9,2914700
2021-08-13,61.99,62.37,61.69,62.18,2552900
2021-08-16,62.35,63.08,62.17,62.78,3083100
2021-08-17,62.78,63.06,62.28,62.91,2245100
2021-08-18,62.91,62.99,62.06,62.39,2903900
2021-08-19,62.61,63.46,62.31,63.26,4125700
2021-08-20,63.4,64.09,62.96,64.05,3742900
2021-08-23,63.92,63.95,63.13,63.19,4145300
2021-08-24,63.2,63.25,62.7,62.84,2860800
2021-08-25,62.69,62.98,62.42,62.86,2622100
2021-08-26,62.7,62.88,62.25,62.77,2170100
2021-08-27,62.86,62.99,62.43,62.56,3143600
2021-08-30,62.56,62.9,62.32,62.65,2147100
2021-08-31,62.31,62.79,61.96,62.28,4361300
2021-09-01,62.34,63.29,62.27,63.19,3128800
2021-09-02,63.3,63.73,63.3,63.63,2073300
2021-09-03,63.64,64.24,63.05,63.22,2134300
2021-09-07,62.99,63.02,61.67,61.72,3647500
2021-09-08,61.62,63.01,61.39,62.78,3233300
2021-09-09,62.57,63.65,62.42,63.28,4458400
2021-09-10,63.24,63.24,62.13,62.35,3323100
2021-09-13,62.76,62.76,61.58,61.73,3133300
2021-09-14,61.87,62.12,61.22,61.42,3191800
2021-09-15,61.27,61.66,60.9,60.94,3028600
2021-09-16,60.89,61.21,60.17,60.44,3522200
2021-09-17,60.29,60.67,59.75,59.78,7592800
2021-09-20,59.77,60.84,59.53,60.17,4545900
2021-09-21,60.18,60.77,59.82,60.1,3216700
2021-09-22,60.13,60.57,59.69,60.36,3363200
2021-09-23,60.49,60.79,59.77,59.89,4030700
2021-09-24,60.01,60.5,59.82,60.15,3087500
2021-09-27,60.27,60.82,59.45,59.53,2901900
2021-09-28,59.45,59.58,58.73,58.99,3233500
2021-09-29,59.04,60.35,58.92,59.97,2614800
2021-09-30,60.16,60.21,58.83,58.89,4305000
2021-10-01,59.34,59.35,58.21,58.31,3803300
2021-10-04,58.6,59.33,58.24,59.16,4042400
2021-10-05,59.1,59.85,58.68,58.7,4861300
2021-10-06,58.66,59.84,58.33,59.82,3602900
2021-10-07,59.77,60.53,59.52,59.56,3015500
2021-10-08,59.41,59.69,58.6,58.64,2960000
2021-10-11,58.49,58.69,57.95,58.17,2782000
2021-10-12,58.14,58.77,58.08,58.49,2200100
2021-10-13,58.49,59.23,58.22,59.18,3123000
2021-10-14,59.28,59.97,59.05,59.4,3112800
2021-10-15,59.55,59.56,58.8,58.96,2719200
2021-10-18,58.43,58.6,57.82,58.04,2981600
2021-10-19,59.33,60.85,59.06,60.67,5127800
2021-10-20,60.86,61.99,60.8,61.77,3394500
2021-10-21,61.92,62.76,61.83,62.34,3777500
2021-10-22,62.54,62.71,62.1,62.34,2150600
2021-10-25,62.1,62.31,61.66,61.7,2253300
2021-10-26,61.67,62.36,61.49,61.77,2477600
2021-10-27,61.92,62.13,61.27,61.29,2406900
2021-10-28,61.33,61.73,61.2,61.57,2453100
2021-10-29,61.48,61.89,61.03,61.24,3050400
2021-11-01,61.24,61.24,60.67,60.82,2390100
2021-11-02,60.98,62.1,60.34,60.89,2722700
2021-11-03,60.76,61.23,60.31,60.88,2326100
2021-11-04,60.79,61.16,60.15,60.85,3459300
2021-11-05,61.21,61.84,60.89,61.73,2588500
2021-11-08,61.61,61.64,59.18,60.15,4094100
2021-11-09,60.0,60.71,59.8,60.15,3425500
2021-11-10,60.44,61.07,60.37,61.04,2825400
2021-11-11,60.85,61.01,60.32,60.55,2780300
2021-11-12,60.69,60.8,60.26,60.28,3213700
2021-11-15,60.45,61.22,60.13,61.2,3156100
2021-11-16,61.26,61.56,60.73,60.82,3825000
2021-11-17,60.59,60.9,60.12,60.77,3046300
2021-11-18,60.81,61.05,60.42,60.64,3325500
2021-11-19,60.82,60.82,59.8,59.84,5532000
2021-11-22,59.67,60.02,59.24,59.72,4119100
2021-11-23,59.84,60.73,59.57,60.35,2482100
2021-11-24,60.38,60.55,59.93,60.41,2374700
2021-11-26,60.16,60.44,59.32,59.42,2021100
2021-11-29,59.9,60.26,59.32,60.02,4182700
2021-11-30,59.68,59.68,57.39,57.43,6593600
2021-12-01,57.72,58.74,57.12,57.14,4009800
2021-12-02,57.27,59.0,57.27,58.46,4081000
2021-12-03,58.74,59.49,57.99,59.44,3673200
2021-12-06,59.72,61.16,59.57,60.46,4774900
2021-12-07,60.55,61.5,60.37,61.41,5676400
2021-12-08,61.41,61.8,60.88,61.14,3491100
2021-12-09,61.26,62.45,60.91,62.0,5358500
2021-12-10,62.11,62.36,61.64,61.82,3111600
2021-12-13,61.73,62.84,61.47,62.46,2629500
2021-12-14,62.45,62.73,61.98,62.34,3261900
2021-12-15,62.6,63.7,62.29,63.64,3235400
2021-12-16,63.48,64.53,63.45,63.94,3252600
2021-12-17,63.89,64.42,62.28,62.36,6600600
2021-12-20,61.84,63.51,61.73,63.44,4520300
2021-12-21,63.71,63.95,62.5,62.78,2395300
2021-12-22,62.52,63.02,62.25,62.78,1717300
2021-12-23,62.87,63.28,62.67,62.94,1851000
2021-12-27,63.04,63.14,62.68,63.01,1430700
2021-12-28,63.01,63.49,63.01,63.4,1236100
2021-12-29,63.48,63.91,63.35,63.82,1517900
2021-12-30,63.94,64.03,63.46,63.86,1752300
2021-12-31,63.76,64.14,63.46,63.93,1975500
2022-01-03,64.01,64.01,62.95,63.76,2348700
2022-01-04,63.78,64.33,63.51,63.56,2872800
2022-01-05,64.28,65.24,63.82,64.46,3971500
2022-01-06,64.43,65.48,64.23,64.34,3460700
2022-01-07,64.09,65.58,63.72,65.27,2762500
2022-01-10,65.55,65.69,64.7,64.96,3073300
2022-01-11,65.1,65.25,63.92,64.4,2921200
