Date,Open,High,Low,Close,Volume
2021-09-07,81.59,81.89,80.95,81.4,1825482
2021-09-08,81.2,81.2,79.94,80.49,1345411
2021-09-09,80.29,80.98,80.07,80.13,1336010
2021-09-10,80.9,81.36,80.22,80.34,2118018
2021-09-13,81.36,81.36,79.81,80.55,2324514
2021-09-14,80.74,80.78,77.78,78.04,2231623
2021-09-15,78.38,79.99,78.38,79.8,1964978
2021-09-16,79.96,81.3,79.55,80.51,2046238
2021-09-17,80.47,81.15,78.0,78.54,4549365
2021-09-20,76.42,77.55,75.65,77.43,3336520
2021-09-21,77.89,77.89,76.38,76.76,2068067
2021-09-22,77.88,78.65,77.76,77.81,1579392
2021-09-23,78.42,79.55,78.42,78.53,3193598
2021-09-24,78.03,78.42,77.52,77.79,1666706
2021-09-27,78.36,80.36,78.36,79.91,1888976
2021-09-28,80.08,81.06,78.53,78.7,2165738
2021-09-29,78.76,79.47,78.41,78.82,2003776
2021-09-30,79.26,79.45,77.47,77.49,3711272
2021-10-01,77.86,79.27,77.21,78.79,1650614
2021-10-04,81.51,81.56,79.43,79.99,3140301
2021-10-05,80.13,81.4,79.68,80.89,2647483
2021-10-06,79.94,80.71,78.39,79.56,2459390
2021-10-07,80.63,81.39,80.09,80.4,2028313
2021-10-08,80.36,80.87,79.94,80.26,1536212
2021-10-11,80.67,81.53,79.44,79.51,2612748
2021-10-12,79.55,79.99,78.29,78.9,1499008
2021-10-13,79.55,80.17,78.14,79.4,1414641
2021-10-14,80.29,82.04,79.79,81.73,1874716
2021-10-15,82.46,83.08,82.03,82.14,1309959
2021-10-18,81.68,82.66,80.88,81.89,2750412
2021-10-19,82.43,82.55,81.59,82.34,1373374
2021-10-20,82.36,83.54,82.11,83.5,2022498
2021-10-21,83.55,83.55,81.72,82.34,1162496
2021-10-22,82.46,83.01,82.09,82.19,962373
2021-10-25,82.66,82.92,81.71,81.98,1431371
2021-10-26,82.06,82.81,81.8,81.98,838093
2021-10-27,81.61,81.93,78.78,78.82,1811062
2021-10-28,78.94,79.92,78.8,79.51,1607116
2021-10-29,79.43,79.68,78.58,79.33,2707790
2021-11-01,79.66,81.88,79.4,81.19,2254965
2021-11-02,82.7,89.12,82.46,88.32,7950893
2021-11-03,90.45,92.97,89.86,91.35,7078861
2021-11-04,91.42,91.42,89.68,90.62,3044940
2021-11-05,90.73,92.24,90.46,91.64,2493487
2021-11-08,92.46,92.87,90.1,90.64,3085171
2021-11-09,90.32,92.63,89.94,92.35,3057208
2021-11-10,92.3,92.86,91.07,91.15,1997642
2021-11-11,91.37,92.39,91.02,92.3,2158568
2021-11-12,92.32,92.61,91.55,92.0,2080256
2021-11-15,91.95,92.04,89.42,89.78,1963385
2021-11-16,89.8,90.42,88.07,88.44,4364777
2021-11-17,87.97,90.82,87.97,90.37,2530532
2021-11-18,90.72,91.18,89.76,90.64,2307864
2021-11-19,90.43,92.4,90.12,91.21,2748102
2021-11-22,91.18,92.17,90.21,90.29,1495104
2021-11-23,90.36,90.99,90.18,90.62,1341746
2021-11-24,90.12,90.53,89.68,89.7,1035667
2021-11-26,87.36,88.21,86.38,87.72,1696581
2021-11-29,88.47,89.0,86.93,88.15,2299897
2021-11-30,86.85,87.24,83.55,84.63,4943556
2021-12-01,85.92,88.19,84.43,84.43,2337659
2021-12-02,84.88,87.19,84.74,86.14,1812735
2021-12-03,86.25,87.7,85.62,86.37,3008612
2021-12-06,87.66,88.36,85.83,87.41,2806338
2021-12-07,88.11,89.49,87.65,88.72,1908415
2021-12-08,89.05,90.14,88.15,89.55,2839639
2021-12-09,88.62,91.05,88.37,89.98,3682831
2021-12-10,90.96,91.84,90.45,91.59,2333596
2021-12-13,91.17,91.4,88.82,88.83,2533161
2021-12-14,88.38,90.22,88.15,88.84,1929128
2021-12-15,88.71,89.87,88.02,89.64,1588553
2021-12-16,90.28,91.76,89.77,90.06,2402030
2021-12-17,89.75,89.75,87.33,87.55,3942464
2021-12-20,86.69,86.69,84.69,86.06,1892402
2021-12-21,87.02,88.12,87.02,87.52,1569513
2021-12-22,87.36,88.16,86.95,88.11,1150705
2021-12-23,88.64,90.4,88.11,89.87,1957012
2021-12-27,89.94,91.38,89.75,91.32,1543462
2021-12-28,91.05,92.51,90.99,92.05,1677302
2021-12-29,91.88,92.89,91.88,92.21,897126
2021-12-30,92.56,93.13,91.6,91.69,1060602
2021-12-31,91.51,92.78,91.3,92.43,1281199
2022-01-03,92.73,94.11,92.18,92.3,1927933
2022-01-04,92.76,94.85,92.6,94.45,2153310
2022-01-05,94.5,95.79,93.52,93.59,1869219
2022-01-06,94.7,94.94,92.96,93.82,1327964
2022-01-07,94.3,95.69,93.81,95.19,2458593
