Date,Open,High,Low,Close,Volume
2021-08-20,44.83,45.55,44.67,45.35,3037828
2021-08-23,45.56,46.25,45.31,46.1,3252885
2021-08-24,46.5,46.64,45.99,46.38,4843912
2021-08-25,46.24,47.16,46.11,46.99,3476426
2021-08-26,47.19,47.28,46.55,46.76,4156322
2021-08-27,45.43,46.71,43.74,44.64,10634075
2021-08-30,44.92,45.61,44.38,45.19,5722687
2021-08-31,45.18,45.33,44.75,44.87,4847858
2021-09-01,44.9,45.11,44.53,44.55,3568170
2021-09-02,44.67,45.04,44.43,44.69,4295616
2021-09-03,44.69,45.12,44.61,44.73,5029966
2021-09-07,44.57,44.75,44.13,44.21,5111648
2021-09-08,44.13,44.31,43.36,43.69,3880891
2021-09-09,43.52,44.57,43.52,44.38,3654391
2021-09-10,44.63,44.74,43.75,43.85,4062407
2021-09-13,45.3,45.77,44.92,45.53,11731655
2021-09-14,45.5,45.54,44.74,44.86,5554982
2021-09-15,44.94,46.38,44.78,46.24,5807131
2021-09-16,46.14,46.77,45.99,46.69,5478035
2021-09-17,46.69,47.03,45.38,46.29,8707836
2021-09-20,45.51,47.0,45.49,46.44,8217150
2021-09-21,46.96,47.06,45.5,45.74,5475667
2021-09-22,45.92,46.0,45.09,45.71,5756425
2021-09-23,46.4,48.45,45.58,47.28,11649184
2021-09-24,47.25,47.93,47.24,47.83,6315968
2021-09-27,47.62,48.39,47.6,48.28,4292853
2021-09-28,47.98,48.66,47.9,48.48,4103643
2021-09-29,48.62,48.92,47.84,48.52,4778211
2021-09-30,48.64,48.74,47.29,47.9,4859104
2021-10-01,48.16,48.92,47.94,48.7,3768825
2021-10-04,48.83,49.07,48.08,48.45,4091805
2021-10-05,48.76,49.01,48.22,48.77,3353114
2021-10-06,48.15,48.67,47.86,48.57,3063674
2021-10-07,48.87,49.49,48.61,49.29,4105024
2021-10-08,49.49,49.68,48.0,48.37,5286654
2021-10-11,48.4,48.93,48.19,48.44,2772065
2021-10-12,48.4,48.59,47.6,47.77,3830579
2021-10-13,47.89,48.18,47.4,47.74,5377017
2021-10-14,47.99,49.01,47.96,48.8,3618679
2021-10-15,49.15,49.71,48.92,49.59,3345024
2021-10-18,49.93,50.5,49.82,50.02,5004909
2021-10-19,50.28,51.08,50.02,51.02,7436829
2021-10-20,51.19,51.55,50.98,51.4,7434461
2021-10-21,51.34,52.26,51.14,52.02,7329695
2021-10-22,51.95,52.84,51.87,52.74,5251140
2021-10-25,52.86,52.95,51.66,51.7,13385424
2021-10-26,51.85,51.96,50.71,50.74,5858824
2021-10-27,50.55,50.74,49.69,49.91,7104576
2021-10-28,50.54,50.84,50.09,50.68,6544638
2021-10-29,50.29,51.5,50.29,50.64,8913619
2021-11-01,50.35,51.37,50.35,51.34,6635002
2021-11-02,51.47,52.09,48.15,49.61,18238300
2021-11-03,49.97,50.27,49.3,50.14,9923000
2021-11-04,49.98,50.37,48.84,49.57,5980600
