Date,Open,High,Low,Close,Volume
2021-07-12,202.45,202.82,200.37,201.8,1414600
2021-07-13,201.79,204.07,201.74,202.32,1423800
2021-07-14,203.16,203.54,201.67,203.12,937000
2021-07-15,203.57,204.39,202.55,204.09,1263200
2021-07-16,204.8,205.83,203.76,204.3,2144800
2021-07-19,203.93,206.84,203.61,206.23,1927700
2021-07-20,206.43,209.25,206.12,208.19,1315400
2021-07-21,207.67,207.98,206.01,206.18,1048000
2021-07-22,206.7,208.27,205.26,207.44,856000
2021-07-23,206.91,210.68,206.91,210.48,853600
2021-07-26,210.21,211.94,208.84,211.47,1188100
2021-07-27,211.95,212.64,210.51,211.63,879600
2021-07-28,210.58,212.77,209.9,211.55,1059300
2021-07-29,212.43,214.36,211.97,214.25,1000300
2021-07-30,213.8,215.5,213.78,213.92,1098800
2021-08-02,214.13,214.56,210.5,213.79,1230500
2021-08-03,214.17,217.41,213.7,216.14,1085800
2021-08-04,216.13,217.08,214.77,216.0,1091500
2021-08-05,216.64,217.67,215.02,216.84,1018800
2021-08-06,216.96,217.55,215.92,217.15,784400
2021-08-09,217.44,217.88,216.29,217.36,1096800
2021-08-10,217.36,219.84,216.75,219.05,1080600
2021-08-11,219.24,220.09,218.49,218.85,1097000
2021-08-12,219.31,219.31,215.97,217.27,1669800
2021-08-13,217.83,218.6,216.55,217.71,1306600
2021-08-16,216.54,218.83,215.07,218.7,1144300
2021-08-17,217.24,217.24,212.21,212.91,2030900
2021-08-18,213.12,215.9,211.87,213.0,1528700
2021-08-19,211.77,215.36,210.21,213.77,1138500
2021-08-20,214.23,216.95,213.41,215.89,1247200
2021-08-23,216.54,219.31,215.52,215.76,1324900
2021-08-24,216.12,216.35,213.9,214.02,1367100
2021-08-25,214.14,216.44,213.95,215.85,1563600
2021-08-26,202.97,209.26,197.79,207.72,5959600
2021-08-27,207.66,208.1,204.87,207.13,3009000
2021-08-30,207.37,209.88,206.51,207.23,2078600
2021-08-31,207.32,207.89,203.93,204.98,2568600
2021-09-01,204.92,205.67,202.87,204.77,1292200
2021-09-02,204.6,206.92,204.16,206.86,1219900
2021-09-03,207.22,207.47,203.86,204.55,1107800
2021-09-07,204.9,205.21,202.62,203.72,1236600
2021-09-08,203.79,206.05,202.96,206.01,1441000
2021-09-09,205.92,206.16,202.37,202.43,1439000
2021-09-10,202.97,203.22,200.18,200.51,1586200
2021-09-13,200.59,202.91,199.64,200.09,1326900
2021-09-14,200.25,200.63,197.9,198.89,1157700
2021-09-15,198.93,200.5,197.84,199.51,1382400
2021-09-16,199.55,204.11,199.55,203.73,1702200
2021-09-17,203.64,206.33,203.64,204.24,2306100
2021-09-20,202.82,205.44,202.33,203.95,1698200
2021-09-21,204.12,204.87,201.53,201.89,1226900
2021-09-22,202.33,202.7,199.69,201.4,1386700
2021-09-23,201.99,202.72,200.75,200.79,855400
2021-09-24,200.31,200.71,198.85,200.19,1135400
2021-09-27,199.4,201.33,198.89,199.32,1044900
2021-09-28,197.81,199.26,196.81,197.89,1461300
2021-09-29,198.11,201.63,198.11,199.51,1148000
2021-09-30,198.62,199.24,195.04,195.07,1817300
2021-10-01,195.04,195.2,191.53,192.38,1583300
2021-10-04,191.95,192.64,188.67,189.98,1499800
2021-10-05,190.67,191.13,188.97,189.45,1301500
2021-10-06,188.89,191.04,187.78,190.84,1140400
2021-10-07,191.48,194.68,191.48,194.26,1347500
2021-10-08,194.26,194.76,192.72,193.86,918100
2021-10-11,193.2,194.71,193.2,193.3,1209100
2021-10-12,193.93,194.68,191.27,191.89,1771000
2021-10-13,191.6,194.53,191.51,192.94,1159400
2021-10-14,193.47,197.29,193.03,196.07,1216600
2021-10-15,197.02,197.77,195.95,196.07,991400
2021-10-18,195.61,197.18,194.64,196.9,994500
2021-10-19,196.96,197.73,195.79,196.98,858200
2021-10-20,197.62,199.68,196.96,198.31,1080600
2021-10-21,198.82,202.42,198.13,201.73,1144500
2021-10-22,202.51,204.27,201.49,202.99,893300
2021-10-25,202.96,205.8,201.79,205.0,798400
2021-10-26,205.73,205.73,203.79,204.12,925600
2021-10-27,204.15,204.53,202.37,203.05,1037700
2021-10-28,203.41,204.39,202.93,203.55,819700
2021-10-29,202.86,205.22,202.38,204.11,811400
2021-11-01,204.74,204.99,202.26,203.14,870000
2021-11-02,203.43,205.1,202.41,204.4,1100000
