Date,Open,High,Low,Close,Volume
2021-08-16,92.58,94.6,91.89,93.42,2575700
2021-08-17,92.27,92.52,88.41,89.78,2980300
2021-08-18,88.55,90.42,88.12,88.7,2984100
2021-08-19,87.4,89.03,87.07,88.51,2598100
2021-08-20,88.28,90.65,88.2,90.09,1914100
2021-08-23,90.34,90.45,88.28,89.83,1828200
2021-08-24,90.22,92.53,89.59,91.09,1639100
2021-08-25,91.47,93.03,91.32,92.23,1559500
2021-08-26,92.01,92.44,90.11,90.7,1567500
2021-08-27,91.02,92.74,90.72,92.04,1597700
2021-08-30,92.08,92.31,91.02,91.22,1852100
2021-08-31,91.9,91.96,90.19,90.77,3173500
2021-09-01,90.87,92.22,90.72,92.09,1763200
2021-09-02,92.59,92.75,91.25,91.75,1713300
2021-09-03,91.21,91.83,89.38,90.14,2419000
2021-09-07,89.5,90.66,88.67,89.03,2847700
2021-09-08,86.87,88.48,86.43,86.76,4286700
2021-09-09,86.83,86.93,84.83,85.66,4449500
2021-09-10,86.54,87.04,84.91,85.05,1913600
2021-09-13,85.53,85.59,83.15,84.49,3646600
2021-09-14,85.2,85.29,82.8,83.42,2454500
2021-09-15,83.06,84.33,82.66,84.14,2948400
2021-09-16,83.9,86.83,83.9,85.72,3295000
2021-09-17,85.44,86.45,85.25,86.2,4521600
2021-09-20,84.33,85.67,82.33,83.61,3568800
2021-09-21,83.36,84.29,82.61,83.47,2378100
2021-09-22,84.41,85.22,83.79,83.98,1867000
2021-09-23,84.2,84.51,82.81,82.89,2948600
2021-09-24,82.66,83.22,81.56,82.63,2061200
2021-09-27,82.01,83.31,81.44,82.9,2659600
2021-09-28,82.37,82.63,79.97,80.77,2859100
2021-09-29,81.25,82.72,81.25,82.09,2429200
2021-09-30,82.72,83.06,79.68,79.71,2854300
2021-10-01,80.02,80.51,79.1,79.5,2096100
2021-10-04,79.12,79.75,78.47,78.8,2113100
2021-10-05,79.01,79.56,78.14,78.75,2027700
2021-10-06,78.32,79.88,78.13,78.98,2326900
2021-10-07,79.72,81.33,79.72,80.02,1691200
2021-10-08,80.28,80.45,78.81,79.18,2119900
2021-10-11,79.01,79.94,78.89,79.07,1994200
2021-10-12,79.3,80.0,78.73,79.47,1829600
2021-10-13,79.81,81.07,79.66,80.53,2091100
2021-10-14,80.91,83.12,80.81,83.01,2225400
2021-10-15,83.77,84.14,82.34,82.64,2375800
2021-10-18,82.21,84.07,82.08,83.95,1954600
2021-10-19,84.13,84.28,83.07,83.81,1243300
2021-10-20,84.25,85.48,83.93,84.98,1718400
2021-10-21,84.23,84.77,84.04,84.7,1478900
2021-10-22,84.76,85.9,84.02,84.1,1900700
2021-10-25,84.03,84.83,83.54,84.08,2267900
2021-10-26,84.33,84.57,83.15,84.2,2349500
2021-10-27,84.61,87.33,83.27,83.32,3009700
2021-10-28,83.93,85.12,83.32,84.83,2374500
2021-10-29,84.65,85.99,84.5,84.74,1727300
2021-11-01,84.8,85.93,83.63,85.72,2202800
2021-11-02,85.8,85.98,83.66,84.01,1792400
2021-11-03,83.67,85.96,83.6,84.31,2511000
2021-11-04,85.02,87.68,84.96,85.58,2633500
2021-11-05,86.39,88.3,85.9,87.81,2228300
2021-11-08,87.94,88.92,87.35,88.02,2998000
2021-11-09,90.2,93.33,90.18,92.57,4485700
2021-11-10,92.18,93.26,89.45,90.2,3113100
2021-11-11,90.76,92.14,90.11,91.47,2578000
2021-11-12,91.88,92.97,91.47,92.83,1458100
2021-11-15,93.03,93.4,92.08,92.37,2074700
2021-11-16,92.67,94.67,91.97,94.08,2711400
2021-11-17,94.83,96.72,94.27,96.39,3325300
2021-11-18,96.97,97.44,95.99,96.68,2485400
2021-11-19,96.79,99.05,96.77,96.99,2404500
2021-11-22,97.31,97.9,95.03,95.09,3032900
2021-11-23,94.7,96.73,93.93,96.59,2559200
2021-11-24,96.31,96.83,95.4,95.96,1824600
2021-11-26,93.98,95.37,92.75,93.74,2375600
2021-11-29,94.69,94.93,92.46,93.75,2122400
2021-11-30,93.69,95.67,91.9,92.75,5342500
2021-12-01,92.45,95.43,92.45,92.8,3887800
2021-12-02,93.9,97.94,93.12,97.57,3649000
2021-12-03,98.63,98.99,96.31,97.55,2801600
2021-12-06,99.07,101.06,98.61,100.57,4196000
2021-12-07,101.32,101.83,100.11,101.0,2452400
2021-12-08,101.73,102.83,100.85,101.78,2448700
2021-12-09,101.58,103.58,101.0,101.76,2577000
2021-12-10,102.61,104.42,102.26,104.32,3255500
2021-12-13,104.33,105.08,102.52,102.77,3637500
2021-12-14,101.22,101.61,99.07,99.65,4156800
2021-12-15,100.32,102.37,99.22,102.15,6796500
2021-12-16,101.19,101.47,98.67,99.39,5464400
2021-12-17,99.12,99.6,97.33,98.01,4291000
2021-12-20,96.78,96.97,94.41,96.45,2709700
2021-12-21,97.42,98.53,97.11,98.46,1839500
2021-12-22,98.47,100.67,98.46,100.45,2501900
2021-12-23,100.85,101.04,99.42,99.82,2660800
2021-12-27,100.42,101.08,99.97,101.04,4083300
2021-12-28,101.04,102.56,100.96,101.75,1524300
2021-12-29,101.57,103.54,101.42,103.09,1216700
2021-12-30,103.11,103.59,101.92,102.28,1038000
2021-12-31,102.28,103.69,101.86,103.18,983200
2022-01-03,102.66,103.36,99.43,100.14,2468600
2022-01-04,100.68,101.56,99.65,100.58,3503000
2022-01-05,100.13,102.84,97.94,98.06,3506100
2022-01-06,97.66,97.83,95.35,96.56,3891600
2022-01-07,96.66,96.66,90.47,90.61,6611200
2022-01-10,89.09,91.19,87.81,91.07,4182700
2022-01-11,90.99,94.59,90.3,93.93,4071800
2022-01-12,93.89,95.65,93.49,94.59,2734300
2022-01-13,98.62,99.09,94.01,94.91,3804900
2022-01-14,94.03,95.02,92.34,93.74,2722200
2022-01-18,92.19,92.73,88.58,88.88,3853600
2022-01-19,87.42,88.3,85.64,85.94,4176700
2022-01-20,87.1,87.51,83.77,84.06,3698500
2022-01-21,84.28,86.48,83.06,83.6,4592000
2022-01-24,81.78,86.74,80.97,86.66,4396700
2022-01-25,84.42,85.91,82.79,85.1,5022500
2022-01-26,86.48,87.37,80.6,81.68,6232900
2022-01-27,81.83,83.6,79.26,79.93,4310000
2022-01-28,80.17,81.93,76.73,81.87,4537500
2022-01-31,81.85,85.0,81.68,84.88,3565200
2022-02-01,85.46,85.77,82.11,85.1,3906800
2022-02-02,85.62,86.72,83.57,86.43,3939200
2022-02-03,85.51,85.71,83.79,83.89,3719200
2022-02-04,83.05,83.05,79.66,79.93,5525000
2022-02-07,80.66,82.22,80.22,81.19,4058000
2022-02-08,80.87,82.78,80.23,82.63,3911300
2022-02-09,83.71,85.63,83.63,84.43,3573400
2022-02-10,82.04,83.97,80.56,80.89,5476300
2022-02-11,81.36,82.31,79.56,80.14,2912700
2022-02-14,79.74,80.95,78.59,78.92,3526400
2022-02-15,79.94,80.89,79.52,80.69,2547500
2022-02-16,80.42,81.84,79.19,81.37,2716400
2022-02-17,81.11,81.43,78.67,78.94,3864200
2022-02-18,79.13,80.05,77.9,79.59,3498200
2022-02-22,78.1,79.05,76.17,76.69,4959400
2022-02-23,77.33,77.55,74.32,74.55,4945200
2022-02-24,72.53,78.94,72.05,78.52,6751100
2022-02-25,78.13,82.85,77.84,82.05,6750900
2022-02-28,80.79,82.21,80.49,81.46,3274500
2022-03-01,81.21,82.94,81.0,81.87,3140100
2022-03-02,82.48,84.11,81.8,83.54,2883900
2022-03-03,84.57,84.57,81.81,82.52,2072900
2022-03-04,82.52,82.52,80.38,81.46,2603600
2022-03-07,81.87,82.17,76.04,76.4,4082200
2022-03-08,76.22,79.65,75.22,76.66,2898400
2022-03-09,78.83,80.39,78.46,78.84,2179900
2022-03-10,76.98,78.68,76.04,78.6,1788400
2022-03-11,79.06,79.27,77.12,77.23,1657500
2022-03-14,77.03,77.43,72.8,73.81,3975100
2022-03-15,74.87,76.95,73.86,76.7,2853800
2022-03-16,77.37,79.12,74.49,77.97,3474000
2022-03-17,77.86,79.44,76.95,79.36,2694300
2022-03-18,78.4,82.12,78.18,81.79,6669200
2022-03-21,81.37,81.47,78.16,79.1,3707300
2022-03-22,79.71,80.94,77.78,78.97,2938200
2022-03-23,78.58,78.97,74.72,74.92,4896200
2022-03-24,74.82,75.47,72.87,75.2,4272300
2022-03-25,75.33,75.84,73.85,74.18,4083800
2022-03-28,74.02,75.14,73.56,74.66,3432200
2022-03-29,75.95,78.12,75.87,77.08,4185600
2022-03-30,76.67,77.14,74.66,75.25,2703100
2022-03-31,74.5,75.13,71.04,71.08,7737000
2022-04-01,72.15,73.17,71.54,72.67,3626000
2022-04-04,73.2,73.72,72.69,73.13,2866100
2022-04-05,72.73,73.56,70.25,70.64,3546900
2022-04-06,69.19,69.5,67.33,67.85,8550500
2022-04-07,67.64,68.65,65.62,67.15,6300700
2022-04-08,67.05,69.33,66.39,67.56,4444100
2022-04-11,67.19,69.27,67.01,68.84,5018800
2022-04-12,70.55,71.59,67.57,68.36,4737000
2022-04-13,68.34,71.32,68.34,70.68,3654200
2022-04-14,70.87,71.82,69.01,69.17,2517400
2022-04-18,68.25,69.95,67.59,68.06,2401500
2022-04-19,68.3,71.0,68.3,70.7,2551700
2022-04-20,71.17,72.83,70.84,71.15,2618500
2022-04-21,72.64,72.98,69.48,69.88,2432600
2022-04-22,69.76,69.76,67.82,68.06,2627600
2022-04-25,68.02,71.08,66.93,70.77,4799400
2022-04-26,70.26,72.64,68.86,68.88,4913300
2022-04-27,69.7,69.75,66.61,66.86,3766100
2022-04-28,68.57,70.47,66.17,69.5,4773000
2022-04-29,68.68,69.71,66.11,66.38,3573200
2022-05-02,66.11,67.64,64.89,67.5,3554400
2022-05-03,67.5,68.66,66.66,68.41,2301000
2022-05-04,68.45,72.5,66.85,72.09,3984800
2022-05-05,69.45,70.78,66.74,67.87,4573800
2022-05-06,67.03,67.63,64.93,67.0,3513600
2022-05-09,65.84,68.29,65.46,66.92,3783100
2022-05-10,68.42,68.81,64.99,65.27,3744300
2022-05-11,64.89,65.63,61.7,62.07,5053300
2022-05-12,61.37,65.99,61.37,64.65,4624800
2022-05-13,66.09,66.48,64.65,65.58,3286500
2022-05-16,65.29,66.13,62.65,65.43,2887500
2022-05-17,66.98,67.62,65.21,67.43,2993100
2022-05-18,66.42,66.76,62.66,62.88,3306100
2022-05-19,62.65,65.25,62.65,63.65,3067600
2022-05-20,64.91,65.86,63.29,65.79,2841700
2022-05-23,66.54,66.77,64.09,64.54,1941200
2022-05-24,64.11,64.4,61.37,62.8,3646100
2022-05-25,63.2,66.17,62.6,66.03,3171200
2022-05-26,66.71,69.98,66.29,69.72,4970500
2022-05-27,70.18,71.62,69.76,71.56,2780400
2022-05-31,70.69,72.29,69.56,71.91,4823200
2022-06-01,72.09,72.32,71.15,71.84,5268100
2022-06-02,72.09,73.03,71.43,72.99,3915400
2022-06-03,71.83,73.57,71.3,72.73,3482000
2022-06-06,72.9,73.82,71.97,72.34,3641600
2022-06-07,70.89,72.87,69.99,72.24,3398000
2022-06-08,70.8,71.48,68.96,69.86,3892000
2022-06-09,69.3,71.23,69.27,70.29,3614900
2022-06-10,69.19,69.45,66.96,67.36,4146100
2022-06-13,65.08,66.16,62.83,63.64,8434000
2022-06-14,63.21,64.62,62.86,62.89,4241100
2022-06-15,63.46,64.21,60.94,62.62,4831800
2022-06-16,60.54,61.21,58.26,58.66,6222500
2022-06-17,57.59,58.99,56.7,57.95,7493200
2022-06-21,58.96,60.37,57.42,58.66,3526900
2022-06-22,58.05,62.22,57.65,61.32,6520100
2022-06-23,62.44,64.7,62.2,64.5,5310400
2022-06-24,65.07,65.71,64.08,64.77,4677300
2022-06-27,64.85,65.72,63.67,65.04,2790300
2022-06-28,65.23,65.7,63.01,63.04,3083800
2022-06-29,62.86,63.74,61.85,63.17,3304600
2022-06-30,62.4,63.96,61.62,63.34,2843200
2022-07-01,64.0,67.25,63.87,67.07,4592000
2022-07-05,66.08,69.45,66.08,69.38,4204200
2022-07-06,69.69,69.91,67.12,68.94,3175200
2022-07-07,69.19,69.95,68.11,69.65,2202700
2022-07-08,68.95,70.69,68.95,70.2,2011100
2022-07-11,69.69,70.89,69.6,70.11,2435300
2022-07-12,69.68,72.22,69.57,71.2,4406500
2022-07-13,68.9,71.63,67.96,70.58,4012000
2022-07-14,69.71,70.23,68.23,69.51,3844300
2022-07-15,70.88,71.18,68.55,70.3,2651500
2022-07-18,70.37,71.12,69.07,69.44,2772700
2022-07-19,70.0,71.31,68.85,71.08,3543000
2022-07-20,71.2,71.2,69.78,69.93,6164200
2022-07-21,69.38,73.01,67.51,72.56,6413500
2022-07-22,73.61,75.98,72.91,74.06,4016500
2022-07-25,73.25,73.83,71.76,72.11,2807900
2022-07-26,71.43,72.54,70.98,71.99,3569400
2022-07-27,72.18,75.28,70.7,74.5,3937000
2022-07-28,74.58,75.83,73.44,74.94,2975200
2022-07-29,74.94,75.01,72.97,74.67,3069800
2022-08-01,74.39,76.3,73.74,74.86,1718900
2022-08-02,73.65,74.52,70.85,70.97,3769900
2022-08-03,71.45,72.02,70.04,71.24,2988200
2022-08-04,71.02,74.06,70.68,73.62,2528400
2022-08-05,71.74,73.62,71.29,73.28,2073600
2022-08-08,73.67,75.44,73.67,74.16,1533300
2022-08-09,74.05,74.19,71.75,71.91,1818700
2022-08-10,74.23,76.38,74.2,75.27,2797500
2022-08-11,75.83,77.1,75.17,75.54,2318700
