Date,Open,High,Low,Close,Volume
2021-09-07,27.36,27.36,26.79,27.04,4995700
2021-09-08,26.99,27.57,26.86,27.48,5172900
2021-09-09,27.35,27.47,26.91,26.92,2905900
2021-09-10,26.97,27.01,26.6,26.73,3368000
2021-09-13,26.97,27.13,26.8,26.82,2606100
2021-09-14,26.86,26.89,26.53,26.74,1743200
2021-09-15,26.68,26.86,26.55,26.67,2266100
2021-09-16,26.69,26.92,26.47,26.69,2331100
2021-09-17,26.44,26.61,26.26,26.34,5526500
2021-09-20,26.16,26.43,25.88,26.26,3086600
2021-09-21,26.45,26.53,26.03,26.05,2557300
2021-09-22,26.31,26.39,26.04,26.17,2311200
2021-09-23,26.2,26.31,26.06,26.08,2587900
2021-09-24,25.96,26.12,25.59,25.74,3076000
2021-09-27,25.77,26.09,25.4,25.42,2866400
2021-09-28,25.22,25.52,25.08,25.42,3011000
2021-09-29,25.49,25.86,25.47,25.71,2311400
2021-09-30,25.79,25.84,25.26,25.31,3065300
2021-10-01,25.5,25.8,25.34,25.62,2446800
2021-10-04,25.61,25.83,25.55,25.8,4448400
2021-10-05,25.76,25.76,25.17,25.37,3244100
2021-10-06,25.29,25.63,24.94,25.6,2583800
2021-10-07,25.74,25.93,25.52,25.54,1811100
2021-10-08,25.51,25.59,25.37,25.42,1716400
2021-10-11,25.39,25.65,25.21,25.53,1658800
2021-10-12,25.55,25.67,25.36,25.51,1954000
2021-10-13,25.49,25.74,25.34,25.7,3154600
2021-10-14,25.82,26.08,25.77,26.03,4544400
2021-10-15,26.21,26.38,26.1,26.19,5275700
2021-10-18,26.08,26.26,25.99,26.17,2709500
2021-10-19,26.33,26.35,25.98,26.04,2085300
2021-10-20,26.03,26.44,26.03,26.37,1621600
2021-10-21,26.44,26.44,26.18,26.3,1750300
2021-10-22,26.3,26.47,26.21,26.25,2453500
2021-10-25,26.27,26.3,25.87,26.04,2499800
2021-10-26,26.05,26.59,25.98,26.51,3371500
2021-10-27,26.65,27.26,26.55,26.96,3389500
2021-10-28,26.97,27.36,26.95,27.32,3311600
2021-10-29,27.23,27.26,26.7,26.85,3298200
2021-11-01,26.86,27.01,26.52,26.9,2597600
2021-11-02,27.08,27.16,26.27,26.75,3838400
2021-11-03,26.94,27.1,26.33,26.42,3998300
2021-11-04,26.4,26.58,25.85,25.93,2340000
2021-11-05,26.09,26.62,26.05,26.12,2913600
2021-11-08,26.06,26.18,25.68,25.93,2956200
2021-11-09,25.93,26.06,25.73,25.92,2178200
2021-11-10,25.77,26.11,25.77,25.93,3436100
2021-11-11,25.86,26.08,25.54,26.07,2665200
2021-11-12,26.18,26.21,25.7,25.79,1669600
2021-11-15,25.81,26.07,25.6,26.05,2040800
2021-11-16,26.1,26.2,25.82,26.07,3958700
2021-11-17,25.93,26.73,25.57,26.69,3214700
2021-11-18,26.76,26.82,26.44,26.57,2903800
2021-11-19,26.6,26.63,26.04,26.09,2553000
2021-11-22,26.03,26.15,25.79,25.84,2106400
2021-11-23,25.85,26.23,25.74,26.1,2054900
2021-11-24,26.15,26.53,26.1,26.46,1550600
2021-11-26,26.03,26.11,25.73,25.86,1446100
2021-11-29,26.09,26.25,25.82,25.98,1951300
2021-11-30,25.79,25.91,25.04,25.06,6227300
2021-12-01,25.39,25.85,24.79,24.8,2954000
2021-12-02,25.01,25.7,24.93,25.57,2996900
2021-12-03,25.58,25.75,25.3,25.54,2503500
2021-12-06,25.8,26.31,25.66,25.99,2267700
2021-12-07,26.02,26.24,25.93,26.07,2639400
2021-12-08,26.02,26.42,25.88,26.34,3090600
2021-12-09,26.2,26.31,26.01,26.04,2299500
2021-12-10,26.22,26.25,25.68,25.77,2095200
2021-12-13,25.64,26.39,25.58,26.25,2788300
2021-12-14,26.32,26.35,25.63,25.94,2996300
2021-12-15,25.98,26.54,25.98,26.27,4479400
2021-12-16,26.35,26.57,26.18,26.5,3587000
2021-12-17,26.66,26.92,26.28,26.63,5295900
2021-12-20,26.45,26.69,26.15,26.61,3064300
2021-12-21,26.72,27.01,26.62,26.83,1826500
2021-12-22,26.88,27.12,26.69,27.02,1467100
2021-12-23,27.08,27.08,26.76,26.84,1648000
2021-12-27,26.85,27.24,26.66,27.23,1378200
2021-12-28,27.24,27.37,27.12,27.37,1568400
2021-12-29,27.4,27.63,27.11,27.53,1805200
2021-12-30,27.49,27.67,27.4,27.46,3072900
2021-12-31,27.52,27.67,27.37,27.53,2395500
2022-01-03,27.56,27.66,26.99,27.56,2353800
2022-01-04,27.64,28.1,27.61,27.96,2723900
2022-01-05,27.9,28.11,27.46,27.46,4353800
2022-01-06,27.58,27.64,27.23,27.43,4259800
2022-01-07,27.31,27.56,27.16,27.44,2720600
2022-01-10,27.37,27.4,27.12,27.33,3725800
2022-01-11,27.32,27.52,26.99,27.4,3259700
2022-01-12,27.34,27.62,27.31,27.46,2406400
2022-01-13,27.5,27.8,27.34,27.68,3202400
2022-01-14,27.59,27.63,27.27,27.52,3122200
2022-01-18,27.43,27.59,27.07,27.52,3632800
2022-01-19,27.66,27.7,27.21,27.23,4392000
2022-01-20,27.19,27.4,26.6,26.66,5234400
2022-01-21,26.79,26.91,26.58,26.73,4933600
2022-01-24,26.54,26.68,25.81,26.59,5802300
2022-01-25,26.31,26.98,26.04,26.82,4827200
2022-01-26,26.87,27.24,26.25,26.46,4754200
2022-01-27,26.62,26.85,26.11,26.19,4517400
2022-01-28,26.2,26.67,25.4,26.65,5274300
2022-01-31,26.47,26.99,26.38,26.98,4847700
2022-02-01,26.83,27.15,26.39,26.6,3506100
