Date,Open,High,Low,Close,Volume
2021-09-09,86.68,86.89,86.21,86.29,2317700
2021-09-10,86.31,86.43,85.08,85.12,2391700
2021-09-13,85.76,85.96,84.58,84.73,2801100
2021-09-14,84.95,85.37,83.7,83.81,3421700
2021-09-15,83.51,84.47,83.14,84.15,2795800
2021-09-16,84.53,84.8,83.53,83.64,3219100
2021-09-17,83.3,83.78,82.12,82.21,6699200
2021-09-20,81.89,82.73,81.27,82.18,4907800
2021-09-21,82.41,82.87,81.51,81.59,3274900
2021-09-22,81.86,82.03,80.98,81.27,2732900
2021-09-23,81.33,82.02,80.99,81.16,2419900
2021-09-24,81.03,81.72,80.74,81.21,3010800
2021-09-27,81.2,82.11,80.42,80.52,2772800
2021-09-28,80.37,80.71,79.66,80.04,3126800
2021-09-29,80.04,81.68,79.96,81.11,3299000
2021-09-30,81.26,81.41,80.47,80.49,2962300
2021-10-01,80.99,81.55,80.51,81.21,4598500
2021-10-04,81.37,83.33,81.25,83.1,4645600
2021-10-05,83.2,83.29,82.44,82.62,3411500
2021-10-06,82.42,84.05,81.86,84.0,2794800
2021-10-07,84.06,84.59,83.19,83.27,2020000
2021-10-08,83.3,83.57,82.82,82.91,1745000
2021-10-11,82.63,83.08,81.94,82.24,1659700
2021-10-12,82.35,82.94,82.13,82.33,2426000
2021-10-13,82.35,83.1,81.69,83.05,1798800
2021-10-14,83.39,84.04,83.1,83.84,3045600
2021-10-15,83.92,84.12,82.56,82.77,2593400
2021-10-18,82.35,82.63,81.78,82.36,2057600
2021-10-19,82.77,83.48,82.58,83.41,1759000
2021-10-20,83.51,84.6,83.51,84.32,1892700
2021-10-21,84.45,84.98,84.27,84.95,2057800
2021-10-22,85.13,86.55,84.93,85.6,2430300
2021-10-25,85.52,85.53,84.64,84.82,1681600
2021-10-26,84.78,85.89,84.65,85.19,2298300
2021-10-27,85.49,85.63,84.66,84.75,1519200
2021-10-28,84.47,84.83,83.94,84.53,1973600
2021-10-29,84.32,84.92,83.8,84.14,2301300
2021-11-01,84.23,84.69,83.68,84.38,1606500
2021-11-02,84.65,84.8,83.71,84.5,2701100
2021-11-03,84.33,84.91,83.67,84.57,2062000
2021-11-04,84.45,84.83,82.37,83.32,3054500
2021-11-05,83.46,84.68,83.34,83.86,2127800
2021-11-08,84.03,84.12,82.9,83.65,3686700
2021-11-09,83.95,84.33,83.49,84.09,2876300
2021-11-10,84.35,84.87,83.86,84.63,1876700
2021-11-11,84.41,84.58,83.25,83.49,2002600
2021-11-12,83.49,83.7,82.93,83.18,2504100
2021-11-15,83.48,84.12,83.06,83.78,2362900
2021-11-16,83.72,83.92,82.42,82.52,3758800
2021-11-17,82.45,82.66,81.96,82.44,2368600
2021-11-18,82.1,82.17,81.6,81.92,2809800
2021-11-19,81.99,82.25,81.58,81.97,2986300
2021-11-22,82.03,83.74,81.88,83.49,3913900
2021-11-23,83.69,84.17,82.77,83.9,3174100
2021-11-24,84.11,84.27,83.22,83.43,2236800
2021-11-26,82.6,83.83,82.57,82.68,1805400
2021-11-29,83.22,83.69,82.54,83.47,2128900
2021-11-30,82.99,83.05,80.58,80.79,3873200
2021-12-01,81.15,82.45,80.43,80.47,2825600
2021-12-02,80.87,82.18,80.73,81.32,2956200
2021-12-03,81.7,83.24,81.04,83.18,3106800
2021-12-06,83.72,85.53,83.5,84.29,2972500
2021-12-07,84.01,84.57,83.7,84.26,4402500
2021-12-08,84.11,84.65,83.45,83.99,4819400
2021-12-09,84.15,84.21,82.67,83.52,4020800
2021-12-10,83.96,84.99,83.58,84.54,3039900
2021-12-13,84.53,86.31,84.49,85.81,3932500
2021-12-14,85.82,86.2,85.21,85.59,2825100
2021-12-15,85.62,86.7,85.62,86.46,3378800
2021-12-16,86.61,87.54,86.31,87.06,3066600
2021-12-17,86.99,87.59,85.21,85.81,7150200
2021-12-20,85.38,86.47,84.85,86.34,3678600
2021-12-21,86.61,87.02,85.51,85.8,2054600
2021-12-22,85.71,86.22,85.51,85.91,1588700
2021-12-23,86.01,86.52,85.72,85.76,1435100
2021-12-27,85.76,86.15,85.51,86.02,1269600
2021-12-28,86.16,87.11,86.16,87.09,1197400
2021-12-29,87.25,87.47,86.8,87.25,1176300
2021-12-30,87.28,87.48,86.71,87.27,1690700
2021-12-31,87.21,87.64,86.61,87.36,1945700
2022-01-03,87.37,87.37,85.8,86.19,3272700
2022-01-04,86.08,87.4,86.01,86.12,2558300
2022-01-05,86.2,87.38,86.17,86.31,2446600
2022-01-06,86.21,87.25,86.06,86.17,3944100
2022-01-07,85.62,87.42,85.16,87.03,2990100
2022-01-10,87.15,87.71,86.67,87.08,2683500
2022-01-11,87.1,87.2,85.39,85.97,2937300
2022-01-12,85.51,86.46,85.11,86.3,2226300
2022-01-13,86.23,87.03,85.95,86.74,2591200
2022-01-14,86.98,87.18,86.01,86.65,3425900
2022-01-18,86.06,86.41,84.73,84.84,3082000
2022-01-19,84.85,85.64,84.37,85.09,2460800
2022-01-20,84.99,86.22,84.94,85.21,2426800
2022-01-21,85.8,86.79,85.51,85.76,3453800
2022-01-24,86.3,86.6,83.49,85.43,5654600
2022-01-25,84.71,85.91,84.58,85.21,3336300
2022-01-26,85.1,86.03,84.28,84.91,3111000
2022-01-27,85.37,86.93,85.34,85.99,3384900
2022-01-28,85.94,87.25,85.61,87.22,2874200
2022-01-31,86.51,87.65,86.16,87.5,4306700
2022-02-01,87.07,87.51,85.27,86.16,3036300
2022-02-02,86.07,87.63,85.82,87.45,3391100
2022-02-03,87.63,88.08,87.2,87.8,2238900
2022-02-04,87.08,87.73,86.31,86.82,2217100
2022-02-07,86.73,87.3,86.07,86.9,3046600
2022-02-08,87.67,87.75,86.66,86.95,2298800
2022-02-09,87.24,87.62,86.8,87.2,2259800
2022-02-10,86.77,86.89,82.93,83.11,5918200
2022-02-11,83.37,84.0,82.92,83.07,3953500
2022-02-14,83.74,84.12,82.14,83.24,5284400
2022-02-15,83.39,84.21,82.26,82.7,3149200
2022-02-16,82.75,83.26,82.37,82.87,2955900
2022-02-17,82.83,83.41,82.04,83.05,2401800
2022-02-18,82.74,84.27,82.5,83.95,4505500
2022-02-22,84.11,84.32,82.91,83.65,3304900
2022-02-23,83.83,84.01,82.1,82.15,4055900
2022-02-24,81.95,82.11,80.31,81.62,4207800
2022-02-25,82.47,84.4,82.3,84.3,3326800
