Date,Open,High,Low,Close,Volume
2021-07-12,63.99,64.38,63.1,63.21,5628800
2021-07-13,63.07,63.67,62.78,63.0,4491800
2021-07-14,63.85,64.44,62.28,62.35,6484100
2021-07-15,62.38,62.9,61.99,62.45,4578000
2021-07-16,62.7,63.05,62.45,62.49,4278900
2021-07-19,61.96,63.13,61.66,62.81,6464400
2021-07-20,62.96,63.8,62.85,63.76,6223900
2021-07-21,63.61,64.22,63.45,64.02,6082500
2021-07-22,64.02,66.08,63.8,66.04,8802200
2021-07-23,66.1,67.61,65.67,67.4,6700500
2021-07-26,66.8,67.79,66.8,67.14,7653700
2021-07-27,66.99,67.12,65.13,66.25,8159400
2021-07-28,66.52,67.42,66.19,66.8,5141000
2021-07-29,67.03,67.94,66.95,67.28,4963100
2021-07-30,66.04,66.05,62.39,62.51,11995300
2021-08-02,63.06,63.57,61.94,62.9,6785100
2021-08-03,63.01,63.04,61.99,62.33,5997800
2021-08-04,62.25,62.96,62.06,62.32,6715600
2021-08-05,62.05,62.21,60.1,61.66,9926200
2021-08-06,61.64,61.66,59.82,60.02,8888300
2021-08-09,60.25,60.78,59.63,59.89,7186400
2021-08-10,59.9,61.94,59.89,61.69,7358900
2021-08-11,61.61,62.52,61.36,62.34,10104400
2021-08-12,61.56,63.27,60.82,63.14,10677700
2021-08-13,62.91,67.96,62.86,67.84,17907600
2021-08-16,67.56,70.16,67.37,68.96,12691700
2021-08-17,67.86,68.5,66.59,66.76,9422600
2021-08-18,66.88,67.95,66.32,66.75,6536400
2021-08-19,66.32,67.41,66.04,66.75,5607100
2021-08-20,66.81,67.67,66.73,67.23,5398700
2021-08-23,67.28,67.33,65.78,67.09,5044700
2021-08-24,67.39,67.82,66.55,66.76,6132300
2021-08-25,66.77,68.27,66.64,67.97,5052500
2021-08-26,68.13,69.62,67.6,69.32,5539700
2021-08-27,69.01,70.18,68.91,70.03,5093200
2021-08-30,70.05,71.33,69.69,71.07,5541700
2021-08-31,71.18,71.39,70.34,70.49,6806300
2021-09-01,70.79,70.79,69.72,69.95,5740200
2021-09-02,70.1,70.93,69.92,70.26,5031000
2021-09-03,70.1,70.69,69.8,70.3,4436500
2021-09-07,70.19,70.24,68.57,68.63,6041300
2021-09-08,68.73,68.89,67.68,67.91,6351300
2021-09-09,67.82,68.06,67.0,67.06,5164200
2021-09-10,67.96,68.22,66.58,66.65,5393000
2021-09-13,67.02,67.18,66.02,66.76,5768600
2021-09-14,66.83,67.08,65.25,65.58,6576700
2021-09-15,66.1,68.89,66.01,67.97,10771100
2021-09-16,67.45,69.0,67.34,68.62,6630300
2021-09-17,68.79,68.99,67.73,68.08,8874800
2021-09-20,66.76,67.06,64.99,66.94,9841500
2021-09-21,67.43,68.0,66.2,66.25,5375100
2021-09-22,66.68,67.73,66.49,67.25,4028400
2021-09-23,67.51,68.35,67.22,67.53,4128800
2021-09-24,66.99,67.43,66.8,67.05,3486600
2021-09-27,66.81,67.8,66.52,67.67,4268700
2021-09-28,66.9,67.67,64.97,65.46,5379600
2021-09-29,65.7,65.98,64.05,64.27,5621400
2021-09-30,64.55,64.91,63.95,64.0,3927200
2021-10-01,64.03,64.63,63.4,64.22,4069100
2021-10-04,63.78,63.92,62.72,62.9,4648400
2021-10-05,63.27,64.88,63.08,64.27,3932500
2021-10-06,63.67,65.77,63.51,65.72,4867000
2021-10-07,67.03,69.05,66.92,68.13,7309200
2021-10-08,68.38,69.77,68.28,68.94,4672600
2021-10-11,68.61,68.8,68.16,68.44,2817900
2021-10-12,69.09,69.55,68.45,68.59,3408300
2021-10-13,68.87,69.2,68.2,68.8,2929400
2021-10-14,69.4,69.58,68.18,68.6,4770000
2021-10-15,69.12,69.28,68.56,68.8,4358500
2021-10-18,68.59,68.94,67.88,68.21,5730000
2021-10-19,68.35,69.24,68.33,68.64,3425800
2021-10-20,68.86,70.69,68.55,69.79,5201700
2021-10-21,69.43,70.06,68.95,70.01,3615500
2021-10-22,70.08,74.58,70.08,74.03,11047500
2021-10-25,74.03,74.46,73.4,74.01,6299600
2021-10-26,74.38,74.39,72.02,72.11,6145700
2021-10-27,71.88,72.11,71.0,71.34,7896500
2021-10-28,68.0,68.42,64.81,66.52,17831800
2021-10-29,66.2,70.71,66.2,70.48,16714300
2021-11-01,70.25,71.29,69.4,70.09,7915700
2021-11-02,69.47,70.16,68.41,68.8,7002300
2021-11-03,68.61,69.93,67.85,69.31,9462500
2021-11-04,69.5,70.73,68.85,70.07,5958200
2021-11-05,70.41,70.68,69.38,69.42,4692600
2021-11-08,69.62,70.3,67.52,67.76,8320500
2021-11-09,68.07,69.33,67.77,67.94,8317700
2021-11-10,67.86,68.64,67.0,67.27,6126600
2021-11-11,68.0,68.85,67.32,67.33,4200800
2021-11-12,67.48,68.1,66.63,67.89,3793600
2021-11-15,68.41,70.03,67.98,68.17,5079300
2021-11-16,68.25,70.35,68.15,69.71,6200400
2021-11-17,69.63,69.74,67.05,67.41,6393300
2021-11-18,67.52,68.94,67.48,68.64,9833400
2021-11-19,68.8,70.19,68.41,68.56,5573800
2021-11-22,68.37,69.07,67.55,67.58,4576600
2021-11-23,67.25,67.41,65.26,65.82,10521500
2021-11-24,65.54,66.95,65.14,66.75,4675200
2021-11-26,67.03,67.61,66.23,66.57,4121900
2021-11-29,66.64,66.75,63.87,64.81,7789500
2021-11-30,64.77,65.13,61.6,62.13,21869100
2021-12-01,63.21,63.22,61.46,61.53,11859600
2021-12-02,61.86,62.58,61.04,62.15,8384900
2021-12-03,62.42,63.12,61.07,61.75,10336600
2021-12-06,61.82,61.83,60.36,60.85,6413100
2021-12-07,61.45,62.3,61.27,61.92,6224500
2021-12-08,62.01,62.36,61.04,61.85,6751900
2021-12-09,61.69,62.34,61.29,61.34,4523800
2021-12-10,61.53,61.84,60.73,61.6,7593700
2021-12-13,61.22,62.11,60.99,61.42,6043700
2021-12-14,61.01,61.21,60.11,60.64,9297700
2021-12-15,60.16,60.56,59.17,60.42,10196400
2021-12-16,60.58,60.9,58.9,58.98,8521400
2021-12-17,58.62,60.0,57.99,58.97,19368900
2021-12-20,57.94,60.01,57.85,58.75,8123700
2021-12-21,59.13,59.45,58.3,58.67,9835700
2021-12-22,58.71,59.54,58.33,58.89,5835900
2021-12-23,58.94,60.27,58.64,59.76,6045400
2021-12-27,60.06,60.64,59.83,60.47,6050200
2021-12-28,60.62,61.45,60.29,60.86,5534400
2021-12-29,60.72,61.47,60.41,61.21,3654500
2021-12-30,61.04,62.3,61.0,61.5,3673600
2021-12-31,61.46,61.63,60.53,61.24,5935800
2022-01-03,61.2,61.81,60.47,61.52,6685500
2022-01-04,61.86,62.09,59.35,59.99,7527300
2022-01-05,59.74,61.03,59.36,59.39,7440700
2022-01-06,59.07,62.16,59.01,61.53,8218400
2022-01-07,61.46,62.01,61.04,61.08,5000900
2022-01-10,60.53,61.09,58.68,59.47,6684000
2022-01-11,59.48,61.26,59.01,61.18,3811100
2022-01-12,61.58,61.69,58.8,59.24,5426000
2022-01-13,59.62,60.08,58.18,58.28,4416900
2022-01-14,58.18,58.79,57.69,58.43,6253100
2022-01-18,57.84,57.84,56.67,56.74,7163600
2022-01-19,57.06,57.87,57.03,57.37,6721800
2022-01-20,57.88,58.65,55.87,55.91,5352500
2022-01-21,56.1,56.49,54.68,54.83,7742200
2022-01-24,54.31,55.0,52.38,54.94,9318900
2022-01-25,53.82,53.94,52.42,53.58,7635900
2022-01-26,53.94,54.79,52.68,53.15,7599800
2022-01-27,53.45,54.07,51.94,52.22,4947100
2022-01-28,52.25,53.05,51.49,52.99,5027100
2022-01-31,53.17,55.62,53.1,55.32,9059300
2022-02-01,55.17,55.83,54.86,55.7,4080600
2022-02-02,55.69,55.8,52.88,53.91,8826200
2022-02-03,53.42,53.5,52.43,52.67,6287200
2022-02-04,52.81,55.51,52.72,54.6,10587000
2022-02-07,54.5,55.01,53.91,54.06,5718400
2022-02-08,53.82,55.17,53.82,55.01,3770700
2022-02-09,55.6,55.87,54.98,55.82,3448800
2022-02-10,54.79,55.28,53.86,54.16,3976200
2022-02-11,54.62,55.2,53.46,53.77,5897200
2022-02-14,53.9,54.0,53.12,53.58,5714500
2022-02-15,54.3,55.25,54.0,55.19,3803800
2022-02-16,54.97,55.03,52.73,53.09,5201800
2022-02-17,52.94,53.14,51.14,51.35,5659300
2022-02-18,50.98,51.47,49.98,51.08,7219600
2022-02-22,50.76,52.26,50.55,50.79,6951000
2022-02-23,51.14,51.47,50.16,50.27,11482500
2022-02-24,46.26,51.24,45.61,51.06,24110800
2022-02-25,50.99,51.18,49.16,50.28,8340200
2022-02-28,50.03,50.64,49.19,50.27,9281300
2022-03-01,50.25,50.7,49.68,50.05,9298800
2022-03-02,50.05,51.07,49.44,50.74,8496700
2022-03-03,51.24,51.24,49.23,50.12,6139200
2022-03-04,50.0,51.98,49.81,51.26,8300800
2022-03-07,51.11,52.0,50.41,50.51,9961700
2022-03-08,50.6,51.51,49.04,49.1,9549000
2022-03-09,49.87,49.87,48.64,49.07,10250400
2022-03-10,49.03,51.31,47.42,48.42,18926000
2022-03-11,48.92,48.92,46.24,46.29,9217700
2022-03-14,46.42,49.24,46.25,48.17,9205600
2022-03-15,48.56,50.46,48.29,49.88,8927400
2022-03-16,49.74,50.77,49.09,50.65,7561500
2022-03-17,50.2,51.66,49.99,51.48,5974000
2022-03-18,50.95,52.41,50.95,51.81,10588500
2022-03-21,51.4,52.02,50.75,51.16,5918500
2022-03-22,50.84,52.03,50.82,51.56,7120300
2022-03-23,51.25,51.84,50.54,51.42,5329000
2022-03-24,51.55,53.07,51.36,52.92,6892900
2022-03-25,53.06,53.68,52.67,53.1,6240900
2022-03-28,53.1,54.41,52.65,54.36,7156400
2022-03-29,54.91,55.85,54.91,55.68,5341100
2022-03-30,55.24,55.8,54.67,54.89,5943000
2022-03-31,54.71,54.71,52.93,52.95,9380700
2022-04-01,53.52,53.94,52.99,53.37,4950100
2022-04-04,53.71,53.98,52.24,52.46,6651900
2022-04-05,52.42,53.39,51.77,52.16,5040600
2022-04-06,51.63,51.93,49.46,50.05,6359400
2022-04-07,49.83,50.71,49.48,50.29,4998700
2022-04-08,50.4,51.27,50.05,50.89,3747400
2022-04-11,50.27,52.0,50.27,50.76,4101900
2022-04-12,51.17,51.58,50.05,50.16,3987300
2022-04-13,50.02,51.3,49.9,50.97,3787000
2022-04-14,51.05,51.3,49.92,50.08,4452200
2022-04-18,49.78,50.63,49.63,50.46,4115300
2022-04-19,50.09,51.07,50.09,51.02,4698300
2022-04-20,51.16,51.2,50.64,50.73,4937900
2022-04-21,51.08,51.66,50.45,50.65,4408600
2022-04-22,50.49,50.71,49.09,49.17,4914800
2022-04-25,48.95,49.83,48.74,49.6,5503600
2022-04-26,49.56,49.9,48.53,49.11,4951700
2022-04-27,49.0,49.84,48.09,48.14,4905700
2022-04-28,48.52,49.98,48.23,49.72,6008500
2022-04-29,47.64,49.92,47.64,48.01,8341100
2022-05-02,48.06,49.22,47.59,49.15,6139800
2022-05-03,49.27,50.17,49.03,49.44,8059000
2022-05-04,49.46,50.39,48.38,50.33,9500200
2022-05-05,47.36,47.92,43.73,44.43,19285100
2022-05-06,44.39,45.91,43.49,45.14,11281200
2022-05-09,44.46,47.09,44.08,45.55,12832100
2022-05-10,46.21,47.06,44.74,44.93,7614900
2022-05-11,44.68,45.27,42.97,43.08,7085300
2022-05-12,42.52,44.22,41.79,42.69,8920400
2022-05-13,42.96,43.24,42.28,43.14,6455200
2022-05-16,42.99,42.99,41.53,41.7,6940600
2022-05-17,42.21,43.58,41.98,43.39,5704500
2022-05-18,42.63,43.26,41.29,41.56,5883200
2022-05-19,41.26,41.92,40.71,41.26,7668700
2022-05-20,41.58,41.91,40.02,40.98,7445800
2022-05-23,41.37,41.94,40.69,41.79,6122500
2022-05-24,41.06,42.2,40.34,40.86,8315100
2022-05-25,40.57,41.73,40.57,41.44,7522100
2022-05-26,42.24,43.29,42.07,42.97,6299000
2022-05-27,43.67,45.16,43.51,45.15,8695400
2022-05-31,45.0,45.8,43.96,45.21,17674900
2022-06-01,45.59,45.59,43.48,43.63,7174800
2022-06-02,43.53,44.39,43.15,44.38,5287700
2022-06-03,43.96,44.17,43.47,43.74,6122200
2022-06-06,44.58,45.3,44.1,44.28,5350100
2022-06-07,43.57,44.28,43.36,44.13,5114200
2022-06-08,44.42,44.72,43.94,44.29,4401800
2022-06-09,43.85,44.07,43.13,43.37,5139100
2022-06-10,41.2,42.34,41.13,41.13,8764800
2022-06-13,39.95,40.85,39.64,39.88,9224400
2022-06-14,40.13,40.49,39.21,39.56,5288400
2022-06-15,39.92,40.92,39.56,40.42,8232200
2022-06-16,39.29,39.48,37.64,38.16,9954900
2022-06-17,38.56,39.55,38.49,39.21,21193800
2022-06-21,39.67,40.38,39.2,39.29,7628500
2022-06-22,38.9,40.56,38.86,40.07,7343000
2022-06-23,39.17,40.05,39.06,39.92,5244700
2022-06-24,40.27,42.53,40.15,42.43,20444400
2022-06-27,42.61,42.68,41.08,41.23,4703400
2022-06-28,40.32,41.32,39.57,39.62,5435600
2022-06-29,39.56,39.97,39.29,39.64,3517100
2022-06-30,39.41,39.41,38.11,38.71,6571700
2022-07-01,38.96,39.98,38.79,39.84,4950800
2022-07-05,39.26,40.84,38.91,40.81,6413700
2022-07-06,41.25,41.77,40.47,40.61,6444000
2022-07-07,40.61,40.94,40.12,40.71,6216100
2022-07-08,40.32,40.72,39.71,40.08,3716300
2022-07-11,39.96,40.09,39.38,39.79,5986800
2022-07-12,40.0,40.83,39.82,40.13,4751000
2022-07-13,39.2,40.08,38.96,39.47,4439900
