Date,Open,High,Low,Close,Volume
2021-09-13,334.73,346.39,333.12,342.65,1287500
2021-09-14,344.01,344.93,339.13,340.63,1025500
2021-09-15,339.78,351.94,339.78,348.11,1652100
2021-09-16,348.75,352.97,346.9,348.5,1110400
2021-09-17,347.61,354.59,347.41,352.76,1845000
2021-09-20,349.24,351.6,346.91,350.33,1084800
2021-09-21,352.16,355.2,350.92,352.34,927800
2021-09-22,353.21,355.8,348.7,349.02,1011600
2021-09-23,349.53,355.87,349.02,353.49,794600
2021-09-24,353.45,355.75,351.71,354.44,655300
2021-09-27,353.04,362.66,353.04,361.09,1209500
2021-09-28,358.78,361.83,355.61,358.51,1467000
2021-09-29,358.39,361.54,356.01,361.39,948300
2021-09-30,361.71,363.83,346.28,346.52,1321200
2021-10-01,347.95,350.57,337.75,349.42,1213500
2021-10-04,348.55,353.51,342.78,344.1,943000
2021-10-05,345.09,351.1,345.09,347.21,1001200
2021-10-06,344.37,344.84,338.04,343.99,1397300
2021-10-07,348.29,356.55,345.92,353.82,896900
2021-10-08,355.48,359.06,353.15,358.94,773700
2021-10-11,359.77,361.08,353.49,354.05,837200
2021-10-12,354.05,355.38,350.06,350.87,973100
2021-10-13,351.0,351.0,343.91,348.98,1103400
2021-10-14,360.37,371.02,359.57,363.16,1753900
2021-10-15,364.84,366.68,361.85,365.34,1145500
2021-10-18,364.03,365.15,359.99,360.84,928100
2021-10-19,363.35,369.28,363.17,365.99,1319500
2021-10-20,371.8,395.44,371.8,394.15,2376600
2021-10-21,390.39,400.33,389.96,400.06,1606600
2021-10-22,400.67,405.22,397.6,402.79,910300
2021-10-25,402.81,405.56,400.75,403.92,893900
2021-10-26,405.44,407.76,398.8,405.48,1107800
2021-10-27,406.03,408.88,402.73,403.1,962200
2021-10-28,402.03,405.73,401.15,402.81,989200
2021-10-29,401.99,405.03,400.2,404.45,844700
2021-11-01,405.55,408.23,393.12,398.53,1002400
2021-11-02,400.59,400.61,388.86,390.57,1291300
2021-11-03,386.2,395.42,384.12,394.69,1160000
2021-11-04,395.03,395.43,387.92,392.81,924900
2021-11-05,395.03,400.09,391.21,392.3,944900
2021-11-08,393.26,397.71,391.46,396.51,636100
2021-11-09,395.41,400.09,393.64,399.79,859400
2021-11-10,402.28,405.06,393.61,394.98,872700
2021-11-11,395.32,400.66,392.94,400.3,826500
2021-11-12,402.65,407.01,401.09,406.2,977400
2021-11-15,405.67,407.28,402.48,403.76,1116000
2021-11-16,403.76,406.19,399.91,400.11,983500
2021-11-17,400.9,403.37,396.45,399.38,1644200
2021-11-18,400.55,403.07,395.4,395.85,1592900
2021-11-19,395.47,395.47,384.84,385.93,1064100
2021-11-22,389.9,395.95,387.36,389.83,1034900
2021-11-23,389.16,394.62,386.92,393.79,1026900
2021-11-24,393.11,395.49,391.02,394.84,732500
2021-11-26,392.24,393.49,382.35,386.22,627600
2021-11-29,388.86,389.69,383.9,386.87,765900
2021-11-30,384.3,385.74,376.74,377.59,2238600
2021-12-01,382.66,386.59,375.63,376.12,1414100
2021-12-02,376.01,379.17,368.53,372.6,2032400
2021-12-03,372.36,376.47,365.75,368.18,1495700
