Date,Open,High,Low,Close,Volume
2021-07-12,266.71,271.13,266.0,270.47,391500
2021-07-13,270.27,270.27,265.95,267.47,330100
2021-07-14,267.92,272.01,267.05,271.62,266800
2021-07-15,270.43,273.61,269.91,272.85,211200
2021-07-16,273.87,275.0,273.31,273.98,227900
2021-07-19,272.03,272.03,266.63,269.29,383200
2021-07-20,270.52,277.5,270.52,275.98,312700
2021-07-21,276.54,279.04,275.76,275.81,304300
2021-07-22,274.88,276.29,272.6,273.29,237500
2021-07-23,274.06,277.21,273.18,276.97,133900
2021-07-26,276.26,278.38,273.94,276.31,281200
2021-07-27,275.45,279.84,274.66,276.87,237300
2021-07-28,277.8,278.03,275.31,276.32,302100
2021-07-29,276.77,278.48,274.35,275.87,308800
2021-07-30,277.44,281.0,271.57,273.79,690700
2021-08-02,274.54,278.61,272.45,273.95,366600
2021-08-03,273.7,274.49,269.46,273.44,354400
2021-08-04,273.69,273.69,269.0,270.36,351900
2021-08-05,271.84,272.27,268.13,271.71,296200
2021-08-06,272.2,274.6,271.87,272.75,274900
2021-08-09,271.77,271.77,267.43,268.26,219600
2021-08-10,268.08,268.08,265.09,265.23,201300
2021-08-11,266.57,267.5,262.43,262.99,236700
2021-08-12,263.79,264.07,261.33,262.76,239200
2021-08-13,263.32,264.94,262.21,264.48,150900
2021-08-16,264.52,266.67,262.8,263.91,269400
2021-08-17,262.8,266.58,262.1,265.98,354200
2021-08-18,265.46,265.93,263.04,263.75,225900
2021-08-19,262.05,265.95,261.59,265.9,207000
2021-08-20,265.75,268.37,262.97,266.6,203000
2021-08-23,266.98,268.27,263.21,264.57,136900
2021-08-24,264.87,264.87,261.97,262.86,229700
2021-08-25,263.15,268.2,262.62,265.32,325700
2021-08-26,263.49,267.59,263.49,265.85,163800
2021-08-27,267.08,269.03,266.42,267.66,159800
2021-08-30,267.87,273.16,267.87,272.7,432900
2021-08-31,272.78,276.76,272.28,275.99,471300
2021-09-01,276.57,280.83,276.02,280.63,431000
2021-09-02,280.34,281.57,276.53,281.21,374600
2021-09-03,280.01,280.17,276.43,280.03,294100
2021-09-07,279.14,279.14,270.87,273.3,328900
2021-09-08,272.86,278.2,271.37,276.79,155200
2021-09-09,275.41,276.78,273.04,273.95,303800
2021-09-10,275.33,276.56,268.33,268.65,232300
2021-09-13,271.02,275.06,270.01,270.77,236500
2021-09-14,272.06,272.17,268.91,270.75,201700
2021-09-15,270.68,275.24,270.17,273.08,320400
2021-09-16,273.08,274.9,271.12,273.46,213800
2021-09-17,272.52,273.99,268.45,269.14,521100
2021-09-20,267.12,270.84,265.31,268.25,363900
2021-09-21,271.0,275.4,270.07,270.08,325400
2021-09-22,269.47,276.84,268.29,275.07,321300
2021-09-23,275.08,278.47,275.08,276.12,218600
2021-09-24,275.02,277.96,273.22,273.3,193500
2021-09-27,273.3,276.72,267.3,267.49,257500
2021-09-28,266.61,268.65,264.72,266.75,304700
2021-09-29,271.09,274.11,269.51,272.09,262300
2021-09-30,274.13,274.76,268.38,268.57,242200
2021-10-01,270.76,274.66,266.92,273.93,264000
2021-10-04,272.8,276.74,272.09,275.18,252400
2021-10-05,276.68,276.68,271.79,273.4,212600
2021-10-06,271.72,276.57,267.61,276.23,213100
2021-10-07,280.9,281.26,274.91,276.57,205000
2021-10-08,276.13,277.23,274.16,274.34,103600
2021-10-11,276.96,277.09,271.59,274.06,125200
2021-10-12,277.44,279.75,274.67,277.6,237200
2021-10-13,276.49,279.95,274.61,279.84,163300
2021-10-14,281.38,283.06,280.26,281.27,273800
2021-10-15,282.78,282.78,277.39,279.78,300100
2021-10-18,277.67,281.23,277.1,279.72,221800
2021-10-19,280.57,280.57,276.92,277.25,175300
2021-10-20,278.25,279.96,277.6,279.88,325700
2021-10-21,279.53,280.57,277.94,279.69,169900
2021-10-22,280.53,282.64,280.43,281.69,124900
2021-10-25,282.43,282.81,280.33,281.27,232900
2021-10-26,281.22,285.37,280.09,284.23,259100
2021-10-27,285.28,289.84,280.97,287.2,430800
2021-10-28,288.24,291.65,286.05,290.4,416000
2021-10-29,289.72,290.63,283.53,285.52,475100
2021-11-01,286.74,286.74,277.6,282.6,248700
2021-11-02,283.86,284.2,280.38,282.34,207800
2021-11-03,282.43,283.59,280.68,281.85,302200
2021-11-04,283.13,283.31,276.38,278.85,219200
2021-11-05,281.54,284.34,281.03,283.13,175400
2021-11-08,283.86,284.51,279.53,284.29,180600
2021-11-09,284.58,286.36,283.12,286.12,169200
2021-11-10,286.26,289.26,286.26,287.93,165100
2021-11-11,288.73,289.16,285.68,289.09,142600
2021-11-12,288.95,291.62,287.54,290.98,204300
2021-11-15,291.37,295.26,289.85,295.22,179900
2021-11-16,295.88,297.03,290.23,290.33,238500
2021-11-17,288.78,292.29,281.73,291.9,193200
2021-11-18,291.87,295.18,291.5,294.5,233000
2021-11-19,294.76,295.18,290.36,291.82,203400
2021-11-22,291.63,293.38,289.67,289.89,201500
2021-11-23,290.72,296.48,290.31,295.16,272300
2021-11-24,295.97,300.62,295.79,300.07,246000
2021-11-26,295.99,297.12,285.77,286.16,257100
2021-11-29,288.64,294.4,286.94,291.04,302900
2021-11-30,288.88,291.19,284.87,285.11,742400
2021-12-01,288.7,289.48,275.49,275.64,414000
2021-12-02,277.11,287.56,277.11,286.42,352200
2021-12-03,286.82,286.82,279.41,282.69,539300
2021-12-06,285.91,291.2,283.82,287.57,279900
2021-12-07,290.4,291.83,287.78,289.74,318100
2021-12-08,288.56,294.34,288.36,292.81,335300
2021-12-09,292.77,292.77,288.72,289.45,222000
2021-12-10,291.5,291.5,288.04,290.35,250300
2021-12-13,290.53,298.18,288.88,296.06,329600
2021-12-14,296.65,296.91,288.6,290.39,257500
2021-12-15,291.98,296.74,291.98,295.86,318600
2021-12-16,293.75,294.53,285.06,287.4,648700
2021-12-17,288.78,291.41,286.03,287.06,712900
2021-12-20,283.76,285.4,280.18,283.12,287900
2021-12-21,285.1,288.69,283.39,286.2,331400
2021-12-22,286.6,290.43,286.6,288.6,284000
2021-12-23,289.85,290.04,285.69,287.83,296600
2021-12-27,288.93,291.24,287.16,291.05,222300
2021-12-28,290.74,294.23,290.74,293.66,199400
2021-12-29,294.26,297.07,290.77,295.84,180900
2021-12-30,295.69,297.6,294.87,296.24,179800
2021-12-31,296.99,300.02,296.99,297.62,204500
2022-01-03,298.18,299.5,291.65,299.0,317000
2022-01-04,300.31,303.75,299.01,301.34,387700
2022-01-05,300.43,301.19,295.03,295.17,333400
2022-01-06,297.24,298.33,294.11,294.85,184700
2022-01-07,293.34,294.76,290.82,290.93,264600
2022-01-10,289.82,293.34,288.77,291.53,285000
2022-01-11,291.39,293.14,287.63,292.4,264200
2022-01-12,290.86,296.34,290.86,294.98,273000
2022-01-13,296.58,298.07,293.47,293.86,186100
2022-01-14,292.2,293.5,287.43,290.63,220700
2022-01-18,291.11,291.11,284.49,289.58,353600
2022-01-19,290.89,295.0,286.73,286.83,263600
2022-01-20,286.47,290.65,283.72,283.72,314600
2022-01-21,285.84,287.13,279.99,280.59,305900
2022-01-24,277.98,282.47,271.84,281.29,473800
2022-01-25,278.03,282.06,273.17,279.29,374300
2022-01-26,280.18,285.25,275.19,277.1,281500
2022-01-27,278.83,281.73,269.95,271.02,284300
2022-01-28,271.02,280.82,268.28,280.64,341700
2022-01-31,278.41,281.15,276.69,280.95,388100
2022-02-01,280.31,281.97,278.08,280.1,303600
2022-02-02,280.95,286.8,280.79,285.89,493500
2022-02-03,279.68,283.48,274.06,278.65,696200
2022-02-04,277.26,278.8,272.32,276.28,322000
2022-02-07,275.92,278.12,271.97,273.09,380900
2022-02-08,273.88,274.51,265.89,266.93,316100
2022-02-09,269.71,278.25,269.54,277.64,365500
2022-02-10,272.1,277.81,268.46,270.09,339400
2022-02-11,272.21,273.89,266.95,269.28,326900
2022-02-14,269.94,271.91,265.73,267.3,256100
2022-02-15,270.09,271.28,267.47,268.86,273300
2022-02-16,270.01,270.83,267.34,269.69,269600
2022-02-17,269.08,271.09,264.87,265.82,186400
2022-02-18,266.06,268.93,265.95,266.53,270800
2022-02-22,266.32,268.6,264.07,267.41,252600
2022-02-23,269.55,271.47,264.89,265.14,351100
2022-02-24,261.88,268.19,259.39,267.44,278200
2022-02-25,269.3,274.34,266.9,274.29,280600
2022-02-28,270.08,272.08,264.78,268.0,305500
2022-03-01,268.51,270.63,265.16,266.85,349600
2022-03-02,269.83,277.83,269.83,276.17,535000
2022-03-03,278.19,279.84,275.39,279.0,365400
2022-03-04,276.3,288.52,276.17,287.41,478100
2022-03-07,287.26,294.28,287.26,289.95,510000
2022-03-08,289.75,292.3,283.94,284.62,465300
2022-03-09,289.2,292.1,287.65,289.29,375400
2022-03-10,286.47,291.78,285.12,289.59,414500
2022-03-11,290.44,292.52,283.27,283.92,210800
2022-03-14,285.55,288.97,281.25,282.22,371100
2022-03-15,286.32,286.92,280.84,283.29,258100
2022-03-16,284.58,289.76,282.98,289.32,468900
2022-03-17,286.54,291.43,286.54,289.6,385100
2022-03-18,289.2,291.08,285.52,288.64,626900
2022-03-21,288.99,290.61,283.72,285.76,324400
2022-03-22,288.13,289.09,282.34,283.61,357600
2022-03-23,283.37,285.1,280.7,283.26,228700
2022-03-24,282.93,284.52,282.13,283.97,313400
2022-03-25,285.35,289.69,285.35,288.55,309800
2022-03-28,290.0,291.42,287.57,291.42,274700
2022-03-29,295.36,302.49,294.58,301.43,369000
2022-03-30,299.63,299.63,293.91,296.48,306800
2022-03-31,298.03,300.24,293.41,293.73,390900
2022-04-01,294.71,300.54,294.49,300.54,289600
