Date,Open,High,Low,Close,Volume
2021-07-12,42.91,43.22,42.75,43.13,1190200
2021-07-13,43.15,43.19,42.39,42.55,1140400
2021-07-14,42.58,43.15,42.37,42.92,1283800
2021-07-15,42.77,43.42,42.73,43.37,1954800
2021-07-16,43.45,44.09,43.28,43.83,1498400
2021-07-19,43.55,43.73,41.94,42.53,2314000
2021-07-20,42.56,43.26,42.56,42.84,1534600
2021-07-21,43.1,43.1,42.31,42.34,1077000
2021-07-22,42.33,42.53,42.05,42.23,1156600
2021-07-23,42.34,43.01,42.3,43.01,1597400
2021-07-26,43.02,43.54,42.9,43.44,2103000
2021-07-27,43.39,44.34,43.2,44.09,1432600
2021-07-28,44.06,44.16,43.36,43.66,1280000
2021-07-29,43.84,43.94,43.46,43.69,1116400
2021-07-30,43.73,44.17,42.97,43.08,2322800
2021-08-02,43.26,43.62,43.12,43.36,3356800
2021-08-03,43.43,43.83,43.18,43.52,1888600
2021-08-04,42.98,43.57,42.76,43.41,2528200
2021-08-05,43.56,44.62,43.37,44.56,2219200
2021-08-06,44.69,44.74,44.2,44.41,2519200
2021-08-09,44.45,44.76,44.29,44.72,2222600
2021-08-10,44.71,45.59,44.56,45.49,2540800
2021-08-11,45.61,46.16,45.4,46.03,2075600
2021-08-12,45.97,46.24,45.78,45.9,1907800
2021-08-13,45.8,46.47,45.78,46.4,1883600
2021-08-16,46.43,47.19,46.03,46.57,3447600
2021-08-17,46.56,46.69,45.96,46.49,2148800
2021-08-18,46.41,46.69,46.21,46.51,2042000
2021-08-19,46.54,47.38,46.48,47.21,3245000
2021-08-20,47.13,48.44,46.88,48.39,3975600
2021-08-23,48.42,48.51,47.86,48.14,3361200
2021-08-24,48.15,48.19,47.62,48.03,3998800
2021-08-25,47.95,48.3,47.72,48.05,3034000
2021-08-26,48.01,48.28,47.7,48.0,3897400
2021-08-27,48.0,48.07,47.02,47.16,5609600
2021-08-30,46.45,46.49,45.42,46.18,6153000
2021-08-31,46.09,46.75,45.91,46.71,5706000
2021-09-01,46.89,47.63,46.69,47.52,3695200
2021-09-02,47.63,48.03,47.44,48.02,4136800
2021-09-03,47.84,47.88,47.39,47.53,3173400
2021-09-07,47.38,47.57,46.91,47.51,4378200
2021-09-08,47.48,48.57,47.3,48.49,3032400
2021-09-09,48.39,48.56,47.66,47.69,3307000
2021-09-10,47.69,47.69,47.19,47.23,1525200
2021-09-13,47.66,48.11,47.5,47.87,1909000
2021-09-14,48.16,48.57,47.91,48.3,4029000
2021-09-15,48.1,48.28,47.22,47.67,5304800
2021-09-16,47.62,47.85,47.24,47.47,2322800
2021-09-17,47.35,47.59,46.78,46.89,4751000
2021-09-20,46.72,47.02,45.76,46.24,2827200
2021-09-21,46.29,46.67,45.59,45.6,3620200
2021-09-22,45.65,45.86,44.62,44.76,3228600
2021-09-23,44.54,44.72,43.29,43.33,4127000
2021-09-24,43.2,43.48,42.42,42.59,4818800
2021-09-27,42.44,42.95,42.2,42.24,5224200
2021-09-28,42.23,42.63,41.59,41.92,4047800
2021-09-29,42.0,42.94,41.84,42.54,4042800
2021-09-30,42.65,42.7,41.91,41.94,2568000
2021-10-01,42.19,42.47,41.84,41.96,3711200
2021-10-04,41.99,42.97,41.94,42.81,3277800
2021-10-05,42.84,43.16,42.66,42.85,2477600
2021-10-06,42.72,43.59,42.41,43.57,2354800
2021-10-07,43.64,44.18,43.57,43.69,2247600
2021-10-08,43.66,43.89,43.34,43.58,1885600
2021-10-11,43.46,43.65,43.03,43.36,2147600
2021-10-12,43.47,43.82,43.24,43.41,1406400
2021-10-13,43.17,43.51,42.92,43.31,2145200
2021-10-14,43.41,43.83,43.33,43.7,1618400
2021-10-15,43.84,44.0,43.16,43.18,3087000
2021-10-18,42.83,43.1,42.34,42.98,2568600
2021-10-19,43.07,43.21,42.92,43.1,1137400
2021-10-20,43.24,44.2,43.21,43.94,1283200
2021-10-21,43.93,44.19,43.85,43.88,1250200
2021-10-22,44.08,44.42,44.01,44.17,1323600
2021-10-25,44.12,44.17,43.79,43.83,1349800
2021-10-26,43.88,44.3,43.85,43.87,1286000
2021-10-27,44.07,44.16,43.47,43.54,1647400
2021-10-28,43.5,43.77,43.13,43.41,1592400
2021-10-29,43.34,43.87,43.17,43.5,3114400
2021-11-01,43.49,44.15,43.36,43.7,1880800
2021-11-02,43.71,43.88,43.04,43.83,3317800
2021-11-03,44.13,44.84,43.3,43.65,2745800
2021-11-04,43.66,43.92,43.02,43.45,3422400
2021-11-05,43.6,44.18,43.6,44.02,2656600
2021-11-08,44.1,44.1,42.34,42.68,2514000
2021-11-09,42.78,43.28,42.69,43.21,3440000
2021-11-10,43.34,43.71,43.25,43.68,2920800
2021-11-11,43.66,44.13,43.25,43.55,2680200
2021-11-12,43.55,43.66,42.77,43.33,2054400
2021-11-15,43.67,44.81,43.61,44.79,3129800
2021-11-16,44.95,45.22,44.78,44.91,2835800
2021-11-17,44.79,45.19,44.49,45.11,1831800
2021-11-18,45.15,45.31,44.74,44.98,1936600
2021-11-19,45.09,45.29,44.97,45.18,2790600
2021-11-22,45.01,45.88,44.93,45.76,2363000
2021-11-23,45.72,45.77,45.17,45.33,3405400
2021-11-24,45.37,45.52,44.83,45.37,2351800
2021-11-26,44.98,45.35,43.78,43.96,1797800
2021-11-29,44.35,45.03,44.07,44.81,2520800
2021-11-30,44.52,44.6,42.79,42.79,4311000
