Date,Open,High,Low,Close,Volume
2021-07-12,26.84,27.09,26.72,27.08,5112673
2021-07-13,27.02,27.09,26.68,26.78,3816945
2021-07-14,26.88,27.2,26.7,26.99,5203102
2021-07-15,26.87,27.38,26.85,27.34,6530516
2021-07-16,27.37,27.69,27.34,27.5,5339797
2021-07-19,27.47,27.54,26.75,27.1,11379754
2021-07-20,27.24,27.76,27.09,27.54,6796896
2021-07-21,27.47,27.67,27.38,27.41,5217823
2021-07-22,27.44,27.57,27.39,27.51,4129311
2021-07-23,27.63,27.89,27.56,27.82,3537246
2021-07-26,27.8,28.04,27.6,27.75,6401392
2021-07-27,27.64,28.32,27.57,28.25,5058416
2021-07-28,28.17,28.34,27.86,28.09,5365594
2021-07-29,28.21,28.4,28.15,28.29,4389802
2021-07-30,28.25,28.47,27.94,27.98,5109589
2021-08-02,28.15,28.34,27.98,28.12,5409757
2021-08-03,28.37,28.44,28.13,28.33,6120431
2021-08-04,28.22,28.32,27.76,27.97,5471305
2021-08-05,28.0,28.56,27.99,28.5,5778063
2021-08-06,28.44,28.63,28.29,28.46,4871670
2021-08-09,28.41,28.46,28.16,28.36,3673100
2021-08-10,28.37,28.59,28.24,28.44,4927890
2021-08-11,28.55,28.86,28.5,28.82,5103000
2021-08-12,28.97,29.03,28.79,28.95,5343162
2021-08-13,29.06,29.17,28.96,29.14,3082297
2021-08-16,29.23,29.59,29.18,29.28,8814234
2021-08-17,29.15,29.18,28.77,29.15,6716001
2021-08-18,29.12,29.2,28.91,29.06,7270211
2021-08-19,29.12,29.59,29.1,29.41,5555145
2021-08-20,29.37,29.79,29.21,29.75,9351480
2021-08-23,29.64,29.81,29.43,29.57,5167632
2021-08-24,29.61,29.61,29.24,29.48,4648752
2021-08-25,29.44,29.57,29.35,29.47,6828020
2021-08-26,29.53,29.53,29.35,29.4,3746004
2021-08-27,29.46,29.78,29.46,29.59,5314561
2021-08-30,29.55,29.79,29.49,29.68,4157911
2021-08-31,29.59,29.65,29.4,29.55,8694503
2021-09-01,29.6,29.94,29.49,29.9,5718758
2021-09-02,29.91,30.34,29.87,30.2,7090054
2021-09-03,30.0,30.26,29.82,30.03,4956491
2021-09-07,29.96,30.08,29.76,29.84,6870080
2021-09-08,29.85,30.51,29.73,30.35,7435787
2021-09-09,30.22,30.51,30.12,30.28,6785119
2021-09-10,30.36,30.46,30.06,30.08,8207729
2021-09-13,30.39,30.73,30.26,30.47,9061827
2021-09-14,30.73,30.73,30.26,30.37,8252452
2021-09-15,30.37,30.7,30.17,30.65,10880081
2021-09-16,30.55,30.58,30.22,30.25,8198475
2021-09-17,30.26,30.6,29.87,30.05,18571172
2021-09-20,29.99,30.26,29.56,29.96,8676978
2021-09-21,29.96,30.02,29.53,29.55,6820029
2021-09-22,29.72,29.94,29.47,29.76,6990652
2021-09-23,29.76,30.3,29.64,29.93,5726329
2021-09-24,29.79,30.05,29.59,29.68,5457846
2021-09-27,29.72,30.02,29.43,29.47,6415412
2021-09-28,29.29,29.46,29.01,29.05,7478969
2021-09-29,29.09,29.49,28.98,29.31,7890316
2021-09-30,29.32,29.46,28.96,29.14,9699457
2021-10-01,29.18,29.35,28.76,28.8,7948639
2021-10-04,28.76,29.2,28.67,29.14,10789091
2021-10-05,29.24,29.47,28.91,29.14,8354798
2021-10-06,28.99,29.61,28.79,29.6,7043928
2021-10-07,29.66,29.73,29.28,29.36,6942283
2021-10-08,29.36,29.47,29.09,29.14,4670763
2021-10-11,29.18,29.18,28.63,28.67,4388961
2021-10-12,28.76,29.21,28.67,29.11,6209458
2021-10-13,29.18,29.61,29.04,29.58,7502663
2021-10-14,29.7,30.28,29.61,30.22,8709645
2021-10-15,30.28,30.53,30.0,30.02,8107766
2021-10-18,29.79,30.11,29.64,30.07,5260725
2021-10-19,30.2,30.37,30.07,30.33,4798205
2021-10-20,30.33,30.91,30.3,30.87,5985418
2021-10-21,30.67,30.9,30.62,30.78,4279465
2021-10-22,30.88,31.05,30.79,30.93,4799887
2021-10-25,30.87,31.24,30.79,31.1,4730628
2021-10-26,31.22,31.52,31.11,31.35,5232544
2021-10-27,31.26,31.52,31.06,31.33,5983596
2021-10-28,31.34,31.82,31.32,31.79,7313393
2021-10-29,31.75,32.27,31.7,32.06,9314888
2021-11-01,31.96,32.57,31.69,32.48,8144639
2021-11-02,32.52,32.66,32.19,32.39,8233806
2021-11-03,32.57,32.97,32.22,32.58,7172492
2021-11-04,32.56,32.66,32.25,32.61,8786334
2021-11-05,32.65,32.94,32.59,32.63,6544256
2021-11-08,32.61,32.69,31.72,32.02,7094400
2021-11-09,32.1,32.67,32.02,32.6,7800167
2021-11-10,32.57,32.86,32.42,32.82,5144499
2021-11-11,32.78,32.99,32.55,32.97,6128703
2021-11-12,32.96,33.24,32.88,33.02,7941489
2021-11-15,33.05,33.26,32.8,33.24,4804374
2021-11-16,33.26,33.3,32.89,32.93,5146041
2021-11-17,32.86,32.95,32.37,32.52,9369566
2021-11-18,32.44,32.7,32.29,32.5,6243386
2021-11-19,32.51,32.66,32.3,32.54,6107673
2021-11-22,32.54,33.14,32.5,32.75,6248994
2021-11-23,32.64,33.07,32.64,33.01,4952144
