Date,Open,High,Low,Close,Volume
2021-09-27,140.79,141.95,138.07,138.12,700400
2021-09-28,137.1,140.14,135.98,139.64,788100
2021-09-29,140.2,141.25,139.61,140.18,425800
2021-09-30,140.93,141.24,136.73,136.91,808300
2021-10-01,137.97,138.7,136.02,137.68,514300
2021-10-04,137.36,138.57,135.78,137.16,633300
2021-10-05,137.81,137.91,135.91,136.83,447900
2021-10-06,136.35,139.13,135.26,138.98,447500
2021-10-07,139.79,141.81,139.69,140.53,585100
2021-10-08,140.38,141.32,139.25,139.42,336300
2021-10-11,138.83,140.58,138.27,140.49,529200
2021-10-12,141.56,145.06,141.04,143.97,563000
2021-10-13,144.09,146.7,143.64,146.5,470900
2021-10-14,147.41,149.87,146.89,149.71,483600
2021-10-15,150.44,150.57,148.35,149.12,757300
2021-10-18,148.38,150.52,148.33,150.09,595200
2021-10-19,150.5,150.74,149.14,149.52,380100
2021-10-20,149.63,151.15,149.52,150.76,408500
2021-10-21,151.46,151.46,150.27,150.87,310600
2021-10-22,151.51,152.74,151.11,151.53,528300
2021-10-25,151.87,153.81,151.07,153.6,355300
2021-10-26,153.47,153.47,151.91,152.63,381900
2021-10-27,153.13,153.13,149.39,149.84,564400
2021-10-28,149.55,158.06,149.55,157.78,802200
2021-10-29,157.41,161.66,156.5,160.85,1310800
2021-11-01,161.22,161.22,156.66,160.62,551000
2021-11-02,161.33,165.29,161.12,164.66,763400
2021-11-03,165.34,166.25,160.4,162.52,623400
2021-11-04,162.52,164.37,161.24,162.08,413200
2021-11-05,162.62,163.0,156.91,158.6,570300
2021-11-08,159.74,160.98,157.41,160.9,433600
2021-11-09,160.9,162.36,160.11,161.13,413800
2021-11-10,161.02,162.27,160.47,160.67,409400
2021-11-11,160.67,161.84,159.77,161.68,278400
2021-11-12,161.69,162.96,160.2,161.33,401300
2021-11-15,161.33,162.99,159.66,162.94,445800
2021-11-16,163.11,163.38,160.38,162.0,586200
2021-11-17,161.77,164.32,159.12,164.03,596100
2021-11-18,164.68,166.67,164.41,165.69,811300
2021-11-19,165.99,166.86,163.92,164.76,805800
2021-11-22,165.6,165.6,162.36,162.91,540900
2021-11-23,162.91,164.7,161.72,163.31,959100
2021-11-24,163.31,166.81,162.47,166.52,524000
