Date,Open,High,Low,Close,Volume
2021-09-07,9.41,9.56,9.39,9.5,64008900
2021-09-08,9.51,9.69,9.47,9.56,57980900
2021-09-09,9.5,9.5,9.33,9.36,68806400
2021-09-10,9.42,9.48,9.28,9.3,48792500
2021-09-13,9.36,9.53,9.25,9.53,62270800
2021-09-14,9.48,9.58,9.38,9.43,47640800
2021-09-15,9.45,9.72,9.39,9.69,60282100
2021-09-16,9.67,9.92,9.61,9.83,76426100
2021-09-17,9.83,10.05,9.82,9.94,76182400
2021-09-20,9.58,9.67,9.26,9.4,126152200
2021-09-21,9.45,9.51,9.28,9.36,60473100
2021-09-22,9.47,9.82,9.47,9.7,75784000
2021-09-23,9.79,10.08,9.77,10.05,68708100
2021-09-24,10.02,10.22,10.0,10.11,57440200
2021-09-27,10.19,10.48,10.18,10.38,68769700
2021-09-28,10.73,10.8,10.44,10.49,107090900
2021-09-29,10.6,10.63,10.39,10.49,56805500
2021-09-30,10.46,10.5,10.33,10.38,78820500
2021-10-01,10.46,10.54,10.27,10.38,51880900
2021-10-04,10.46,10.85,10.43,10.52,78332500
2021-10-05,10.59,10.59,10.35,10.48,55915800
2021-10-06,10.37,10.52,10.19,10.35,61020300
2021-10-07,10.52,10.96,10.49,10.92,96557500
2021-10-08,10.94,11.36,10.89,11.09,99468900
2021-10-11,11.15,11.26,10.98,11.07,45302300
2021-10-12,11.08,11.5,11.01,11.47,89134000
2021-10-13,11.43,11.51,11.2,11.37,63363500
2021-10-14,11.45,11.45,11.27,11.33,50875100
2021-10-15,11.4,11.76,11.4,11.51,77211800
2021-10-18,11.42,11.48,11.36,11.41,48643800
2021-10-19,11.44,11.51,11.27,11.31,44668300
2021-10-20,11.32,11.85,11.27,11.76,105213700
2021-10-21,11.85,12.25,11.83,12.14,95855000
2021-10-22,12.04,12.13,11.9,11.94,60646800
2021-10-25,12.03,12.1,11.59,11.73,67808000
2021-10-26,11.8,11.89,11.51,11.69,64882300
2021-10-27,11.58,11.67,11.37,11.37,96094300
2021-10-28,12.36,12.89,12.25,12.36,215237600
2021-10-29,12.36,12.73,12.14,12.53,100560700
2021-11-01,12.83,13.18,12.52,13.16,125246500
2021-11-02,13.31,13.34,13.0,13.21,115146200
2021-11-03,13.14,13.81,13.11,13.66,104755500
2021-11-04,13.87,14.3,13.73,14.24,157505500
2021-11-05,14.45,14.46,13.93,14.15,122232200
2021-11-08,14.23,14.97,14.11,14.78,153490400
2021-11-09,15.04,15.04,14.23,14.75,164928500
2021-11-10,14.58,15.01,13.98,14.2,229109600
2021-11-11,14.4,14.55,14.12,14.34,96436500
2021-11-12,14.21,14.39,14.09,14.3,77837900
2021-11-15,14.27,14.63,14.04,14.56,84838600
2021-11-16,14.59,14.71,14.32,14.51,66557200
2021-11-17,14.48,14.67,14.26,14.64,80855200
2021-11-18,14.86,14.93,14.27,14.42,111368800
2021-11-19,14.48,14.5,14.18,14.29,64610400
2021-11-22,14.29,15.32,14.23,15.09,137861700
2021-11-23,15.06,15.13,14.72,14.89,90984500
