Date,Open,High,Low,Close,Volume
2021-07-29,34.99,36.01,34.69,35.9,23065900
2021-07-30,35.56,36.18,34.98,35.56,15910600
2021-08-02,36.08,36.47,34.11,34.18,21801100
2021-08-03,33.96,34.36,33.3,34.2,17245400
2021-08-04,33.97,34.22,33.25,33.27,11763600
2021-08-05,32.98,34.01,32.96,33.46,10531000
2021-08-06,34.2,34.78,33.66,34.4,13856000
2021-08-09,33.9,34.39,33.47,34.03,9479600
2021-08-10,34.25,35.9,34.1,35.67,17807400
2021-08-11,35.94,36.59,35.34,36.15,16883100
2021-08-12,35.95,36.0,35.04,35.83,11489500
2021-08-13,35.93,36.12,35.48,35.56,12872600
2021-08-16,34.38,34.65,33.72,34.38,13430700
2021-08-17,33.5,33.55,31.79,32.4,23492800
2021-08-18,31.86,32.3,31.58,31.62,18157900
2021-08-19,30.44,30.6,29.54,30.26,32408600
2021-08-20,30.52,30.94,30.05,30.61,21881100
2021-08-23,31.45,32.11,31.39,31.92,16189600
2021-08-24,32.62,33.03,32.48,32.86,15470700
2021-08-25,32.9,33.09,32.3,32.77,9923500
2021-08-26,32.54,32.92,32.16,32.24,11336100
2021-08-27,32.54,34.37,32.54,34.13,18805800
2021-08-30,34.79,34.87,34.11,34.2,13357900
2021-08-31,34.11,34.28,33.16,33.96,16216100
2021-09-01,33.35,33.87,32.7,33.5,16478200
2021-09-02,33.73,34.25,33.59,33.85,10981300
2021-09-03,33.7,34.09,33.52,33.73,12687100
2021-09-07,33.57,34.22,33.55,33.94,10296400
2021-09-08,33.71,33.72,32.07,32.08,18265700
2021-09-09,32.21,32.99,32.2,32.49,12518800
2021-09-10,32.92,34.16,32.86,33.11,22605900
2021-09-13,33.38,33.49,32.26,32.94,13867400
2021-09-14,32.82,33.01,32.34,32.47,14925200
2021-09-15,32.8,34.34,32.8,34.29,18871400
2021-09-16,33.18,33.2,31.48,32.01,35807800
2021-09-17,31.98,32.27,30.4,30.85,37559800
2021-09-20,28.71,29.48,28.48,29.09,38463200
2021-09-21,29.35,29.4,28.02,28.45,35686600
2021-09-22,29.49,30.11,29.37,29.46,28813500
2021-09-23,29.84,30.22,29.56,29.97,20270400
2021-09-24,29.58,30.51,29.58,30.09,15164300
2021-09-27,30.13,31.69,30.13,31.65,22469300
2021-09-28,31.75,31.78,30.62,31.33,19761000
2021-09-29,31.53,31.76,30.72,30.9,12717000
2021-09-30,30.37,31.51,30.36,30.36,23041700
2021-10-01,30.71,30.89,29.74,30.65,16091200
2021-10-04,31.14,31.48,30.27,30.53,20137600
2021-10-05,30.51,30.58,29.63,30.05,20005300
2021-10-06,29.71,30.03,28.87,29.6,22783900
2021-10-07,30.57,32.19,30.44,32.03,37035100
2021-10-08,32.29,32.68,31.64,31.85,17625300
2021-10-11,32.95,34.13,32.86,32.88,27084300
2021-10-12,32.71,33.11,32.14,32.3,21591600
2021-10-13,32.79,33.92,32.28,33.43,26459800
2021-10-14,34.6,35.45,34.19,34.73,28961400
2021-10-15,35.7,36.49,35.18,36.14,30048400
2021-10-18,35.11,36.52,34.97,36.05,23196100
2021-10-19,36.33,36.43,35.75,36.34,16543100
2021-10-20,36.14,36.55,35.62,36.41,14281700
2021-10-21,35.58,36.04,34.37,35.93,19571900
2021-10-22,35.51,36.3,34.8,35.23,19058200
2021-10-25,35.76,37.07,35.56,36.79,19215100
2021-10-26,36.89,37.1,35.88,36.34,15564400
2021-10-27,35.04,35.82,34.46,34.61,19544200
2021-10-28,35.21,35.75,34.75,35.63,13978400
2021-10-29,35.14,35.61,34.78,35.28,16052200
2021-11-01,35.33,36.13,35.17,35.85,10873400
2021-11-02,36.09,36.24,35.45,36.05,14574500
2021-11-03,36.14,36.2,35.09,35.76,17054400
2021-11-04,36.01,36.09,34.37,34.61,16309500
2021-11-05,34.75,34.98,34.39,34.64,12536200
2021-11-08,35.49,37.21,35.45,36.88,25103800
2021-11-09,36.69,37.21,35.68,36.66,16030800
2021-11-10,36.49,37.04,34.86,35.09,24055700
2021-11-11,36.59,38.55,35.79,38.25,39436900
2021-11-12,38.04,38.91,37.75,38.56,18481700
2021-11-15,38.36,38.57,37.6,38.22,13962100
2021-11-16,38.05,38.13,36.91,37.04,19165300
2021-11-17,37.07,37.82,36.16,36.35,19209100
2021-11-18,36.36,36.48,35.25,36.28,17613600
2021-11-19,35.98,36.73,35.63,35.8,18915800
2021-11-22,34.97,36.13,34.51,35.3,19073700
2021-11-23,35.58,36.7,35.47,36.18,15861800
2021-11-24,36.17,36.49,35.76,36.15,13430300
2021-11-26,33.93,34.99,33.02,34.83,21122400
2021-11-29,35.39,35.67,34.23,35.52,17219200
2021-11-30,35.5,36.05,34.13,34.68,27056100
2021-12-01,35.35,36.05,33.84,33.88,19234100
2021-12-02,34.03,34.93,33.6,34.7,18548800
2021-12-03,34.67,35.08,33.31,34.19,20762700
2021-12-06,34.86,35.44,34.01,34.95,13602900
2021-12-07,35.73,37.05,35.73,36.26,18048200
2021-12-08,36.34,36.76,35.78,36.21,14213800
2021-12-09,35.66,36.32,35.48,35.98,11526700
2021-12-10,36.46,36.66,35.43,35.89,10018500
2021-12-13,36.11,36.36,34.82,35.19,11557800
2021-12-14,35.13,36.27,34.97,35.5,12609600
2021-12-15,34.85,35.04,33.46,34.84,23245200
2021-12-16,35.92,36.67,35.62,35.8,17549100
2021-12-17,35.78,36.18,35.12,35.54,19628600
2021-12-20,34.65,35.2,34.33,35.0,13373700
2021-12-21,35.71,36.84,35.61,36.64,13560800
2021-12-22,36.65,37.57,36.48,37.54,13244500
2021-12-23,37.34,38.62,37.26,38.47,17727500
2021-12-27,38.35,39.32,38.0,39.27,11409000
2021-12-28,39.09,39.51,38.94,39.27,10835200
2021-12-29,38.99,39.48,38.74,39.26,14596200
2021-12-30,39.34,40.0,38.88,38.93,12001000
2021-12-31,38.94,39.25,38.7,39.03,8793200
2022-01-03,38.8,39.33,38.62,38.8,12658000
2022-01-04,39.11,39.75,38.78,39.42,14448600
2022-01-05,39.46,40.89,38.83,38.98,22270600
2022-01-06,38.8,39.19,37.67,37.91,16145800
2022-01-07,38.35,39.38,37.83,39.17,16974600
2022-01-10,38.92,39.16,38.05,38.93,12066900
2022-01-11,39.12,40.24,38.63,40.21,17291600
2022-01-12,42.08,42.51,41.3,42.23,28622600
2022-01-13,41.76,42.85,41.51,41.6,22954000
2022-01-14,40.63,41.72,40.41,41.36,19204600
2022-01-18,41.2,43.35,40.75,41.56,25895000
2022-01-19,42.27,42.7,41.34,41.36,18064400
2022-01-20,41.8,42.13,40.45,40.53,17598500
2022-01-21,39.98,40.1,38.19,38.46,24839300
2022-01-24,37.15,37.59,35.16,37.5,30985600
2022-01-25,36.9,37.4,35.68,37.19,27054500
2022-01-26,37.13,38.3,35.41,36.06,24866900
2022-01-27,36.04,36.64,34.48,34.81,24521300
2022-01-28,34.18,34.23,32.79,33.82,30157400
2022-01-31,33.76,34.96,33.44,34.93,20213700
2022-02-01,35.85,36.68,35.21,36.62,22363000
2022-02-02,36.63,37.4,35.99,36.96,19673300
2022-02-03,36.31,36.71,35.65,35.85,16367000
2022-02-04,35.69,36.44,35.39,36.05,15184300
2022-02-07,36.05,37.0,35.84,36.5,13817400
2022-02-08,36.76,38.19,36.58,38.13,18641700
2022-02-09,38.85,41.1,38.73,40.88,26474800
2022-02-10,40.22,42.75,40.16,41.2,29329400
2022-02-11,39.98,41.46,39.72,40.16,23462800
2022-02-14,40.12,40.35,39.19,39.83,17130400
2022-02-15,39.88,41.0,39.26,40.98,15759100
2022-02-16,40.91,41.7,40.86,41.52,11736000
2022-02-17,41.25,41.49,40.31,40.55,12251700
2022-02-18,40.7,41.15,40.14,40.37,15846700
2022-02-22,40.36,40.77,39.22,39.75,14429600
2022-02-23,39.93,40.53,39.46,39.84,13945700
2022-02-24,38.83,41.22,38.71,41.03,20397700
2022-02-25,41.15,43.51,41.05,43.49,29087900
2022-02-28,43.26,44.5,43.18,44.06,23876900
2022-03-01,44.58,46.5,44.26,44.96,27302500
2022-03-02,45.2,45.78,44.52,45.19,19132900
2022-03-03,45.75,46.09,44.5,46.07,22678700
