Date,Open,High,Low,Close,Volume
2021-09-09,364.73,366.01,363.02,363.43,99000
2021-09-10,365.78,367.06,362.22,363.85,90700
2021-09-13,365.91,367.3,359.3,362.49,134400
2021-09-14,362.49,368.18,362.02,363.6,144600
2021-09-15,364.79,364.85,361.0,363.62,139100
2021-09-16,364.51,365.62,361.8,362.12,170900
2021-09-17,362.76,363.64,355.19,358.39,513800
2021-09-20,352.6,357.33,349.99,354.85,150400
2021-09-21,355.37,357.29,350.77,351.63,131800
2021-09-22,352.27,356.04,347.86,354.77,122100
2021-09-23,357.21,357.3,353.38,353.89,140700
2021-09-24,353.89,356.23,351.91,353.21,271200
2021-09-27,350.85,353.75,348.88,349.74,296300
2021-09-28,361.47,366.79,356.27,363.17,404800
2021-09-29,366.72,378.05,365.73,373.8,276000
2021-09-30,377.84,379.53,374.05,374.05,216000
2021-10-01,376.72,376.72,368.22,373.44,199400
2021-10-04,372.78,377.67,368.61,375.79,222400
2021-10-05,379.0,383.36,374.72,375.91,207400
2021-10-06,373.91,376.01,371.06,374.09,254800
2021-10-07,376.56,380.64,374.34,380.57,277700
2021-10-08,380.89,381.61,375.95,380.07,186800
2021-10-11,378.19,388.2,378.19,383.88,131200
2021-10-12,384.68,392.06,382.99,389.29,221400
2021-10-13,392.09,393.92,386.49,388.22,135900
2021-10-14,389.48,394.7,389.48,392.89,145300
2021-10-15,393.29,396.63,392.41,393.11,158100
2021-10-18,393.1,395.13,390.87,393.97,165900
2021-10-19,393.92,400.36,393.92,400.18,133600
2021-10-20,400.68,402.49,394.41,399.2,150000
2021-10-21,400.47,407.64,398.99,404.57,200600
2021-10-22,404.58,408.34,402.1,408.34,190000
2021-10-25,408.54,415.0,405.34,410.05,169700
2021-10-26,412.16,417.4,410.17,412.5,254800
2021-10-27,411.66,415.72,408.97,409.19,198600
2021-10-28,410.72,415.97,410.41,415.75,155300
2021-10-29,415.82,421.64,412.98,420.59,301200
2021-11-01,419.66,421.15,405.85,411.99,185100
2021-11-02,412.71,418.22,411.32,413.09,249900
2021-11-03,413.64,418.54,409.98,417.12,248700
2021-11-04,416.9,421.42,415.17,420.26,204900
2021-11-05,421.73,424.88,420.83,423.44,197000
2021-11-08,424.57,425.8,415.89,424.45,238200
2021-11-09,425.26,425.94,419.91,422.38,201400
2021-11-10,422.16,429.17,420.96,425.03,226800
2021-11-11,425.03,434.03,424.92,432.82,237000
2021-11-12,432.09,435.21,429.79,432.69,123000
2021-11-15,433.16,439.28,429.65,438.66,189200
2021-11-16,438.23,440.15,435.55,436.7,171000
2021-11-17,436.21,438.27,431.39,436.97,167100
2021-11-18,439.16,442.77,436.83,437.42,137300
2021-11-19,437.61,439.6,433.33,436.99,196800
2021-11-22,435.04,439.49,431.07,431.85,178500
2021-11-23,432.58,440.81,428.91,440.6,214600
2021-11-24,437.39,445.68,436.59,444.44,137000
2021-11-26,440.26,444.16,432.06,434.42,119900
2021-11-29,437.85,447.75,437.83,445.58,157600
2021-11-30,444.19,449.54,440.36,444.77,497900
2021-12-01,450.41,450.87,438.69,439.31,256200
2021-12-02,441.28,447.28,439.03,446.54,235400
2021-12-03,450.08,450.48,434.39,442.69,211500
2021-12-06,445.29,445.29,429.32,436.41,420600
2021-12-07,441.43,448.37,439.51,443.11,248700
2021-12-08,443.48,450.84,440.59,450.37,285600
2021-12-09,449.44,451.87,438.08,439.16,219400
2021-12-10,441.81,443.16,435.88,442.39,231600
2021-12-13,443.99,445.22,438.64,442.84,233000
2021-12-14,441.87,443.81,434.49,438.42,231300
2021-12-15,439.87,446.21,437.86,445.5,235500
2021-12-16,444.81,450.86,444.81,447.45,271600
2021-12-17,446.24,452.55,441.9,449.08,6373100
2021-12-20,447.39,452.09,438.1,447.04,620900
2021-12-21,440.48,450.79,427.17,450.71,572500
2021-12-22,450.68,454.56,433.2,453.17,339600
2021-12-23,453.17,460.82,453.17,455.15,215600
2021-12-27,459.91,463.6,457.75,460.95,187700
2021-12-28,461.75,465.88,460.64,462.95,197600
2021-12-29,464.15,470.23,463.58,464.01,163900
2021-12-30,466.31,467.24,459.86,460.11,227200
2021-12-31,460.11,464.13,458.95,461.32,156600
2022-01-03,459.29,461.77,446.62,451.84,290700
2022-01-04,454.31,455.0,446.52,448.46,363900
2022-01-05,448.72,449.84,427.53,428.36,373900
2022-01-06,427.14,429.13,421.1,426.6,387600
2022-01-07,426.38,427.14,419.17,419.42,263600
2022-01-10,414.91,421.04,409.68,420.41,369300
2022-01-11,419.91,424.83,417.86,421.93,370800
2022-01-12,423.34,429.59,422.34,425.02,210500
2022-01-13,425.42,427.19,411.3,412.04,211500
2022-01-14,410.72,410.72,398.28,405.41,280100
2022-01-18,401.62,409.87,400.1,406.93,334700
2022-01-19,409.37,416.13,407.36,407.68,278500
2022-01-20,413.19,417.87,403.02,403.98,292300
2022-01-21,403.98,406.36,397.65,398.78,207900
2022-01-24,394.78,399.65,384.56,399.59,309000
2022-01-25,395.48,399.07,391.08,393.43,304500
2022-01-26,396.85,398.41,384.39,386.19,229200
2022-01-27,388.57,396.33,383.53,386.17,264100
2022-01-28,385.52,391.35,375.22,391.22,253000
2022-01-31,392.05,400.57,388.83,400.46,277900
2022-02-01,400.58,401.78,394.56,399.92,255700
2022-02-02,400.58,407.98,398.66,406.92,200100
2022-02-03,402.94,403.7,397.76,397.9,141800
2022-02-04,395.98,402.38,393.73,398.93,150700
2022-02-07,398.32,398.32,394.31,396.31,144600
2022-02-08,394.1,398.96,388.08,398.15,286200
2022-02-09,403.48,406.35,395.43,396.37,216900
2022-02-10,390.27,397.11,386.02,387.42,312900
2022-02-11,387.16,390.54,383.26,386.38,329000
2022-02-14,386.5,386.5,374.47,379.71,301300
2022-02-15,384.08,388.02,382.49,387.27,222600
2022-02-16,386.23,393.06,385.05,391.37,238700
2022-02-17,389.51,389.51,382.86,385.07,211100
2022-02-18,386.1,386.44,379.85,382.54,213000
2022-02-22,381.38,385.37,378.15,383.62,235800
2022-02-23,385.37,387.93,373.26,373.98,233100
2022-02-24,366.39,372.89,362.39,372.86,599900
2022-02-25,374.8,387.99,371.73,386.87,318600
2022-02-28,381.08,387.13,380.32,386.27,313000
2022-03-01,386.25,394.97,381.88,391.75,355800
2022-03-02,396.23,401.13,392.89,397.59,284900
2022-03-03,400.07,402.02,391.01,391.55,299000
2022-03-04,389.98,395.91,386.69,392.89,477700
2022-03-07,395.5,399.96,391.48,392.69,450300
2022-03-08,392.57,395.87,383.42,387.29,280400
2022-03-09,392.72,397.35,387.66,394.7,263100
2022-03-10,391.99,394.59,383.25,387.13,231800
2022-03-11,388.96,391.63,386.47,387.88,204300
2022-03-14,392.51,393.94,385.32,388.34,193000
2022-03-15,391.46,397.88,388.62,396.09,241700
2022-03-16,399.41,403.62,390.53,398.78,315900
2022-03-17,399.33,406.72,397.46,406.29,231000
2022-03-18,407.21,418.5,407.14,417.71,440900
2022-03-21,418.25,421.28,410.34,416.16,292300
2022-03-22,415.2,417.64,412.73,414.53,336300
2022-03-23,415.21,415.21,404.73,406.05,446400
2022-03-24,411.13,418.04,396.8,398.92,531200
2022-03-25,400.23,400.45,390.63,393.96,403100
2022-03-28,394.71,411.07,394.21,410.28,411200
2022-03-29,413.11,423.99,413.1,416.0,353400
2022-03-30,413.99,422.32,412.39,418.43,275200
2022-03-31,420.1,422.21,412.15,412.96,292800
2022-04-01,414.12,414.12,403.9,408.17,366400
2022-04-04,408.16,414.32,408.16,412.02,382600
2022-04-05,409.81,420.72,404.81,419.27,418400
2022-04-06,418.52,426.69,418.3,421.02,327500
2022-04-07,419.98,425.42,418.92,422.87,343500
2022-04-08,422.86,424.04,416.3,420.25,384100
2022-04-11,417.75,419.79,409.33,411.04,160900
2022-04-12,411.31,417.07,403.52,404.82,256700
2022-04-13,404.61,407.6,399.5,406.51,225700
2022-04-14,405.02,409.17,399.52,400.04,183300
2022-04-18,399.68,404.18,399.29,401.62,265800
2022-04-19,401.54,413.35,401.54,413.28,245600
2022-04-20,415.62,422.82,414.59,421.75,311600
2022-04-21,422.85,424.0,415.65,417.01,254700
2022-04-22,416.34,417.64,406.21,406.37,303100
2022-04-25,404.72,408.3,396.93,408.1,247900
2022-04-26,406.55,409.07,396.08,396.52,253500
2022-04-27,397.61,405.72,396.03,396.19,232000
2022-04-28,399.11,401.98,392.82,398.9,226600
2022-04-29,395.92,396.9,383.17,383.79,270900
2022-05-02,384.63,384.85,368.56,375.54,331600
2022-05-03,377.53,381.62,375.21,379.72,274600
2022-05-04,379.95,381.99,366.01,379.85,296300
2022-05-05,378.8,380.93,360.87,363.97,267500
2022-05-06,361.03,361.28,355.65,359.71,179700
2022-05-09,355.81,356.61,345.2,346.08,266700
2022-05-10,350.85,352.97,343.63,349.2,273300
2022-05-11,347.39,355.88,347.37,347.93,258100
2022-05-12,346.61,351.53,342.78,348.53,246500
2022-05-13,351.66,358.63,351.61,353.66,260400
2022-05-16,352.77,354.95,346.41,354.27,360200
2022-05-17,357.89,358.77,353.2,355.89,208200
2022-05-18,352.33,352.33,337.46,338.72,196800
2022-05-19,336.15,344.99,336.15,342.83,368400
2022-05-20,345.37,347.49,340.04,346.77,647400
2022-05-23,349.14,355.49,345.41,354.06,276900
2022-05-24,351.47,354.28,346.52,352.7,190700
2022-05-25,350.45,355.69,350.04,352.55,208700
2022-05-26,355.6,361.28,355.0,360.36,155900
2022-05-27,362.82,369.94,362.82,369.94,211500
2022-05-31,369.93,369.93,362.97,364.0,464300
2022-06-01,353.67,367.0,353.67,357.14,278700
2022-06-02,356.83,367.32,356.83,366.6,179900
2022-06-03,361.83,364.33,359.34,361.65,187900
2022-06-06,364.7,365.8,359.74,360.22,131900
2022-06-07,357.7,365.02,357.59,363.82,150900
2022-06-08,361.33,363.58,357.22,358.93,153900
2022-06-09,358.35,361.67,351.88,352.38,228900
2022-06-10,349.89,349.89,344.94,346.03,200300
2022-06-13,337.84,341.2,334.77,336.33,274200
2022-06-14,336.61,337.14,332.78,334.38,278200
2022-06-15,337.41,344.15,333.91,339.29,229600
2022-06-16,332.07,336.28,330.18,332.47,407100
2022-06-17,332.27,337.43,329.81,333.06,488000
2022-06-21,336.41,342.81,336.41,342.06,343500
