Date,Open,High,Low,Close,Volume
2021-09-10,31.27,31.31,30.73,30.75,2157900
2021-09-13,30.95,31.02,30.34,30.54,2923000
2021-09-14,30.72,30.95,30.45,30.56,3568200
2021-09-15,30.46,31.02,30.39,30.84,3260700
2021-09-16,30.87,30.99,30.43,30.44,1646500
2021-09-17,30.44,30.84,29.89,29.97,6896100
2021-09-20,29.85,30.12,29.46,29.8,4107800
2021-09-21,29.89,30.27,29.81,29.9,2535700
2021-09-22,30.1,30.21,29.86,30.07,2076000
2021-09-23,30.2,30.42,29.92,29.98,2694900
2021-09-24,30.02,30.22,29.97,30.05,1759200
2021-09-27,30.05,30.5,29.93,29.96,2055000
2021-09-28,29.98,30.07,29.68,29.72,2451600
2021-09-29,29.74,30.02,29.57,29.62,3864400
2021-09-30,29.64,29.67,29.01,29.06,3379900
2021-10-01,29.27,29.56,29.14,29.25,2482700
2021-10-04,29.24,29.49,29.12,29.38,4279800
2021-10-05,29.49,29.71,29.4,29.55,2194300
2021-10-06,29.42,29.97,29.2,29.93,2487200
2021-10-07,29.96,30.16,29.65,29.72,2576600
2021-10-08,29.63,29.79,29.53,29.55,1701500
2021-10-11,29.39,29.58,29.09,29.18,3828800
2021-10-12,29.32,29.36,29.01,29.14,3478900
2021-10-13,29.02,29.27,28.9,29.08,2711500
2021-10-14,29.15,29.81,29.15,29.8,3248800
2021-10-15,29.83,29.97,29.67,29.88,3098500
2021-10-18,29.76,29.82,29.32,29.51,3850100
2021-10-19,29.68,30.18,29.58,30.08,2560700
2021-10-20,30.19,30.57,30.19,30.46,2565200
2021-10-21,30.37,30.67,30.25,30.38,4926500
2021-10-22,30.38,30.87,30.38,30.8,2843900
2021-10-25,30.86,30.86,30.36,30.49,4238300
2021-10-26,30.54,30.84,30.43,30.76,3343300
2021-10-27,30.82,30.88,30.44,30.67,2280000
2021-10-28,30.69,30.95,30.65,30.92,2497500
2021-10-29,30.69,32.41,30.69,31.44,5722300
2021-11-01,31.49,31.69,31.19,31.66,2577900
2021-11-02,32.47,32.49,31.63,32.06,5162600
2021-11-03,31.96,32.17,31.89,32.02,3515400
2021-11-04,32.01,32.27,31.83,32.06,3194500
2021-11-05,32.21,32.39,32.11,32.2,2536100
2021-11-08,32.65,32.74,31.62,31.74,5992200
2021-11-09,31.8,31.94,31.22,31.56,3939900
2021-11-10,31.54,32.12,31.54,32.11,4022500
2021-11-11,31.97,32.2,31.78,32.16,1927700
2021-11-12,32.16,32.18,31.81,32.14,4223000
2021-11-15,32.29,32.52,32.13,32.51,2264500
2021-11-16,32.53,32.77,32.46,32.62,4172600
2021-11-17,32.59,32.61,31.87,32.2,3281700
2021-11-18,32.14,32.35,31.55,31.82,2799600
2021-11-19,31.83,31.92,31.31,31.75,3108600
2021-11-22,31.75,32.18,31.69,31.92,3038000
2021-11-23,31.99,32.19,31.76,32.09,1737600
2021-11-24,32.11,32.17,31.9,32.06,1406400
2021-11-26,31.69,31.84,31.14,31.24,2624200
2021-11-29,31.48,32.24,31.48,32.18,4180900
2021-11-30,31.94,31.94,31.01,31.03,6638800
2021-12-01,31.36,31.87,31.07,31.09,4125500
2021-12-02,31.23,32.01,31.16,31.83,3669100
2021-12-03,31.97,32.1,31.52,32.01,3338800
2021-12-06,32.14,32.71,31.97,32.35,7268800
2021-12-07,32.35,32.7,32.31,32.52,2666500
2021-12-08,32.63,32.66,32.18,32.47,2148700
2021-12-09,32.43,32.67,32.11,32.47,5132200
2021-12-10,32.63,32.91,32.48,32.65,2560000
2021-12-13,32.63,33.3,32.56,33.1,4960500
2021-12-14,33.07,33.16,32.67,32.95,2583200
2021-12-15,32.95,33.21,32.67,32.91,4207300
2021-12-16,32.92,33.47,32.87,33.22,2555400
2021-12-17,33.16,33.37,32.92,33.03,4627000
2021-12-20,32.75,33.21,32.6,33.19,2452400
2021-12-21,33.38,33.54,33.01,33.16,3064500
2021-12-22,33.16,33.55,33.14,33.39,2041000
2021-12-23,33.43,33.55,33.34,33.4,1861200
2021-12-27,33.34,33.36,32.95,33.33,1560400
2021-12-28,33.35,33.8,33.33,33.78,1877400
2021-12-29,33.84,34.0,33.71,33.94,1285200
2021-12-30,34.04,34.28,33.9,34.08,2386500
2021-12-31,34.04,34.41,34.0,34.27,1266500
2022-01-03,34.29,34.29,33.65,33.98,3168800
2022-01-04,34.01,34.22,33.8,33.85,3451000
2022-01-05,33.78,34.07,33.58,33.62,3626600
2022-01-06,33.64,33.97,33.54,33.74,2275500
2022-01-07,33.94,34.35,33.78,34.13,4266900
2022-01-10,34.01,34.29,33.84,34.22,4782200
2022-01-11,34.24,34.39,33.79,34.08,4580900
2022-01-12,34.01,34.26,33.82,34.13,3404700
2022-01-13,34.06,34.36,33.89,34.27,2929000
2022-01-14,34.23,34.36,33.76,34.26,4173100
2022-01-18,34.08,34.45,33.59,34.27,5393900
2022-01-19,34.27,34.56,34.13,34.13,2880600
2022-01-20,34.24,34.64,34.08,34.14,4221800
2022-01-21,34.22,34.54,33.93,34.06,4916100
2022-01-24,33.89,34.1,33.05,34.04,5155000
2022-01-25,33.7,34.37,33.53,34.05,4603800
2022-01-26,34.01,34.5,33.58,33.92,3776300
2022-01-27,34.16,34.36,33.52,34.0,4677200
2022-01-28,33.89,34.42,33.66,34.41,3484400
2022-01-31,34.12,34.59,34.05,34.58,9046800
2022-02-01,34.48,34.58,33.99,34.45,3301800
2022-02-02,34.36,34.97,34.31,34.88,4465300
2022-02-03,34.8,35.18,34.65,35.11,3887500
2022-02-04,34.9,35.03,34.32,34.4,5192900
2022-02-07,34.39,34.62,34.26,34.47,3943600
2022-02-08,34.63,35.01,34.48,34.9,3492100
2022-02-09,35.06,35.22,34.91,35.11,2888000
2022-02-10,34.89,35.02,34.37,34.45,3557100
2022-02-11,34.92,35.34,34.47,34.57,9063000
2022-02-14,34.61,34.76,32.82,33.88,6496100
2022-02-15,34.17,34.22,33.41,33.63,3998300
2022-02-16,33.62,34.24,33.55,34.17,3793000
2022-02-17,34.04,34.27,33.74,34.2,2736300
2022-02-18,34.18,34.6,33.91,34.08,8212600
2022-02-22,34.15,34.47,33.84,34.06,5141900
2022-02-23,34.08,34.24,32.9,32.95,6703900
2022-02-24,32.83,33.23,32.24,33.14,5794700
2022-02-25,33.49,34.47,33.36,34.4,4016800
2022-02-28,34.21,34.88,34.08,34.81,6363700
2022-03-01,34.81,35.04,34.11,34.37,4481100
2022-03-02,34.47,34.81,34.42,34.66,4114600
2022-03-03,34.76,35.44,34.75,35.28,5149100
2022-03-04,35.1,35.74,34.87,35.66,5619500
2022-03-07,35.75,37.09,35.61,37.07,8965200
2022-03-08,37.06,37.41,36.49,36.85,8186700
2022-03-09,37.11,37.24,36.62,36.66,7068200
2022-03-10,36.43,36.75,36.01,36.62,4788500
2022-03-11,36.56,36.92,36.31,36.57,3358300
2022-03-14,36.98,37.26,36.55,36.8,3816100
2022-03-15,37.08,37.11,36.49,36.75,3182000
2022-03-16,36.69,36.94,35.95,36.49,5056700
2022-03-17,36.56,36.92,36.39,36.64,4743700
2022-03-18,36.62,36.76,35.84,35.88,13233400
2022-03-21,36.02,36.44,36.02,36.26,4794700
2022-03-22,36.47,36.48,35.9,36.22,3355300
2022-03-23,36.22,36.46,35.97,36.19,3325700
2022-03-24,36.09,36.73,36.09,36.52,3017600
2022-03-25,36.6,37.32,36.52,37.29,3397100
2022-03-28,37.29,37.52,36.99,37.5,3105300
2022-03-29,37.5,37.82,37.14,37.81,4210600
2022-03-30,37.83,38.1,37.62,38.09,4380300
2022-03-31,38.12,38.59,38.12,38.14,4439900
2022-04-01,38.06,38.8,37.92,38.75,4140400
2022-04-04,38.47,38.64,38.04,38.52,4379800
2022-04-05,38.65,39.23,38.64,38.79,3189700
2022-04-06,39.01,39.91,38.79,39.86,4386300
2022-04-07,39.88,39.9,39.37,39.49,4722000
2022-04-08,39.7,39.75,39.31,39.48,2320600
2022-04-11,39.44,39.68,38.96,38.99,2847300
2022-04-12,38.87,39.41,38.79,39.21,2405500
2022-04-13,39.26,39.32,38.87,39.22,2347000
2022-04-14,39.41,39.58,39.14,39.42,2745500
2022-04-18,39.37,39.59,39.21,39.33,2022000
2022-04-19,39.55,39.6,39.31,39.51,2815800
2022-04-20,39.9,40.45,39.8,40.3,3605700
2022-04-21,40.2,40.63,40.0,40.02,2659700
2022-04-22,39.41,39.51,38.26,38.27,5208500
2022-04-25,38.42,38.42,37.24,37.79,3751100
2022-04-26,37.9,38.07,37.4,37.41,3254200
2022-04-27,37.64,37.78,36.97,37.21,2863900
2022-04-28,37.28,37.43,36.93,37.21,3159600
2022-04-29,37.11,37.17,35.94,36.02,4623500
2022-05-02,36.19,36.48,35.27,35.71,3137000
2022-05-03,35.92,36.5,35.75,35.88,4073800
2022-05-04,36.18,36.33,35.39,36.3,4545700
2022-05-05,36.23,36.46,35.29,35.65,3315100
2022-05-06,35.36,35.93,35.27,35.82,3307700
2022-05-09,35.67,35.77,35.05,35.39,4689200
2022-05-10,35.41,36.19,34.82,35.29,4817700
2022-05-11,35.31,36.42,35.31,35.55,3922300
2022-05-12,35.39,35.79,34.88,35.42,3475900
2022-05-13,35.7,35.8,35.17,35.67,2609800
2022-05-16,35.34,35.7,34.79,35.04,3238200
2022-05-17,35.13,35.88,34.83,35.86,3368000
2022-05-18,35.98,36.07,35.31,35.47,2780100
2022-05-19,35.41,35.56,34.8,35.26,3599700
2022-05-20,35.37,35.72,34.94,35.56,4034000
2022-05-23,35.91,36.21,35.52,35.83,2402400
2022-05-24,35.9,36.37,35.33,36.3,2954700
2022-05-25,36.29,36.55,36.12,36.23,3128000
2022-05-26,36.43,36.64,36.29,36.35,1936400
2022-05-27,36.31,36.67,36.22,36.45,3037800
2022-05-31,36.14,36.31,35.86,36.05,3537700
2022-06-01,36.09,36.25,35.37,35.72,3210700
2022-06-02,35.87,36.0,34.79,35.53,4794800
2022-06-03,35.4,35.59,35.08,35.15,3234900
2022-06-06,35.25,35.3,35.0,35.1,2941100
2022-06-07,35.04,35.21,34.79,35.15,4140400
2022-06-08,35.07,35.31,34.67,34.73,3824000
2022-06-09,34.78,34.92,34.19,34.22,4500900
2022-06-10,33.76,34.38,33.71,34.07,6761200
2022-06-13,33.72,33.82,32.47,32.64,5725300
2022-06-14,32.69,32.78,31.78,32.22,6034700
2022-06-15,32.41,32.62,30.82,31.25,10795200
2022-06-16,31.06,31.06,30.3,30.49,4953300
2022-06-17,30.56,30.6,29.64,30.14,8361800
2022-06-21,30.14,30.47,29.91,30.19,10017200
2022-06-22,30.11,30.63,30.08,30.4,5332900
2022-06-23,30.6,31.06,30.43,31.02,3652800
2022-06-24,31.13,31.61,30.98,31.29,4496200
2022-06-27,31.31,32.11,31.25,32.02,3275200
2022-06-28,32.21,32.48,31.7,31.71,2223800
