Date,Open,High,Low,Close,Volume
2021-07-12,75.45,76.34,75.17,76.21,69600
2021-07-13,75.54,76.8,74.82,75.25,87100
2021-07-14,75.52,76.1,74.34,74.6,78400
2021-07-15,73.79,74.75,73.22,73.72,97800
2021-07-16,74.44,74.88,71.73,71.87,162200
2021-07-19,70.45,72.0,69.7,70.84,125800
2021-07-20,70.76,74.51,70.54,73.46,206300
2021-07-21,74.16,75.14,74.16,74.64,67400
2021-07-22,74.12,74.62,72.41,72.55,72100
2021-07-23,73.18,74.01,72.19,73.78,80300
2021-07-26,74.22,74.64,73.06,73.38,59700
2021-07-27,72.59,73.47,71.89,72.8,107800
2021-07-28,73.68,73.97,71.75,72.7,105500
2021-07-29,70.83,73.59,68.96,73.28,227000
2021-07-30,72.88,73.72,72.67,73.17,161100
2021-08-02,73.24,74.81,71.3,71.55,169300
2021-08-03,71.45,73.33,70.04,73.3,230000
2021-08-04,72.53,74.05,72.24,72.55,200300
2021-08-05,73.26,74.03,72.74,73.95,157600
2021-08-06,74.63,75.5,74.22,74.65,140900
2021-08-09,74.39,75.99,73.97,74.65,141000
2021-08-10,74.65,75.78,74.51,75.67,118200
2021-08-11,76.25,76.95,75.58,76.06,136100
2021-08-12,76.07,76.38,74.45,75.52,96300
2021-08-13,75.71,75.71,74.55,74.78,47600
2021-08-16,74.14,75.41,73.57,75.0,119400
2021-08-17,74.22,74.24,72.52,73.41,129100
2021-08-18,73.39,74.23,72.58,72.66,67800
2021-08-19,71.76,72.89,71.28,71.83,104500
2021-08-20,71.54,73.27,71.54,72.92,102300
2021-08-23,73.51,74.78,72.31,74.24,93600
2021-08-24,74.18,74.99,73.6,74.2,75400
2021-08-25,74.08,75.11,73.75,73.75,86500
2021-08-26,73.54,73.76,72.03,72.58,80300
2021-08-27,72.76,75.36,72.76,74.48,168300
2021-08-30,74.79,75.18,74.09,74.19,69500
2021-08-31,74.51,75.0,73.57,74.49,176300
2021-09-01,74.46,74.46,72.3,73.25,130100
2021-09-02,73.96,75.38,73.23,74.88,72400
2021-09-03,74.35,74.98,73.77,74.96,77800
2021-09-07,74.53,74.7,73.05,73.05,101200
2021-09-08,72.77,73.41,71.84,72.16,128600
2021-09-09,71.76,72.18,71.16,71.3,104700
2021-09-10,71.65,72.24,70.18,70.29,116600
2021-09-13,70.58,71.33,69.39,70.4,152300
2021-09-14,70.84,70.84,68.02,68.22,103700
2021-09-15,68.03,69.53,67.73,69.09,144700
2021-09-16,69.09,69.53,68.17,68.43,96800
2021-09-17,68.84,70.08,67.07,68.14,480000
2021-09-20,66.57,68.92,66.57,68.45,156300
2021-09-21,68.77,68.77,67.18,67.78,122900
2021-09-22,68.12,69.94,68.12,68.76,122800
2021-09-23,69.55,71.65,69.55,71.06,164000
2021-09-24,71.01,71.67,70.63,70.75,126400
2021-09-27,70.82,73.05,70.82,72.65,127000
2021-09-28,72.86,72.86,70.69,70.73,151700
2021-09-29,71.03,72.12,70.11,71.55,265100
2021-09-30,72.16,72.54,69.71,69.92,123000
2021-10-01,70.18,72.96,69.64,72.6,160600
2021-10-04,72.43,74.17,72.04,73.8,166800
2021-10-05,74.19,75.61,73.5,75.02,171000
2021-10-06,74.19,75.65,72.57,75.24,122100
2021-10-07,76.1,77.0,75.85,76.55,149500
2021-10-08,76.54,77.03,75.68,76.92,87900
2021-10-11,76.92,77.67,76.28,76.56,99900
2021-10-12,76.53,77.5,76.12,76.83,120300
2021-10-13,77.24,77.71,75.66,76.94,81500
2021-10-14,77.7,79.87,77.7,79.75,101100
2021-10-15,81.18,81.18,78.71,78.8,209000
2021-10-18,78.31,79.58,78.23,79.12,123700
2021-10-19,79.42,80.05,78.24,79.5,90000
2021-10-20,79.41,80.52,78.59,80.52,75600
2021-10-21,80.34,82.38,79.93,81.52,189000
2021-10-22,81.58,83.45,81.1,82.51,107300
2021-10-25,82.74,84.2,82.39,83.97,136800
2021-10-26,84.31,84.6,82.62,83.84,92900
2021-10-27,83.64,84.61,80.96,81.21,155400
2021-10-28,81.67,88.91,81.31,87.35,275100
2021-10-29,88.12,90.04,87.98,89.67,239500
2021-11-01,90.0,91.85,89.44,90.75,177900
2021-11-02,90.96,93.08,89.96,92.28,127500
2021-11-03,91.91,93.82,91.11,93.5,132500
2021-11-04,93.74,94.65,91.84,92.24,218400
2021-11-05,93.77,97.57,93.56,97.07,139400
2021-11-08,98.47,99.31,96.75,97.13,117200
2021-11-09,96.94,98.0,96.18,97.13,102600
2021-11-10,96.62,98.14,95.7,96.3,99100
2021-11-11,96.26,98.31,95.99,97.49,81000
2021-11-12,97.74,98.85,97.43,98.05,87600
2021-11-15,98.92,99.14,98.13,98.8,106800
2021-11-16,98.8,100.77,98.8,100.34,94700
2021-11-17,100.37,101.4,98.81,100.46,137700
2021-11-18,100.65,101.29,98.69,100.92,121100
2021-11-19,99.64,101.82,99.26,99.93,129600
2021-11-22,100.5,101.83,100.13,100.65,102300
2021-11-23,100.52,101.52,99.81,100.61,98600
2021-11-24,100.05,101.05,99.77,100.27,48800
2021-11-26,96.46,98.6,94.27,96.48,101700
2021-11-29,98.18,98.18,95.51,96.06,143700
2021-11-30,94.99,95.68,92.45,93.13,245400
2021-12-01,95.77,96.63,91.99,92.01,177300
2021-12-02,93.21,95.6,92.01,93.58,251600
2021-12-03,94.53,94.63,90.78,92.82,121700
2021-12-06,94.59,95.38,93.03,94.53,104400
2021-12-07,94.59,96.45,94.59,95.37,87700
2021-12-08,96.02,96.65,94.46,96.24,75900
2021-12-09,95.34,95.74,94.48,94.78,97100
2021-12-10,95.16,95.61,93.75,95.06,124600
2021-12-13,94.91,95.36,93.67,94.85,143500
2021-12-14,94.67,95.25,92.93,94.19,261400
2021-12-15,94.06,96.98,92.43,96.91,232200
2021-12-16,97.5,97.5,93.98,94.91,239500
2021-12-17,93.6,95.38,92.48,93.23,485800
2021-12-20,91.84,92.15,89.33,91.55,177800
2021-12-21,92.54,95.32,92.05,95.03,107200
2021-12-22,95.38,96.14,94.76,96.14,87600
2021-12-23,96.38,97.39,95.19,97.02,158400
2021-12-27,97.18,99.08,96.5,99.08,97600
2021-12-28,98.66,99.3,97.55,97.56,119900
2021-12-29,97.85,98.44,97.26,97.76,84300
2021-12-30,98.19,99.46,96.44,96.53,82600
2021-12-31,96.66,97.65,96.57,97.12,57800
2022-01-03,97.61,98.49,95.71,96.31,190300
2022-01-04,96.55,98.62,96.32,97.45,171800
2022-01-05,97.09,97.7,93.83,93.83,126200
2022-01-06,94.86,96.46,93.09,96.05,95400
2022-01-07,95.67,95.87,93.05,94.11,224900
2022-01-10,93.4,94.38,92.28,94.19,136100
2022-01-11,94.02,95.3,91.85,95.22,156000
2022-01-12,95.22,96.49,94.87,95.93,229100
2022-01-13,96.77,96.77,95.55,96.11,151600
2022-01-14,94.83,95.6,93.73,95.16,135400
2022-01-18,93.81,94.42,90.63,91.48,182000
2022-01-19,92.24,92.24,88.21,88.49,198400
2022-01-20,89.36,91.68,88.95,89.68,231200
2022-01-21,89.26,90.85,86.29,86.6,202600
2022-01-24,85.18,88.83,83.98,88.45,219700
2022-01-25,86.85,87.87,83.62,86.64,165000
2022-01-26,88.15,89.04,83.62,84.87,137700
2022-01-27,85.0,88.15,83.26,83.8,135500
2022-01-28,83.43,85.92,82.29,85.78,246300
2022-01-31,85.43,88.17,85.29,88.13,273000
2022-02-01,88.35,88.83,86.64,87.34,319100
2022-02-02,87.96,88.28,84.93,85.53,284900
2022-02-03,84.49,85.2,83.32,83.66,230500
2022-02-04,83.44,83.89,82.16,83.02,148700
2022-02-07,83.14,84.14,82.95,83.33,142500
2022-02-08,83.51,85.61,83.51,84.34,161400
2022-02-09,85.66,88.34,84.66,87.88,184600
2022-02-10,86.15,87.99,84.9,85.58,117400
2022-02-11,85.74,86.6,83.86,85.21,108200
2022-02-14,85.36,86.48,84.19,85.68,157200
2022-02-15,86.98,88.38,86.35,87.9,115000
2022-02-16,87.39,89.49,87.19,88.47,183000
2022-02-17,87.53,88.26,86.0,86.36,111400
2022-02-18,86.17,87.02,85.1,86.6,132600
2022-02-22,85.29,86.26,83.72,84.26,124800
2022-02-23,84.54,85.12,82.56,82.84,142300
2022-02-24,78.53,83.17,78.53,81.16,348200
2022-02-25,82.46,85.24,81.03,84.5,147100
2022-02-28,83.21,84.87,82.84,84.4,237300
2022-03-01,84.42,84.99,81.38,82.0,308400
2022-03-02,83.03,86.07,83.03,85.24,92500
2022-03-03,86.07,86.52,83.62,84.18,98100
2022-03-04,82.8,84.26,82.54,83.44,137200
2022-03-07,83.24,84.14,82.31,82.45,106600
2022-03-08,82.34,84.92,81.8,84.42,411100
2022-03-09,85.9,87.87,85.39,87.77,163700
2022-03-10,85.88,89.1,85.88,88.99,136100
2022-03-11,89.4,90.88,88.71,89.24,116200
2022-03-14,89.75,89.97,87.99,89.14,111600
2022-03-15,90.06,90.09,87.92,89.58,174600
2022-03-16,90.25,90.99,88.35,90.36,143300
2022-03-17,90.01,91.51,89.32,90.93,99200
2022-03-18,91.01,91.1,89.73,90.77,305400
2022-03-21,90.79,91.5,89.19,91.42,126400
2022-03-22,91.99,93.03,91.12,92.93,243800
2022-03-23,92.02,93.24,89.48,89.62,338400
2022-03-24,89.31,89.39,84.66,86.34,201700
2022-03-25,86.64,87.11,85.52,86.6,108700
2022-03-28,86.28,86.72,85.15,86.72,106000
2022-03-29,88.04,90.09,88.04,89.58,126900
2022-03-30,89.68,90.15,88.08,88.47,109900
2022-03-31,88.28,89.37,87.36,87.5,143600
2022-04-01,87.97,88.84,86.96,88.6,170200
2022-04-04,88.98,88.98,86.62,88.28,125400
2022-04-05,88.23,88.3,87.02,87.39,154100
2022-04-06,86.52,87.34,85.21,85.99,194200
2022-04-07,85.7,86.75,85.22,86.27,183500
2022-04-08,86.12,86.8,85.21,85.52,110500
2022-04-11,85.46,86.51,84.92,85.23,113100
2022-04-12,86.26,87.89,85.78,86.26,84900
2022-04-13,86.35,87.67,86.15,87.31,64500
2022-04-14,87.65,88.24,86.89,87.07,93000
2022-04-18,86.5,87.68,85.08,85.69,96900
2022-04-19,86.08,88.11,85.87,87.57,128100
2022-04-20,88.77,92.04,88.77,90.12,113100
2022-04-21,91.02,91.27,87.21,87.91,157400
2022-04-22,87.36,87.4,84.99,85.17,141100
2022-04-25,84.35,85.3,82.8,85.27,140500
2022-04-26,84.01,84.99,82.63,82.84,148400
2022-04-27,82.69,85.46,82.69,83.62,140700
2022-04-28,85.77,85.81,81.61,84.56,137800
2022-04-29,83.62,85.12,82.61,82.99,129500
2022-05-02,82.79,84.51,80.61,82.59,117600
2022-05-03,83.18,84.95,82.58,84.22,130100
2022-05-04,84.56,89.0,84.56,88.77,144200
2022-05-05,87.47,87.65,84.22,85.28,134400
2022-05-06,84.85,85.74,82.97,83.77,168900
2022-05-09,82.36,83.66,81.01,81.57,166100
2022-05-10,82.22,83.74,81.13,82.57,156900
2022-05-11,82.63,83.35,79.75,80.2,158600
2022-05-12,80.2,81.92,79.29,81.18,125200
2022-05-13,82.21,84.12,82.21,82.82,98800
2022-05-16,82.6,83.32,81.13,82.8,122000
2022-05-17,84.23,84.75,83.77,84.27,104500
2022-05-18,83.53,86.48,82.04,82.44,248600
2022-05-19,81.29,83.12,80.76,82.05,149500
2022-05-20,83.14,83.66,79.64,81.21,116200
2022-05-23,81.84,83.01,81.17,82.84,166500
2022-05-24,83.85,86.25,83.49,86.14,251500
2022-05-25,85.77,86.62,84.09,85.2,134900
2022-05-26,85.86,87.64,85.76,87.08,122400
2022-05-27,87.38,90.27,87.38,90.2,88800
2022-05-31,89.02,89.8,87.52,88.35,296400
2022-06-01,88.77,88.77,85.8,87.94,137600
2022-06-02,88.28,91.05,87.99,90.59,116900
2022-06-03,89.62,90.1,88.83,89.91,133700
2022-06-06,90.94,91.68,89.68,90.49,135700
2022-06-07,89.32,91.29,89.32,91.15,111000
2022-06-08,90.44,91.03,89.45,90.83,121500
2022-06-09,90.1,91.58,89.93,90.24,96400
2022-06-10,88.3,88.86,86.9,87.84,80800
2022-06-13,84.94,86.24,84.94,85.71,157700
2022-06-14,85.71,86.01,83.63,84.31,97600
2022-06-15,84.67,85.86,81.6,82.59,299400
2022-06-16,80.84,80.84,74.09,74.66,228900
2022-06-17,75.03,78.06,74.13,74.18,296400
2022-06-21,75.24,76.17,73.01,75.14,193400
2022-06-22,74.41,77.19,73.74,76.71,162900
2022-06-23,76.5,78.69,76.5,78.09,142400
2022-06-24,78.74,81.8,78.74,81.75,317900
2022-06-27,82.58,83.38,81.15,82.42,81900
2022-06-28,82.66,83.8,80.92,81.12,355800
2022-06-29,81.54,81.56,78.44,80.01,106400
2022-06-30,78.61,82.61,78.61,81.88,143500
2022-07-01,81.5,83.79,80.52,82.88,125000
2022-07-05,81.23,85.2,80.99,85.07,353900
2022-07-06,84.79,84.79,82.71,83.69,93200
2022-07-07,84.4,86.28,84.4,85.92,79800
2022-07-08,85.76,85.95,84.3,84.7,106900
2022-07-11,84.32,85.22,84.31,84.77,64500
2022-07-12,84.88,85.61,83.11,83.5,99100
2022-07-13,82.22,83.99,81.93,82.81,109200
2022-07-14,81.57,83.09,81.01,82.94,74600
2022-07-15,84.23,84.98,82.71,83.96,91800
2022-07-18,85.22,85.3,82.89,83.01,69500
2022-07-19,83.96,87.52,83.96,87.5,150900
2022-07-20,87.49,88.76,86.87,88.25,98000
2022-07-21,88.28,89.91,87.54,89.89,100300
2022-07-22,90.36,90.83,87.99,89.89,98200
2022-07-25,89.95,90.36,87.93,88.47,165100
2022-07-26,87.99,89.77,87.89,89.49,144400
2022-07-27,89.12,92.3,89.05,91.18,128000
2022-07-28,93.92,97.49,93.78,96.92,303500
2022-07-29,98.24,104.46,97.51,104.05,283200
2022-08-01,103.46,105.16,101.39,103.82,250500
2022-08-02,103.5,103.99,101.27,103.11,186300
2022-08-03,103.4,104.0,100.96,102.89,170600
2022-08-04,103.59,103.59,99.53,100.16,206600
2022-08-05,99.43,101.14,99.18,100.98,204700
2022-08-08,101.92,103.68,101.04,101.82,141500
2022-08-09,101.9,101.9,98.66,99.1,228800
2022-08-10,101.29,102.46,99.96,101.18,225100
2022-08-11,103.07,104.28,101.65,102.8,136600
2022-08-12,104.36,106.86,102.9,106.78,120100
2022-08-15,105.64,107.33,105.16,106.62,104300
2022-08-16,105.89,106.67,105.09,105.9,172000
2022-08-17,104.75,106.62,104.09,105.84,90800
2022-08-18,105.86,106.5,103.98,106.28,121500
2022-08-19,105.41,105.44,102.57,103.58,123200
2022-08-22,101.93,102.54,100.75,101.18,87800
2022-08-23,101.88,103.08,100.07,100.35,174000
2022-08-24,100.32,101.73,100.23,100.87,193400
2022-08-25,100.81,104.09,100.66,103.81,147200
2022-08-26,103.81,104.48,100.38,100.99,157600
2022-08-29,99.9,102.78,99.38,101.34,188500
2022-08-30,101.58,101.58,98.09,98.42,93600
2022-08-31,98.56,100.0,98.56,98.94,102400
2022-09-01,98.39,99.67,97.33,99.58,120200
2022-09-02,100.59,101.42,98.58,99.12,133300
2022-09-06,98.79,98.79,96.51,97.23,151000
2022-09-07,97.75,99.68,97.28,99.31,183800
2022-09-08,98.41,100.05,98.41,99.87,95800
2022-09-09,100.97,102.1,100.58,101.49,82700
2022-09-12,101.91,103.05,101.14,102.96,132900
2022-09-13,100.1,101.57,99.39,100.38,212500
2022-09-14,99.87,100.77,97.64,98.63,124000
2022-09-15,97.67,99.73,97.2,97.7,100200
2022-09-16,96.63,98.47,95.7,98.39,300200
2022-09-19,97.47,101.56,97.47,101.44,111100
2022-09-20,100.37,102.24,99.9,102.2,210500
2022-09-21,103.4,104.69,101.33,101.65,201600
2022-09-22,100.93,100.93,98.08,98.93,233800
2022-09-23,97.77,98.59,96.04,96.78,159200
2022-09-26,95.93,98.16,95.18,95.25,138400
2022-09-27,96.59,97.38,93.95,95.13,126500
2022-09-28,96.13,99.17,95.9,98.31,221500
2022-09-29,97.59,98.97,94.33,95.44,149800
2022-09-30,96.0,99.14,95.95,95.97,225400
2022-10-03,97.09,102.76,97.09,101.93,220100
2022-10-04,103.53,106.47,103.53,105.4,215000
2022-10-05,103.18,104.33,101.48,101.56,299800
2022-10-06,101.07,101.95,100.32,101.86,166500
2022-10-07,101.15,101.27,98.61,99.35,187300
2022-10-10,100.05,101.03,99.21,99.62,123900
2022-10-11,99.25,101.95,98.63,100.84,153300
2022-10-12,101.17,101.17,98.46,99.4,81400
2022-10-13,97.6,102.24,96.14,101.85,153600
2022-10-14,102.48,102.84,99.7,99.9,179700
2022-10-17,101.86,103.25,101.48,103.1,216100
2022-10-18,105.57,106.43,103.77,106.26,154600
2022-10-19,105.41,105.41,103.33,105.26,123800
2022-10-20,105.06,105.33,101.36,102.22,210300
2022-10-21,103.64,106.25,102.69,105.1,168400
2022-10-24,105.21,108.17,105.05,106.8,253400
2022-10-25,106.43,110.32,106.43,108.68,205500
2022-10-26,109.41,111.78,107.67,108.15,184500
2022-10-27,109.38,118.13,109.38,116.78,355300
2022-10-28,118.96,121.1,117.64,119.8,262700
2022-10-31,119.51,122.2,119.06,121.55,274400
2022-11-01,122.15,122.43,119.12,119.3,236900
2022-11-02,118.87,119.06,114.25,115.08,315300
2022-11-03,114.44,117.03,114.31,115.58,186000
2022-11-04,116.8,118.29,115.46,117.71,174000
2022-11-07,118.89,120.24,117.76,120.06,223000
2022-11-08,120.55,121.28,117.15,118.26,237500
2022-11-09,117.4,119.62,115.52,116.1,221100
2022-11-10,120.55,123.02,119.3,122.14,184200
2022-11-11,122.12,123.89,119.55,119.88,188200
2022-11-14,119.36,123.54,118.69,120.21,266700
2022-11-15,121.06,122.0,118.57,119.61,344900
2022-11-16,119.74,120.54,117.99,119.9,178900
2022-11-17,117.94,122.17,117.23,122.17,294900
2022-11-18,124.35,125.79,122.51,123.55,369900
2022-11-21,123.18,125.76,123.06,124.37,227100
2022-11-22,124.64,125.8,123.03,125.3,168700
2022-11-23,125.3,127.04,124.13,124.45,219100
2022-11-25,125.09,125.64,124.08,124.41,118300
2022-11-28,123.32,126.11,121.76,122.18,281000
2022-11-29,121.6,125.02,121.6,122.72,280300
2022-11-30,122.98,125.14,119.82,125.14,269200
2022-12-01,125.67,125.67,123.5,124.17,130000
2022-12-02,122.75,125.41,122.75,124.39,132200
2022-12-05,123.06,123.06,119.54,121.79,215000
2022-12-06,121.75,122.5,119.91,120.11,223700
2022-12-07,120.53,121.47,119.17,119.73,161000
2022-12-08,120.58,121.21,118.95,120.34,132200
2022-12-09,120.01,120.37,118.53,119.09,132300
2022-12-12,119.13,119.4,118.06,118.82,193500
2022-12-13,122.3,122.57,119.2,120.05,196700
2022-12-14,120.04,121.26,117.61,118.46,173000
2022-12-15,117.3,117.3,114.69,116.03,190400
2022-12-16,114.33,115.38,113.64,114.52,441700
2022-12-19,114.41,116.23,113.68,115.21,144000
2022-12-20,115.14,115.7,114.43,114.5,165900
2022-12-21,115.35,116.69,113.96,115.74,142500
2022-12-22,114.54,115.67,113.27,115.4,126200
2022-12-23,115.08,116.84,115.05,116.68,78000
2022-12-27,117.39,117.39,115.84,115.95,90500
2022-12-28,115.88,116.28,113.73,113.9,84800
2022-12-29,115.32,116.67,114.66,116.27,118700
2022-12-30,115.36,115.43,113.37,113.61,253000
2023-01-03,114.19,115.68,113.16,115.6,188100
2023-01-04,116.07,117.34,112.66,113.41,178100
2023-01-05,113.02,113.21,109.86,110.43,208400
2023-01-06,112.06,113.24,111.3,112.31,307100
2023-01-09,112.98,114.83,112.27,113.16,184400
2023-01-10,112.62,114.09,112.62,113.93,173400
2023-01-11,114.45,116.09,113.77,115.62,129900
2023-01-12,115.75,119.79,114.91,119.25,424400
2023-01-13,118.88,123.4,118.88,122.64,252500
2023-01-17,122.08,123.22,116.47,118.27,193900
2023-01-18,118.5,120.29,117.34,117.34,128700
2023-01-19,116.9,117.66,113.12,113.27,161700
2023-01-20,114.38,115.64,112.36,115.59,196700
2023-01-23,115.72,117.21,114.68,116.55,114600
2023-01-24,115.24,119.38,115.24,118.14,103300
2023-01-25,117.36,118.19,116.32,116.69,91800
2023-01-26,117.98,118.55,115.75,117.87,137100
2023-01-27,117.73,118.46,117.49,117.63,78600
2023-01-30,116.52,119.45,116.52,116.55,138600
2023-01-31,116.69,119.49,116.69,119.49,229000
2023-02-01,119.38,120.89,117.91,120.36,327100
2023-02-02,120.44,121.84,119.26,120.42,166500
2023-02-03,120.01,123.32,120.01,120.77,176100
2023-02-06,120.57,120.86,118.67,119.42,123700
2023-02-07,118.52,120.67,117.62,119.94,170200
2023-02-08,119.34,120.01,118.19,118.76,180200
2023-02-09,119.82,120.2,117.17,117.27,113300
2023-02-10,117.22,118.98,116.22,118.43,386300
2023-02-13,119.03,121.5,118.23,120.81,213200
2023-02-14,120.44,121.96,119.28,120.83,123700
2023-02-15,119.55,123.49,119.55,122.89,149500
2023-02-16,121.39,125.2,121.39,124.27,267900
2023-02-17,124.83,126.36,124.7,126.0,284700
2023-02-21,124.86,126.45,121.24,122.08,319600
2023-02-22,122.22,123.45,121.8,122.32,299800
2023-02-23,125.7,138.26,125.7,134.26,441500
2023-02-24,138.64,144.98,134.41,144.93,688300
2023-02-27,145.91,146.96,143.43,145.02,545200
2023-02-28,145.31,146.99,143.36,143.58,367800
2023-03-01,144.53,145.75,143.41,145.06,384400
2023-03-02,144.69,146.43,143.86,145.32,243000
2023-03-03,145.94,150.19,145.25,149.11,254900
2023-03-06,148.77,149.59,147.29,148.9,269900
2023-03-07,149.57,149.97,146.87,147.18,173600
2023-03-08,147.68,147.68,145.25,146.92,186700
2023-03-09,147.12,147.77,142.5,143.32,220400
2023-03-10,143.32,143.32,137.79,139.34,289600
2023-03-13,136.74,138.77,134.68,135.41,263600
2023-03-14,138.97,140.29,137.78,138.96,332200
2023-03-15,135.94,135.94,131.63,134.54,270700
2023-03-16,132.6,139.08,132.6,137.41,174100
2023-03-17,136.14,136.14,132.7,132.87,821600
2023-03-20,134.52,138.33,134.52,137.53,289600
2023-03-21,139.8,140.55,137.59,139.58,294500
2023-03-22,139.03,139.86,137.77,138.35,327200
2023-03-23,138.44,139.56,133.61,134.11,199600
2023-03-24,132.26,136.84,131.02,136.29,198900
2023-03-27,137.51,139.81,136.47,138.09,160400
2023-03-28,137.45,141.19,137.27,140.29,227900
2023-03-29,141.34,144.21,140.75,142.29,323400
2023-03-30,142.91,143.78,137.93,140.88,388100
2023-03-31,141.66,144.75,141.66,144.27,282800
2023-04-03,144.13,145.97,143.51,144.91,270000
