Date,Open,High,Low,Close,Volume
2021-07-12,63.55,63.94,62.78,63.8,11187237
2021-07-13,63.7,63.7,62.68,62.73,7907410
2021-07-14,62.68,63.16,61.9,62.34,8970443
2021-07-15,61.75,62.87,61.17,62.09,10310877
2021-07-16,62.29,62.63,60.93,61.07,9141767
2021-07-19,59.32,59.56,57.52,58.4,19842400
2021-07-20,58.44,62.0,58.35,61.8,15072405
2021-07-21,62.24,63.8,62.14,63.65,13548149
2021-07-22,63.51,63.55,61.8,61.8,8712244
2021-07-23,62.29,62.68,61.46,61.85,7579911
2021-07-26,61.61,62.97,61.46,62.87,10800049
2021-07-27,64.87,65.55,62.29,63.65,23964901
2021-07-28,63.99,65.6,63.46,63.89,13757312
2021-07-29,64.19,65.11,63.7,64.67,10889854
2021-07-30,64.04,64.33,62.87,63.02,12050777
2021-08-02,63.55,65.21,61.09,61.19,39943542
2021-08-03,60.95,62.78,59.68,62.69,23177543
2021-08-04,61.93,62.93,61.72,62.6,22702917
2021-08-05,62.65,63.65,62.36,62.67,13050690
2021-08-06,62.87,64.03,62.87,63.58,17637083
2021-08-09,62.99,63.43,62.06,63.09,12768033
2021-08-10,63.15,64.68,62.78,64.53,12930790
2021-08-11,64.61,64.61,63.15,64.5,13330458
2021-08-12,64.59,65.23,64.02,64.8,10270509
2021-08-13,64.78,64.86,63.61,63.82,9020462
2021-08-16,63.4,63.44,62.19,62.87,11101144
2021-08-17,62.37,62.82,61.05,61.81,13125487
2021-08-18,61.49,62.94,61.29,61.69,10427487
2021-08-19,60.83,61.33,59.98,60.48,17344153
2021-08-20,60.58,61.24,60.28,60.86,10203095
2021-08-23,61.19,61.73,60.99,61.42,9642436
2021-08-24,61.61,62.96,61.47,62.82,11007246
2021-08-25,62.87,63.95,62.38,63.69,12627427
2021-08-26,63.54,63.64,62.56,62.88,13107992
2021-08-27,63.2,64.57,63.2,64.53,12473178
2021-08-30,64.68,64.76,63.75,63.99,11469513
2021-08-31,63.83,64.7,63.54,64.12,17641256
2021-09-01,64.09,64.16,62.81,63.06,12789542
2021-09-02,63.26,64.69,63.25,64.64,13633178
2021-09-03,64.48,65.31,63.31,63.72,12225833
2021-09-07,63.57,63.83,62.23,62.83,17639170
2021-09-08,62.62,63.71,61.08,62.4,19263203
2021-09-09,62.26,63.82,62.11,62.83,15066205
2021-09-10,62.83,63.23,61.91,62.05,15350467
2021-09-13,62.44,63.79,62.06,63.54,20038302
2021-09-14,63.59,63.6,60.87,61.06,25717763
2021-09-15,61.31,62.33,61.25,62.14,13007192
2021-09-16,62.28,62.47,61.33,61.64,9601506
2021-09-17,61.53,61.96,60.91,61.11,17203387
2021-09-20,59.92,60.75,59.17,60.71,16217539
2021-09-21,60.77,60.82,58.52,58.89,25342171
2021-09-22,59.41,60.24,59.41,59.94,18002884
2021-09-23,60.54,63.31,60.54,62.63,18620844
2021-09-24,62.5,63.43,62.46,63.19,10528608
2021-09-27,63.65,64.73,63.55,64.13,12971559
2021-09-28,64.1,64.99,63.76,64.36,20146646
2021-09-29,64.53,65.14,64.11,64.7,11876404
2021-09-30,64.75,65.19,62.67,62.72,14356273
2021-10-01,63.42,64.77,63.11,64.42,12992425
2021-10-04,64.16,65.19,63.68,63.86,12288913
2021-10-05,63.96,64.53,63.16,63.86,9208740
2021-10-06,63.12,63.57,62.13,63.51,11257962
2021-10-07,63.82,64.85,63.51,64.23,10684302
2021-10-08,64.15,64.66,63.71,63.75,6859525
2021-10-11,63.82,64.38,63.29,63.36,6615872
2021-10-12,63.04,63.34,61.83,62.53,13722903
2021-10-13,62.22,62.82,61.59,62.31,12065484
2021-10-14,62.79,63.1,62.32,62.54,9853826
2021-10-15,63.1,64.47,62.82,63.56,9069257
2021-10-18,63.12,63.66,62.73,63.38,6653913
2021-10-19,63.66,63.9,63.06,63.76,6767714
2021-10-20,63.77,64.54,63.23,64.53,9803748
2021-10-21,64.38,64.77,62.71,62.79,11588129
2021-10-22,62.73,63.62,62.43,63.34,8595273
2021-10-25,63.09,64.52,62.9,64.1,10427005
2021-10-26,64.38,67.55,64.05,65.41,18781193
2021-10-27,65.67,65.92,63.12,63.22,14420637
2021-10-28,62.94,64.15,62.76,64.08,9487384
2021-10-29,63.89,64.07,63.38,63.84,9018536
2021-11-01,64.38,65.0,64.09,64.67,7844250
2021-11-02,64.74,65.22,64.1,64.95,7192101
2021-11-03,64.63,64.74,63.81,64.51,6599661
2021-11-04,64.45,64.77,63.49,64.05,7505094
2021-11-05,65.09,66.75,65.05,66.2,12202399
2021-11-08,66.6,67.15,65.94,66.0,8305554
2021-11-09,69.84,70.72,67.26,67.75,40325875
2021-11-10,68.49,68.6,65.81,66.33,13952431
2021-11-11,66.08,66.72,65.0,65.14,8848557
2021-11-12,65.38,65.7,64.81,65.5,12240118
2021-11-15,65.76,66.15,64.65,64.94,9831034
2021-11-16,64.62,64.66,62.59,62.92,19257424
2021-11-17,63.13,63.24,61.74,62.09,13334471
2021-11-18,61.75,61.97,60.38,61.28,13692888
2021-11-19,60.75,61.33,60.45,60.85,10598911
2021-11-22,61.16,62.08,61.05,61.51,9962170
2021-11-23,61.96,62.22,61.58,62.14,9648856
2021-11-24,62.01,62.29,61.67,62.23,8943739
2021-11-26,58.84,59.72,58.14,59.56,13815999
2021-11-29,60.43,61.14,58.95,59.9,15692352
2021-11-30,58.83,59.31,57.51,57.83,18313148
2021-12-01,58.78,58.98,56.58,56.61,13895451
2021-12-02,57.35,58.31,56.5,57.97,9782400
2021-12-03,57.91,58.05,55.84,56.47,12973646
2021-12-06,57.13,58.98,56.76,58.45,10721861
2021-12-07,58.81,59.86,58.62,59.38,8104115
2021-12-08,59.38,60.23,59.04,59.83,7635106
2021-12-09,59.52,59.77,59.05,59.56,6527432
2021-12-10,59.71,60.0,58.72,59.02,6863859
2021-12-13,58.42,58.68,56.51,56.69,11843339
2021-12-14,56.46,57.26,55.84,56.07,11654259
2021-12-15,56.14,56.26,54.9,56.05,12350388
2021-12-16,56.32,57.43,56.13,56.33,11440140
2021-12-17,56.28,56.66,54.86,55.67,14550168
2021-12-20,54.84,54.9,53.72,54.82,9651745
2021-12-21,55.28,57.07,55.28,56.7,12227117
2021-12-22,56.62,57.1,56.15,56.71,7485993
2021-12-23,56.85,57.6,56.85,57.27,6236589
2021-12-27,57.05,57.68,56.94,57.65,5503703
2021-12-28,57.54,58.54,57.42,58.07,6503676
2021-12-29,57.88,58.18,57.54,57.76,5602577
2021-12-30,57.68,58.48,57.6,57.7,5247049
2021-12-31,57.58,57.86,57.21,57.56,6092452
2022-01-03,58.02,59.37,57.73,58.64,7415209
