Date,Open,High,Low,Close,Volume
2021-07-12,180.31,180.92,179.37,180.59,1732300
2021-07-13,180.11,183.44,179.93,182.02,1974100
2021-07-14,183.32,184.56,182.61,183.85,2938500
2021-07-15,183.16,187.29,183.11,185.89,2551900
2021-07-16,186.62,187.53,185.42,185.48,1466800
2021-07-19,183.06,183.11,175.62,177.21,2413000
2021-07-20,177.75,181.38,177.48,179.78,1452400
2021-07-21,180.67,182.87,179.64,182.7,1172100
2021-07-22,183.0,183.76,180.83,181.99,1090100
2021-07-23,183.51,185.07,183.0,183.86,963200
2021-07-26,183.19,183.79,181.35,182.04,1272600
2021-07-27,181.15,186.08,181.15,183.55,1761200
2021-07-28,183.83,184.95,181.84,182.52,1679100
2021-07-29,183.89,185.94,183.75,184.09,1490700
2021-07-30,183.15,185.64,182.56,184.22,2135500
2021-08-02,184.84,186.1,162.51,163.63,8546900
2021-08-03,166.19,168.1,156.96,161.51,7111100
2021-08-04,160.13,161.8,156.25,157.58,4024200
2021-08-05,158.15,162.46,158.07,162.21,2596300
2021-08-06,163.83,170.75,162.76,167.87,3401300
2021-08-09,167.91,168.92,164.54,165.58,3212900
2021-08-10,165.42,166.37,161.22,161.69,4329300
2021-08-11,162.75,163.39,160.33,161.5,4280700
2021-08-12,161.92,162.09,158.53,159.87,3321900
2021-08-13,159.98,163.83,158.27,163.27,3110400
2021-08-16,162.33,162.66,159.46,160.13,2185800
2021-08-17,158.91,160.66,158.75,159.26,3655600
2021-08-18,158.89,160.84,157.94,158.44,2448600
2021-08-19,157.16,158.29,154.78,155.26,3746700
2021-08-20,155.02,156.3,154.51,155.31,3806600
2021-08-23,156.85,158.7,156.74,157.97,2170400
2021-08-24,158.3,160.14,158.3,159.35,2185400
2021-08-25,160.02,160.02,157.33,157.4,1596900
2021-08-26,156.19,156.51,153.93,154.03,1817500
2021-08-27,153.68,156.62,152.99,156.34,2340600
2021-08-30,156.95,158.2,153.39,153.64,2308200
2021-08-31,154.23,155.91,153.4,154.91,2064400
2021-09-01,155.38,157.71,154.74,154.79,2102400
2021-09-02,154.74,155.39,150.91,151.06,3078300
2021-09-03,150.97,152.03,149.52,150.5,2691600
2021-09-07,151.02,152.7,150.04,151.08,1647100
2021-09-08,152.73,162.5,152.55,161.94,5848900
2021-09-09,162.35,167.63,162.13,164.15,5800700
2021-09-10,165.08,165.87,157.07,158.7,3786700
2021-09-13,159.55,160.25,156.28,157.17,2365800
2021-09-14,157.6,157.6,154.41,154.64,2448400
2021-09-15,154.72,158.18,153.37,157.84,2601900
2021-09-16,157.19,158.63,155.81,156.43,1833600
2021-09-17,155.95,156.32,153.61,154.56,2129300
2021-09-20,151.86,153.06,150.07,152.74,1705100
2021-09-21,153.4,153.43,149.28,149.36,1733800
2021-09-22,151.2,154.54,149.94,153.7,1604400
2021-09-23,153.88,156.62,153.73,156.42,1441800
2021-09-24,156.55,157.56,153.63,154.19,2066000
2021-09-27,154.12,157.2,153.42,156.07,1952300
2021-09-28,155.07,156.3,153.7,154.64,1832800
2021-09-29,155.04,156.09,153.23,153.29,1233400
2021-09-30,154.2,154.67,150.27,150.32,1835400
2021-10-01,150.51,153.51,148.01,152.48,1644300
2021-10-04,152.26,152.68,146.94,149.02,1644300
2021-10-05,149.56,151.81,148.43,150.35,1579700
2021-10-06,148.59,151.27,147.39,151.24,1339500
2021-10-07,152.37,154.33,151.86,152.5,1874600
2021-10-08,152.85,154.94,151.76,152.04,1364600
2021-10-11,152.06,152.14,143.91,144.48,1987000
2021-10-12,144.53,145.65,142.45,144.03,1804100
2021-10-13,143.62,145.74,141.83,145.47,1934900
2021-10-14,147.1,148.3,145.95,147.83,1551700
2021-10-15,149.1,153.23,148.82,153.18,1606300
2021-10-18,151.93,154.2,150.74,152.01,1478200
2021-10-19,152.87,154.66,152.15,153.57,1441500
2021-10-20,152.77,155.51,152.38,153.87,1283200
2021-10-21,152.79,152.79,151.24,152.61,721900
2021-10-22,152.72,153.63,149.24,150.72,1093700
2021-10-25,150.94,152.06,150.13,150.51,1368800
2021-10-26,151.64,151.84,148.44,148.78,1437100
2021-10-27,147.85,148.06,135.76,137.49,4573000
2021-10-28,138.87,139.13,135.21,136.25,2852500
2021-10-29,135.83,137.62,135.71,136.4,2890000
2021-11-01,136.87,139.22,135.96,139.1,3703500
2021-11-02,131.67,133.87,122.68,126.25,8256700
2021-11-03,126.49,130.96,126.18,128.65,6155300
2021-11-04,128.78,132.73,128.1,129.38,4599200
2021-11-05,131.57,133.47,129.32,130.45,3200300
2021-11-08,130.52,131.04,127.92,128.38,2774100
2021-11-09,129.06,129.39,126.42,126.7,3255700
2021-11-10,126.64,128.84,125.53,126.37,3629600
2021-11-11,126.42,126.93,122.01,122.74,3530300
2021-11-12,123.05,125.83,122.96,125.57,4278900
2021-11-15,126.82,127.25,125.55,125.71,2514700
2021-11-16,125.46,126.85,122.95,123.4,2418400
2021-11-17,123.06,123.06,116.91,119.72,4765500
2021-11-18,122.27,122.28,119.76,121.0,4939700
2021-11-19,120.78,123.21,120.02,120.12,3874100
2021-11-22,120.23,121.56,116.06,117.83,2971300
2021-11-23,118.28,120.22,117.33,119.28,2616900
2021-11-24,119.05,121.04,118.39,118.82,3053600
2021-11-26,115.52,118.33,114.69,117.48,2308900
2021-11-29,119.02,119.51,114.71,114.72,3087500
2021-11-30,114.47,115.23,111.37,113.55,5403200
2021-12-01,115.4,115.8,111.75,112.43,3399600
2021-12-02,112.48,116.77,112.33,116.19,4636500
2021-12-03,116.57,116.86,112.64,114.73,3486800
2021-12-06,115.69,122.97,114.83,121.17,4235100
2021-12-07,122.1,126.39,122.1,123.79,3593800
2021-12-08,123.37,126.21,122.41,124.11,1743200
2021-12-09,123.29,125.24,121.25,121.5,2652500
2021-12-10,119.77,121.58,118.54,120.0,2280700
2021-12-13,119.75,122.1,119.33,121.1,1985000
2021-12-14,120.35,123.63,119.71,122.32,2962400
2021-12-15,123.56,124.08,120.18,122.39,1878200
2021-12-16,124.23,124.26,120.48,121.27,2910200
2021-12-17,120.72,123.14,117.83,122.4,3410200
2021-12-20,119.61,119.96,116.64,118.2,2769000
2021-12-21,119.47,126.92,118.64,126.02,3160900
2021-12-22,127.11,129.6,126.28,128.87,2516200
2021-12-23,128.41,130.36,128.07,129.38,2064600
2021-12-27,129.17,129.29,125.83,127.63,1678900
2021-12-28,126.85,130.64,126.28,129.17,1217300
2021-12-29,128.86,130.12,127.94,128.3,1005300
2021-12-30,128.31,131.69,128.24,130.26,2026500
2021-12-31,129.22,131.08,128.82,129.2,1293200
2022-01-03,129.73,135.83,129.59,135.43,3071000
2022-01-04,136.85,139.96,134.52,139.0,3985000
2022-01-05,139.0,144.65,138.59,139.94,5054500
2022-01-06,141.48,146.78,141.0,144.57,4486800
2022-01-07,143.42,146.96,143.23,143.56,2698000
2022-01-10,144.11,144.68,137.02,140.51,2505400
2022-01-11,140.97,143.25,139.31,142.5,2396100
2022-01-12,142.15,143.24,138.54,142.15,1678700
2022-01-13,142.17,145.07,142.07,142.64,1565300
2022-01-14,141.26,144.0,141.01,143.89,2064700
2022-01-18,142.92,144.32,139.0,140.59,2243600
2022-01-19,140.57,142.34,139.29,139.41,1843600
2022-01-20,139.54,142.77,138.18,138.45,1737700
2022-01-21,139.86,139.86,134.4,134.54,2420400
2022-01-24,131.89,134.86,128.84,134.58,3157400
2022-01-25,132.39,134.81,129.17,133.33,2059300
2022-01-26,135.5,138.13,133.18,134.27,2492000
2022-01-27,135.6,138.19,133.2,134.79,2578300
2022-01-28,134.92,140.81,134.83,140.81,2942100
2022-01-31,138.95,143.32,138.55,143.25,2411300
2022-02-01,142.57,145.54,141.61,144.91,1769600
2022-02-02,145.28,146.19,142.91,144.16,2046600
2022-02-03,142.05,142.83,137.94,138.14,2325400
2022-02-04,136.76,140.28,136.09,139.34,2327100
2022-02-07,139.91,141.73,137.98,140.37,1919600
2022-02-08,138.0,138.15,134.09,137.65,3110800
2022-02-09,139.8,141.59,138.83,139.89,2496000
2022-02-10,136.23,146.22,135.75,139.09,2917800
2022-02-11,139.99,143.5,139.46,140.21,2151400
2022-02-14,140.23,141.96,139.18,140.46,1830400
2022-02-15,139.38,140.84,136.57,137.57,3163600
2022-02-16,137.25,138.55,136.13,137.91,2156500
2022-02-17,136.16,136.64,131.56,131.71,2332600
2022-02-18,131.66,132.42,129.31,130.58,2104900
2022-02-22,129.3,131.3,128.44,130.0,2353100
2022-02-23,130.27,130.95,127.31,127.61,1899800
2022-02-24,124.06,129.69,122.82,129.48,3697900
2022-02-25,129.49,132.3,128.1,131.5,1733200
2022-02-28,128.99,130.03,125.65,127.48,3116300
2022-03-01,126.76,128.25,122.09,123.22,2284000
2022-03-02,123.0,130.31,123.0,129.81,2806000
2022-03-03,130.39,130.67,123.99,124.71,2081100
2022-03-04,124.04,124.97,119.86,122.37,2906900
2022-03-07,122.06,122.3,117.17,117.22,2636900
2022-03-08,116.34,121.45,115.63,117.76,2031200
2022-03-09,121.29,122.91,120.66,122.43,1379900
2022-03-10,119.45,122.11,119.45,121.73,1145900
2022-03-11,123.42,123.42,121.25,121.61,1131000
