Date,Open,High,Low,Close,Volume
2021-07-12,79.85,80.4,79.55,80.31,341800
2021-07-13,80.32,80.45,79.6,79.83,480500
2021-07-14,79.9,80.53,79.61,80.01,624800
2021-07-15,79.96,80.06,77.33,77.57,1006200
2021-07-16,77.38,77.61,76.59,76.94,678100
2021-07-19,76.13,76.46,74.31,75.11,796800
2021-07-20,75.41,77.23,75.2,76.91,654000
2021-07-21,77.21,77.97,76.78,77.09,421900
2021-07-22,77.08,77.08,75.98,76.29,393900
2021-07-23,76.65,76.65,75.01,75.61,1105300
2021-07-26,80.27,85.82,79.27,84.87,3870500
2021-07-27,84.13,84.65,82.1,82.94,1496100
2021-07-28,82.97,84.02,81.62,81.72,1437600
2021-07-29,82.24,82.44,81.3,82.22,970400
2021-07-30,82.27,83.61,81.7,81.92,1622600
2021-08-02,82.44,83.7,81.94,82.09,637500
2021-08-03,82.42,83.1,81.28,82.69,899200
2021-08-04,82.66,83.21,81.68,82.02,553900
2021-08-05,82.06,82.16,81.07,81.61,507900
2021-08-06,81.74,82.34,80.47,80.72,573500
2021-08-09,80.96,81.52,80.67,80.9,369700
2021-08-10,80.79,81.58,80.56,81.29,339300
2021-08-11,81.16,81.6,80.51,81.32,471000
2021-08-12,81.54,81.84,81.07,81.61,678500
2021-08-13,81.83,82.6,81.59,82.59,528200
2021-08-16,82.26,83.01,81.95,82.36,548100
2021-08-17,81.88,81.88,79.29,80.16,542100
2021-08-18,79.87,80.08,79.0,79.04,464200
2021-08-19,79.37,80.13,77.67,78.08,636000
2021-08-20,78.34,79.4,78.19,78.95,463100
2021-08-23,79.14,80.39,79.14,80.06,444700
2021-08-24,79.86,81.1,79.83,80.45,405200
2021-08-25,80.74,81.42,80.48,81.09,405700
2021-08-26,81.01,81.43,80.5,80.67,383000
2021-08-27,80.45,81.45,80.33,81.1,365900
2021-08-30,81.55,81.98,80.89,81.0,322900
2021-08-31,81.19,81.34,80.52,80.99,639900
2021-09-01,81.18,82.19,80.78,81.43,390100
2021-09-02,81.62,81.92,81.09,81.51,246000
2021-09-03,81.63,81.89,81.07,81.85,249300
2021-09-07,82.21,83.16,81.96,82.55,657400
2021-09-08,82.56,82.91,80.64,80.82,435300
2021-09-09,80.9,81.56,80.48,80.76,523600
2021-09-10,81.03,81.57,80.53,80.75,361300
2021-09-13,80.96,81.26,80.02,80.37,406800
2021-09-14,80.57,80.57,79.66,80.3,433600
2021-09-15,80.1,81.38,79.71,81.23,499400
2021-09-16,80.91,81.63,80.54,81.34,500100
2021-09-17,80.88,81.28,79.52,80.34,1381100
2021-09-20,79.66,80.14,78.14,78.75,830600
2021-09-21,79.24,80.34,76.47,76.5,785400
2021-09-22,76.5,77.84,75.32,77.69,859700
2021-09-23,78.2,79.1,77.91,77.97,476000
2021-09-24,77.67,78.57,77.38,77.79,417900
2021-09-27,77.66,78.69,77.42,77.49,411200
2021-09-28,77.42,77.67,75.57,76.22,696700
2021-09-29,76.51,76.81,75.9,75.99,423000
2021-09-30,76.32,76.33,73.17,73.5,1430100
2021-10-01,73.55,73.85,71.36,73.39,889600
2021-10-04,73.76,73.76,70.89,71.38,1008900
2021-10-05,71.65,72.26,70.91,71.77,970600
2021-10-06,71.32,72.51,71.09,72.42,597600
2021-10-07,73.25,74.35,72.92,73.57,766600
2021-10-08,73.9,74.77,73.9,74.14,695700
2021-10-11,72.49,73.83,72.34,72.94,883000
2021-10-12,73.22,73.69,71.67,72.53,647500
2021-10-13,72.08,73.09,71.59,72.7,783800
2021-10-14,73.46,75.81,73.28,75.25,1066800
2021-10-15,75.81,76.74,75.5,76.18,978500
2021-10-18,75.94,76.88,75.54,76.3,881900
2021-10-19,76.6,77.4,75.85,76.85,657900
2021-10-20,76.82,76.82,74.82,74.98,710500
2021-10-21,74.82,76.27,74.75,76.17,1061900
2021-10-22,77.13,77.33,73.12,73.73,1403500
2021-10-25,73.75,73.8,72.51,72.91,1532000
2021-10-26,75.39,77.54,74.69,75.26,2121600
2021-10-27,75.15,78.32,74.65,77.93,1436500
2021-10-28,78.22,79.64,77.45,79.57,1312600
2021-10-29,78.95,79.73,77.82,79.45,1376500
2021-11-01,79.54,79.69,78.47,78.77,808700
2021-11-02,78.98,79.03,76.38,77.53,955000
2021-11-03,77.46,78.62,76.9,77.61,773300
2021-11-04,77.87,78.85,77.5,78.67,629300
2021-11-05,78.92,79.8,78.83,79.64,676900
2021-11-08,79.64,80.85,78.81,80.64,599400
2021-11-09,80.65,81.29,80.31,81.0,503900
2021-11-10,80.96,82.88,80.49,81.01,566400
2021-11-11,80.96,81.93,80.34,81.49,490900
2021-11-12,81.84,81.84,80.78,81.47,667200
2021-11-15,81.93,82.79,81.58,82.21,613900
2021-11-16,82.21,83.47,82.21,82.48,662700
2021-11-17,82.14,83.83,82.14,83.55,658600
2021-11-18,83.69,83.83,82.04,82.82,539500
2021-11-19,82.96,83.46,82.38,83.36,635000
2021-11-22,83.41,83.96,82.8,83.32,578500
2021-11-23,83.28,83.73,81.8,82.55,604600
2021-11-24,82.12,82.61,81.43,82.48,393000
2021-11-26,81.51,82.61,81.08,81.93,606900
2021-11-29,82.32,82.93,81.2,82.24,511100
2021-11-30,81.58,81.94,79.96,80.4,1543900
2021-12-01,80.95,82.56,80.13,80.19,778600
2021-12-02,80.39,82.17,79.86,81.86,826800
2021-12-03,82.26,82.72,80.81,81.61,748700
2021-12-06,81.69,83.05,81.58,81.82,753800
2021-12-07,82.61,83.39,82.15,83.05,730400
2021-12-08,83.29,83.94,82.91,83.73,561100
2021-12-09,83.7,84.0,83.05,83.3,544500
2021-12-10,83.72,84.75,83.17,83.64,645100
2021-12-13,83.48,83.79,82.76,83.44,776900
2021-12-14,83.16,83.78,82.52,83.29,1043800
2021-12-15,83.24,84.35,82.56,84.12,811600
2021-12-16,84.53,85.28,83.9,83.99,844100
2021-12-17,83.36,83.56,81.88,82.01,1561200
2021-12-20,81.19,81.29,78.9,79.62,868900
2021-12-21,80.38,80.98,79.79,80.08,918400
2021-12-22,80.3,80.73,79.59,80.16,752600
2021-12-23,80.16,81.61,79.85,81.24,552300
2021-12-27,81.39,82.47,80.83,82.41,417800
2021-12-28,82.48,83.09,81.62,81.91,379400
2021-12-29,82.12,82.72,81.92,82.56,350900
2021-12-30,82.76,84.17,82.76,83.81,434500
2021-12-31,83.7,84.56,83.66,84.44,401700
2022-01-03,84.8,85.34,83.71,84.76,677200
2022-01-04,85.03,87.41,84.9,86.22,1533100
2022-01-05,86.53,87.72,85.58,85.72,947000
2022-01-06,85.72,86.12,84.87,85.58,570300
2022-01-07,85.58,85.97,84.66,85.27,595100
2022-01-10,84.44,84.9,83.24,84.12,1025900
2022-01-11,84.03,84.27,83.32,84.0,1044800
2022-01-12,84.59,85.27,83.84,85.21,880800
2022-01-13,85.2,85.5,84.46,84.64,1062900
2022-01-14,84.36,84.41,82.08,83.06,960600
2022-01-18,82.61,83.47,81.83,83.07,827400
2022-01-19,83.15,83.54,81.95,82.24,663400
2022-01-20,82.31,83.37,81.13,81.43,771300
2022-01-21,81.56,81.56,79.42,79.58,1268000
2022-01-24,78.53,80.91,77.66,80.81,1278300
2022-01-25,80.42,80.52,77.62,79.3,1037100
2022-01-26,77.99,79.84,73.47,74.49,2393000
2022-01-27,74.9,75.74,73.21,73.4,1320100
2022-01-28,72.9,74.69,71.32,74.64,1346100
2022-01-31,74.22,77.58,73.98,77.31,2808300
2022-02-01,77.53,79.18,77.22,79.02,1150600
2022-02-02,79.21,79.98,78.53,79.86,1183800
2022-02-03,79.25,80.59,78.1,78.4,939000
2022-02-04,78.24,79.09,77.38,78.51,1409700
2022-02-07,78.45,78.86,75.24,77.74,1707500
2022-02-08,77.05,77.41,75.2,77.15,2250300
2022-02-09,77.96,80.67,77.74,80.44,945100
2022-02-10,79.58,81.75,78.94,79.36,1134100
2022-02-11,79.04,79.81,78.54,78.91,1478300
2022-02-14,79.2,79.88,78.87,79.05,1209300
2022-02-15,80.08,81.05,79.67,80.63,1345700
