Date,Open,High,Low,Close,Volume
2021-09-20,11.66,11.73,11.36,11.56,18437400
2021-09-21,11.62,11.65,11.38,11.42,12160600
2021-09-22,11.61,11.77,11.55,11.62,10647300
2021-09-23,11.79,12.23,11.76,12.11,12648100
2021-09-24,12.03,12.32,12.03,12.18,9366100
2021-09-27,12.33,12.74,12.31,12.67,11332800
2021-09-28,12.73,12.8,12.51,12.56,12240400
2021-09-29,12.53,12.61,12.47,12.56,13421000
2021-09-30,12.62,12.62,12.37,12.39,14238500
2021-10-01,12.49,12.82,12.42,12.72,14540000
2021-10-04,12.75,12.96,12.69,12.72,17726700
2021-10-05,12.8,12.96,12.71,12.86,14962800
2021-10-06,12.72,12.82,12.47,12.75,11904400
2021-10-07,12.9,12.99,12.75,12.8,9746900
2021-10-08,12.81,12.96,12.74,12.83,14182800
2021-10-11,12.92,13.01,12.67,12.68,11090700
2021-10-12,12.63,12.69,12.5,12.65,9009700
2021-10-13,12.55,12.68,12.34,12.63,9192700
2021-10-14,12.8,12.9,12.63,12.88,10547200
2021-10-15,13.01,13.04,12.8,12.93,13847800
2021-10-18,12.9,13.13,12.84,12.98,9061300
2021-10-19,13.03,13.11,12.91,13.1,10502600
2021-10-20,13.03,13.41,13.0,13.39,10738400
2021-10-21,13.39,13.43,13.12,13.22,6319900
2021-10-22,13.29,13.47,13.28,13.37,7150400
2021-10-25,13.43,13.43,13.28,13.34,7088400
2021-10-26,13.36,13.38,13.19,13.2,7370000
2021-10-27,13.07,13.17,12.8,12.8,10238000
2021-10-28,12.83,12.91,12.67,12.76,11280500
2021-10-29,12.72,12.81,12.5,12.62,9579400
2021-11-01,12.72,12.84,12.67,12.79,9311100
2021-11-02,12.73,12.76,12.6,12.68,8937800
2021-11-03,12.59,13.07,12.55,13.0,9743700
2021-11-04,12.96,12.97,12.51,12.63,8013300
2021-11-05,12.83,12.92,12.59,12.71,8030800
2021-11-08,12.76,12.84,12.68,12.77,8295700
2021-11-09,12.68,12.8,12.63,12.72,6961100
2021-11-10,12.83,12.88,12.71,12.74,8201900
2021-11-11,12.76,13.13,12.73,13.05,11471500
2021-11-12,13.0,13.09,12.9,13.03,7615700
2021-11-15,13.07,13.25,12.99,13.2,8762100
2021-11-16,13.2,13.33,13.12,13.22,6366400
2021-11-17,13.09,13.16,12.92,13.08,8121000
2021-11-18,13.08,13.13,12.9,12.96,10159000
2021-11-19,12.71,12.94,12.6,12.84,11805900
2021-11-22,13.06,13.15,12.88,12.99,6681700
2021-11-23,13.09,13.17,13.0,13.15,8232800
2021-11-24,13.15,13.24,13.03,13.11,5322800
2021-11-26,12.68,12.7,12.21,12.32,10727200
2021-11-29,12.53,12.62,12.21,12.32,9690500
2021-11-30,12.15,12.19,11.87,11.9,18227400
2021-12-01,12.25,12.37,11.75,11.75,13512800
2021-12-02,11.91,12.27,11.76,12.21,13781400
2021-12-03,12.18,12.23,11.84,11.98,14143700
2021-12-06,12.19,12.41,12.04,12.23,10028000
2021-12-07,12.27,12.48,12.24,12.42,9584700
2021-12-08,12.45,12.48,12.3,12.36,7201000
2021-12-09,12.23,12.5,12.21,12.37,6977600
2021-12-10,12.47,12.47,12.16,12.24,8025500
2021-12-13,12.18,12.22,11.9,11.96,8402400
2021-12-14,11.99,12.27,11.96,12.19,15309600
2021-12-15,12.29,12.46,12.08,12.33,15788400
2021-12-16,12.46,12.7,12.37,12.46,12740500
2021-12-17,12.37,12.45,11.95,12.05,25742600
2021-12-20,11.91,12.01,11.54,11.78,11740800
2021-12-21,11.95,12.25,11.92,12.2,8914600
2021-12-22,12.2,12.3,12.09,12.25,5892300
2021-12-23,12.35,12.5,12.32,12.36,6459900
2021-12-27,12.36,12.48,12.25,12.47,4493100
2021-12-28,12.42,12.55,12.4,12.49,4542900
2021-12-29,12.5,12.59,12.42,12.5,5322100
2021-12-30,12.5,12.67,12.48,12.5,4614800
2021-12-31,12.46,12.55,12.44,12.49,5027900
2022-01-03,12.55,12.94,12.54,12.8,10812500
2022-01-04,12.91,13.36,12.91,13.28,10338100
2022-01-05,13.36,13.52,13.29,13.3,11826400
2022-01-06,13.52,13.82,13.44,13.79,12749000
2022-01-07,13.77,14.04,13.73,13.95,11697800
2022-01-10,14.05,14.15,13.64,13.79,15486800
2022-01-11,13.76,13.84,13.57,13.78,14773600
2022-01-12,13.78,13.89,13.69,13.84,10962000
2022-01-13,13.96,14.12,13.88,14.04,12630800
2022-01-14,13.83,14.29,13.77,14.28,17087800
2022-01-18,14.34,14.41,14.02,14.13,14130500
2022-01-19,14.15,14.22,13.84,13.86,16133000
2022-01-20,13.79,14.03,13.47,13.51,18531600
2022-01-21,12.84,12.9,12.08,12.29,33069600
2022-01-24,12.22,12.7,11.95,12.67,24476000
2022-01-25,12.55,12.72,12.16,12.57,17131200
2022-01-26,12.74,12.76,12.29,12.5,17027300
2022-01-27,12.72,12.78,12.13,12.2,14739200
2022-01-28,12.16,12.3,11.95,12.29,12132200
2022-01-31,12.09,12.32,11.91,12.2,20704800
2022-02-01,12.2,12.64,12.14,12.6,19833200
2022-02-02,12.55,12.84,12.46,12.8,11443700
2022-02-03,12.81,12.96,12.6,12.61,9105600
2022-02-04,12.53,12.93,12.53,12.82,8448700
2022-02-07,12.84,12.95,12.72,12.82,6914200
2022-02-08,12.97,13.23,12.89,13.2,9847100
2022-02-09,13.21,13.27,13.06,13.07,7063300
2022-02-10,13.12,13.37,12.94,13.0,13317200
2022-02-11,12.87,13.19,12.8,12.89,11462400
2022-02-14,12.9,13.01,12.6,12.72,11140500
2022-02-15,12.92,13.17,12.87,13.13,6002200
2022-02-16,13.0,13.28,13.0,13.11,6522300
2022-02-17,12.96,13.06,12.8,12.85,13662200
2022-02-18,12.8,12.97,12.76,12.84,10190600
2022-02-22,12.76,12.93,12.68,12.82,10043700
2022-02-23,12.89,12.99,12.36,12.39,10860300
2022-02-24,11.95,12.16,11.65,12.12,18710600
2022-02-25,12.24,12.71,12.13,12.61,16817900
2022-02-28,12.25,12.59,12.23,12.57,17393400
2022-03-01,12.39,12.46,11.44,11.65,26745000
2022-03-02,11.79,12.3,11.78,12.22,11989300
2022-03-03,12.22,12.32,12.0,12.21,8297400
2022-03-04,11.91,12.01,11.75,11.95,14148600
2022-03-07,11.83,11.93,11.4,11.41,17039700
2022-03-08,11.65,11.86,11.32,11.49,14249500
2022-03-09,11.83,12.04,11.78,11.91,10998100
2022-03-10,11.73,11.91,11.65,11.83,10312200
2022-03-11,11.94,12.17,11.89,11.92,13213800
2022-03-14,12.13,12.39,12.04,12.18,12256700
2022-03-15,12.25,12.35,11.95,12.12,9501600
2022-03-16,12.29,12.5,12.26,12.5,16581400
2022-03-17,12.39,12.47,12.12,12.43,10356100
2022-03-18,12.34,12.47,12.13,12.37,21424600
2022-03-21,12.5,12.63,12.23,12.34,7589100
2022-03-22,12.53,12.75,12.47,12.61,9284800
2022-03-23,12.51,12.59,12.24,12.26,6619500
2022-03-24,12.31,12.44,12.21,12.39,8385500
2022-03-25,12.39,12.61,12.36,12.56,5816500
2022-03-28,12.48,12.48,12.14,12.34,6239200
2022-03-29,12.57,12.63,12.38,12.54,7172300
2022-03-30,12.52,12.57,12.1,12.18,7932100
2022-03-31,12.17,12.26,11.95,11.96,10430900
2022-04-01,12.13,12.19,11.74,11.81,12519200
2022-04-04,11.8,11.91,11.57,11.81,9498100
2022-04-05,11.74,11.97,11.73,11.76,8254300
2022-04-06,11.66,11.73,11.51,11.54,13351100
2022-04-07,11.53,11.62,11.14,11.33,16652600
2022-04-08,11.3,11.45,11.22,11.29,11862700
2022-04-11,11.29,11.58,11.23,11.29,13312700
2022-04-12,11.32,11.41,10.95,11.02,12205700
2022-04-13,10.92,11.03,10.85,11.0,12387200
2022-04-14,10.98,11.11,10.88,10.93,10599100
2022-04-18,10.87,11.1,10.86,11.06,9989000
2022-04-19,11.21,11.52,11.1,11.51,16990200
2022-04-20,11.61,11.86,11.57,11.65,19033900
2022-04-21,11.86,12.2,11.5,11.54,24290000
2022-04-22,11.74,11.74,11.24,11.26,17257000
2022-04-25,11.32,11.4,11.04,11.37,18895900
2022-04-26,11.22,11.49,11.1,11.1,14514300
2022-04-27,11.11,11.18,10.95,11.04,14194600
2022-04-28,11.16,11.21,10.95,11.11,13683000
2022-04-29,11.11,11.22,10.73,10.76,19427500
2022-05-02,10.82,10.94,10.62,10.85,20107900
2022-05-03,10.95,11.13,10.84,11.04,14721900
2022-05-04,11.05,11.38,10.96,11.37,13541100
2022-05-05,11.29,11.3,10.93,11.13,12934000
2022-05-06,11.12,11.14,10.8,10.92,11571900
2022-05-09,10.81,10.91,10.66,10.77,10334000
2022-05-10,10.84,10.95,10.4,10.72,17119600
2022-05-11,10.73,10.93,10.45,10.46,12081500
2022-05-12,10.4,10.59,10.28,10.54,15671400
2022-05-13,10.64,10.77,10.56,10.68,11637200
2022-05-16,10.65,10.76,10.47,10.56,9985900
2022-05-17,10.77,11.03,10.77,11.02,11209200
2022-05-18,10.98,10.99,10.71,10.79,11414000
2022-05-19,10.61,10.86,10.61,10.73,16014900
2022-05-20,10.8,10.89,10.43,10.65,14067500
2022-05-23,10.91,11.18,10.79,11.05,12716800
2022-05-24,11.08,11.08,10.73,10.98,9667200
2022-05-25,10.99,11.22,10.95,11.16,8335400
2022-05-26,11.1,11.35,11.1,11.3,11114400
2022-05-27,11.31,11.4,11.27,11.4,6586800
2022-05-31,11.33,11.45,11.15,11.36,17286600
2022-06-01,11.35,11.37,10.94,11.12,10562700
2022-06-02,11.18,11.31,11.04,11.29,11480700
2022-06-03,11.13,11.19,11.07,11.12,9761600
2022-06-06,11.22,11.42,11.16,11.21,9936100
2022-06-07,11.13,11.26,11.0,11.25,10826000
2022-06-08,11.17,11.17,11.01,11.06,7312200
2022-06-09,11.05,11.07,10.7,10.7,8414900
2022-06-10,10.48,10.52,10.16,10.19,17102600
2022-06-13,9.92,10.15,9.85,10.03,19305300
2022-06-14,10.08,10.23,9.9,10.01,15460500
2022-06-15,10.23,10.45,10.1,10.26,19258700
2022-06-16,10.12,10.16,9.77,9.81,15281700
2022-06-17,9.84,10.06,9.82,9.89,26544500
2022-06-21,10.09,10.2,9.97,10.04,10190400
2022-06-22,9.96,10.13,9.89,10.08,10024100
2022-06-23,10.06,10.07,9.72,9.89,10933600
2022-06-24,9.93,10.37,9.91,10.36,14079000
2022-06-27,10.45,10.45,10.19,10.25,7184700
2022-06-28,10.4,10.48,10.16,10.17,10035900
2022-06-29,10.21,10.26,10.05,10.14,11418800
2022-06-30,9.89,10.12,9.75,9.96,16300600
2022-07-01,9.83,10.06,9.67,10.02,20518500
2022-07-05,9.83,10.05,9.68,10.05,13911100
2022-07-06,9.97,10.11,9.87,10.05,12583800
2022-07-07,10.16,10.29,10.16,10.25,9425200
2022-07-08,10.32,10.32,10.09,10.16,9446100
2022-07-11,10.07,10.25,10.01,10.18,8468300
2022-07-12,10.11,10.43,10.06,10.22,11522600
2022-07-13,10.19,10.19,9.87,10.05,15210500
2022-07-14,9.84,9.88,9.72,9.85,12813900
2022-07-15,10.01,10.42,9.97,10.36,12764100
2022-07-18,10.51,10.64,10.36,10.42,11293100
2022-07-19,10.58,10.84,10.56,10.8,12855100
2022-07-20,10.71,10.78,10.58,10.74,15176100
2022-07-21,10.81,11.17,10.62,11.05,20004700
2022-07-22,11.09,11.14,10.72,10.78,12271700
2022-07-25,10.9,11.03,10.78,10.99,9184600
2022-07-26,10.92,10.96,10.63,10.67,8288900
2022-07-27,10.69,10.91,10.64,10.84,7928700
2022-07-28,10.84,10.93,10.67,10.8,13837400
2022-07-29,10.83,11.04,10.81,11.01,15653100
2022-08-01,10.93,11.07,10.83,11.06,10541900
2022-08-02,11.07,11.07,10.85,10.94,9812900
2022-08-03,11.01,11.14,10.93,11.09,9362600
2022-08-04,11.12,11.12,11.01,11.03,9957200
2022-08-05,11.04,11.25,10.98,11.14,9234600
2022-08-08,11.17,11.29,11.11,11.15,8352500
2022-08-09,11.18,11.25,11.09,11.25,8350600
2022-08-10,11.41,11.65,11.39,11.56,12067500
2022-08-11,11.65,11.89,11.65,11.75,12779200
2022-08-12,11.85,11.9,11.72,11.89,7707200
2022-08-15,11.77,11.93,11.7,11.89,6076000
2022-08-16,11.89,12.05,11.85,11.99,7031200
2022-08-17,11.85,11.91,11.76,11.87,9275500
2022-08-18,11.9,11.91,11.77,11.87,7477500
2022-08-19,11.79,11.81,11.58,11.66,10961900
2022-08-22,11.46,11.48,11.32,11.36,11709800
2022-08-23,11.39,11.49,11.35,11.36,10715300
2022-08-24,11.3,11.46,11.28,11.38,9006200
2022-08-25,11.41,11.62,11.38,11.6,9672000
2022-08-26,11.7,11.72,11.3,11.3,9266700
2022-08-29,11.23,11.25,11.06,11.16,8928200
2022-08-30,11.17,11.22,11.03,11.09,10047700
2022-08-31,11.11,11.22,11.06,11.1,19214100
2022-09-01,11.07,11.1,10.81,11.07,13193900
2022-09-02,11.22,11.34,10.96,11.03,13879400
2022-09-06,11.11,11.13,10.74,10.91,20313400
2022-09-07,10.87,11.27,10.83,11.22,12405100
2022-09-08,11.16,11.73,11.12,11.71,21315100
2022-09-09,11.75,11.83,11.67,11.71,15002200
2022-09-12,11.78,12.08,11.76,11.98,19089500
2022-09-13,11.71,11.89,11.58,11.61,22500900
2022-09-14,11.65,11.7,11.36,11.49,17437100
2022-09-15,11.56,11.94,11.53,11.81,28496600
2022-09-16,11.67,11.69,11.4,11.48,37161000
2022-09-19,11.36,11.8,11.31,11.75,20260100
2022-09-20,11.63,11.73,11.56,11.64,18028500
2022-09-21,11.71,11.86,11.49,11.49,18911300
2022-09-22,11.51,11.57,11.18,11.23,21893100
2022-09-23,11.1,11.13,10.8,11.05,23118900
2022-09-26,10.95,11.1,10.79,10.89,21225200
2022-09-27,10.9,11.05,10.64,10.77,21535300
2022-09-28,10.78,11.18,10.74,11.11,18674600
2022-09-29,10.95,11.1,10.8,11.03,18323200
2022-09-30,11.03,11.28,10.97,11.04,16952700
2022-10-03,11.16,11.35,10.99,11.28,20244400
2022-10-04,11.48,11.77,11.42,11.68,30663400
2022-10-05,11.51,11.62,11.38,11.49,24549000
2022-10-06,11.43,11.54,11.32,11.39,22501100
2022-10-07,11.3,11.31,11.0,11.06,21667200
2022-10-10,11.14,11.2,10.95,11.08,17346400
2022-10-11,11.0,11.12,10.89,10.95,16984600
2022-10-12,10.95,11.03,10.84,10.91,14409000
2022-10-13,10.78,11.66,10.69,11.63,30245900
2022-10-14,11.73,11.93,11.41,11.45,27258200
2022-10-17,11.56,11.81,11.45,11.6,17564000
2022-10-18,11.8,11.99,11.65,11.82,22121800
2022-10-19,11.72,11.82,11.36,11.41,19879800
2022-10-20,11.41,11.51,10.97,11.05,23522200
2022-10-21,11.31,12.15,11.31,12.1,41221500
2022-10-24,12.23,12.57,12.18,12.44,33353000
