Date,Open,High,Low,Close,Volume
2021-09-13,295.08,297.02,293.15,295.52,3908700
2021-09-14,296.03,297.32,292.85,293.47,2857200
2021-09-15,293.68,294.84,290.81,293.69,2875500
2021-09-16,294.88,297.63,294.4,296.35,3043800
2021-09-17,295.08,299.22,295.08,295.72,7098400
2021-09-20,292.33,295.47,289.34,291.79,4036600
2021-09-21,293.39,296.86,292.48,294.44,3171100
2021-09-22,295.88,298.65,293.77,295.95,2872800
2021-09-23,297.63,299.11,295.66,295.93,2426600
2021-09-24,296.7,297.63,295.61,297.32,2004900
2021-09-27,296.77,302.83,296.77,300.77,2966100
2021-09-28,300.74,300.74,292.89,294.07,3304100
2021-09-29,293.68,298.55,293.68,296.83,2424000
2021-09-30,297.98,298.4,288.63,289.19,4255000
2021-10-01,289.09,293.13,285.95,290.6,2814200
2021-10-04,289.4,291.26,285.58,287.61,2919900
2021-10-05,287.99,292.65,287.49,290.26,2514300
2021-10-06,289.1,291.3,286.67,291.04,2226800
2021-10-07,293.81,298.85,293.24,297.31,2789500
2021-10-08,293.37,295.49,291.5,294.55,2912200
2021-10-11,295.66,300.29,294.78,296.86,2589100
2021-10-12,298.77,300.46,297.24,297.59,2960300
2021-10-13,297.17,299.74,296.49,298.02,2477400
2021-10-14,300.0,303.38,299.62,303.1,2824300
2021-10-15,305.29,309.18,304.6,308.7,3473500
2021-10-18,307.46,313.58,307.46,312.76,3487500
2021-10-19,314.46,315.47,312.24,315.38,2375600
2021-10-20,315.16,316.77,313.81,315.59,2574800
2021-10-21,315.57,321.42,315.5,321.22,2885400
2021-10-22,321.56,323.35,319.05,322.43,2734700
2021-10-25,323.49,327.42,322.43,327.07,2923400
2021-10-26,328.95,329.53,325.15,325.26,2989500
2021-10-27,325.85,330.5,325.35,328.01,2840300
2021-10-28,328.6,329.43,326.75,327.34,2553500
2021-10-29,326.25,330.5,325.99,327.49,3820200
2021-11-01,328.6,329.11,321.29,322.86,3380500
2021-11-02,322.61,324.98,321.5,323.57,2367100
2021-11-03,322.99,325.4,321.78,325.05,2378800
2021-11-04,326.65,328.81,325.44,327.88,3210000
2021-11-05,329.32,329.85,323.82,324.55,3090200
2021-11-08,326.16,328.53,324.07,324.72,2357200
2021-11-09,325.67,329.38,324.83,326.53,2183300
2021-11-10,324.42,327.03,323.95,324.71,2161400
2021-11-11,326.84,327.72,322.29,323.87,2387300
2021-11-12,325.19,329.05,323.05,328.28,2793300
2021-11-15,329.83,330.25,325.34,326.91,3650600
2021-11-16,336.53,347.44,333.89,345.63,8648200
2021-11-17,346.07,351.89,344.29,347.85,4647000
2021-11-18,350.63,358.15,348.95,357.54,4503700
2021-11-19,359.11,361.29,356.01,360.05,3542000
2021-11-22,361.02,366.98,360.06,360.13,4006400
2021-11-23,357.39,360.92,355.04,359.76,3557000
2021-11-24,355.62,363.62,354.93,363.06,2676300
2021-11-26,358.79,364.85,354.37,354.77,3007800
2021-11-29,358.47,361.91,357.71,358.4,3725500
2021-11-30,355.55,359.82,352.61,352.93,7773500
2021-12-01,355.69,362.92,354.04,354.22,3516200
2021-12-02,355.45,363.31,354.73,360.72,3705000
2021-12-03,362.56,367.94,357.78,360.76,5237500
2021-12-06,365.81,372.08,363.77,367.74,4624500
2021-12-07,368.89,370.27,365.37,368.16,4204500
2021-12-08,368.16,371.41,361.17,363.8,4079400
2021-12-09,363.4,367.34,361.18,363.88,3822900
2021-12-10,364.63,367.66,362.92,367.47,2625200
2021-12-13,367.47,368.44,357.84,358.48,3766400
2021-12-14,356.9,358.87,352.15,355.79,4662800
2021-12-15,354.4,360.86,353.31,360.76,4421400
2021-12-16,361.28,361.69,352.19,353.43,4632800
2021-12-17,351.17,352.06,342.72,343.22,11097500
2021-12-20,339.95,345.15,336.95,344.47,4294800
2021-12-21,346.44,348.33,339.02,345.42,3038200
2021-12-22,345.89,350.11,343.99,349.99,3267800
2021-12-23,352.34,353.71,349.09,351.26,2743900
2021-12-27,353.0,357.78,352.26,357.47,2228300
2021-12-28,358.26,360.06,356.5,359.35,2521400
2021-12-29,359.49,364.79,359.43,363.44,2209300
