Date,Open,High,Low,Close,Volume
2021-09-07,203.09,203.09,198.69,198.84,3259984
2021-09-08,198.67,200.59,197.85,200.15,2456926
2021-09-09,199.71,200.66,198.3,198.84,1960503
2021-09-10,198.87,200.85,198.19,198.34,2385401
2021-09-13,200.08,201.32,198.19,199.43,2803724
2021-09-14,199.83,199.9,195.96,196.39,2731188
2021-09-15,196.78,198.82,196.35,197.73,2045280
2021-09-16,197.36,197.48,194.9,195.91,2421417
2021-09-17,196.1,196.1,193.99,194.88,4442821
2021-09-20,192.73,194.3,191.04,192.41,4055253
2021-09-21,193.36,193.49,191.18,191.67,2598660
2021-09-22,193.05,194.82,192.94,193.56,2307706
2021-09-23,193.81,197.44,193.81,195.95,2205426
2021-09-24,195.99,196.94,194.86,195.5,1971833
2021-09-27,195.28,196.07,194.2,194.35,2224952
2021-09-28,193.21,194.75,191.29,191.74,2685056
2021-09-29,192.5,193.02,191.36,191.69,2133598
2021-09-30,192.81,192.88,189.18,189.34,2968625
2021-10-01,189.96,193.03,188.77,192.34,2303052
2021-10-04,191.99,193.21,190.15,191.06,2662901
2021-10-05,190.52,193.59,190.52,192.4,1578296
2021-10-06,190.67,193.54,190.09,193.42,1756147
2021-10-07,194.44,196.1,194.18,194.77,1874208
2021-10-08,195.04,195.82,193.31,194.17,1360485
2021-10-11,193.89,194.63,191.99,192.02,1371006
2021-10-12,192.39,192.87,190.81,191.17,1399839
2021-10-13,192.02,193.26,189.93,192.28,1618864
2021-10-14,193.69,195.13,193.13,194.96,1442126
2021-10-15,196.49,197.52,195.56,196.86,2206033
2021-10-18,194.96,197.53,194.3,196.78,1905266
2021-10-19,197.44,197.86,195.74,197.81,1618257
2021-10-20,198.21,199.51,196.96,199.47,1676225
2021-10-21,199.45,200.56,197.33,200.25,2680099
2021-10-22,198.87,199.7,193.76,193.9,3539406
2021-10-25,193.38,195.33,192.34,194.03,2742013
2021-10-26,194.62,196.64,193.34,194.72,2472404
2021-10-27,194.53,194.58,191.96,192.4,1666311
2021-10-28,191.21,195.13,191.21,194.87,1970619
2021-10-29,194.44,196.49,193.6,194.99,2645804
2021-11-01,195.06,196.27,194.5,196.01,1717602
2021-11-02,196.7,197.98,195.55,197.28,2324196
2021-11-03,197.03,198.94,195.85,198.72,2081295
