Date,Open,High,Low,Close,Volume
2021-07-12,12.59,12.64,12.5,12.56,5872300
2021-07-13,12.49,12.51,11.88,11.95,15287300
2021-07-14,12.06,12.35,11.99,12.16,10422500
2021-07-15,12.06,12.28,12.04,12.22,12683100
2021-07-16,12.34,12.36,12.0,12.03,9645700
2021-07-19,11.77,11.93,11.7,11.87,13289600
2021-07-20,11.89,12.16,11.87,12.13,9144700
2021-07-21,12.22,12.38,12.12,12.35,12163400
2021-07-22,12.31,12.34,12.09,12.17,9795400
2021-07-23,12.21,12.29,12.14,12.24,6787300
2021-07-26,12.45,12.74,12.45,12.53,11046900
2021-07-27,12.36,12.5,12.22,12.45,6485200
2021-07-28,12.59,12.63,12.33,12.55,6465900
2021-07-29,12.7,12.75,12.56,12.63,6440900
2021-07-30,12.54,12.65,12.5,12.59,8153700
2021-08-02,12.67,12.91,12.57,12.58,7937000
2021-08-03,12.66,12.92,12.44,12.89,5425500
2021-08-04,12.76,12.86,12.63,12.73,10097200
2021-08-05,12.83,12.88,12.71,12.75,4851100
2021-08-06,12.84,13.01,12.82,12.91,3664000
2021-08-09,12.9,12.9,12.72,12.78,4391000
2021-08-10,12.76,12.88,12.7,12.87,6880000
2021-08-11,12.93,13.27,12.8,13.19,6561100
2021-08-12,13.21,13.24,13.05,13.21,3993000
2021-08-13,13.2,13.2,12.99,13.01,5144900
2021-08-16,12.94,13.05,12.73,13.02,6356800
2021-08-17,12.95,12.99,12.72,12.95,7973000
2021-08-18,12.89,12.99,12.76,12.77,6290200
2021-08-19,12.66,12.7,12.39,12.48,7395200
2021-08-20,12.5,12.67,12.46,12.66,3944800
2021-08-23,12.7,12.85,12.63,12.76,5114400
2021-08-24,12.82,12.94,12.71,12.88,4760200
2021-08-25,12.88,13.22,12.86,13.12,5934300
2021-08-26,13.22,13.49,13.11,13.13,11897500
2021-08-27,13.11,13.45,13.01,13.39,9472400
2021-08-30,13.43,13.49,13.22,13.29,6611800
2021-08-31,13.33,13.48,13.31,13.42,10701500
2021-09-01,13.46,13.48,13.21,13.32,8202900
2021-09-02,13.38,13.44,13.23,13.36,11008100
2021-09-03,13.52,13.8,13.36,13.44,14355200
2021-09-07,13.37,13.44,13.01,13.04,12803000
2021-09-08,12.99,13.05,12.6,12.62,11716200
2021-09-09,12.58,12.8,12.55,12.73,8603500
2021-09-10,12.74,12.82,12.5,12.53,7289700
2021-09-13,12.56,12.59,12.37,12.52,15522900
2021-09-14,12.61,12.61,12.0,12.04,12737500
2021-09-15,12.04,12.14,11.94,12.03,16081300
2021-09-16,12.04,12.12,11.94,11.96,8015300
2021-09-17,11.83,11.91,11.69,11.86,26241800
2021-09-20,11.62,11.73,11.45,11.63,10765500
2021-09-21,11.69,11.74,11.37,11.39,9342300
2021-09-22,11.45,11.63,11.45,11.52,7783300
2021-09-23,11.6,11.91,11.57,11.77,6825700
2021-09-24,11.7,11.89,11.69,11.74,5792300
2021-09-27,11.74,12.42,11.74,12.26,12385400
2021-09-28,12.26,12.55,12.25,12.41,10810800
2021-09-29,12.4,12.47,12.26,12.33,9832400
2021-09-30,12.46,12.89,12.45,12.47,19163700
2021-10-01,12.55,12.87,12.54,12.8,9176400
2021-10-04,12.82,13.17,12.77,13.0,13567100
2021-10-05,13.09,13.26,12.94,13.16,13139800
2021-10-06,12.96,13.06,12.65,12.88,14791800
2021-10-07,13.01,13.09,12.91,12.93,10950800
2021-10-08,13.03,13.18,12.93,12.98,7742500
2021-10-11,13.0,13.2,12.96,13.01,7033700
2021-10-12,13.03,13.03,12.82,12.87,8642400
2021-10-13,12.85,12.98,12.71,12.89,8427700
2021-10-14,12.92,13.18,12.9,13.17,6386100
2021-10-15,13.24,13.38,13.24,13.26,7634300
2021-10-18,13.16,13.43,13.13,13.23,7891600
2021-10-19,13.31,13.52,13.21,13.45,9861900
2021-10-20,13.46,13.71,13.4,13.56,8391300
2021-10-21,13.49,13.7,13.38,13.56,9633200
2021-10-22,13.53,13.73,13.45,13.45,11745200
2021-10-25,13.49,13.57,13.44,13.49,9772600
2021-10-26,13.52,13.53,12.91,13.03,18426700
2021-10-27,13.01,13.01,12.67,12.76,11529700
2021-10-28,12.79,13.05,12.68,12.92,11965200
2021-10-29,12.94,13.21,12.82,12.82,16770800
2021-11-01,12.89,13.15,12.86,13.1,9549000
2021-11-02,13.13,13.35,13.09,13.34,12287200
2021-11-03,13.29,13.52,13.23,13.38,8439900
2021-11-04,13.33,13.45,13.25,13.37,8520300
2021-11-05,13.43,13.59,13.42,13.53,8812400
2021-11-08,13.57,13.7,13.49,13.52,6074500
2021-11-09,13.48,13.66,13.45,13.59,4894200
2021-11-10,13.59,13.93,13.56,13.76,9485700
2021-11-11,13.81,13.96,13.77,13.95,4824700
2021-11-12,13.38,13.44,12.75,12.82,19128800
2021-11-15,12.8,12.93,12.62,12.87,10511500
2021-11-16,12.89,12.97,12.73,12.76,7700000
2021-11-17,12.75,12.87,12.64,12.74,7534000
2021-11-18,12.74,12.82,12.53,12.79,6270200
2021-11-19,12.74,12.77,12.55,12.6,7238700
2021-11-22,12.68,13.11,12.64,12.93,10326200
2021-11-23,12.89,12.99,12.81,12.96,9195800
2021-11-24,13.02,13.17,12.96,13.01,10158300
2021-11-26,12.64,12.72,12.46,12.63,6651800
2021-11-29,12.74,12.88,12.54,12.79,12343500
2021-11-30,12.76,12.82,12.35,12.56,24941000
2021-12-01,12.28,12.75,12.13,12.44,22221700
2021-12-02,12.51,13.23,12.45,13.12,14524900
2021-12-03,13.24,13.69,13.04,13.28,19438800
2021-12-06,13.45,13.6,13.22,13.24,12473700
2021-12-07,13.39,13.66,13.21,13.54,14903100
2021-12-08,13.61,13.83,13.54,13.64,11366600
2021-12-09,13.6,13.69,13.5,13.57,8569000
2021-12-10,13.72,13.77,13.34,13.42,9774300
2021-12-13,13.38,13.44,12.89,13.05,10867600
2021-12-14,12.9,13.18,12.84,12.85,13978400
2021-12-15,12.92,13.07,12.79,13.05,10934700
2021-12-16,13.18,13.4,13.05,13.19,11932500
2021-12-17,13.2,13.37,13.06,13.3,17967500
2021-12-20,13.14,13.2,12.88,13.1,11378300
2021-12-21,13.22,13.61,13.22,13.6,9422200
2021-12-22,13.6,13.73,13.48,13.72,6693800
2021-12-23,13.79,14.0,13.74,13.9,6735600
2021-12-27,13.89,14.09,13.85,14.04,4456300
2021-12-28,14.03,14.15,13.98,14.09,6010800
2021-12-29,14.09,14.3,14.06,14.18,5867300
2021-12-30,14.13,14.27,13.99,14.02,6608100
2021-12-31,14.03,14.12,13.89,13.91,4315900
2022-01-03,14.02,14.32,14.02,14.24,8569100
2022-01-04,14.41,14.97,14.41,14.85,16823500
2022-01-05,14.86,15.3,14.86,14.9,10922700
2022-01-06,15.09,15.13,14.79,14.97,8571700
2022-01-07,14.98,15.21,14.98,15.11,10482700
2022-01-10,15.17,15.29,14.77,15.0,15250000
2022-01-11,15.1,15.1,14.81,15.03,16455800
2022-01-12,15.12,15.27,14.96,15.13,7975700
2022-01-13,15.22,15.52,15.06,15.43,9726800
2022-01-14,15.32,15.53,15.15,15.49,8547000
2022-01-18,15.45,15.53,15.17,15.28,10282200
2022-01-19,15.26,15.33,14.75,14.77,11762000
2022-01-20,14.86,15.02,14.56,14.71,18906200
2022-01-21,14.71,14.72,14.21,14.24,10121400
2022-01-24,13.98,14.23,13.63,14.2,11759700
2022-01-25,14.04,14.11,13.59,14.02,11657100
2022-01-26,14.18,14.25,13.78,13.97,10817100
2022-01-27,14.12,14.4,13.78,13.95,12857800
2022-01-28,13.87,14.24,13.83,14.23,11142100
2022-01-31,14.19,14.46,14.01,14.41,16818400
2022-02-01,14.43,14.87,14.37,14.83,10422500
2022-02-02,14.76,15.07,14.73,15.02,8890000
2022-02-03,14.96,15.13,14.85,14.86,7035100
2022-02-04,14.83,15.01,14.67,14.86,6702500
2022-02-07,15.0,15.04,14.81,14.94,6955400
2022-02-08,15.09,15.13,14.93,15.09,6457600
2022-02-09,15.16,15.28,15.09,15.26,8012200
2022-02-10,15.17,15.67,15.14,15.31,9406300
2022-02-11,15.31,15.51,15.07,15.17,8804600
2022-02-14,15.24,15.26,14.75,14.88,9019400
2022-02-15,15.01,15.41,14.96,15.33,7447100
2022-02-16,15.25,15.63,15.24,15.56,8063400
2022-02-17,15.39,15.47,15.16,15.21,8985800
2022-02-18,15.21,15.45,15.14,15.29,9652000
2022-02-22,15.16,15.37,14.79,14.94,11734200
2022-02-23,15.06,15.09,14.59,14.66,7846200
2022-02-24,14.24,14.37,13.89,14.34,11558400
2022-02-25,14.13,14.26,13.64,14.13,18758600
2022-02-28,13.89,14.1,13.74,14.04,18104500
2022-03-01,14.06,14.16,13.47,13.59,14194400
2022-03-02,14.31,15.16,14.25,14.99,20561000
2022-03-03,15.01,15.01,14.64,14.78,16233100
2022-03-04,14.42,14.51,14.2,14.49,10468300
2022-03-07,14.47,14.49,13.88,13.91,9691700
2022-03-08,14.19,14.62,14.18,14.19,12353300
2022-03-09,14.5,14.62,14.38,14.44,12569700
2022-03-10,14.28,14.55,14.2,14.54,10586400
2022-03-11,14.66,14.83,14.56,14.71,11139400
2022-03-14,14.78,14.93,14.37,14.5,10739100
2022-03-15,14.5,14.81,14.4,14.69,14246300
2022-03-16,14.81,14.97,14.65,14.89,11061500
2022-03-17,14.66,14.93,14.46,14.86,10839600
2022-03-18,14.75,15.2,14.61,15.14,25124800
2022-03-21,15.21,15.41,14.98,15.15,9128400
2022-03-22,15.29,15.37,15.09,15.22,12037600
2022-03-23,15.15,15.29,15.07,15.08,7361400
2022-03-24,15.16,15.24,15.05,15.15,13534300
2022-03-25,15.24,15.61,15.21,15.59,11028500
2022-03-28,15.46,15.51,15.19,15.45,6572600
2022-03-29,15.62,15.69,15.45,15.61,6015400
2022-03-30,15.55,15.65,15.29,15.36,4783700
2022-03-31,15.15,15.25,14.83,14.85,10402900
2022-04-01,15.0,15.0,14.27,14.48,8138800
2022-04-04,14.45,14.56,14.2,14.5,10025400
2022-04-05,14.37,14.51,13.99,14.04,8198500
2022-04-06,13.95,13.99,13.75,13.84,9878100
2022-04-07,14.21,14.3,13.87,14.22,14207800
2022-04-08,14.24,14.48,14.08,14.31,8942200
2022-04-11,14.24,14.41,14.04,14.05,6340600
2022-04-12,13.77,14.09,13.61,13.69,10502100
2022-04-13,13.72,13.82,13.61,13.76,10134300
2022-04-14,13.79,13.88,13.64,13.67,7197400
2022-04-18,13.72,14.0,13.69,13.96,8378800
2022-04-19,14.14,14.37,14.06,14.32,8929400
2022-04-20,14.41,14.81,14.41,14.68,9380700
2022-04-21,14.77,14.88,14.46,14.5,9459500
2022-04-22,14.44,14.44,13.98,14.0,7175600
2022-04-25,13.85,13.89,13.53,13.85,8561800
2022-04-26,13.75,13.86,13.55,13.57,6586000
2022-04-27,13.56,13.76,13.37,13.67,10787200
2022-04-28,13.92,14.06,13.8,13.95,10054600
2022-04-29,13.91,14.16,13.68,13.69,10581000
2022-05-02,13.69,13.83,13.32,13.67,7912100
2022-05-03,13.7,13.93,13.65,13.77,7605300
2022-05-04,13.83,14.32,13.78,14.3,9560000
2022-05-05,14.17,14.34,14.0,14.17,16828700
2022-05-06,14.14,14.17,13.84,13.94,11665700
2022-05-09,13.76,14.21,13.74,14.08,17107000
2022-05-10,14.22,14.61,14.11,14.41,20076800
2022-05-11,14.41,14.6,13.83,13.85,8743800
2022-05-12,13.84,13.93,13.58,13.88,13933100
2022-05-13,14.01,14.25,13.92,14.17,7308400
2022-05-16,14.09,14.29,14.0,14.19,6482600
2022-05-17,14.44,14.93,14.4,14.89,10950300
2022-05-18,14.71,14.78,13.91,14.01,13338700
2022-05-19,13.66,13.67,12.95,13.37,21103000
2022-05-20,13.15,13.15,12.03,12.58,24256000
2022-05-23,12.62,12.95,12.58,12.89,11306900
2022-05-24,12.76,12.99,12.45,12.94,13173400
2022-05-25,12.79,13.37,12.79,13.25,10757000
2022-05-26,13.29,13.48,13.22,13.41,12225600
2022-05-27,13.87,14.2,13.81,14.03,11996300
2022-05-31,13.93,14.08,13.67,13.86,19470600
2022-06-01,14.05,14.25,13.85,14.02,12804600
2022-06-02,13.18,13.34,12.65,13.29,23221200
2022-06-03,13.14,13.49,13.11,13.4,9442500
2022-06-06,13.55,13.71,13.41,13.53,9342400
2022-06-07,13.39,13.68,13.21,13.63,9358700
2022-06-08,13.59,13.59,13.3,13.3,6808000
2022-06-09,13.25,13.37,13.02,13.05,6899000
2022-06-10,12.88,12.99,12.68,12.75,8798800
2022-06-13,12.44,12.56,12.22,12.28,12877100
2022-06-14,12.24,12.41,12.15,12.25,10104800
2022-06-15,12.33,12.78,12.28,12.61,13743300
2022-06-16,12.3,12.33,11.86,11.96,11242200
2022-06-17,12.03,12.18,11.8,12.02,18452900
2022-06-21,12.42,12.56,12.3,12.45,10029000
2022-06-22,12.24,12.42,12.21,12.3,8189600
2022-06-23,12.32,12.42,12.02,12.2,8189100
2022-06-24,12.31,12.67,12.23,12.6,12053500
2022-06-27,12.69,12.76,12.56,12.66,6200800
2022-06-28,12.72,12.8,12.31,12.32,9494300
2022-06-29,12.38,12.38,11.93,11.97,8272800
2022-06-30,11.77,11.96,11.7,11.88,13551500
2022-07-01,11.85,11.92,11.41,11.61,12884700
2022-07-05,11.38,11.5,11.11,11.5,13734700
2022-07-06,11.45,11.55,11.25,11.44,10532500
2022-07-07,11.68,11.81,11.6,11.68,11056600
2022-07-08,11.74,11.92,11.61,11.82,8138400
2022-07-11,11.66,11.82,11.65,11.7,7588900
2022-07-12,11.77,12.01,11.67,11.76,10452200
2022-07-13,11.57,11.72,11.5,11.65,7631100
2022-07-14,11.42,11.7,11.35,11.66,8154800
2022-07-15,11.8,11.9,11.62,11.89,7955800
2022-07-18,11.99,12.07,11.76,11.79,6544700
2022-07-19,11.95,12.36,11.93,12.35,7146200
2022-07-20,12.32,12.59,12.26,12.46,8719100
2022-07-21,12.38,12.61,12.3,12.6,8386300
2022-07-22,12.53,12.61,12.26,12.34,8985400
2022-07-25,12.45,12.48,12.29,12.44,9531900
2022-07-26,12.43,12.6,12.31,12.35,6587300
2022-07-27,12.39,12.59,12.29,12.54,8790700
2022-07-28,12.52,12.69,12.43,12.62,6780700
2022-07-29,12.63,12.84,12.54,12.76,9064700
2022-08-01,12.64,12.94,12.63,12.92,7503600
2022-08-02,12.82,12.88,12.63,12.7,6823900
2022-08-03,12.76,12.89,12.62,12.79,7380000
2022-08-04,12.75,12.83,12.68,12.8,7153700
2022-08-05,12.65,12.94,12.6,12.87,9264600
2022-08-08,13.01,13.12,12.83,12.9,6772700
2022-08-09,12.86,12.89,12.5,12.62,10262900
2022-08-10,12.8,13.06,12.76,13.0,9706000
2022-08-11,13.12,13.3,13.08,13.14,8397900
2022-08-12,13.22,13.31,13.19,13.26,11828800
2022-08-15,13.15,13.36,13.1,13.31,7899100
2022-08-16,13.3,13.5,13.29,13.4,8315600
2022-08-17,13.35,13.49,13.23,13.38,11520600
2022-08-18,13.46,13.62,13.44,13.59,10958200
2022-08-19,13.47,13.52,13.27,13.31,11403200
2022-08-22,13.16,13.16,12.88,12.91,10733700
2022-08-23,12.97,13.11,12.9,12.91,11379300
2022-08-24,12.9,12.97,12.76,12.87,13000500
2022-08-25,12.99,13.3,12.99,13.29,9603100
2022-08-26,13.11,13.13,12.31,12.33,16798200
2022-08-29,12.2,12.51,12.14,12.29,13678800
2022-08-30,12.33,12.4,12.15,12.23,12077000
2022-08-31,12.28,12.37,12.12,12.19,25985300
2022-09-01,12.1,12.13,11.76,11.98,16665000
2022-09-02,12.17,12.2,11.81,11.86,16069500
2022-09-06,11.89,11.96,11.69,11.78,14080800
2022-09-07,11.75,11.94,11.67,11.91,9868000
2022-09-08,11.81,11.97,11.72,11.97,17411800
2022-09-09,12.04,12.2,12.02,12.14,12016700
2022-09-12,12.27,12.5,12.24,12.44,12058800
2022-09-13,12.17,12.25,11.83,11.92,12455800
2022-09-14,11.95,11.99,11.69,11.78,12622900
2022-09-15,11.78,12.02,11.72,11.82,12627200
2022-09-16,11.67,11.86,11.58,11.81,16887100
2022-09-19,11.65,11.85,11.59,11.74,7887400
2022-09-20,11.62,11.63,11.46,11.54,7748300
2022-09-21,11.63,11.74,11.37,11.39,8679600
2022-09-22,11.39,11.41,11.16,11.21,12333300
2022-09-23,11.06,11.09,10.76,10.99,13636000
2022-09-26,10.92,11.07,10.78,10.86,14779600
2022-09-27,11.0,11.06,10.79,10.89,14029300
2022-09-28,10.86,11.15,10.84,11.1,14349100
2022-09-29,11.01,11.01,10.82,10.96,17697700
2022-09-30,10.96,11.14,10.82,10.83,13870500
2022-10-03,11.0,11.27,10.87,11.18,14231900
2022-10-04,11.37,11.62,11.36,11.62,11791300
2022-10-05,11.45,11.77,11.37,11.71,11658700
2022-10-06,11.64,11.74,11.59,11.67,12361200
2022-10-07,11.45,11.51,11.19,11.27,12885200
2022-10-10,11.35,11.36,10.98,11.12,11474300
2022-10-11,11.06,11.21,10.94,11.04,18397200
2022-10-12,11.07,11.32,10.98,11.17,14517800
