Date,Open,High,Low,Close,Volume
2021-09-13,23.36,23.58,23.29,23.5,8211300
2021-09-14,23.58,23.58,22.77,22.83,6591300
2021-09-15,22.82,23.26,22.68,23.15,7104500
2021-09-16,23.16,23.35,23.05,23.22,6107400
2021-09-17,23.06,23.15,22.74,22.92,13268800
2021-09-20,22.41,22.61,22.2,22.56,8460700
2021-09-21,22.77,22.78,22.17,22.22,8719100
2021-09-22,22.57,23.0,22.52,22.85,7844300
2021-09-23,23.0,23.38,22.95,23.17,6323200
2021-09-24,23.06,23.35,23.02,23.1,4292900
2021-09-27,23.07,24.0,23.07,23.78,8797800
2021-09-28,23.68,24.46,23.56,23.67,11729800
2021-09-29,22.83,23.19,22.5,22.62,11513300
2021-09-30,22.89,23.26,22.53,22.66,10304100
2021-10-01,22.8,23.4,22.65,23.25,7473400
2021-10-04,23.16,23.64,23.15,23.26,7881600
2021-10-05,23.42,23.6,23.14,23.44,6966900
2021-10-06,23.11,23.31,22.68,22.98,8765000
2021-10-07,23.16,23.51,23.11,23.23,7714800
2021-10-08,23.44,23.5,23.03,23.1,7211700
2021-10-11,23.16,23.27,22.85,22.92,7319100
2021-10-12,22.92,23.04,21.91,21.99,15261700
2021-10-13,21.91,22.09,21.62,21.93,12821900
2021-10-14,22.18,22.87,22.1,22.77,7555300
2021-10-15,22.87,23.7,22.87,23.42,14068400
2021-10-18,23.26,23.96,23.26,23.69,8972100
2021-10-19,23.77,24.08,23.7,23.9,8696400
2021-10-20,24.0,24.27,23.6,23.68,11236500
2021-10-21,24.39,25.51,24.28,25.32,21188500
2021-10-22,25.24,25.67,25.1,25.24,11161000
2021-10-25,25.55,25.66,25.05,25.37,7640300
2021-10-26,25.47,25.49,24.84,24.96,8680700
2021-10-27,25.0,25.1,24.56,24.6,7504800
2021-10-28,24.79,25.29,24.72,25.22,7023000
2021-10-29,25.07,25.41,24.93,25.12,7772500
2021-11-01,25.19,25.89,25.14,25.88,8312500
2021-11-02,25.88,26.2,25.47,25.68,8487500
2021-11-03,25.59,25.99,25.47,25.88,6253200
2021-11-04,25.91,26.21,25.77,25.95,5267000
2021-11-05,26.16,26.54,26.09,26.46,8504100
2021-11-08,26.42,26.73,26.1,26.17,7662000
2021-11-09,26.15,26.59,26.11,26.31,4536900
2021-11-10,26.25,26.62,26.0,26.1,6744800
2021-11-11,26.17,26.56,26.12,26.25,4589900
2021-11-12,26.23,26.44,26.02,26.35,6016700
2021-11-15,26.44,26.53,25.86,25.96,7091100
2021-11-16,25.99,26.24,25.85,25.85,5973300
2021-11-17,25.85,25.94,25.55,25.62,6997200
2021-11-18,25.76,26.06,25.38,26.01,6979300
2021-11-19,26.06,26.33,25.86,26.05,7931600
2021-11-22,26.17,26.97,26.02,26.44,10940100
2021-11-23,26.54,26.94,26.37,26.66,13042700
2021-11-24,28.16,29.99,28.16,29.35,34001100
2021-11-26,28.7,29.19,28.49,28.64,9289800
2021-11-29,28.8,29.89,28.71,29.76,16670700
2021-11-30,29.46,29.78,28.93,29.22,20479200
2021-12-01,29.81,31.79,29.54,30.2,24511000
2021-12-02,30.19,31.7,30.07,31.17,18331200
2021-12-03,31.36,31.88,30.76,31.1,16219000
2021-12-06,31.31,31.65,30.58,30.59,12219500
2021-12-07,31.1,31.44,30.84,31.09,10699300
2021-12-08,31.24,31.31,30.55,30.61,10980600
2021-12-09,30.02,30.43,29.86,30.14,14452800
2021-12-10,30.41,30.73,30.0,30.38,9650500
2021-12-13,30.27,30.35,29.38,29.42,10614700
2021-12-14,29.22,29.91,29.04,29.68,11187100
2021-12-15,29.8,30.28,29.47,30.24,9127000
2021-12-16,30.32,30.88,30.15,30.6,12380000
2021-12-17,30.44,31.09,30.42,30.49,30029500
2021-12-20,30.09,30.18,29.67,30.13,9298300
2021-12-21,30.49,30.9,30.27,30.87,9113800
2021-12-22,30.78,31.14,30.4,31.09,6947900
2021-12-23,30.97,31.72,30.95,31.39,6620900
