Date,Open,High,Low,Close,Volume
2021-09-07,15.76,15.85,15.68,15.73,3552400
2021-09-08,15.73,15.73,15.32,15.35,2018800
2021-09-09,15.32,15.59,15.28,15.38,1899600
2021-09-10,15.41,15.43,15.23,15.29,2006000
2021-09-13,15.34,15.41,15.08,15.14,2752400
2021-09-14,15.16,15.19,14.85,14.95,2632400
2021-09-15,14.92,15.18,14.88,15.01,2828400
2021-09-16,15.01,15.13,14.84,14.96,2751600
2021-09-17,15.02,15.1,14.86,14.98,7181200
2021-09-20,14.78,14.79,14.32,14.52,3893600
2021-09-21,14.57,14.71,14.44,14.46,2499200
2021-09-22,14.49,14.73,14.49,14.67,1802000
2021-09-23,14.72,15.17,14.69,15.14,2236400
2021-09-24,15.05,15.3,15.04,15.27,1674800
2021-09-27,15.35,16.0,15.31,15.99,3992800
2021-09-28,15.99,16.09,15.87,15.87,4629600
2021-09-29,15.82,15.9,15.66,15.76,4959200
2021-09-30,15.81,15.92,15.17,15.18,7296800
2021-10-01,15.22,15.84,15.18,15.71,2930400
2021-10-04,15.74,15.84,15.5,15.56,3573200
2021-10-05,15.63,16.34,15.56,16.33,4421200
2021-10-06,16.18,16.89,16.18,16.85,5369600
2021-10-07,16.89,17.46,16.88,17.19,4060000
2021-10-08,17.18,17.54,17.07,17.45,2434400
2021-10-11,17.5,17.59,17.42,17.51,2514000
2021-10-12,17.5,17.85,17.39,17.47,3049600
2021-10-13,17.44,17.6,17.19,17.29,3744800
2021-10-14,17.46,17.46,16.96,17.25,3704800
2021-10-15,17.35,17.62,17.3,17.31,2689600
2021-10-18,17.21,17.74,17.11,17.44,5344800
2021-10-19,17.53,17.97,17.4,17.95,3658800
2021-10-20,17.66,18.28,17.64,18.26,5157600
2021-10-21,18.0,18.29,17.85,18.04,3218800
2021-10-22,18.08,18.15,17.85,18.13,2386800
2021-10-25,18.15,18.32,17.99,18.0,1995200
2021-10-26,18.04,18.16,17.7,17.71,2579200
2021-10-27,17.6,17.75,17.35,17.47,2038000
2021-10-28,17.45,17.48,17.01,17.19,3555200
2021-10-29,16.99,17.29,16.99,17.25,1936400
2021-11-01,17.38,18.14,17.26,18.11,7484000
2021-11-02,18.15,18.15,17.8,18.08,5466400
2021-11-03,18.09,18.57,18.03,18.38,3008000
2021-11-04,18.46,18.46,18.0,18.15,1993200
2021-11-05,18.26,18.4,17.91,17.97,2419200
2021-11-08,18.0,18.19,17.82,17.93,1804800
2021-11-09,17.62,17.91,17.53,17.77,1404000
2021-11-10,17.71,17.96,17.61,17.83,1943600
2021-11-11,17.73,18.04,17.73,17.82,1641600
2021-11-12,17.77,17.91,17.66,17.87,1555600
2021-11-15,17.95,18.3,17.87,18.02,2657600
2021-11-16,18.02,18.22,17.9,18.1,1942400
2021-11-17,18.1,18.1,17.87,18.0,2152400
2021-11-18,18.01,18.19,17.84,18.17,2432000
2021-11-19,18.07,18.44,18.02,18.15,3620400
2021-11-22,18.26,18.72,18.26,18.53,3676400
2021-11-23,18.5,18.7,18.18,18.67,4473600
2021-11-24,18.68,19.12,18.48,18.84,4525200
2021-11-26,18.29,18.36,17.97,18.1,2456800
2021-11-29,18.29,18.48,18.08,18.34,2523200
2021-11-30,18.12,18.25,17.95,17.99,4969600
2021-12-01,18.21,18.74,18.18,18.28,5562800
2021-12-02,18.37,18.72,18.1,18.65,4923200
2021-12-03,18.73,18.75,18.04,18.26,4193200
2021-12-06,18.31,18.61,18.15,18.4,2800400
2021-12-07,18.65,18.9,18.58,18.71,2663200
2021-12-08,18.67,18.88,18.55,18.81,2873200
2021-12-09,18.72,18.77,18.53,18.62,3384000
2021-12-10,18.63,18.71,18.33,18.58,2905600
2021-12-13,18.48,18.58,18.29,18.33,2807200
2021-12-14,18.24,18.58,18.19,18.52,2844000
2021-12-15,18.57,18.72,18.26,18.65,2424800
2021-12-16,19.07,19.77,18.96,19.16,5260400
2021-12-17,19.12,19.15,18.69,18.8,5963600
