Date,Open,High,Low,Close,Volume
2021-07-12,111.47,111.81,111.08,111.54,2302200
2021-07-13,111.52,111.76,110.94,111.19,1359400
2021-07-14,110.82,111.19,110.05,110.71,2922100
2021-07-15,110.19,110.94,110.07,110.53,1607200
2021-07-16,110.88,111.33,110.3,110.6,1435200
2021-07-19,109.83,110.92,109.25,109.94,3704600
2021-07-20,110.12,112.1,109.99,111.61,2180800
2021-07-21,111.95,113.19,111.82,112.63,1541700
2021-07-22,112.98,113.02,112.07,112.76,1541700
2021-07-23,112.92,113.91,112.78,113.69,1347100
2021-07-26,113.49,113.52,112.22,112.82,1283500
2021-07-27,112.68,114.14,112.28,113.4,1941900
2021-07-28,113.71,114.11,112.93,113.65,1672400
2021-07-29,112.25,114.68,112.18,113.18,3461600
2021-07-30,112.16,113.72,112.05,112.26,2381300
2021-08-02,112.65,113.0,111.7,111.88,1993200
2021-08-03,111.62,112.0,110.13,111.59,2256200
2021-08-04,111.56,112.22,111.01,111.98,1459000
2021-08-05,112.35,112.4,111.08,111.87,1600200
2021-08-06,112.31,112.63,111.93,112.42,1505700
2021-08-09,112.58,112.9,111.72,112.39,1412900
2021-08-10,112.62,112.62,111.24,112.03,1776400
2021-08-11,112.39,112.5,111.02,111.22,1600500
2021-08-12,110.97,110.97,109.84,110.58,1733200
2021-08-13,110.54,110.65,109.29,109.49,1356500
2021-08-16,109.08,110.64,108.62,110.58,1505600
2021-08-17,110.19,110.83,109.69,110.18,1673700
2021-08-18,110.33,110.41,108.02,108.1,2444800
2021-08-19,107.06,109.4,106.81,109.02,2061300
2021-08-20,109.34,110.47,108.85,109.75,1982400
2021-08-23,110.27,111.22,110.1,110.61,1504200
2021-08-24,110.82,110.91,109.72,109.98,989900
2021-08-25,110.18,110.46,109.79,109.89,1037000
2021-08-26,110.06,110.34,109.74,110.12,1509100
2021-08-27,110.33,111.08,110.12,110.93,1598500
2021-08-30,111.2,112.49,110.94,111.82,1374400
2021-08-31,111.99,112.36,111.67,111.98,2399700
2021-09-01,112.16,113.31,111.43,113.0,1398900
2021-09-02,113.3,113.82,112.43,113.1,1376800
2021-09-03,112.85,113.99,112.85,113.47,1874700
2021-09-07,113.36,113.36,110.92,111.24,2929300
2021-09-08,111.13,112.35,110.78,112.17,2516500
2021-09-09,112.32,113.17,111.86,111.9,2099700
2021-09-10,112.42,112.42,111.22,111.33,1893800
2021-09-13,112.11,112.98,109.91,111.06,2654700
2021-09-14,111.43,111.79,111.02,111.72,1926400
2021-09-15,111.91,112.46,111.21,111.56,3189400
2021-09-16,111.53,112.04,111.12,111.72,2049900
2021-09-17,111.29,111.54,110.18,110.57,4100800
2021-09-20,109.4,110.42,108.61,109.75,2783800
2021-09-21,109.92,110.83,109.44,109.67,2644100
2021-09-22,110.18,110.41,109.41,109.83,2726100
2021-09-23,110.32,112.02,110.19,111.7,2087500
2021-09-24,111.46,112.64,111.2,112.48,1796300
2021-09-27,112.65,112.65,110.73,111.45,2733800
