Date,Open,High,Low,Close,Volume
2021-07-12,33.76,34.07,33.67,33.97,4036800
2021-07-13,33.96,34.03,33.54,33.58,3047800
2021-07-14,33.47,33.97,33.47,33.76,3592600
2021-07-15,33.73,33.81,33.57,33.75,3027000
2021-07-16,33.91,34.1,33.78,33.87,2613100
2021-07-19,33.64,33.73,32.94,33.25,2985100
2021-07-20,33.47,34.34,33.25,34.11,3743700
2021-07-21,34.12,34.24,33.76,33.83,2317500
2021-07-22,33.8,33.92,33.64,33.77,2616500
2021-07-23,33.77,34.4,33.77,34.34,1666500
2021-07-26,34.25,34.39,33.96,34.11,1609900
2021-07-27,34.15,34.58,34.07,34.49,5885400
2021-07-28,34.49,34.51,34.14,34.36,4565600
2021-07-29,34.47,34.82,33.95,34.44,3272900
2021-07-30,34.58,34.91,34.47,34.47,2964600
2021-08-02,34.68,34.89,34.34,34.41,2395500
2021-08-03,34.47,34.59,33.99,34.25,2185300
2021-08-04,34.28,34.4,34.04,34.25,2583500
2021-08-05,34.44,34.55,33.99,34.26,2209100
2021-08-06,34.2,34.34,34.0,34.0,2580800
2021-08-09,33.98,34.06,33.74,33.86,2212000
2021-08-10,33.9,34.03,33.09,33.11,2115900
2021-08-11,33.25,33.37,33.1,33.29,1714200
2021-08-12,33.46,33.59,33.24,33.38,1863800
2021-08-13,33.45,33.73,33.35,33.72,2883500
2021-08-16,33.42,33.79,33.39,33.74,2957500
2021-08-17,33.72,34.25,33.57,33.72,7211000
2021-08-18,33.55,34.28,33.38,34.14,6254500
2021-08-19,33.95,34.42,33.83,34.23,3508800
2021-08-20,34.24,34.6,34.14,34.45,3425700
2021-08-23,34.47,34.77,34.22,34.33,2541600
2021-08-24,34.34,34.45,33.93,34.13,2976000
2021-08-25,34.09,34.48,33.97,34.11,3120500
2021-08-26,34.21,34.52,34.14,34.3,3046500
2021-08-27,34.31,34.5,34.19,34.47,2523600
2021-08-30,34.59,35.18,34.34,35.15,2880900
2021-08-31,35.04,35.11,34.77,35.05,3330200
2021-09-01,35.28,35.82,35.14,35.68,4219600
2021-09-02,35.78,36.15,35.42,36.14,2969900
2021-09-03,36.04,36.04,34.99,35.7,4317300
2021-09-07,35.68,35.68,34.95,35.15,2736300
2021-09-08,34.99,35.71,34.99,35.53,3249100
2021-09-09,35.42,35.46,34.94,34.98,5245400
2021-09-10,34.99,35.08,34.25,34.29,3561600
2021-09-13,34.5,34.86,34.37,34.53,5210100
2021-09-14,34.64,34.74,34.33,34.54,4858500
2021-09-15,34.6,34.71,34.31,34.38,3633000
2021-09-16,34.31,34.71,33.97,34.44,4473800
2021-09-17,34.43,34.5,33.86,33.95,13404900
2021-09-20,33.69,34.08,33.41,33.93,4698100
2021-09-21,34.09,34.44,33.95,34.02,3149100
2021-09-22,34.16,34.71,34.08,34.48,4129900
2021-09-23,34.71,35.05,34.43,34.43,3276200
2021-09-24,33.92,34.09,33.65,33.72,9666400
2021-09-27,33.7,33.7,32.78,32.82,5930200
2021-09-28,32.59,33.02,32.44,32.8,3812900
2021-09-29,32.95,33.38,32.91,33.15,2582100
2021-09-30,33.28,33.33,32.59,32.62,3546800
2021-10-01,32.83,33.25,32.55,33.03,2429700
2021-10-04,32.91,33.16,32.8,32.97,3715300
2021-10-05,33.04,33.09,32.61,32.7,2651100
2021-10-06,32.53,32.91,32.14,32.89,4137800
2021-10-07,32.94,33.2,32.62,32.81,4958500
2021-10-08,32.88,33.0,32.63,32.78,3402800
2021-10-11,32.8,32.94,32.64,32.87,3555500
2021-10-12,33.0,33.34,32.79,33.19,5854700
2021-10-13,33.09,33.95,33.02,33.92,5965600
2021-10-14,34.04,34.32,34.0,34.29,2251200
2021-10-15,34.41,34.47,34.05,34.2,3380700
2021-10-18,34.0,34.38,33.87,34.27,3217700
2021-10-19,34.37,34.48,34.16,34.2,3139700
2021-10-20,34.21,34.49,34.12,34.45,3957500
2021-10-21,34.46,34.49,34.2,34.3,2777300
2021-10-22,34.47,35.08,34.47,34.79,3228700
2021-10-25,34.8,35.07,34.65,34.92,2188900
2021-10-26,35.03,35.07,34.83,34.84,3545000
2021-10-27,35.05,35.1,34.33,34.44,3301900
2021-10-28,34.43,35.3,34.31,35.23,3655600
2021-10-29,35.16,35.58,34.95,35.11,3556800
2021-11-01,35.11,35.11,34.25,35.0,2652100
2021-11-02,35.24,35.6,35.02,35.35,2337700
2021-11-03,35.45,35.57,34.97,35.32,3417600
2021-11-04,35.32,35.48,34.54,34.64,2810000
2021-11-05,34.82,35.19,34.66,34.74,2621800
2021-11-08,34.75,34.77,34.22,34.58,2755800
2021-11-09,34.61,34.71,34.38,34.64,3076800
2021-11-10,34.77,34.83,34.39,34.67,2577500
2021-11-11,34.7,34.74,34.28,34.65,1802800
2021-11-12,34.73,34.86,34.56,34.66,3020900
2021-11-15,34.67,34.96,34.5,34.95,1725500
2021-11-16,34.95,34.99,34.46,34.62,4031500
2021-11-17,34.56,34.62,33.92,34.61,2652300
2021-11-18,34.7,35.09,34.59,35.09,3731500
2021-11-19,35.12,35.25,34.7,34.96,2552000
2021-11-22,34.98,35.14,34.62,34.83,2581400
2021-11-23,34.83,35.35,34.69,35.17,2109300
2021-11-24,35.18,35.94,35.1,35.86,2474500
2021-11-26,35.56,35.83,35.15,35.17,1981700
2021-11-29,35.37,35.64,35.01,35.27,4738400
2021-11-30,35.15,35.45,34.54,34.56,6647600
2021-12-01,34.86,35.47,34.02,34.02,4386000
2021-12-02,34.22,35.51,34.18,35.33,3447500
2021-12-03,35.47,35.71,35.15,35.59,3826500
2021-12-06,35.88,36.5,35.84,36.15,2831700
2021-12-07,36.4,36.73,36.24,36.46,3627500
2021-12-08,36.54,37.24,36.42,36.99,3578200
2021-12-09,36.92,37.06,36.5,36.51,4226100
2021-12-10,36.53,36.78,36.33,36.52,3885600
2021-12-13,36.53,37.15,36.53,36.89,3601400
2021-12-14,36.82,36.88,35.86,36.01,3910800
2021-12-15,36.02,36.67,35.97,36.63,4664500
2021-12-16,36.47,36.83,36.12,36.35,4707500
2021-12-17,36.62,37.0,36.4,36.66,7740100
2021-12-20,36.29,36.56,35.92,36.34,4280700
2021-12-21,36.55,37.07,36.55,37.04,3121300
2021-12-22,37.18,37.6,37.18,37.59,2818200
2021-12-23,37.68,37.85,37.3,37.56,1651500
2021-12-27,37.66,38.06,37.42,38.06,1616100
2021-12-28,38.06,38.24,37.92,38.11,1869100
2021-12-29,38.15,38.79,38.04,38.6,2528800
2021-12-30,38.62,38.81,38.53,38.59,1685100
2021-12-31,38.62,39.14,38.62,38.75,2882400
2022-01-03,38.79,38.99,37.61,38.43,4325400
2022-01-04,38.45,39.07,38.45,38.57,3216300
2022-01-05,38.65,38.91,37.42,37.51,3806300
2022-01-06,37.58,37.71,37.21,37.39,3193700
2022-01-07,37.2,37.4,36.46,36.68,4345300
2022-01-10,36.32,36.45,35.89,36.44,3238900
2022-01-11,36.47,36.94,36.07,36.89,2266400
2022-01-12,36.82,37.25,36.77,37.14,2131100
2022-01-13,37.23,37.45,36.9,37.28,4502800
2022-01-14,36.98,37.21,36.45,37.08,4374200
2022-01-18,36.86,37.05,36.5,36.97,2842100
2022-01-19,37.01,37.36,36.61,36.62,2818300
2022-01-20,36.4,36.64,35.73,35.76,6774800
2022-01-21,35.76,36.27,35.59,35.79,4604700
2022-01-24,35.46,35.71,34.53,35.63,4601600
2022-01-25,35.2,35.46,34.64,35.12,2887000
2022-01-26,35.31,35.62,34.46,34.74,3983500
2022-01-27,34.91,35.24,34.08,34.28,4778400
2022-01-28,34.31,35.56,33.81,35.54,3887400
2022-01-31,35.52,35.89,35.27,35.88,3277500
2022-02-01,36.06,36.08,35.43,35.74,5258200
2022-02-02,35.98,36.59,35.74,36.41,3349300
2022-02-03,36.04,36.5,36.04,36.24,3296500
2022-02-04,36.08,36.74,35.83,36.26,4752500
2022-02-07,36.29,36.42,35.58,35.61,4517900
2022-02-08,35.56,36.1,35.47,35.71,4991200
2022-02-09,36.15,36.59,36.15,36.59,4355700
2022-02-10,36.12,36.71,35.93,36.08,4262700
2022-02-11,36.22,36.47,35.52,35.94,4496300
2022-02-14,35.94,36.12,35.29,35.57,3667400
2022-02-15,35.85,36.08,35.33,35.52,3531600
2022-02-16,34.72,35.09,34.4,34.75,5832200
2022-02-17,34.72,34.79,33.55,33.75,6645000
2022-02-18,33.22,33.76,32.95,33.18,7939800
2022-02-22,32.66,33.66,32.62,33.33,6786900
2022-02-23,33.44,33.78,32.13,32.15,7735200
2022-02-24,31.63,32.32,31.06,32.01,15661100
2022-02-25,32.21,33.58,31.98,33.54,7078300
2022-02-28,33.01,33.21,32.23,32.47,7196700
2022-03-01,32.37,32.6,31.85,32.17,6195200
2022-03-02,32.36,33.65,32.36,33.42,6386300
2022-03-03,33.53,33.74,33.09,33.2,8453000
2022-03-04,32.9,33.73,31.96,33.68,5412400
2022-03-07,33.74,33.8,32.83,32.87,6338400
2022-03-08,32.79,33.62,32.64,33.18,10137000
2022-03-09,33.82,34.42,33.5,33.82,4785000
2022-03-10,33.53,33.92,33.39,33.86,2796900
2022-03-11,34.06,34.52,33.77,33.89,5340500
2022-03-14,34.08,34.38,33.42,33.59,4580100
2022-03-15,34.02,34.16,33.68,33.93,2778200
2022-03-16,34.26,34.67,33.51,34.19,4721700
2022-03-17,33.99,35.0,33.99,34.97,3250100
2022-03-18,34.83,35.1,34.15,34.96,6390400
2022-03-21,35.01,35.32,34.61,34.84,4628400
2022-03-22,35.0,35.15,34.62,34.7,2701700
2022-03-23,34.6,34.71,33.99,34.07,2822800
2022-03-24,34.1,34.49,33.99,34.44,3555100
2022-03-25,34.44,34.78,34.17,34.77,2938000
2022-03-28,34.89,35.16,34.54,34.77,4239600
2022-03-29,35.03,35.72,34.9,35.64,7613700
2022-03-30,35.39,35.43,34.94,35.15,3837500
2022-03-31,35.34,35.42,34.51,34.52,4800700
2022-04-01,34.5,35.3,34.5,35.26,3035200
2022-04-04,35.24,35.3,34.43,34.67,2314500
2022-04-05,34.54,35.14,34.38,34.56,4753600
2022-04-06,34.51,35.18,34.29,35.12,4748500
2022-04-07,34.84,35.21,34.42,35.02,4681200
2022-04-08,35.1,35.61,34.9,35.45,7694200
2022-04-11,35.39,35.56,35.11,35.27,4533100
2022-04-12,35.33,35.81,34.98,35.58,5186600
2022-04-13,35.42,35.97,35.42,35.94,3342600
2022-04-14,36.08,36.22,35.73,36.04,3185800
2022-04-18,36.02,36.25,35.64,35.82,3016300
2022-04-19,36.08,37.02,36.04,36.98,3386200
2022-04-20,37.26,37.94,37.26,37.72,5484300
2022-04-21,37.97,38.11,37.54,37.59,3749900
2022-04-22,37.46,37.61,36.98,37.01,3336200
2022-04-25,37.0,37.16,36.28,36.78,3847900
2022-04-26,36.65,36.92,36.06,36.09,2605700
2022-04-27,35.99,36.49,35.81,35.83,3593200
2022-04-28,35.66,36.07,34.27,35.39,5068200
2022-04-29,35.13,35.32,34.08,34.21,7926900
2022-05-02,34.19,34.32,32.22,32.98,5096100
2022-05-03,33.12,33.53,32.87,33.06,2828700
2022-05-04,32.95,33.49,32.39,33.29,3707400
2022-05-05,33.32,33.5,32.47,32.75,3744400
2022-05-06,32.45,33.08,31.97,32.64,4312400
2022-05-09,32.33,32.36,30.91,30.95,3410200
