Date,Open,High,Low,Close,Volume
2021-09-13,44.44,44.72,44.12,44.31,2163850
2021-09-14,44.37,44.44,43.6,43.67,2136394
2021-09-15,43.6,43.97,43.49,43.82,2419085
2021-09-16,43.99,44.12,43.74,43.75,2174621
2021-09-17,43.62,43.76,42.59,42.8,4828349
2021-09-20,41.98,42.31,41.44,42.26,2815613
2021-09-21,42.45,42.5,41.63,41.76,1886650
2021-09-22,42.15,42.81,42.09,42.45,2290464
2021-09-23,42.79,43.6,42.7,43.18,1830576
2021-09-24,43.18,43.63,42.96,43.08,1833427
2021-09-27,42.95,43.66,42.95,43.35,1877885
2021-09-28,43.59,43.75,43.07,43.12,1752960
2021-09-29,43.12,43.51,42.89,43.23,1973875
2021-09-30,43.45,43.48,42.24,42.29,3046771
2021-10-01,42.56,42.87,41.88,42.53,2733000
2021-10-04,42.33,43.21,42.33,42.99,3177300
2021-10-05,43.03,43.67,42.66,43.39,2075500
2021-10-06,43.13,43.46,42.4,43.15,1889900
2021-10-07,43.5,43.78,43.27,43.33,1505300
2021-10-08,43.16,43.67,43.16,43.43,2437500
2021-10-11,43.72,44.84,43.68,44.52,2307300
2021-10-12,44.31,45.06,44.05,44.51,1938400
2021-10-13,44.26,45.18,43.17,44.14,3041100
2021-10-14,44.47,44.72,43.86,44.57,2271700
2021-10-15,44.11,44.2,41.99,42.55,7205900
2021-10-18,42.31,42.61,42.08,42.22,3698100
2021-10-19,41.69,41.92,41.31,41.57,3824700
2021-10-20,41.53,42.99,41.53,42.75,2790400
2021-10-21,42.71,42.96,42.12,42.45,1679500
2021-10-22,42.68,43.09,42.29,42.35,2279700
2021-10-25,42.43,42.73,42.12,42.31,1787300
2021-10-26,42.42,42.68,41.91,42.36,2906500
2021-10-27,41.46,41.79,39.75,40.07,5247200
2021-10-28,39.99,40.35,39.57,39.68,3790900
2021-10-29,39.7,40.45,39.54,39.66,3188000
2021-11-01,39.02,39.69,38.75,39.21,4283800
2021-11-02,39.31,39.81,39.0,39.09,3939100
2021-11-03,38.91,39.95,38.91,39.86,3235300
2021-11-04,39.75,40.09,38.75,38.93,2900100
2021-11-05,39.11,39.71,38.99,39.03,2259500
2021-11-08,39.24,39.61,39.0,39.4,3276000
2021-11-09,39.27,39.58,39.05,39.35,2577100
2021-11-10,39.5,40.01,39.33,39.69,3359800
2021-11-11,39.82,40.15,39.49,40.05,2107200
2021-11-12,40.11,40.43,39.63,39.72,2452300
2021-11-15,39.82,39.88,39.53,39.86,2518700
2021-11-16,39.82,40.17,39.7,39.71,2047300
2021-11-17,39.62,39.78,39.31,39.44,2326400
2021-11-18,39.41,39.81,38.95,39.15,2186800
2021-11-19,38.75,38.91,38.09,38.35,2919200
2021-11-22,38.38,39.3,37.81,39.04,3318200
2021-11-23,39.15,39.17,38.7,38.94,1924300
2021-11-24,38.99,38.99,38.25,38.33,1892900
2021-11-26,37.43,38.53,37.22,38.31,2330700
2021-11-29,38.82,38.82,38.04,38.06,2721400
2021-11-30,37.73,37.8,36.5,36.69,6170700
2021-12-01,37.17,37.62,36.38,36.38,3947400
2021-12-02,36.6,37.25,36.33,36.98,4267600
2021-12-03,36.89,37.89,36.89,37.44,3939300
2021-12-06,37.77,38.28,37.77,37.92,4119900
2021-12-07,38.03,38.14,37.29,37.6,4326400
2021-12-08,37.69,38.05,37.25,37.4,11208600
2021-12-09,37.25,37.61,36.91,37.21,4403300
2021-12-10,37.48,37.48,36.87,36.99,4555100
2021-12-13,36.97,37.17,36.49,36.95,4100500
2021-12-14,37.0,37.29,36.59,36.71,6463200
2021-12-15,36.75,37.31,36.17,37.24,5467800
2021-12-16,37.41,38.0,37.33,37.89,5386500
2021-12-17,37.93,38.04,36.87,36.95,7606000
2021-12-20,36.45,36.63,35.36,35.92,5221000
2021-12-21,36.27,36.83,36.27,36.53,3963300
2021-12-22,36.54,36.79,36.2,36.49,3231700
2021-12-23,36.73,37.1,36.68,36.95,2403500
2021-12-27,36.92,37.39,36.87,37.34,1754000
2021-12-28,37.32,37.72,37.32,37.62,2112400
2021-12-29,37.49,37.87,37.49,37.66,1786900
2021-12-30,37.75,38.04,37.58,37.62,1669900
2021-12-31,37.53,38.02,37.53,37.87,1790300
2022-01-03,38.16,38.33,37.6,37.71,2808400
2022-01-04,37.9,39.53,37.88,39.07,4110600
2022-01-05,39.04,39.8,39.01,39.24,4216100
2022-01-06,39.65,39.71,38.74,38.96,2773900
2022-01-07,38.95,39.7,38.91,39.39,2796000
2022-01-10,39.58,39.84,38.7,39.15,3304400
2022-01-11,39.31,39.42,38.73,39.11,1955100
2022-01-12,39.13,39.37,38.87,39.08,2329500
2022-01-13,39.24,40.09,39.17,39.74,2639900
2022-01-14,39.41,39.96,39.18,39.9,2951100
2022-01-18,39.62,39.82,38.95,39.74,2866900
2022-01-19,39.91,40.03,39.37,39.78,2647600
2022-01-20,38.8,39.65,38.41,38.83,3592800
2022-01-21,38.88,38.98,37.96,38.12,4181300
2022-01-24,37.46,38.97,37.35,38.87,5386600
2022-01-25,38.26,38.95,37.78,38.48,3680300
2022-01-26,38.48,39.08,37.78,38.13,3673900
2022-01-27,38.25,39.05,37.02,37.39,5154600
2022-01-28,36.62,38.08,36.4,38.03,5011300
2022-01-31,37.85,39.11,37.61,38.89,6843600
2022-02-01,38.73,39.16,38.66,38.73,3273900
2022-02-02,38.67,38.85,38.29,38.45,2993600
2022-02-03,38.58,38.91,38.09,38.33,2886400
2022-02-04,38.26,38.67,37.65,37.71,3013100
2022-02-07,37.93,38.12,37.57,37.61,2989400
2022-02-08,37.96,38.25,37.54,38.0,2708700
2022-02-09,38.18,38.33,37.89,38.01,2125600
2022-02-10,37.91,38.27,37.46,37.57,2720300
2022-02-11,37.34,38.04,37.34,37.53,2852700
2022-02-14,37.62,37.75,36.82,37.26,3315600
2022-02-15,37.6,37.87,37.28,37.66,2769500
2022-02-16,37.53,38.12,37.14,37.54,2516100
2022-02-17,37.38,37.69,37.29,37.55,2764500
2022-02-18,37.61,38.34,37.54,38.05,3629600
2022-02-22,38.17,38.56,37.98,38.19,3862500
2022-02-23,38.3,38.3,36.67,36.72,4138000
2022-02-24,36.02,36.28,34.97,35.98,5724800
2022-02-25,36.04,37.36,36.04,36.98,3919600
2022-02-28,36.24,36.35,34.99,35.44,7338800
2022-03-01,35.09,35.29,33.26,33.6,7282900
2022-03-02,33.9,34.39,33.52,34.2,6100700
2022-03-03,34.46,34.95,34.19,34.38,4532300
2022-03-04,33.84,34.41,33.66,34.36,4062400
2022-03-07,34.31,34.36,33.34,33.36,4447200
2022-03-08,33.66,34.46,32.93,33.87,4859200
2022-03-09,34.73,34.86,34.27,34.33,3971800
2022-03-10,33.87,34.59,33.67,34.22,3090300
2022-03-11,34.49,34.93,34.3,34.54,2747100
2022-03-14,34.93,35.08,34.5,34.63,3529900
2022-03-15,34.83,35.35,34.53,35.16,3206500
2022-03-16,35.44,36.41,35.35,35.95,4003400
2022-03-17,35.66,36.61,35.66,36.61,3199400
2022-03-18,36.54,36.89,36.11,36.64,9498000
2022-03-21,36.61,36.92,36.09,36.44,3040200
2022-03-22,37.04,37.44,36.37,36.71,4265000
2022-03-23,36.49,36.68,36.32,36.33,2462100
