Date,Open,High,Low,Close,Volume
2021-07-12,21.45,21.87,21.31,21.62,6603500
2021-07-13,21.57,21.83,21.39,21.4,3801300
2021-07-14,21.55,21.88,20.98,21.06,2717500
2021-07-15,20.7,21.13,20.64,20.91,3285300
2021-07-16,21.1,21.12,20.13,20.26,2698800
2021-07-19,19.59,19.8,19.35,19.66,4367300
2021-07-20,19.66,20.45,19.48,20.34,3933700
2021-07-21,20.62,20.96,20.55,20.77,3243400
2021-07-22,20.78,20.79,20.31,20.34,3108800
2021-07-23,20.52,20.62,19.93,20.09,3604700
2021-07-26,20.13,20.45,19.97,20.3,5871600
2021-07-27,19.92,20.1,18.89,19.64,6248300
2021-07-28,19.7,19.75,19.01,19.54,6969500
2021-07-29,19.81,19.96,19.42,19.71,3694500
2021-07-30,19.64,20.08,19.57,19.74,7902500
2021-08-02,19.99,20.45,19.71,19.77,4200400
2021-08-03,19.87,19.9,19.36,19.83,4322100
2021-08-04,19.63,19.97,19.42,19.45,5165900
2021-08-05,19.61,19.87,19.5,19.71,3459300
2021-08-06,20.04,20.19,19.9,20.09,2976300
2021-08-09,20.09,20.38,19.86,20.11,2324600
2021-08-10,20.13,20.4,20.0,20.16,3129100
2021-08-11,20.36,20.9,20.29,20.78,3697200
2021-08-12,20.74,20.81,20.36,20.46,2589500
2021-08-13,20.51,20.56,20.24,20.25,2069200
2021-08-16,20.03,20.59,19.83,20.54,4881400
2021-08-17,20.24,20.34,19.9,20.09,4788400
2021-08-18,19.97,20.2,19.62,19.65,2633400
2021-08-19,19.26,19.49,18.86,19.09,3292100
2021-08-20,19.1,19.65,19.03,19.55,3849000
2021-08-23,19.72,20.1,19.62,19.97,2750900
2021-08-24,20.11,20.5,19.97,20.37,3450200
2021-08-25,20.43,20.83,20.28,20.65,2840100
2021-08-26,20.69,20.72,20.32,20.34,2466600
2021-08-27,20.32,20.99,20.31,20.94,2899200
2021-08-30,21.03,21.03,20.48,20.48,2611500
2021-08-31,20.46,20.77,20.26,20.63,5918200
2021-09-01,20.66,20.75,20.12,20.5,5239500
2021-09-02,20.61,20.96,20.56,20.63,3372800
2021-09-03,20.54,20.6,20.17,20.28,3477200
2021-09-07,20.28,20.37,20.01,20.16,6618300
2021-09-08,19.93,20.11,19.8,20.0,3295400
2021-09-09,20.01,20.56,19.94,20.19,3172600
2021-09-10,20.36,20.36,19.9,20.05,2609100
2021-09-13,20.17,20.56,20.08,20.35,3251100
2021-09-14,20.64,20.83,20.23,20.33,4476700
2021-09-15,20.25,20.85,20.14,20.82,3466700
2021-09-16,20.9,21.0,20.23,20.28,5625200
2021-09-17,21.63,22.03,21.13,21.39,20223100
2021-09-20,20.49,20.54,19.22,19.53,8799200
2021-09-21,19.72,19.77,19.1,19.33,3702000
2021-09-22,19.76,19.97,19.71,19.8,6229300
2021-09-23,19.94,20.53,19.94,20.25,2925700
2021-09-24,20.14,20.37,19.97,20.33,2525700
2021-09-27,20.35,20.95,20.33,20.83,3401300
2021-09-28,20.64,20.94,20.29,20.31,4611800
2021-09-29,20.41,20.51,19.93,20.05,2539500
2021-09-30,20.08,20.19,19.62,19.65,4058500
2021-10-01,19.73,20.22,19.52,20.04,2916300
2021-10-04,19.75,20.13,19.56,19.64,4199400
2021-10-05,19.8,20.91,19.66,20.68,5939500
2021-10-06,20.28,20.68,20.04,20.64,5182900
2021-10-07,21.04,21.07,20.62,20.68,5229600
2021-10-08,20.57,20.87,20.33,20.4,2398600
2021-10-11,20.39,20.71,20.13,20.21,2781500
2021-10-12,20.09,20.15,19.66,19.75,2657800
2021-10-13,19.71,20.03,19.49,19.93,3508900
2021-10-14,20.29,20.62,19.99,20.51,2535300
2021-10-15,20.78,20.91,20.43,20.44,3479200
2021-10-18,20.3,20.37,19.98,20.15,3872800
2021-10-19,20.28,20.42,19.9,20.37,3115600
2021-10-20,20.37,20.76,20.3,20.72,2221700
2021-10-21,20.65,20.77,20.27,20.37,2684800
2021-10-22,20.59,20.7,20.27,20.47,3464400
2021-10-25,20.46,20.52,19.98,20.17,7595400
2021-10-26,20.33,21.16,20.13,20.84,5980900
