Date,Open,High,Low,Close,Volume
2021-09-09,107.61,108.92,107.24,107.36,489270
2021-09-10,107.6,108.21,105.44,105.59,537508
2021-09-13,106.62,107.35,105.66,106.57,427734
2021-09-14,107.3,107.34,105.29,105.35,564952
2021-09-15,105.09,107.9,104.91,107.71,691047
2021-09-16,107.43,108.34,105.82,105.89,639787
2021-09-17,105.01,105.96,103.2,103.4,1422111
2021-09-20,101.55,102.51,99.65,101.28,691410
2021-09-21,101.68,101.89,100.09,100.38,543432
2021-09-22,101.66,103.74,101.18,103.39,684519
2021-09-23,103.96,106.95,103.85,106.77,873118
2021-09-24,106.25,108.32,106.25,107.71,671946
2021-09-27,108.47,110.0,107.71,109.51,710512
2021-09-28,109.69,109.88,107.25,107.77,731790
2021-09-29,108.02,108.97,107.09,108.05,644139
2021-09-30,108.3,108.3,104.97,104.97,995466
2021-10-01,105.72,107.33,104.45,106.65,772532
2021-10-04,106.37,108.01,103.18,104.04,999576
2021-10-05,104.25,105.67,103.26,104.77,557214
2021-10-06,103.07,105.19,102.44,104.74,652602
2021-10-07,105.69,107.61,105.69,106.8,453968
2021-10-08,106.69,107.69,106.31,107.2,344677
2021-10-11,107.3,108.06,106.12,106.12,444538
2021-10-12,106.26,106.86,105.09,105.34,575470
2021-10-13,105.36,106.05,104.16,105.55,432690
2021-10-14,106.66,107.06,105.89,106.68,684398
2021-10-15,107.69,107.88,106.09,106.27,631203
2021-10-18,105.46,106.58,104.95,106.35,681617
2021-10-19,106.92,107.19,105.96,106.16,558665
2021-10-20,106.46,108.75,106.46,108.21,732515
2021-10-21,108.15,108.62,107.45,108.57,464124
2021-10-22,108.96,109.54,108.38,108.62,430998
2021-10-25,108.79,110.53,108.29,110.38,819319
2021-10-26,110.98,111.18,109.61,109.69,476455
2021-10-27,109.48,109.52,107.76,107.88,514538
2021-10-28,108.39,112.37,108.39,110.49,590098
2021-10-29,110.26,111.89,110.22,111.39,549719
2021-11-01,112.12,112.87,111.17,111.62,552137
2021-11-02,112.19,112.23,110.24,111.56,620202
2021-11-03,111.52,112.09,109.98,111.97,438131
2021-11-04,112.08,113.38,111.64,112.45,368736
2021-11-05,113.44,115.02,112.8,113.14,715831
2021-11-08,114.22,115.9,113.53,115.02,881339
2021-11-09,114.75,116.05,114.47,114.64,472828
2021-11-10,114.84,115.75,114.43,115.44,736625
2021-11-11,115.76,115.98,114.48,114.71,467146
2021-11-12,115.29,115.47,114.04,115.36,557335
2021-11-15,116.0,117.11,115.14,115.37,535936
2021-11-16,115.9,117.26,115.62,116.78,439219
2021-11-17,116.42,116.65,114.64,115.35,724657
2021-11-18,115.69,117.33,114.73,116.79,736746
2021-11-19,117.16,118.09,116.07,116.15,793205
2021-11-22,116.6,117.98,116.08,116.27,1071027
2021-11-23,114.47,114.74,110.67,114.23,1745390
2021-11-24,114.52,118.63,113.68,117.76,1126760
2021-11-26,115.06,116.4,114.29,115.6,619960
2021-11-29,116.62,117.52,115.09,115.89,669769
2021-11-30,114.98,115.74,112.7,113.09,1142356
2021-12-01,114.75,114.91,109.91,110.09,804690
2021-12-02,110.07,113.47,109.57,112.67,649580
2021-12-03,113.08,113.68,111.22,112.56,535332
2021-12-06,114.07,114.54,111.63,112.13,1054101
2021-12-07,113.4,115.1,112.84,113.84,684156
2021-12-08,113.72,114.94,113.29,114.62,425557
2021-12-09,114.4,114.41,112.75,112.77,468839
2021-12-10,113.44,114.51,113.14,113.79,459288
2021-12-13,113.83,114.19,110.91,111.76,663966
2021-12-14,111.51,112.6,110.43,111.26,544278
2021-12-15,111.23,111.87,109.63,111.12,445505
2021-12-16,111.79,112.81,109.05,109.61,992081
2021-12-17,109.28,109.64,106.97,107.51,1938462
2021-12-20,105.59,106.13,103.37,105.37,1157226
2021-12-21,106.3,107.28,105.82,106.49,778093
2021-12-22,106.69,107.04,105.61,106.77,665538
2021-12-23,106.94,109.39,106.94,108.96,442120
2021-12-27,109.47,110.27,108.58,110.25,408511
2021-12-28,110.35,111.49,109.98,111.22,393641
2021-12-29,111.22,112.03,109.66,109.67,506196
2021-12-30,110.26,111.01,109.67,110.13,306957
2021-12-31,110.36,111.07,109.71,110.45,294747
2022-01-03,110.68,112.13,109.86,110.72,621411
2022-01-04,111.35,113.57,110.45,113.08,777972
2022-01-05,113.27,114.09,110.18,110.32,655262
2022-01-06,111.06,111.16,109.89,110.17,469806
2022-01-07,109.93,110.44,108.37,108.83,620443
2022-01-10,108.57,108.57,105.36,105.94,848213
2022-01-11,105.76,106.44,103.97,106.42,731185
2022-01-12,106.69,107.35,104.83,104.96,1209212
2022-01-13,105.16,107.69,105.16,106.44,500393
2022-01-14,105.47,106.27,104.45,105.44,426404
2022-01-18,104.34,104.71,101.37,102.82,758629
2022-01-19,103.4,104.0,102.21,102.32,517439
2022-01-20,102.76,104.38,100.25,100.37,745814
2022-01-21,100.12,102.19,99.25,101.51,996070
2022-01-24,100.05,105.42,99.26,104.81,1520159
2022-01-25,102.38,103.47,99.29,100.89,1128453
2022-01-26,101.55,102.91,98.36,99.7,660219
2022-01-27,101.12,102.33,99.46,100.35,878317
2022-01-28,99.92,101.68,98.44,101.62,543069
2022-01-31,101.27,103.35,100.9,103.27,612464
2022-02-01,103.68,103.88,102.28,103.21,739890
2022-02-02,103.11,105.2,102.33,104.41,1033790
2022-02-03,103.94,104.39,102.06,102.29,611013
2022-02-04,101.33,102.09,100.39,101.28,1232061
2022-02-07,101.87,102.52,100.84,101.59,888472
2022-02-08,101.55,102.63,98.24,98.56,1235446
2022-02-09,98.41,101.87,98.26,101.33,968989
2022-02-10,99.29,101.4,98.18,98.64,986036
2022-02-11,98.64,98.91,95.33,96.37,1539502
2022-02-14,96.53,96.63,94.06,95.72,1543492
2022-02-15,96.88,98.21,96.63,98.21,943964
2022-02-16,98.24,98.25,95.43,96.51,857643
2022-02-17,95.63,96.22,94.52,94.95,1043462
2022-02-18,94.95,95.74,94.2,94.91,952064
2022-02-22,94.94,95.92,94.13,94.82,866711
2022-02-23,95.3,95.33,93.03,93.22,853775
2022-02-24,91.29,95.05,90.7,94.91,765762
2022-02-25,94.9,98.07,94.4,97.92,832376
2022-02-28,96.6,97.95,95.55,97.76,1177899
2022-03-01,97.78,98.77,96.71,97.77,1103185
2022-03-02,98.42,101.01,98.38,100.55,959680
2022-03-03,101.38,102.13,100.36,101.6,744967
2022-03-04,100.62,101.85,100.19,101.71,707368
2022-03-07,101.9,101.9,97.62,97.65,979387
2022-03-08,97.64,99.18,96.28,96.63,1546031
2022-03-09,97.98,101.12,97.98,99.85,719579
2022-03-10,98.35,99.24,97.78,99.05,1153478
2022-03-11,99.79,100.66,98.7,99.38,773378
2022-03-14,100.35,102.32,99.92,100.82,988454
2022-03-15,101.74,105.66,101.48,104.29,1665840
2022-03-16,104.96,108.87,104.92,107.84,1795562
2022-03-17,106.93,109.78,106.67,109.71,1056277
2022-03-18,110.93,112.29,109.45,112.25,2344193
2022-03-21,112.05,112.87,110.82,111.19,1084204
2022-03-22,111.04,112.21,109.76,109.92,652723
2022-03-23,109.45,109.45,107.62,107.85,954240
2022-03-24,107.91,110.32,107.69,110.18,453726
2022-03-25,110.5,110.5,108.6,109.59,521066
2022-03-28,109.31,110.35,108.93,110.12,442120
2022-03-29,111.28,111.73,109.76,110.28,515867
2022-03-30,110.25,111.59,110.09,110.91,516835
2022-03-31,110.85,111.7,109.51,109.53,754035
2022-04-01,109.77,111.09,109.55,110.94,591670
2022-04-04,111.34,111.88,110.0,111.21,577646
2022-04-05,111.28,112.78,110.64,111.16,825364
2022-04-06,110.25,112.83,109.76,112.08,939732
2022-04-07,111.43,115.07,111.25,114.15,1283080
2022-04-08,114.45,115.43,113.75,114.09,1159644
2022-04-11,114.19,115.05,113.05,113.41,914223
2022-04-12,113.44,114.11,111.04,111.51,823067
2022-04-13,111.47,114.02,111.47,114.01,614036
2022-04-14,114.61,115.87,114.31,114.98,787765
2022-04-18,114.34,115.0,113.7,114.56,533881
2022-04-19,114.67,117.33,114.14,117.12,816055
2022-04-20,118.17,119.33,116.88,117.17,1072115
2022-04-21,118.49,119.48,116.97,117.76,762860
2022-04-22,117.39,117.39,112.84,113.02,843861
2022-04-25,112.76,112.76,109.34,111.55,1075500
2022-04-26,111.0,112.22,109.53,109.55,676056
2022-04-27,110.93,112.48,110.36,112.44,857039
2022-04-28,113.03,113.66,111.36,112.95,705676
2022-04-29,112.56,113.41,109.71,110.12,916278
2022-05-02,110.36,111.16,107.23,109.56,1302182
2022-05-03,109.89,110.75,107.45,110.16,1597412
2022-05-04,110.35,113.6,108.81,113.21,1057728
2022-05-05,111.86,112.61,108.58,109.34,1049144
2022-05-06,109.07,109.87,106.51,109.53,834794
2022-05-09,108.06,108.22,103.03,103.53,995224
2022-05-10,104.86,106.05,101.83,103.45,861754
2022-05-11,103.08,106.55,102.7,103.91,842048
2022-05-12,103.39,104.5,101.39,103.49,804932
2022-05-13,104.5,106.36,104.5,105.78,490963
2022-05-16,105.66,106.9,104.51,106.31,588647
2022-05-17,107.88,108.67,107.13,108.31,688508
2022-05-18,107.6,108.21,104.91,105.08,919422
2022-05-19,103.68,107.42,103.01,106.32,918938
2022-05-20,107.1,108.09,105.04,108.05,794172
2022-05-23,109.24,109.67,107.97,109.01,763344
2022-05-24,108.54,109.14,106.37,109.03,640633
2022-05-25,108.33,109.65,107.77,109.15,408390
