Date,Open,High,Low,Close,Volume
2021-09-27,29.63,30.13,29.62,29.83,6453600.0
2021-09-28,29.69,29.97,29.6,29.86,10209000.0
2021-09-29,29.9,30.71,29.78,30.39,8728300.0
2021-09-30,30.51,30.61,30.12,30.13,6257400.0
2021-10-01,30.94,31.1,29.19,29.28,15124600.0
2021-10-04,29.12,29.35,28.61,28.86,9622000.0
2021-10-05,28.89,29.81,28.86,29.49,7410100.0
2021-10-06,29.27,30.11,29.18,30.09,7420500.0
2021-10-07,30.24,30.89,30.09,30.88,8532500.0
2021-10-08,30.86,31.08,30.7,30.91,6099600.0
2021-10-11,30.96,31.12,30.77,30.98,5606700.0
2021-10-12,31.04,31.13,30.83,31.01,10416500.0
2021-10-13,31.16,31.69,31.11,31.67,8727600.0
2021-10-14,31.75,32.22,31.3,31.39,9785000.0
2021-10-15,31.43,31.47,30.91,31.14,5894600.0
2021-10-18,31.06,31.09,30.63,30.66,4628400.0
2021-10-19,30.65,30.71,30.37,30.65,2993800.0
2021-10-20,30.76,30.97,30.64,30.78,3015700.0
2021-10-21,30.67,30.76,30.19,30.32,4347900.0
2021-10-22,30.39,30.68,30.38,30.57,3067500.0
2021-10-25,30.62,30.63,30.33,30.38,3442800.0
2021-10-26,30.4,30.58,30.24,30.5,3193200.0
2021-10-27,30.58,30.61,30.1,30.16,4506600.0
2021-10-28,30.43,31.32,30.24,31.3,5121100.0
2021-10-29,31.34,32.12,31.21,31.83,7624500.0
2021-11-01,31.7,32.16,31.58,32.1,5263400.0
2021-11-02,32.15,32.22,31.58,31.73,4208800.0
2021-11-03,31.58,31.9,31.48,31.83,6673400.0
2021-11-04,31.82,32.11,31.73,31.88,3088800.0
2021-11-05,32.06,32.19,31.93,32.09,4523200.0
2021-11-08,32.1,32.26,31.28,31.54,5731900.0
2021-11-09,31.59,31.96,31.5,31.56,6364300.0
2021-11-10,31.64,31.98,31.48,31.64,9510200.0
2021-11-11,31.66,31.66,31.35,31.42,2533000.0
2021-11-12,31.44,31.63,31.28,31.46,3839600.0
2021-11-15,31.37,31.5,31.22,31.5,2316700.0
2021-11-16,31.74,31.81,31.36,31.38,3344800.0
2021-11-17,31.3,31.5,31.16,31.47,3429900.0
2021-11-18,31.44,31.5,31.19,31.37,4703700.0
2021-11-19,31.37,31.37,30.88,31.01,4255900.0
2021-11-22,31.0,31.66,30.65,31.63,5887100.0
2021-11-23,31.63,31.95,31.42,31.67,4522600.0
2021-11-24,31.66,31.68,31.21,31.42,3885900.0
2021-11-26,31.42,31.42,30.8,30.85,2846500.0
2021-11-29,30.56,31.11,30.56,31.02,3977500.0
2021-11-30,31.02,31.02,29.8,29.98,5796000.0
2021-12-01,30.32,30.35,29.58,29.6,4991600.0
2021-12-02,29.8,30.32,29.8,30.13,6371200.0
2021-12-03,30.24,30.44,29.98,30.4,7301700.0
2021-12-06,30.69,30.95,30.58,30.69,5610100.0
2021-12-07,30.56,30.88,30.37,30.81,5232800.0
2021-12-08,30.61,30.81,30.3,30.7,5109700.0
2021-12-09,30.61,30.68,30.24,30.51,5401100.0
2021-12-10,30.7,31.39,30.63,31.15,5941500.0
2021-12-13,31.2,31.36,31.02,31.13,5709400.0
2021-12-14,31.12,31.3,30.9,30.92,7993300.0
2021-12-15,30.92,31.56,30.91,31.44,6516900.0
2021-12-16,31.38,31.78,31.29,31.49,7527500.0
2021-12-17,31.37,31.8,31.29,31.47,10614800.0
2021-12-20,31.05,31.35,30.92,31.29,4841200.0
2021-12-21,31.34,31.41,31.0,31.15,4734900.0
2021-12-22,31.13,31.67,31.02,31.64,5576900.0
2021-12-23,31.67,31.78,31.43,31.7,6120300.0
2021-12-27,31.43,31.88,31.43,31.85,2842300.0
2021-12-28,31.82,32.09,31.79,32.08,2509700.0
2021-12-29,32.04,32.34,32.0,32.26,3438600.0
2021-12-30,32.36,32.62,32.32,32.35,4015000.0
2021-12-31,32.32,32.59,32.17,32.51,3726600.0
2022-01-03,32.32,32.42,31.97,32.38,3508900.0
2022-01-04,32.45,32.99,32.43,32.86,5305600.0
2022-01-05,32.74,33.28,32.6,32.83,5777400.0
2022-01-06,32.78,33.59,32.78,33.18,6505000.0
2022-01-07,33.07,33.16,32.79,33.07,4939200.0
2022-01-10,33.12,33.29,32.91,33.07,7937500.0
2022-01-11,32.99,33.6,32.8,33.54,7580500.0
2022-01-12,33.46,33.71,33.29,33.7,7862300.0
2022-01-13,33.73,34.14,33.56,34.09,7646100.0
2022-01-14,34.06,34.88,33.84,34.82,8022500.0
2022-01-18,34.62,34.67,33.7,33.82,9632700.0
2022-01-19,33.93,34.23,33.68,34.02,5019300.0
2022-01-20,34.02,34.27,33.76,33.78,4903500.0
2022-01-21,33.92,34.32,33.51,33.54,6089300.0
2022-01-24,33.7,33.93,33.13,33.84,10963700.0
2022-01-25,33.63,34.05,33.18,33.76,6712700.0
2022-01-26,33.43,33.81,32.95,33.16,10407900.0
2022-01-27,33.16,34.15,33.16,33.33,5411900.0
2022-01-28,33.07,33.39,32.85,33.37,8513700.0
2022-01-31,33.08,33.76,33.07,33.64,8517600.0
2022-02-01,33.68,33.85,33.23,33.81,5775200.0
2022-02-02,33.95,34.48,33.84,34.37,5636500.0
2022-02-03,34.34,34.62,34.06,34.35,7443700.0
2022-02-04,34.03,34.26,33.58,33.9,5495900.0
2022-02-07,33.98,34.33,33.82,34.19,5469300.0
2022-02-08,34.28,34.6,34.11,34.44,6673400.0
2022-02-09,34.65,34.69,34.2,34.29,4168700.0
2022-02-10,33.71,34.32,33.7,33.93,6926000.0
2022-02-11,33.86,34.06,33.63,33.71,7005400.0
2022-02-14,33.79,33.89,33.34,33.77,6406200.0
2022-02-15,34.06,34.24,33.59,33.62,5583500.0
2022-02-16,33.64,33.84,33.38,33.62,7719100.0
2022-02-17,34.03,34.03,33.38,33.62,5994200.0
2022-02-18,33.49,34.23,33.48,34.11,6686300.0
2022-02-22,34.16,34.35,33.82,34.19,6932600.0
2022-02-23,34.16,34.34,33.74,33.74,7046400.0
2022-02-24,33.0,33.35,31.84,32.49,7374500.0
2022-02-25,32.71,34.05,32.67,33.95,8460500.0
2022-02-28,33.15,34.32,33.1,34.28,7980600.0
2022-03-01,34.02,34.39,33.67,33.83,6055500.0
2022-03-02,34.03,34.38,33.73,34.23,3860000.0
2022-03-03,34.29,34.47,34.16,34.23,5555900.0
2022-03-04,33.88,34.6,33.62,34.47,6418500.0
2022-03-07,34.38,34.79,33.74,33.81,6681800.0
2022-03-08,33.78,34.01,32.92,32.99,6479500.0
2022-03-09,33.43,33.62,32.78,33.36,9897100.0
2022-03-10,32.94,33.91,32.37,32.98,8174500.0
2022-03-11,33.1,33.46,32.58,32.63,6844900.0
2022-03-14,32.67,32.97,32.66,32.84,7036600.0
2022-03-15,33.13,33.25,32.89,33.1,6329300.0
2022-03-16,32.99,33.38,32.59,33.21,9275300.0
2022-03-17,33.18,33.78,33.18,33.51,5815000.0
2022-03-18,33.5,33.62,33.19,33.52,8574100.0
2022-03-21,33.51,33.81,33.22,33.49,4065700.0
2022-03-22,33.09,33.68,33.09,33.54,4241800.0
2022-03-23,33.49,33.68,32.64,32.68,5153300.0
2022-03-24,32.84,33.05,32.63,33.03,3461400.0
2022-03-25,32.97,33.36,32.93,33.31,2957900.0
2022-03-28,33.4,33.7,33.12,33.69,3424200.0
2022-03-29,33.7,34.09,33.55,33.94,4116300.0
2022-03-30,33.75,33.96,33.56,33.82,3625700.0
2022-03-31,33.99,34.14,33.75,33.76,4288500.0
2022-04-01,33.82,34.07,33.64,34.07,2568200.0
2022-04-04,33.89,34.18,33.5,34.17,4516200.0
2022-04-05,33.9,34.05,32.86,32.92,10494800.0
2022-04-06,32.96,33.89,32.8,33.7,7593100.0
2022-04-07,33.68,33.72,33.22,33.51,4763400.0
2022-04-08,33.58,33.75,33.33,33.54,5913600.0
2022-04-11,33.66,33.89,33.48,33.49,4409100.0
2022-04-12,33.6,33.76,33.27,33.52,6237100.0
2022-04-13,33.66,33.73,33.37,33.55,6241700.0
2022-04-14,33.62,33.67,33.13,33.18,5109900.0
2022-04-18,33.14,33.38,32.59,32.77,8055300.0
2022-04-19,32.89,33.58,32.74,33.46,8806500.0
2022-04-20,33.59,33.9,33.43,33.86,6061600.0
2022-04-21,33.92,34.1,33.39,33.42,6735300.0
2022-04-22,33.49,33.55,32.94,32.96,5430500.0
2022-04-25,33.25,33.35,32.64,33.23,6044500.0
2022-04-26,33.22,33.54,32.98,33.01,7729200.0
2022-04-27,33.18,34.02,33.12,33.73,6655300.0
2022-04-28,33.29,34.1,32.68,33.84,7437900.0
2022-04-29,33.85,34.34,33.25,33.32,7760800.0
