Date,Open,High,Low,Close,Volume
2021-07-12,57.32,58.07,56.62,57.96,2199600
2021-07-13,58.58,58.93,56.92,56.95,1112800
2021-07-14,57.02,57.21,56.21,56.47,1289600
2021-07-15,56.26,56.86,55.9,56.39,1467000
2021-07-16,56.7,56.75,55.76,55.83,1116700
2021-07-19,54.72,55.37,54.45,55.0,1888100
2021-07-20,55.35,56.53,55.06,56.14,2527300
2021-07-21,56.52,57.17,56.36,56.92,1209500
2021-07-22,57.19,58.31,56.88,58.2,2556500
2021-07-23,58.23,59.74,58.23,58.88,2369200
2021-07-26,58.95,59.5,58.49,59.27,1577400
2021-07-27,59.06,60.31,58.66,59.75,1773900
2021-07-28,60.02,60.09,59.1,59.87,1427700
2021-07-29,59.82,61.52,59.58,61.17,2273900
2021-07-30,60.77,61.65,60.72,61.12,2665900
2021-08-02,61.57,61.72,60.8,60.91,2504500
2021-08-03,62.86,63.01,60.78,62.12,2888300
2021-08-04,62.37,63.5,62.37,63.3,2755200
2021-08-05,64.04,64.63,63.71,64.46,3249800
2021-08-06,64.76,64.96,64.0,64.78,2861600
2021-08-09,64.9,65.0,63.92,64.07,2771200
2021-08-10,64.05,64.32,63.02,63.08,2918700
2021-08-11,63.91,63.99,62.99,63.09,2604000
2021-08-12,62.88,63.4,62.59,63.36,1918800
2021-08-13,63.55,64.09,63.42,63.45,1350500
2021-08-16,63.11,63.34,62.64,62.83,2145500
2021-08-17,62.27,62.83,60.76,61.02,2397500
2021-08-18,60.99,61.75,60.7,60.71,1813500
2021-08-19,59.49,60.28,59.19,59.76,2399100
2021-08-20,59.89,61.3,59.77,60.82,2951900
2021-08-23,61.38,62.14,61.31,61.89,1690800
2021-08-24,61.89,62.3,61.73,61.92,1288300
2021-08-25,61.85,62.4,61.85,61.99,1473300
2021-08-26,62.19,62.33,61.7,61.71,1562300
2021-08-27,61.76,62.05,61.33,61.68,2705500
2021-08-30,61.79,62.42,61.6,61.78,2443900
2021-08-31,61.85,62.13,61.51,61.76,2167200
2021-09-01,61.73,62.33,61.02,61.99,2635200
2021-09-02,62.45,62.45,61.54,61.92,3140600
2021-09-03,61.7,62.61,61.57,61.91,2721900
2021-09-07,61.59,61.68,60.27,60.3,3449300
2021-09-08,59.97,60.67,59.33,60.59,2514200
2021-09-09,60.57,61.38,60.06,60.44,1910200
2021-09-10,60.72,61.12,59.5,60.29,2654500
2021-09-13,61.48,61.5,60.41,60.83,2733500
2021-09-14,61.15,61.55,60.41,60.9,3565000
2021-09-15,60.77,62.29,60.7,62.08,5075900
2021-09-16,61.97,64.04,61.45,64.02,7308200
2021-09-17,64.04,64.42,63.41,63.87,7995600
2021-09-20,61.51,61.93,58.75,60.0,11430500
2021-09-21,60.87,61.45,60.28,61.04,5286200
2021-09-22,61.63,61.71,60.54,61.1,1862800
2021-09-23,61.38,61.78,60.78,61.15,2896200
2021-09-24,60.71,61.02,59.53,59.59,2627500
2021-09-27,59.35,59.73,58.18,59.11,2332600
2021-09-28,58.6,58.74,57.09,57.66,2209200
2021-09-29,57.98,58.81,57.49,58.45,1941200
2021-09-30,58.63,59.31,58.22,58.49,2969100
2021-10-01,58.94,59.63,58.25,59.26,2234200
2021-10-04,59.18,59.47,57.32,57.9,2094500
2021-10-05,58.4,59.8,57.91,59.45,1962700
2021-10-06,58.85,59.93,57.94,59.43,2731800
2021-10-07,60.35,61.87,60.23,60.89,2178000
2021-10-08,60.88,63.16,60.81,62.94,4013600
2021-10-11,63.44,64.69,62.7,62.86,2872200
2021-10-12,63.13,63.4,62.29,62.73,2055000
2021-10-13,63.48,63.6,62.51,63.19,2016100
2021-10-14,63.93,64.29,63.25,64.19,1574400
2021-10-15,64.84,64.85,63.43,63.61,1593600
2021-10-18,63.74,64.51,63.46,64.49,1684400
2021-10-19,64.88,65.84,64.39,65.82,2446400
2021-10-20,66.3,67.82,66.02,67.81,3231500
2021-10-21,67.69,70.29,67.63,70.25,3390000
2021-10-22,70.13,70.93,69.21,70.65,2843900
2021-10-25,71.33,72.14,70.65,71.92,2165600
2021-10-26,72.62,74.01,72.42,73.54,4030500
2021-10-27,73.1,73.83,72.02,73.34,4092300
2021-10-28,73.45,76.18,73.33,76.14,3684200
2021-10-29,75.33,76.61,74.71,76.54,6016200
2021-11-01,76.85,76.86,74.22,74.6,3668400
2021-11-02,72.39,77.81,72.26,77.59,8553400
2021-11-03,78.06,80.16,77.15,80.12,6857800
2021-11-04,80.57,80.6,77.31,77.89,2466400
2021-11-05,78.35,78.71,75.87,77.13,2803100
2021-11-08,76.38,77.52,75.01,75.83,4542900
2021-11-09,76.02,76.67,75.65,76.52,1761200
2021-11-10,75.25,75.62,73.02,73.08,3101800
2021-11-11,73.95,75.28,73.49,75.03,2364400
2021-11-12,75.08,75.98,75.08,75.83,1209500
2021-11-15,75.88,76.11,74.69,74.85,1365400
2021-11-16,74.14,75.44,74.08,75.21,2025700
2021-11-17,75.34,76.0,74.78,75.56,1680600
2021-11-18,75.56,76.19,74.98,75.47,1581300
2021-11-19,75.7,75.89,74.17,75.37,1979700
2021-11-22,75.8,76.89,74.65,75.36,2242600
2021-11-23,74.89,75.25,73.46,73.8,2328200
2021-11-24,73.17,73.92,72.3,73.83,1718700
2021-11-26,72.09,72.28,70.95,71.56,2079800
2021-11-29,73.79,73.91,71.95,73.45,1764700
2021-11-30,72.9,73.47,71.49,71.66,3916700
2021-12-01,73.22,73.95,71.17,71.23,2585800
2021-12-02,70.71,72.88,70.59,72.65,3484500
2021-12-03,73.1,73.91,69.86,70.86,2520900
2021-12-06,71.19,72.06,69.16,71.61,2344500
2021-12-07,73.69,74.96,73.13,74.79,2630400
2021-12-08,74.52,75.38,73.57,74.09,1801000
2021-12-09,73.68,74.37,72.77,72.92,1675200
2021-12-10,73.53,73.92,71.78,72.52,1299500
2021-12-13,72.4,72.66,69.68,69.68,2955700
2021-12-14,68.99,70.66,68.52,70.3,2888400
2021-12-15,70.61,71.63,68.92,71.17,3098600
2021-12-16,72.67,72.95,68.13,68.42,3320700
2021-12-17,67.38,69.45,66.43,68.9,3681500
2021-12-20,67.54,68.09,66.36,67.93,2950700
2021-12-21,68.54,69.73,68.44,69.45,1772900
2021-12-22,69.54,71.43,69.47,71.23,2675600
2021-12-23,71.6,73.51,71.6,72.9,2084800
2021-12-27,72.98,74.58,72.68,74.35,1692300
2021-12-28,75.14,75.46,73.71,73.85,1671000
2021-12-29,73.69,73.97,71.33,71.71,2138800
2021-12-30,72.0,72.99,71.88,71.97,1308300
2021-12-31,71.55,72.03,71.33,71.71,1269600
2022-01-03,71.68,72.37,69.98,70.76,2061700
2022-01-04,71.49,71.9,70.05,71.52,5905500
2022-01-05,71.39,71.5,65.85,66.39,6245900
2022-01-06,68.01,68.39,65.6,67.94,4383300
2022-01-07,67.73,68.03,66.36,66.89,2937600
2022-01-10,66.94,66.94,64.68,66.71,3005600
2022-01-11,67.05,69.28,66.64,68.99,3126800
2022-01-12,69.4,70.36,68.15,69.44,2577900
2022-01-13,69.7,70.53,67.16,67.24,3778900
2022-01-14,66.23,67.05,65.26,66.8,2946500
2022-01-18,65.46,66.56,64.94,65.41,2782900
2022-01-19,66.17,66.36,64.36,64.37,1648000
2022-01-20,65.23,66.86,64.42,64.56,1689500
2022-01-21,63.82,65.09,63.02,63.35,1957200
2022-01-24,61.65,63.23,58.84,62.96,4461000
2022-01-25,61.36,63.36,60.56,62.33,3302500
2022-01-26,63.81,64.64,61.86,62.11,4259400
2022-01-27,63.82,65.18,63.52,63.53,3718100
2022-01-28,63.61,65.67,62.84,65.63,4423200
2022-01-31,65.66,68.55,65.07,68.49,3496700
2022-02-01,68.97,69.76,68.2,69.74,2287800
2022-02-02,70.26,70.55,69.13,70.44,2407800
2022-02-03,68.6,69.46,68.12,68.25,1769900
2022-02-04,67.77,68.9,67.21,68.27,3417500
2022-02-07,68.19,68.92,67.52,68.08,3496000
2022-02-08,65.08,66.08,62.06,63.89,8759600
2022-02-09,64.97,66.7,64.86,66.25,3520400
2022-02-10,64.49,66.24,63.34,63.53,4075500
2022-02-11,63.53,63.77,60.04,60.41,5143900
2022-02-14,59.73,60.38,58.15,58.3,5940300
2022-02-15,59.98,60.46,58.95,60.16,3534700
2022-02-16,59.79,60.17,59.38,59.87,2175500
2022-02-17,59.26,59.78,56.28,56.35,4065300
2022-02-18,57.04,57.63,55.84,57.06,3921800
2022-02-22,55.63,57.8,55.63,55.98,4641200
2022-02-23,58.04,58.88,54.78,55.95,4226600
2022-02-24,53.64,57.06,53.17,56.69,4292300
