Date,Open,High,Low,Close,Volume
2021-09-07,32.64,32.68,32.19,32.56,5703000
2021-09-08,32.5,32.5,31.87,32.08,7748000
2021-09-09,32.0,33.23,31.96,33.13,12001000
2021-09-10,33.43,34.21,33.37,33.39,12413000
2021-09-13,33.78,34.13,33.27,33.87,9742000
2021-09-14,34.34,34.75,33.67,33.95,13493000
2021-09-15,34.04,35.01,33.72,34.99,15663000
2021-09-16,34.77,35.6,34.6,35.44,19707000
2021-09-17,35.66,35.68,34.92,35.23,21625000
2021-09-20,34.33,34.44,33.32,33.83,13123000
2021-09-21,34.19,34.24,33.3,33.97,11604000
2021-09-22,34.21,34.89,33.91,34.82,7624000
2021-09-23,34.93,35.47,34.84,35.34,9483000
2021-09-24,35.02,35.31,34.94,35.2,4338000
2021-09-27,34.72,35.19,34.56,34.84,8440000
2021-09-28,33.56,34.0,32.99,33.06,16206000
2021-09-29,33.21,33.31,31.89,31.94,12023000
2021-09-30,32.22,32.6,31.81,31.86,9622000
2021-10-01,32.07,32.24,31.32,31.91,9046000
2021-10-04,31.64,31.68,31.01,31.35,11476000
2021-10-05,31.72,31.86,31.27,31.55,7743000
2021-10-06,31.13,31.45,30.9,31.35,8209000
2021-10-07,31.77,32.02,31.37,31.44,8119000
2021-10-08,31.65,31.66,30.94,31.06,6431000
2021-10-11,30.92,31.55,30.91,30.98,5287000
2021-10-12,31.2,31.27,30.29,30.44,8555000
2021-10-13,30.85,31.05,30.39,30.52,6906000
2021-10-14,31.56,31.56,31.11,31.41,9590000
2021-10-15,31.45,31.66,31.23,31.35,7725000
2021-10-18,31.12,31.27,30.7,31.13,13778000
2021-10-19,31.02,31.69,31.01,31.64,8206000
2021-10-20,31.6,31.81,31.26,31.53,7020000
2021-10-21,31.14,32.02,30.8,31.96,8706000
2021-10-22,32.59,34.09,32.44,32.68,18562000
2021-10-25,33.12,33.12,32.55,32.69,10575000
2021-10-26,33.26,33.26,32.15,32.57,8680000
2021-10-27,32.48,32.9,32.03,32.44,11962000
2021-10-28,34.9,37.05,33.58,33.85,23508000
2021-10-29,33.55,35.64,33.53,35.51,16042000
2021-11-01,35.53,36.24,35.16,36.22,20494000
2021-11-02,36.3,37.04,36.29,37.03,11863000
2021-11-03,37.15,37.52,36.49,37.5,12373000
2021-11-04,37.54,39.02,37.5,38.97,17038000
2021-11-05,39.08,39.85,38.64,39.7,16555000
2021-11-08,39.7,39.94,39.11,39.32,12478000
2021-11-09,39.33,39.78,39.09,39.73,8377000
2021-11-10,39.06,39.82,38.42,38.52,11698000
2021-11-11,39.07,39.46,38.86,39.32,6201000
2021-11-12,39.39,39.85,39.13,39.47,6271000
2021-11-15,39.92,40.0,39.2,39.45,6542000
2021-11-16,39.44,40.49,39.27,40.41,11510000
2021-11-17,40.28,40.5,39.88,40.09,14766000
2021-11-18,40.38,40.57,39.86,40.42,8877000
2021-11-19,40.3,40.76,40.19,40.34,7463000
2021-11-22,40.48,40.8,38.9,38.95,16043000
2021-11-23,38.88,39.38,38.28,39.34,11616000
2021-11-24,39.19,39.47,38.31,39.47,7303000
2021-11-26,38.84,39.16,37.92,38.1,7563000
2021-11-29,38.47,39.59,38.47,39.52,10845000
2021-11-30,39.41,39.96,38.75,38.98,15486000
2021-12-01,39.66,40.89,38.98,39.36,16371000
2021-12-02,39.03,39.71,38.31,38.44,16100000
2021-12-03,38.93,39.24,37.68,38.26,13130000
2021-12-06,38.48,38.53,37.26,38.15,12843000
2021-12-07,38.83,40.15,38.75,40.03,13481000
2021-12-08,39.97,40.33,39.47,40.23,9522000
2021-12-09,39.94,40.12,39.04,39.09,10916000
2021-12-10,39.65,39.87,38.59,39.22,8338000
2021-12-13,39.22,39.23,37.9,38.17,11894000
2021-12-14,37.8,38.42,37.64,38.15,9933000
2021-12-15,38.24,39.3,37.51,39.15,21869000
2021-12-16,39.54,39.63,37.73,37.94,23066000
2021-12-17,37.85,37.96,36.96,37.39,32280000
2021-12-20,36.85,37.54,36.44,36.81,18502000
2021-12-21,38.5,39.36,38.3,39.1,22670000
2021-12-22,38.8,39.48,38.54,39.46,7196000
2021-12-23,39.65,40.54,39.63,40.18,8780000
2021-12-27,40.32,42.17,40.3,42.03,13028000
2021-12-28,42.17,42.25,41.09,41.27,7519000
2021-12-29,41.33,41.91,41.21,41.55,6139000
2021-12-30,41.58,41.64,40.71,40.78,6150000
2021-12-31,40.86,41.25,40.8,41.07,5250000
2022-01-03,41.17,41.6,40.64,41.55,10443000
2022-01-04,41.48,41.72,39.88,41.18,9649000
2022-01-05,41.27,41.55,40.08,40.18,11740000
2022-01-06,40.17,41.55,39.9,41.28,12685000
2022-01-07,41.05,41.59,39.74,39.81,11550000
2022-01-10,39.17,40.06,38.65,39.99,13411000
2022-01-11,39.62,40.67,39.2,40.64,10185000
2022-01-12,41.03,41.73,41.03,41.43,12131000
2022-01-13,42.62,43.65,40.15,40.25,22904000
2022-01-14,40.03,42.55,39.99,42.5,14220000
2022-01-18,41.75,41.85,39.35,39.44,17102000
2022-01-19,39.9,40.29,37.52,37.55,15114000
2022-01-20,38.2,38.93,36.51,36.6,15786000
