Date,Open,High,Low,Close,Volume
2021-07-12,111.07,112.05,110.91,111.24,1962300
2021-07-13,111.41,112.02,110.55,110.94,1752300
2021-07-14,111.07,111.96,110.41,111.69,2368300
2021-07-15,111.5,112.49,110.84,112.43,1422200
2021-07-16,112.96,114.58,112.53,114.39,2327100
2021-07-19,114.55,115.95,113.33,114.82,2789100
2021-07-20,115.03,116.28,113.59,113.74,1957500
2021-07-21,113.71,113.74,111.65,111.85,2256300
2021-07-22,111.04,112.76,110.95,111.45,1686500
2021-07-23,107.73,112.44,107.06,112.03,5014000
2021-07-26,111.0,112.84,110.66,111.57,3038800
2021-07-27,111.02,112.89,110.38,112.52,2082200
2021-07-28,112.33,112.52,110.76,111.4,2133900
2021-07-29,111.78,112.78,111.28,112.46,1695800
2021-07-30,112.57,112.87,111.85,112.08,2687200
2021-08-02,112.06,112.21,111.03,111.21,1587600
2021-08-03,110.38,112.31,110.27,112.02,1461000
2021-08-04,111.97,112.26,110.04,110.41,1274400
2021-08-05,110.89,111.03,109.27,110.17,1733000
2021-08-06,110.48,110.61,109.55,110.04,1339500
2021-08-09,110.27,110.91,110.05,110.87,1550600
2021-08-10,110.56,110.83,109.94,110.57,1735700
2021-08-11,110.88,111.17,110.41,110.82,1005600
2021-08-12,111.19,111.19,110.45,110.89,976200
2021-08-13,111.34,113.03,110.99,112.71,1425400
2021-08-16,112.73,114.98,112.47,114.44,1833100
2021-08-17,114.25,115.4,113.89,114.97,1534000
2021-08-18,114.71,114.71,112.74,112.83,1279400
2021-08-19,112.99,115.22,112.93,114.72,1452900
2021-08-20,114.71,115.33,114.11,114.15,1505100
2021-08-23,114.09,114.25,113.36,113.54,1303000
2021-08-24,113.27,113.51,112.13,112.15,1052100
2021-08-25,111.7,112.47,111.32,112.08,1114300
2021-08-26,112.15,112.86,111.72,112.59,1351400
2021-08-27,113.4,113.4,112.12,112.6,1254200
2021-08-30,112.56,113.11,112.39,112.92,860500
2021-08-31,113.13,113.88,112.59,113.81,1875600
2021-09-01,113.81,115.67,113.78,115.35,2108900
2021-09-02,115.62,116.29,115.43,115.99,1750100
2021-09-03,115.91,116.56,115.7,116.24,1426800
2021-09-07,115.9,116.14,114.6,115.5,2707000
2021-09-08,115.16,117.13,115.12,116.85,2390700
2021-09-09,116.36,116.72,114.4,114.72,2923800
2021-09-10,114.51,114.8,113.23,114.1,2133400
2021-09-13,114.33,116.01,114.22,115.04,2278300
2021-09-14,115.27,115.89,114.58,114.99,2165300
2021-09-15,114.94,115.2,113.87,114.07,1374300
2021-09-16,113.83,114.45,112.79,113.18,1859000
2021-09-17,113.2,114.3,112.52,112.54,5852300
2021-09-20,112.42,113.02,111.09,111.99,2115400
2021-09-21,112.08,113.23,111.44,111.98,2083300
2021-09-22,112.53,112.67,110.94,111.09,1406500
2021-09-23,110.78,111.65,110.61,111.21,1015200
2021-09-24,111.37,111.68,110.59,110.72,920000
2021-09-27,110.61,111.21,110.11,110.25,972600
2021-09-28,110.02,111.57,109.93,111.14,1951300
2021-09-29,111.15,113.6,111.01,113.04,1652800
2021-09-30,113.38,113.49,110.18,110.26,1850200
2021-10-01,110.39,110.72,109.2,110.05,1709300
2021-10-04,110.05,111.1,109.4,110.02,1758000
2021-10-05,109.56,110.25,109.2,109.84,1744200
2021-10-06,109.63,110.94,109.15,110.77,1530900
