Date,Open,High,Low,Close,Volume
2021-09-09,250.47,252.21,246.53,246.97,625534
2021-09-10,248.18,248.47,244.91,245.17,637988
2021-09-13,245.35,245.84,240.91,242.32,547196
2021-09-14,243.29,244.77,241.48,241.79,615523
2021-09-15,241.77,244.99,241.13,244.15,935623
2021-09-16,244.43,245.7,241.63,241.81,550805
2021-09-17,240.16,242.72,239.16,241.08,1333129
2021-09-20,239.1,242.37,237.53,239.43,818408
2021-09-21,241.21,241.9,239.16,239.64,669416
2021-09-22,241.29,241.31,236.77,237.44,884407
2021-09-23,238.99,243.68,237.81,241.74,748568
2021-09-24,241.87,243.33,239.82,241.44,455939
2021-09-27,240.4,240.82,235.9,236.84,523334
2021-09-28,235.55,235.55,229.07,230.55,663946
2021-09-29,231.55,235.42,231.55,233.73,576878
2021-09-30,234.24,236.24,229.27,229.27,673374
2021-10-01,228.87,228.96,222.7,227.68,769870
2021-10-04,226.06,228.17,223.25,224.06,806652
2021-10-05,225.08,226.74,223.72,224.92,514954
2021-10-06,224.18,224.8,220.81,224.36,531832
2021-10-07,225.61,229.31,224.82,227.53,645904
2021-10-08,227.82,228.12,225.45,226.75,594455
2021-10-11,226.07,226.51,222.8,223.39,476542
2021-10-12,224.51,224.91,222.11,223.2,433823
2021-10-13,224.04,224.04,220.28,222.78,442786
2021-10-14,224.6,226.47,224.03,224.61,812006
2021-10-15,225.8,225.8,220.7,221.26,932597
2021-10-18,220.69,223.93,219.36,223.45,561397
2021-10-19,226.16,227.28,224.15,224.88,479801
2021-10-20,226.18,228.67,225.49,226.99,550456
2021-10-21,228.03,229.57,222.96,227.95,693977
2021-10-22,227.64,230.43,227.58,229.85,478288
2021-10-25,229.89,230.11,227.25,228.97,677215
2021-10-26,228.87,232.08,227.7,231.0,544170
2021-10-27,231.07,231.57,228.11,228.5,602370
2021-10-28,233.1,233.79,226.21,232.36,1176571
2021-10-29,232.36,234.12,229.5,233.82,780462
2021-11-01,233.93,236.75,231.12,235.25,900587
2021-11-02,235.47,236.05,232.52,233.18,714347
2021-11-03,232.7,234.2,229.71,234.2,631819
2021-11-04,234.05,234.77,230.97,231.56,503314
2021-11-05,228.1,229.88,223.22,223.9,1012680
2021-11-08,225.54,228.86,224.03,228.6,472002
2021-11-09,228.07,229.01,222.52,225.29,1185534
2021-11-10,225.35,231.99,225.35,231.23,798853
2021-11-11,231.19,234.54,228.87,233.71,531948
2021-11-12,241.14,243.7,236.65,242.14,1528216
2021-11-15,239.45,239.64,231.66,232.43,797340
2021-11-16,233.17,237.57,232.86,234.92,521356
2021-11-17,235.67,238.76,234.36,236.03,420670
2021-11-18,234.33,236.32,231.54,234.2,464203
2021-11-19,235.66,235.66,229.67,230.81,725056
2021-11-22,229.88,233.72,229.47,231.16,571757
2021-11-23,230.3,233.42,228.39,232.92,384120
2021-11-24,231.98,233.36,229.58,231.14,316026
2021-11-26,233.27,241.14,231.36,235.68,724124
2021-11-29,235.68,240.31,234.28,237.81,575249
2021-11-30,236.43,237.59,231.74,232.44,1237332
2021-12-01,232.53,237.55,231.51,232.54,528922
2021-12-02,233.14,239.72,233.14,237.28,733669
2021-12-03,237.9,240.35,234.42,236.51,583397
2021-12-06,237.51,239.07,233.92,235.64,497261
2021-12-07,238.46,241.79,237.34,241.23,531133
2021-12-08,241.74,242.58,236.64,241.81,500636
2021-12-09,232.83,237.0,229.37,229.71,2860064
2021-12-10,231.85,238.37,229.86,234.94,1694551
2021-12-13,234.94,242.63,234.9,238.24,1327076
2021-12-14,238.76,240.87,237.02,240.04,1191005
2021-12-15,241.53,251.27,240.17,250.23,1246411
2021-12-16,249.62,255.02,249.58,252.65,1210211
2021-12-17,251.33,254.13,250.47,250.85,1583389
2021-12-20,251.73,253.97,247.24,252.06,1004416
2021-12-21,252.57,253.58,244.09,246.5,922004
2021-12-22,247.48,251.17,246.7,247.83,764166
2021-12-23,249.47,249.81,243.17,245.95,1398779
2021-12-27,248.56,250.7,247.03,249.94,1245014
2021-12-28,250.42,252.43,249.93,250.1,499705
2021-12-29,251.94,253.23,248.96,251.46,1178084
2021-12-30,253.11,256.62,253.09,255.26,621925
2021-12-31,255.18,258.38,255.11,255.97,555810
2022-01-03,255.07,255.79,241.53,242.91,1130593
2022-01-04,242.36,242.81,233.97,236.42,1486079
2022-01-05,236.55,238.98,233.35,233.45,934459
2022-01-06,233.81,239.45,231.47,235.07,998246
2022-01-07,235.07,237.62,231.51,232.39,748219
2022-01-10,231.93,238.14,231.89,237.57,822366
2022-01-11,236.54,238.34,233.27,237.83,804790
2022-01-12,234.28,234.28,226.39,230.37,1324981
2022-01-13,229.71,229.89,224.33,226.32,1022341
2022-01-14,225.89,228.92,221.49,224.91,1066340
2022-01-18,222.21,224.04,220.3,221.4,1001855
2022-01-19,221.85,224.64,220.84,221.6,1141651
2022-01-20,223.33,226.91,220.31,220.66,826906
2022-01-21,222.23,224.23,220.67,221.23,2315545
2022-01-24,221.84,222.5,215.25,221.71,1226740
2022-01-25,219.1,221.62,216.15,218.37,1075769
2022-01-26,217.1,221.57,215.84,217.35,907804
2022-01-27,217.89,220.13,215.3,216.48,918629
2022-01-28,214.94,220.23,212.25,220.02,1052954
2022-01-31,218.81,221.62,216.32,221.06,1099514
2022-02-01,222.4,222.9,217.84,222.37,1015124
2022-02-02,221.63,224.65,219.74,222.55,811541
2022-02-03,221.43,228.44,221.43,226.5,1111853
2022-02-04,225.34,228.39,224.78,226.05,577926
2022-02-07,225.97,226.89,222.76,223.67,624835
2022-02-08,222.78,228.02,222.3,226.63,1325214
2022-02-09,228.1,230.46,228.06,229.45,972406
2022-02-10,233.87,236.41,224.94,229.89,2345809
2022-02-11,230.92,233.27,221.24,225.05,1989509
2022-02-14,224.17,226.97,221.04,222.14,988702
2022-02-15,223.2,224.87,213.65,215.57,1982990
2022-02-16,215.07,220.53,213.0,219.65,1343372
2022-02-17,219.05,219.51,212.87,213.37,1067155
2022-02-18,213.23,217.51,212.84,215.45,901634
2022-02-22,215.47,218.14,214.69,217.12,1074372
2022-02-23,217.49,221.75,217.03,218.72,1921415
2022-02-24,215.87,221.49,214.95,221.35,1127916
2022-02-25,221.58,226.73,220.92,225.36,675702
2022-02-28,222.02,223.77,218.88,220.98,1280167
2022-03-01,220.29,222.56,217.8,219.18,1129895
2022-03-02,218.7,223.29,216.34,220.31,2297969
2022-03-03,223.03,223.03,217.77,220.32,1150381
