Date,Open,High,Low,Close,Volume
2021-07-12,202.02,203.51,201.11,203.05,646600
2021-07-13,203.11,204.59,202.55,203.35,1473200
2021-07-14,202.36,203.9,202.06,202.8,899500
2021-07-15,201.78,203.31,201.23,202.7,1195800
2021-07-16,203.73,204.37,201.66,202.61,762200
2021-07-19,200.6,201.49,196.11,197.6,1623900
2021-07-20,198.24,204.31,198.24,204.19,861900
2021-07-21,204.75,206.62,204.19,205.63,622000
2021-07-22,205.38,206.01,204.4,204.75,584600
2021-07-23,205.54,206.1,204.56,205.77,537400
2021-07-26,204.84,205.36,203.2,204.64,478500
2021-07-27,204.44,207.5,203.44,206.52,497400
2021-07-28,207.05,208.01,205.3,206.16,524800
2021-07-29,207.44,208.26,206.67,206.95,620200
2021-07-30,206.26,206.69,204.67,205.31,743400
2021-08-02,206.45,207.59,204.49,204.59,1201900
2021-08-03,206.48,209.87,204.18,209.5,803800
2021-08-04,207.65,208.97,206.4,207.72,834400
2021-08-05,208.82,210.47,208.3,209.38,870800
2021-08-06,209.42,210.97,209.35,209.43,670500
2021-08-09,208.39,209.37,206.9,207.35,704600
2021-08-10,206.96,210.89,206.76,210.63,953100
2021-08-11,208.73,211.12,207.83,210.88,853700
2021-08-12,210.79,211.15,208.1,208.96,731200
2021-08-13,209.06,209.93,207.95,208.1,565600
2021-08-16,208.26,212.1,206.29,212.02,992000
2021-08-17,211.18,212.7,210.23,211.77,848100
2021-08-18,211.22,212.63,209.22,209.37,730200
2021-08-19,208.28,211.25,208.09,208.37,1189700
2021-08-20,208.27,210.54,207.59,209.29,809700
2021-08-23,209.36,211.68,209.36,210.51,667200
2021-08-24,210.67,212.03,209.86,210.47,547900
2021-08-25,210.69,211.55,209.18,211.21,1174800
2021-08-26,211.51,212.83,210.38,212.33,667900
2021-08-27,212.88,212.88,209.7,210.25,1007300
2021-08-30,210.25,212.0,209.66,210.63,674900
2021-08-31,210.38,212.12,210.38,210.98,1070300
2021-09-01,211.37,211.37,209.38,210.7,1011000
2021-09-02,211.31,213.04,210.85,212.98,1385000
2021-09-03,212.61,212.61,210.49,210.76,1119900
2021-09-07,209.88,210.32,207.88,208.93,1120400
2021-09-08,208.88,210.89,208.5,209.95,974600
2021-09-09,209.88,211.59,209.44,211.04,1048500
2021-09-10,211.8,212.33,209.71,210.66,1273400
2021-09-13,212.21,212.6,205.12,207.83,1107600
2021-09-14,209.02,209.02,205.17,206.43,1274800
2021-09-15,206.71,209.83,206.68,207.99,1730100
2021-09-16,208.47,208.47,200.04,201.02,1433200
2021-09-17,200.99,203.37,200.69,202.32,2383800
2021-09-20,200.2,203.21,199.51,201.94,1182100
2021-09-21,202.97,203.71,199.74,200.07,916200
2021-09-22,201.25,203.13,200.51,202.56,817000
2021-09-23,197.58,202.87,197.37,201.21,1141600
2021-09-24,201.55,203.81,200.91,203.26,796300
2021-09-27,204.34,205.54,202.32,202.97,778800
2021-09-28,202.53,204.04,199.76,201.79,991100
2021-09-29,202.63,204.48,201.14,202.84,635900
2021-09-30,202.57,203.89,200.22,200.3,852600
2021-10-01,201.31,201.85,197.47,199.61,894700
2021-10-04,199.22,200.69,196.79,198.66,1276500
2021-10-05,201.1,203.71,199.44,202.2,1241800
2021-10-06,201.18,206.49,200.43,206.33,1134100
2021-10-07,207.03,210.29,207.03,209.76,873300
2021-10-08,210.04,213.14,209.46,212.06,1021000
2021-10-11,212.45,215.31,211.84,214.06,958300
2021-10-12,214.05,216.82,213.52,215.65,1284300
2021-10-13,214.97,215.06,211.42,213.34,1436600
2021-10-14,214.53,216.34,213.54,215.24,918200
2021-10-15,216.53,219.13,216.16,217.42,1014000
2021-10-18,216.18,217.69,215.22,217.16,865800
2021-10-19,218.07,220.39,217.43,220.03,848500
2021-10-20,219.93,222.88,219.63,221.15,994100
2021-10-21,220.72,221.76,218.49,219.86,740600
2021-10-22,220.79,223.8,219.4,222.57,769800
2021-10-25,222.49,223.47,221.94,222.15,969800
2021-10-26,215.55,218.64,211.34,212.26,1678100
2021-10-27,212.2,212.54,207.6,207.8,1320600
2021-10-28,207.63,208.0,201.4,203.75,2145600
2021-10-29,204.79,210.41,203.66,209.67,1982200
2021-11-01,209.1,209.66,201.04,201.31,1418100
2021-11-02,202.28,202.51,196.84,198.64,2639300
