Date,Open,High,Low,Close,Volume
2021-09-13,293.98,294.92,290.82,292.99,1354000
2021-09-14,294.97,295.12,290.64,291.53,1128600
2021-09-15,292.97,294.44,291.17,293.95,1419000
2021-09-16,293.54,294.28,289.64,292.59,1232300
2021-09-17,289.11,290.9,285.96,289.08,6512400
2021-09-20,282.05,284.63,279.97,282.44,1885200
2021-09-21,285.52,286.07,283.22,285.01,1216200
2021-09-22,286.04,289.05,285.69,286.03,1334000
2021-09-23,288.66,291.45,288.36,290.06,1066900
2021-09-24,288.05,290.76,287.67,289.96,926200
2021-09-27,290.17,291.86,288.29,288.98,1021600
2021-09-28,285.55,285.67,278.72,280.31,2278000
2021-09-29,280.06,280.85,278.8,279.57,1197700
2021-09-30,279.71,280.8,274.11,274.18,2084800
2021-10-01,276.2,279.01,273.42,278.36,1597400
2021-10-04,277.08,278.47,272.89,275.37,1495200
2021-10-05,275.54,280.05,275.0,278.34,1359900
2021-10-06,274.61,276.86,271.28,276.68,2050200
2021-10-07,278.05,282.6,277.99,279.59,1375800
2021-10-08,280.04,280.66,276.34,276.81,909400
2021-10-11,276.22,278.67,275.42,275.55,748800
2021-10-12,276.37,277.65,274.96,276.45,1063900
2021-10-13,279.22,282.36,278.38,281.3,1430000
2021-10-14,284.44,288.91,283.77,288.57,1126400
2021-10-15,288.32,289.29,286.52,288.07,1230500
2021-10-18,287.17,288.34,285.76,287.82,1010600
2021-10-19,287.88,290.64,286.88,290.35,984800
2021-10-20,290.79,291.59,289.91,290.86,745300
2021-10-21,290.81,291.21,288.23,290.94,856900
2021-10-22,292.56,294.38,292.38,293.59,1214800
2021-10-25,294.45,296.99,293.42,295.96,1225400
2021-10-26,297.04,298.23,295.96,296.04,1069800
2021-10-27,298.59,300.39,296.03,298.1,1536000
2021-10-28,295.74,297.61,294.97,297.16,1565000
2021-10-29,296.86,301.6,296.12,298.31,1890800
2021-11-01,300.39,303.1,299.51,301.84,1367700
2021-11-02,305.73,307.23,304.69,306.14,2012300
2021-11-03,308.31,308.56,304.02,306.92,1856300
2021-11-04,307.85,309.93,306.86,309.81,1628200
2021-11-05,309.79,310.85,309.02,310.27,1693200
2021-11-08,313.39,315.79,313.14,315.45,1448700
2021-11-09,317.73,317.9,315.45,316.46,1813000
2021-11-10,315.58,316.48,313.56,314.59,1540100
2021-11-11,315.49,315.68,313.68,313.7,924900
2021-11-12,315.68,315.68,313.6,314.97,1044100
2021-11-15,314.7,314.7,310.99,312.16,1274900
2021-11-16,312.1,313.38,311.09,311.18,1604300
2021-11-17,312.46,312.55,309.41,309.79,1304600
2021-11-18,309.77,310.05,307.63,309.34,1762900
2021-11-19,310.11,311.44,308.85,310.45,2067000
2021-11-22,311.0,312.49,308.16,308.16,955500
2021-11-23,307.45,309.77,307.04,308.64,986800
2021-11-24,304.03,306.82,303.59,305.84,1327400
2021-11-26,302.03,303.24,298.26,299.59,1319000
2021-11-29,300.46,301.54,297.77,299.75,1857200
2021-11-30,299.4,299.79,295.14,297.32,3243900
2021-12-01,300.65,304.49,297.42,297.46,2459500
2021-12-02,300.06,304.46,299.5,303.81,2183900
2021-12-03,304.92,306.63,298.43,300.72,2566700
2021-12-06,304.9,306.09,303.31,304.78,1672900
2021-12-07,310.06,311.8,309.43,310.05,1797500
2021-12-08,313.1,313.22,310.23,312.43,1370100
2021-12-09,310.42,313.19,309.91,311.43,1086500
2021-12-10,312.22,313.98,312.05,313.19,1116600
2021-12-13,312.89,314.6,310.77,313.37,1016800
2021-12-14,314.3,315.12,312.27,313.66,1631400
2021-12-15,315.24,320.14,313.77,320.09,1445100
2021-12-16,319.66,321.92,317.48,318.82,1449500
2021-12-17,317.06,317.87,312.36,313.03,2791400
2021-12-20,309.78,310.07,306.63,309.74,1621800
2021-12-21,309.81,313.2,309.04,312.15,1051900
2021-12-22,311.45,314.63,310.79,314.46,923400
2021-12-23,314.45,319.42,314.33,318.04,1151900
2021-12-27,320.53,322.44,319.44,322.02,1094400
2021-12-28,321.98,323.46,321.53,322.37,926400
2021-12-29,322.73,324.91,322.52,323.88,802100
2021-12-30,323.75,324.65,322.34,322.88,925300
2021-12-31,322.3,325.35,322.22,324.84,817800
2022-01-03,324.84,324.99,317.28,317.54,1514700
2022-01-04,317.84,324.09,317.19,323.33,1919900
2022-01-05,326.03,330.24,324.74,324.83,1654900
2022-01-06,323.2,323.97,316.66,316.95,1649400
2022-01-07,316.96,317.12,312.53,315.33,1441000
2022-01-10,312.65,314.64,310.05,314.53,1415600
