Date,Open,High,Low,Close,Volume
2021-07-12,47.83,48.4,47.62,48.18,3537700
2021-07-13,47.81,48.12,47.38,47.68,4049200
2021-07-14,47.85,48.23,47.17,47.33,3634200
2021-07-15,46.91,47.15,46.29,46.69,4632300
2021-07-16,47.01,47.07,45.08,45.16,6461100
2021-07-19,43.63,45.28,43.58,44.71,7003300
2021-07-20,44.55,45.52,44.19,45.12,6829700
2021-07-21,45.53,46.87,45.39,46.67,7526500
2021-07-22,45.29,45.37,44.17,44.59,13375000
2021-07-23,44.44,44.89,43.16,43.22,11692500
2021-07-26,42.82,42.89,41.73,42.83,13267200
2021-07-27,42.11,42.55,40.74,41.19,11810200
2021-07-28,41.8,42.66,41.2,42.03,13116200
2021-07-29,42.11,42.27,40.51,40.6,16281600
2021-07-30,40.23,41.21,39.85,39.99,7717700
2021-08-02,40.5,40.76,39.14,39.2,10970900
2021-08-03,39.07,39.16,37.34,37.9,16185600
2021-08-04,37.61,38.15,36.59,36.7,11721600
2021-08-05,36.94,38.83,36.9,38.5,11698300
2021-08-06,38.7,39.21,38.37,38.6,6931300
2021-08-09,38.57,38.58,37.3,38.38,8157000
2021-08-10,38.46,38.97,38.24,38.69,6456800
2021-08-11,38.62,38.87,38.14,38.71,6991200
2021-08-12,38.86,38.91,38.18,38.52,5926400
2021-08-13,38.47,38.53,37.61,37.74,5531500
2021-08-16,37.44,37.6,36.9,37.16,6973700
2021-08-17,36.74,36.87,36.06,36.49,8165900
2021-08-18,36.56,36.88,36.01,36.19,6940900
2021-08-19,35.89,35.95,34.39,34.72,19821200
2021-08-20,34.68,35.7,34.56,35.46,8893200
2021-08-23,36.4,37.56,36.04,37.52,13004000
2021-08-24,38.62,40.46,38.52,40.34,24200400
2021-08-25,40.49,40.96,39.75,40.83,11615100
2021-08-26,40.71,41.67,40.28,40.63,8170400
2021-08-27,40.65,41.6,40.6,41.47,7361300
2021-08-30,41.62,41.83,40.88,41.02,5464700
2021-08-31,41.22,42.32,41.05,42.13,9639600
2021-09-01,42.62,42.84,41.63,41.67,7445900
2021-09-02,41.74,42.26,41.36,41.56,5231600
2021-09-03,41.34,41.56,40.47,40.73,5754000
2021-09-07,41.03,42.67,40.58,42.43,7481900
2021-09-08,42.35,42.99,41.05,41.5,6849500
2021-09-09,41.45,42.04,41.09,41.24,4540200
2021-09-10,41.41,41.55,39.51,39.51,7063200
2021-09-13,39.68,40.72,39.41,40.5,6256900
2021-09-14,37.11,37.6,34.88,36.56,51816100
2021-09-15,34.52,36.15,34.14,35.93,30369500
2021-09-16,35.03,35.69,34.42,35.43,22184400
2021-09-17,35.36,36.14,35.36,36.05,17752000
2021-09-20,34.85,36.13,34.67,35.59,14699600
2021-09-21,35.81,36.21,33.61,33.61,15596600
2021-09-22,33.87,34.83,33.87,34.11,12403500
2021-09-23,34.55,35.63,34.3,35.21,10392400
2021-09-24,35.23,36.02,34.56,34.85,12205200
