Date,Open,High,Low,Close,Volume
2021-09-07,67.45,68.05,66.8,67.16,2450800
2021-09-08,68.22,68.22,65.36,65.6,3440100
2021-09-09,64.96,66.4,64.74,65.0,3911800
2021-09-10,65.55,66.4,65.14,65.9,2781300
2021-09-13,66.78,67.27,66.09,67.0,1978700
2021-09-14,67.98,67.98,66.36,66.58,2879700
2021-09-15,66.86,67.32,66.28,67.27,2853000
2021-09-16,66.98,67.27,66.17,66.61,1813700
2021-09-17,66.0,66.37,65.0,65.39,4605500
2021-09-20,63.53,64.44,62.6,63.81,2647200
2021-09-21,64.43,64.72,63.24,63.8,1815100
2021-09-22,64.55,65.55,64.55,64.74,1547500
2021-09-23,65.27,67.09,65.02,66.24,2325800
2021-09-24,66.02,66.57,65.32,66.07,1208900
2021-09-27,66.59,68.8,66.58,68.18,1741100
2021-09-28,68.74,69.87,68.2,68.38,2049700
2021-09-29,68.39,69.1,67.78,68.03,1759100
2021-09-30,68.45,68.69,66.56,66.6,2129200
2021-10-01,66.57,68.42,66.52,68.0,1449300
2021-10-04,68.5,68.91,66.76,67.18,1861600
2021-10-05,67.77,69.25,67.31,68.64,1815300
2021-10-06,67.37,68.1,66.47,67.96,2246400
2021-10-07,69.03,70.65,68.83,69.52,2031400
2021-10-08,69.58,70.23,68.92,69.51,1410600
2021-10-11,70.36,70.74,68.91,69.13,1339100
2021-10-12,69.19,69.46,68.35,68.73,1323700
2021-10-13,69.14,69.14,67.1,68.32,1342100
2021-10-14,69.01,70.09,68.5,69.78,1552300
2021-10-15,70.5,71.16,69.94,70.32,1450600
2021-10-18,69.24,70.32,68.98,69.84,1099500
2021-10-19,70.32,70.32,69.6,69.98,1177500
2021-10-20,70.1,71.02,69.65,70.58,1347600
2021-10-21,70.16,70.45,67.79,68.52,2062800
2021-10-22,69.0,69.79,68.72,69.11,1384700
2021-10-25,69.75,70.19,69.13,69.27,1264300
2021-10-26,69.59,70.05,68.71,69.29,1814200
2021-10-27,69.09,69.09,67.0,67.02,2193500
2021-10-28,67.26,68.56,67.26,68.37,1694300
2021-10-29,65.95,67.73,65.0,65.87,4332700
2021-11-01,65.86,67.2,65.86,66.9,1796800
2021-11-02,65.9,67.16,65.9,66.97,2014600
2021-11-03,65.85,67.18,65.8,66.4,3034700
2021-11-04,66.74,66.84,63.53,64.63,2842500
2021-11-05,65.35,66.71,65.22,65.97,2441300
2021-11-08,66.46,67.52,66.07,66.19,1377000
2021-11-09,66.0,66.51,65.62,65.86,1923100
2021-11-10,66.0,66.38,65.63,65.88,1770100
2021-11-11,66.17,67.75,65.99,67.2,2337300
2021-11-12,67.49,68.29,67.17,67.69,1542200
2021-11-15,67.73,68.1,67.17,67.57,1488400
2021-11-16,67.57,67.57,65.99,66.0,1582100
2021-11-17,65.8,66.29,65.07,65.28,1700000
