Date,Open,High,Low,Close,Volume
2021-07-12,364.07,365.11,361.24,364.61,2648300
2021-07-13,364.6,375.37,364.6,372.53,5161000
2021-07-14,371.82,380.22,371.82,379.41,4140500
2021-07-15,378.77,381.84,376.16,378.86,3773000
2021-07-16,381.69,381.99,374.1,375.84,2706500
2021-07-19,366.98,367.57,352.78,354.8,6814400
2021-07-20,356.3,365.62,354.62,363.48,3542200
2021-07-21,365.07,369.8,364.12,368.98,2393100
2021-07-22,369.22,371.7,366.06,371.02,4180300
2021-07-23,373.87,383.0,373.87,381.8,3720300
2021-07-26,380.26,381.44,376.95,381.35,2285800
2021-07-27,378.63,383.76,374.64,378.9,2783800
2021-07-28,380.21,380.31,371.19,372.26,3372600
2021-07-29,376.21,383.24,376.21,377.48,3774000
2021-07-30,377.66,377.66,371.92,374.69,2533300
2021-08-02,377.95,378.61,362.91,364.32,3430300
2021-08-03,365.68,365.69,349.09,356.89,6328500
2021-08-04,356.58,358.5,352.84,357.28,3203200
2021-08-05,357.47,361.12,356.3,361.1,2562400
2021-08-06,360.6,364.56,360.19,363.61,2038500
2021-08-09,363.28,363.59,358.14,359.88,2400800
2021-08-10,361.44,361.89,353.5,357.12,3225000
2021-08-11,357.81,359.18,353.15,353.62,3267700
2021-08-12,352.0,352.63,347.42,351.43,3802900
2021-08-13,351.7,352.91,350.12,352.18,2304600
2021-08-16,349.99,353.21,346.23,352.96,2937300
2021-08-17,351.45,353.84,349.3,352.64,2812800
2021-08-18,350.65,355.02,350.08,350.43,2774500
2021-08-19,346.5,349.64,344.38,346.9,2727900
2021-08-20,346.95,347.88,343.03,344.64,4135900
2021-08-23,347.05,351.68,346.35,350.49,3537900
2021-08-24,352.45,355.43,350.94,351.24,3032000
2021-08-25,351.41,351.84,348.05,348.63,2340400
2021-08-26,347.57,347.76,341.55,342.58,3946300
2021-08-27,342.19,346.11,341.4,345.36,3698300
2021-08-30,344.46,347.61,341.98,342.76,4032100
2021-08-31,342.65,344.87,334.63,336.14,6780400
2021-09-01,337.26,341.79,337.18,339.38,4499600
2021-09-02,340.29,340.32,329.44,331.33,7412000
2021-09-03,330.02,334.11,329.05,330.31,5171000
2021-09-07,334.84,337.86,333.02,334.66,4764300
2021-09-08,334.95,341.74,334.95,340.81,5054500
2021-09-09,340.49,343.33,339.72,341.17,3716200
2021-09-10,344.59,344.65,336.91,337.27,3437700
2021-09-13,339.8,341.73,336.27,337.68,3234200
2021-09-14,339.49,339.68,335.19,335.72,3281900
2021-09-15,336.89,337.4,332.77,334.7,3833500
2021-09-16,335.34,337.55,334.64,336.22,3771100
2021-09-17,333.97,335.92,330.84,333.04,5527500
2021-09-20,328.46,331.17,325.84,329.79,3956600
2021-09-21,332.23,333.18,327.45,327.55,2967300
2021-09-22,329.41,333.85,328.67,333.4,3238800
2021-09-23,335.66,344.45,335.14,343.75,4783200
2021-09-24,343.71,349.44,342.48,347.72,3306200
2021-09-27,346.64,352.02,344.81,346.37,4158000
