Date,Open,High,Low,Close,Volume
2021-07-12,150.63,152.29,150.32,152.14,543900
2021-07-13,151.99,152.35,149.85,150.59,397800
2021-07-14,150.59,153.01,150.59,152.92,359100
2021-07-15,152.74,154.16,152.45,153.89,282700
2021-07-16,154.34,155.64,154.21,154.86,384400
2021-07-19,153.82,154.26,151.94,153.41,540100
2021-07-20,154.32,157.07,152.73,156.46,546900
2021-07-21,156.26,157.05,155.59,155.73,328900
2021-07-22,155.4,155.93,154.61,155.38,846000
2021-07-23,156.03,157.53,155.53,157.28,568100
2021-07-26,156.81,157.42,155.67,156.6,319000
2021-07-27,156.3,158.61,155.49,157.79,518200
2021-07-28,158.1,158.41,156.79,157.35,844200
2021-07-29,159.12,162.99,158.38,161.81,711300
2021-07-30,161.56,164.69,160.91,161.89,663100
2021-08-02,162.57,164.16,162.29,163.6,619800
2021-08-03,160.26,161.75,160.02,160.5,1248500
2021-08-04,161.31,161.42,159.05,159.51,952400
2021-08-05,160.76,161.17,158.24,160.53,492900
2021-08-06,161.11,161.25,159.86,160.18,420100
2021-08-09,159.92,159.92,158.38,159.14,290600
2021-08-10,159.26,159.55,154.9,155.21,795500
2021-08-11,155.81,157.38,155.44,156.06,390600
2021-08-12,156.34,156.79,155.56,156.24,535000
2021-08-13,156.51,158.0,156.19,157.87,323000
2021-08-16,158.05,159.86,157.79,158.91,393400
2021-08-17,158.3,159.0,157.09,158.64,390100
2021-08-18,157.72,158.43,155.62,156.52,663500
2021-08-19,155.82,157.86,155.61,157.85,311900
2021-08-20,157.87,159.77,156.34,159.52,864700
2021-08-23,159.53,160.31,157.74,158.08,510700
2021-08-24,157.95,158.35,155.74,156.16,438600
2021-08-25,156.24,158.57,155.66,157.28,368700
2021-08-26,157.53,158.91,157.15,158.43,316400
2021-08-27,159.29,159.97,158.56,158.62,367700
2021-08-30,158.88,161.57,158.54,161.49,402800
2021-08-31,161.27,161.9,160.35,161.27,690600
2021-09-01,161.64,164.85,161.34,164.47,646200
2021-09-02,165.12,165.57,162.84,164.55,686000
2021-09-03,164.12,164.77,162.13,164.43,527000
2021-09-07,164.32,164.32,160.19,161.32,521000
2021-09-08,160.52,164.33,160.52,163.86,438600
2021-09-09,163.26,163.83,160.77,160.85,320600
2021-09-10,161.16,161.16,158.83,158.86,346300
2021-09-13,160.45,160.96,158.96,159.38,332600
2021-09-14,159.47,161.22,159.4,160.61,534700
2021-09-15,160.78,162.5,160.08,160.25,557400
2021-09-16,160.17,161.4,158.72,160.42,402700
2021-09-17,160.05,160.52,157.16,157.17,1171300
2021-09-20,156.05,158.86,155.42,157.69,629400
2021-09-21,158.82,159.65,157.59,157.62,398800
2021-09-22,158.91,160.32,158.47,159.52,687500
2021-09-23,160.18,161.58,159.83,160.31,379500
2021-09-24,159.63,160.95,158.55,158.68,394900
