Date,Open,High,Low,Close,Volume
2021-07-12,135.48,137.11,134.83,136.19,2143200
2021-07-13,135.4,136.14,132.72,132.9,1859100
2021-07-14,133.3,135.13,131.81,134.13,1844700
2021-07-15,133.91,134.7,132.69,134.04,1383500
2021-07-16,135.12,135.64,129.58,129.74,1984800
2021-07-19,125.7,127.67,122.22,125.7,4067600
2021-07-20,126.11,130.57,125.21,129.72,2227300
2021-07-21,130.1,135.52,130.1,134.84,2798400
2021-07-22,133.97,134.4,131.88,133.05,1755400
2021-07-23,133.31,134.48,132.77,133.7,1731600
2021-07-26,134.23,136.98,132.71,136.88,1781600
2021-07-27,135.69,137.84,134.99,137.8,1668700
2021-07-28,138.46,139.59,135.66,138.88,1649200
2021-07-29,139.67,143.9,137.7,142.06,2612500
2021-07-30,140.62,142.14,139.0,140.23,2115900
2021-08-02,141.27,142.82,138.48,139.17,2409800
2021-08-03,139.92,139.99,133.86,137.02,2849100
2021-08-04,135.45,135.45,131.43,132.54,3217700
2021-08-05,133.57,137.31,133.01,136.14,2250400
2021-08-06,136.08,136.6,133.87,136.02,2099800
2021-08-09,135.47,135.59,130.4,131.71,3074900
2021-08-10,131.56,133.69,131.0,132.56,1938900
2021-08-11,131.97,133.42,130.79,132.68,1131600
2021-08-12,132.14,132.6,128.96,129.47,2238600
2021-08-13,129.79,130.12,128.33,129.09,1728000
2021-08-16,128.21,129.01,126.18,127.89,1626200
2021-08-17,126.02,126.32,123.94,125.23,2292000
2021-08-18,125.12,127.26,124.29,124.88,1915400
2021-08-19,123.91,125.25,122.56,125.13,2393700
2021-08-20,124.45,126.35,123.94,125.99,1761800
2021-08-23,127.09,128.89,127.05,128.87,1983000
2021-08-24,129.77,132.32,129.67,131.5,1966200
2021-08-25,131.92,132.17,129.81,131.51,1357500
2021-08-26,130.65,131.04,127.93,128.41,1523900
2021-08-27,128.36,131.38,128.35,130.67,1221000
2021-08-30,130.93,131.09,128.76,129.78,1477500
2021-08-31,129.17,130.61,128.18,129.82,1762900
2021-09-01,130.94,131.1,128.93,129.52,1738600
2021-09-02,129.92,131.49,128.65,130.07,1072600
2021-09-03,129.1,129.98,126.48,127.77,1354800
2021-09-07,127.21,129.11,126.65,128.77,1255700
2021-09-08,129.2,129.65,126.53,128.52,2281300
2021-09-09,128.35,132.09,127.92,130.73,2072600
2021-09-10,131.33,132.3,129.2,130.3,1574500
2021-09-13,131.57,135.05,130.59,134.47,1923400
2021-09-14,134.46,137.07,133.53,136.74,2159400
2021-09-15,135.97,139.38,134.54,138.99,3068200
2021-09-16,138.72,140.26,138.17,139.1,1966800
2021-09-17,139.31,139.9,138.01,138.24,2650200
2021-09-20,136.9,137.49,134.26,137.2,2375400
2021-09-21,138.04,138.85,135.66,136.42,1707300
