Date,Open,High,Low,Close,Volume
2021-09-13,71.62,72.07,70.68,72.04,3697400
2021-09-14,72.43,72.77,71.3,72.02,3584000
2021-09-15,72.07,72.73,71.43,72.71,3434600
2021-09-16,71.95,73.61,71.83,73.12,3386400
2021-09-17,72.9,73.08,71.43,72.22,10976200
2021-09-20,70.93,71.0,69.18,70.17,5917800
2021-09-21,70.6,71.05,69.52,70.52,5091200
2021-09-22,71.25,72.58,70.8,72.4,3016600
2021-09-23,72.26,74.32,72.26,74.05,3162800
2021-09-24,73.58,74.28,73.32,74.11,1901800
2021-09-27,73.47,74.48,72.83,74.46,2488800
2021-09-28,72.48,73.34,70.94,70.99,4259400
2021-09-29,70.81,71.13,68.56,68.62,4455600
2021-09-30,69.35,69.83,68.57,68.81,2830800
2021-10-01,69.31,69.35,67.75,68.46,4276800
2021-10-04,67.64,67.91,65.34,65.73,5449800
2021-10-05,66.53,67.06,65.97,66.36,4975400
2021-10-06,65.47,66.43,65.3,66.24,2847200
2021-10-07,67.17,67.89,66.81,66.91,3126600
2021-10-08,67.16,67.21,65.09,65.52,4538800
2021-10-11,65.3,66.25,64.47,64.52,2892800
2021-10-12,64.94,65.3,62.64,63.21,4855200
2021-10-13,64.11,64.21,62.78,62.99,4826300
2021-10-14,64.11,65.04,63.94,64.99,3668800
2021-10-15,65.61,65.88,64.98,65.26,2837100
2021-10-18,64.6,66.22,64.24,66.18,2387500
2021-10-19,66.34,67.25,65.96,67.11,2085400
2021-10-20,67.01,67.49,66.7,67.14,2697100
2021-10-21,66.65,68.25,66.65,68.15,1843900
2021-10-22,68.16,68.82,67.02,67.43,2460000
2021-10-25,67.9,68.46,67.22,67.96,2054800
2021-10-26,68.88,69.02,66.13,66.16,3469200
2021-10-27,64.48,65.89,63.96,64.89,5055600
2021-10-28,65.57,67.58,65.57,66.74,3506100
2021-10-29,66.1,67.08,65.97,66.43,2594300
2021-11-01,66.89,69.48,66.78,68.95,4113200
2021-11-02,68.75,70.77,68.74,70.64,3344400
2021-11-03,70.58,71.99,69.94,71.52,4067200
2021-11-04,72.3,74.54,70.65,74.35,6614500
2021-11-05,73.8,78.18,73.58,76.89,6066500
2021-11-08,78.37,78.47,73.27,75.47,7440600
2021-11-09,75.43,76.0,73.25,74.35,4919200
2021-11-10,73.03,74.38,71.48,72.59,5913600
2021-11-11,74.18,75.03,73.12,74.87,3787900
2021-11-12,74.9,75.88,74.27,74.73,2565300
2021-11-15,75.95,76.49,74.36,74.61,2656700
2021-11-16,74.0,75.77,73.96,75.55,2668300
2021-11-17,75.26,75.32,74.03,74.29,2986300
