Date,Open,High,Low,Close,Volume
2021-09-07,371.56,371.56,363.65,365.84,437100
2021-09-08,366.06,368.05,364.15,366.0,765000
2021-09-09,367.04,369.44,365.67,366.54,497400
2021-09-10,368.82,369.7,365.14,366.57,353600
2021-09-13,369.18,370.84,358.91,363.35,345300
2021-09-14,364.92,366.31,362.74,364.29,352100
2021-09-15,365.74,367.26,361.03,363.96,418700
2021-09-16,364.77,366.73,364.21,364.46,461400
2021-09-17,361.84,362.9,353.39,354.56,1260600
2021-09-20,350.73,355.08,350.14,353.54,704900
2021-09-21,355.36,356.42,353.55,354.02,363200
2021-09-22,356.82,356.82,351.82,354.93,335700
2021-09-23,355.71,361.72,355.71,361.19,485300
2021-09-24,360.13,362.81,357.73,360.57,337300
2021-09-27,358.94,358.94,350.46,352.84,488400
2021-09-28,349.3,350.8,338.3,340.66,702100
2021-09-29,342.54,346.44,340.78,344.42,511700
2021-09-30,346.38,347.81,340.09,340.29,661700
2021-10-01,342.58,346.78,338.89,344.26,415800
2021-10-04,342.71,344.4,332.41,335.14,637000
2021-10-05,337.07,344.36,336.24,340.55,562300
2021-10-06,336.33,343.64,335.2,343.01,454700
2021-10-07,347.23,351.76,347.08,347.84,842200
2021-10-08,349.16,349.59,344.84,347.15,388400
2021-10-11,345.68,351.06,345.02,345.03,360800
2021-10-12,347.16,349.93,344.6,345.87,366100
2021-10-13,348.26,348.26,343.44,346.39,342200
2021-10-14,350.45,355.12,350.45,355.03,329000
2021-10-15,357.57,357.57,353.43,355.69,704900
2021-10-18,355.62,358.73,353.53,358.39,577700
2021-10-19,359.04,363.74,359.04,363.15,399800
2021-10-20,364.43,364.43,355.48,356.42,525600
2021-10-21,355.39,360.74,352.18,360.5,384900
2021-10-22,361.65,366.54,361.07,365.73,410100
2021-10-25,365.76,370.18,363.74,369.03,545500
2021-10-26,371.81,378.7,371.4,374.05,595600
2021-10-27,374.18,378.89,372.72,376.26,746700
2021-10-28,379.91,390.09,378.82,389.72,714100
2021-10-29,390.41,390.72,383.6,387.29,774400
2021-11-01,389.84,390.92,374.97,377.93,551800
2021-11-02,377.85,379.65,373.73,374.4,620100
2021-11-03,375.64,378.51,366.49,370.42,626800
2021-11-04,371.4,375.56,370.86,372.81,588900
2021-11-05,374.68,376.78,370.67,370.96,533100
2021-11-08,371.63,373.76,368.9,371.11,770000
2021-11-09,371.11,376.98,370.91,375.93,591600
2021-11-10,375.56,377.58,371.08,371.51,623400
2021-11-11,373.2,374.62,366.27,369.37,399500
2021-11-12,370.37,374.16,368.32,371.83,579200
2021-11-15,371.95,378.46,371.23,374.47,764400
2021-11-16,374.72,386.7,374.72,384.88,635300
2021-11-17,384.08,385.62,370.71,380.7,961300
2021-11-18,381.66,381.66,375.65,378.56,508300
2021-11-19,380.63,381.51,370.37,371.25,672600
2021-11-22,371.24,375.77,368.84,369.11,594300
2021-11-23,368.24,371.61,363.2,371.07,374000
2021-11-24,369.29,377.43,368.9,376.73,407200
2021-11-26,371.33,375.74,367.14,368.65,544700
2021-11-29,374.23,383.65,372.05,381.3,1197300
2021-11-30,378.56,382.86,373.53,374.94,1333000
2021-12-01,378.76,380.05,364.73,364.99,877200
2021-12-02,365.46,375.16,365.07,373.51,872200
2021-12-03,377.19,379.2,364.33,369.32,846200
2021-12-06,371.49,372.91,364.74,369.92,662200
2021-12-07,377.68,384.52,377.68,382.39,641800
2021-12-08,382.61,384.17,379.85,382.06,570800
2021-12-09,382.29,384.3,377.49,377.59,553500
2021-12-10,379.64,382.0,377.58,381.76,346400
2021-12-13,382.04,384.1,380.53,382.77,718700
2021-12-14,380.57,382.99,372.19,376.19,595100
2021-12-15,377.5,382.11,373.71,381.75,457300
2021-12-16,383.71,384.62,376.16,380.01,770300
2021-12-17,378.34,382.77,374.57,377.82,1016300
2021-12-20,372.91,373.73,367.22,371.39,488300
2021-12-21,374.72,376.74,371.61,375.55,428700
2021-12-22,375.68,379.39,375.07,379.1,394300
