Date,Open,High,Low,Close,Volume
2021-07-12,55.11,55.21,54.87,55.14,4914000
2021-07-13,55.23,55.71,55.11,55.24,5315100
2021-07-14,55.52,55.82,55.18,55.63,6923500
2021-07-15,55.5,56.21,55.49,56.16,5512100
2021-07-16,56.06,56.45,56.06,56.28,5256000
2021-07-19,56.77,56.91,55.56,56.07,8164500
2021-07-20,56.28,56.85,56.28,56.42,7253800
2021-07-21,56.72,56.77,56.01,56.07,4527900
2021-07-22,55.95,56.07,55.58,55.92,4920600
2021-07-23,56.17,57.03,55.94,56.84,5975200
2021-07-26,56.75,57.02,56.63,56.79,6054500
2021-07-27,56.86,57.46,56.68,57.13,6916800
2021-07-28,55.95,56.64,55.35,55.53,9224500
2021-07-29,55.64,56.0,55.39,55.47,7636500
2021-07-30,55.49,55.76,55.29,55.41,6402600
2021-08-02,55.5,55.93,55.45,55.58,5021600
2021-08-03,55.52,55.7,55.37,55.51,3766900
2021-08-04,55.72,55.72,53.91,54.06,8212200
2021-08-05,54.28,54.37,53.97,54.18,5693000
2021-08-06,54.27,54.4,53.95,54.1,6275200
2021-08-09,54.32,54.53,54.22,54.32,4784200
2021-08-10,54.29,54.59,54.14,54.34,5599400
2021-08-11,54.41,54.99,54.3,54.72,8304200
2021-08-12,54.91,54.91,54.5,54.65,5403500
2021-08-13,54.84,55.54,54.74,55.5,6595400
2021-08-16,55.62,56.02,55.47,55.78,6865400
2021-08-17,55.82,56.16,55.57,56.11,5525600
2021-08-18,55.92,56.11,55.1,55.15,4412300
2021-08-19,55.1,55.84,55.0,55.78,5700100
2021-08-20,55.78,55.91,55.42,55.61,4215500
2021-08-23,55.56,55.65,55.15,55.27,4777800
2021-08-24,55.28,55.28,54.39,54.52,5829800
2021-08-25,54.53,54.53,54.06,54.19,5669400
2021-08-26,54.11,54.2,53.68,53.81,4632800
2021-08-27,53.81,54.41,53.71,54.21,5779300
2021-08-30,54.1,54.51,54.0,54.44,4185500
2021-08-31,54.55,54.63,54.09,54.37,7390000
2021-09-01,54.59,54.79,54.34,54.59,4335900
2021-09-02,54.74,54.74,54.02,54.23,4346200
2021-09-03,54.09,54.23,53.47,54.06,5360700
2021-09-07,53.76,53.92,52.5,52.59,7789700
2021-09-08,52.71,53.38,52.47,53.31,7162800
2021-09-09,53.35,53.35,53.02,53.09,4909300
2021-09-10,52.92,53.08,52.64,52.75,5596600
2021-09-13,53.07,53.81,53.02,53.23,7723100
2021-09-14,53.22,53.41,52.72,52.86,3858500
2021-09-15,52.82,53.14,52.61,53.0,5385200
2021-09-16,53.1,53.37,52.62,53.17,7513200
2021-09-17,52.97,53.62,52.68,53.38,16980400
2021-09-20,53.23,53.48,52.54,52.93,11213100
2021-09-21,53.16,53.55,52.66,52.75,7156700
2021-09-22,53.08,53.4,52.87,53.04,4999000
2021-09-23,52.99,53.53,52.96,53.19,6197500
2021-09-24,52.89,53.17,52.74,52.87,6647100
2021-09-27,52.69,53.03,52.02,52.09,6614000
2021-09-28,51.84,51.94,50.98,51.41,9139500
2021-09-29,51.32,52.42,51.13,52.03,7399100
2021-09-30,52.09,52.25,51.21,51.26,6778300
2021-10-01,51.41,51.58,50.82,51.29,6266400
2021-10-04,51.29,51.79,50.78,51.17,8281800
2021-10-05,51.11,52.08,51.02,51.84,8160900
2021-10-06,51.89,53.09,51.41,53.04,11222800
2021-10-07,52.92,53.17,52.68,52.77,7540700
2021-10-08,52.83,52.87,52.35,52.46,5787700
2021-10-11,52.74,52.74,52.29,52.36,5266400
2021-10-12,52.54,52.79,52.36,52.58,6343100
2021-10-13,52.82,53.22,52.31,52.83,5639000
2021-10-14,53.13,53.52,53.02,53.42,4941500
2021-10-15,53.42,53.46,52.66,53.0,10518900
2021-10-18,52.77,52.96,52.28,52.65,4434200
2021-10-19,52.78,52.78,52.28,52.68,6978000
2021-10-20,52.86,53.33,52.74,53.12,4228900
2021-10-21,53.02,53.13,52.65,53.01,5713400
2021-10-22,52.97,53.39,52.96,53.33,3822600
2021-10-25,53.48,53.66,52.97,53.17,4979500
2021-10-26,53.15,53.82,53.02,53.6,3938700
2021-10-27,53.71,53.71,52.98,53.21,5127600
2021-10-28,53.24,53.73,53.06,53.7,5106100
2021-10-29,53.68,53.89,53.43,53.52,5074300
2021-11-01,53.48,54.06,53.35,53.67,5322600
2021-11-02,53.66,54.08,53.19,54.07,5385800
2021-11-03,55.56,55.87,54.55,54.93,7451100
2021-11-04,54.43,55.0,54.35,54.71,5914100
2021-11-05,55.07,55.26,54.75,54.86,4609300
2021-11-08,54.89,54.98,54.21,54.52,4321100
2021-11-09,54.52,54.95,54.34,54.84,4258400
2021-11-10,55.09,55.48,54.92,55.27,7044000
2021-11-11,55.23,55.29,54.72,55.04,3661500
2021-11-12,55.15,55.67,54.89,55.32,5176500
2021-11-15,55.29,55.47,55.08,55.38,3503300
2021-11-16,55.44,55.82,55.01,55.04,6405000
2021-11-17,54.79,55.02,54.6,54.78,10948900
2021-11-18,54.65,55.15,54.51,54.93,7297800
2021-11-19,55.16,55.18,53.24,53.33,10543300
2021-11-22,53.22,54.07,52.81,53.72,7272400
2021-11-23,53.75,54.28,53.64,54.11,6544200
2021-11-24,54.1,54.45,53.7,54.03,5120400
2021-11-26,53.78,54.11,52.95,53.09,4999800
2021-11-29,53.24,53.56,52.77,53.43,6253700
2021-11-30,53.24,53.25,51.63,51.93,10679700
2021-12-01,52.31,52.66,51.55,51.6,5762300
2021-12-02,51.82,52.75,51.7,52.39,7525700
2021-12-03,52.69,53.37,52.59,53.1,7735400
2021-12-06,53.47,54.38,53.47,54.12,5921100
2021-12-07,54.12,54.58,53.94,54.11,7717900
2021-12-08,54.04,54.07,52.89,53.64,6678500
2021-12-09,53.63,53.81,53.33,53.74,3518600
2021-12-10,54.2,54.98,53.84,54.86,6999100
2021-12-13,54.89,55.96,54.54,55.66,9512200
2021-12-14,55.63,55.89,55.48,55.85,10391100
2021-12-15,56.02,57.25,55.93,57.09,11735100
2021-12-16,56.98,58.19,56.68,57.88,10808500
2021-12-17,57.81,58.21,57.21,57.24,12439900
2021-12-20,57.07,57.23,56.74,57.08,8996200
2021-12-21,56.98,57.15,56.47,56.67,6771200
2021-12-22,56.5,57.23,56.49,57.12,5122900
2021-12-23,57.23,57.49,57.09,57.22,3943300
2021-12-27,57.23,57.77,57.08,57.73,3813200
2021-12-28,57.81,58.23,57.72,58.16,3254900
2021-12-29,58.23,58.63,58.07,58.48,4753900
2021-12-30,58.65,58.76,58.19,58.24,5563000
2021-12-31,58.27,58.82,58.19,58.74,5076700
2022-01-03,58.24,58.52,57.65,58.44,8978100
2022-01-04,58.45,59.48,58.35,58.86,7519400
2022-01-05,59.17,60.2,59.07,59.71,10723200
2022-01-06,59.84,60.17,59.32,59.69,9204600
2022-01-07,59.59,60.02,59.33,59.84,6454800
2022-01-10,59.96,60.08,59.22,59.38,6823800
2022-01-11,59.64,59.76,58.68,59.58,5295500
2022-01-12,59.51,59.82,59.2,59.68,5798100
2022-01-13,59.57,60.03,59.42,59.92,6692100
2022-01-14,59.76,60.38,59.42,60.32,6337600
2022-01-18,59.58,59.72,59.04,59.68,6739500
2022-01-19,59.84,60.39,59.75,59.88,7244900
2022-01-20,59.86,60.39,59.76,60.02,10461100
2022-01-21,60.44,61.54,60.41,60.55,18880800
2022-01-24,60.77,61.04,58.52,59.89,13793300
2022-01-25,59.6,59.62,58.65,59.33,12863000
2022-01-26,58.88,59.78,58.57,59.01,10027600
2022-01-27,59.53,60.8,59.3,59.77,12175700
2022-01-28,57.69,58.94,56.6,58.83,15471000
2022-01-31,58.69,59.67,58.21,59.38,9657600
2022-02-01,59.34,59.63,58.52,59.07,6609500
2022-02-02,59.18,60.28,58.91,60.15,6882100
2022-02-03,59.99,60.64,59.76,60.18,7276500
2022-02-04,59.89,60.36,59.22,59.37,7909600
2022-02-07,59.61,60.02,59.16,59.77,6760900
2022-02-08,59.99,60.49,59.71,60.28,6590200
2022-02-09,60.66,60.76,60.05,60.2,5557700
2022-02-10,59.56,60.14,58.96,59.14,7609200
2022-02-11,59.42,59.69,58.95,59.08,8130100
2022-02-14,59.3,59.37,57.89,58.59,7225500
2022-02-15,58.73,59.12,58.08,58.35,6779000
2022-02-16,58.49,58.92,57.75,58.21,6103200
2022-02-17,58.09,58.75,57.69,58.52,7492700
2022-02-18,58.49,58.93,58.13,58.46,6050500
2022-02-22,58.95,59.06,58.24,58.88,8937100
2022-02-23,59.04,59.33,58.63,58.71,7177300
2022-02-24,57.85,58.35,56.0,57.27,10323900
2022-02-25,57.59,59.16,57.49,59.14,7561800
2022-02-28,58.08,58.41,57.28,58.0,7916600
2022-03-01,57.57,57.98,56.81,56.99,8740800
2022-03-02,56.9,57.64,56.67,57.31,7452400
2022-03-03,57.67,58.01,57.27,57.5,6539700
2022-03-04,56.73,56.92,55.99,56.54,10949600
2022-03-07,56.48,56.48,55.08,55.39,13768300
2022-03-08,55.34,55.63,53.78,53.86,13037600
2022-03-09,54.57,54.99,54.11,54.29,8709400
2022-03-10,53.7,53.78,52.86,53.29,7342000
2022-03-11,53.59,54.1,52.28,52.37,9385100
2022-03-14,52.69,53.53,52.45,52.56,9806700
2022-03-15,53.01,54.28,52.78,54.18,9677200
2022-03-16,54.44,55.07,54.05,54.88,12071100
2022-03-17,54.88,55.61,54.34,55.16,7243600
2022-03-18,54.52,54.81,53.99,54.49,12832900
2022-03-21,54.51,54.82,54.11,54.36,8934000
2022-03-22,54.64,54.77,53.92,54.54,7529800
2022-03-23,54.63,54.97,53.79,53.84,7435600
2022-03-24,54.14,54.18,53.41,53.9,10921000
2022-03-25,54.03,54.73,54.0,54.49,6223100
2022-03-28,54.61,54.75,54.17,54.54,8029500
2022-03-29,54.97,55.87,54.97,55.86,9902500
2022-03-30,55.81,55.99,55.37,55.89,6171600
2022-03-31,55.94,56.23,55.76,55.92,8379600
2022-04-01,56.12,56.69,55.4,56.59,6898700
2022-04-04,56.44,56.58,55.64,56.15,6155500
2022-04-05,55.92,56.8,55.92,56.13,5364800
2022-04-06,56.16,56.64,55.87,56.3,5389600
2022-04-07,56.24,56.28,55.18,56.02,7458000
2022-04-08,56.2,56.64,55.92,56.47,7833600
2022-04-11,56.97,57.14,56.38,56.48,9693800
2022-04-12,57.08,57.3,56.38,56.71,7379200
2022-04-13,56.73,57.08,56.49,56.87,5873500
2022-04-14,57.14,57.2,56.72,56.76,6651300
2022-04-18,56.67,57.03,56.34,56.62,5777600
2022-04-19,56.78,58.34,56.65,58.09,7233700
2022-04-20,58.11,58.76,58.11,58.55,8234600
2022-04-21,58.66,59.1,58.56,58.65,6418800
2022-04-22,58.77,58.95,57.93,57.95,7740700
2022-04-25,58.44,58.76,57.47,58.59,8913900
2022-04-26,58.66,58.82,57.04,57.04,9883800
2022-04-27,58.38,58.49,56.95,57.05,9892400
2022-04-28,57.19,59.08,57.11,58.99,9786400
2022-04-29,58.75,58.82,57.33,57.44,10385400
2022-05-02,58.17,58.33,56.11,56.82,10049400
2022-05-03,57.11,57.8,56.69,57.62,9538700
2022-05-04,57.47,59.06,57.39,58.96,8348000
2022-05-05,58.54,58.85,57.73,58.1,8843800
2022-05-06,57.94,58.74,57.68,58.55,9037800
2022-05-09,58.25,59.42,58.1,59.04,11709000
2022-05-10,59.58,60.51,58.53,58.72,10974900
2022-05-11,58.44,59.15,58.28,58.4,9728200
2022-05-12,58.47,58.7,57.76,58.5,8676400
2022-05-13,58.64,59.2,58.22,59.13,7884200
2022-05-16,59.15,59.19,58.61,58.91,7955000
2022-05-17,58.91,59.01,57.49,58.54,10053400
2022-05-18,58.25,58.3,54.08,54.28,12698500
2022-05-19,53.74,54.83,53.13,54.43,10834400
2022-05-20,54.53,54.75,53.81,54.5,14293200
2022-05-23,55.28,55.6,54.79,55.26,7476200
2022-05-24,55.2,56.15,55.01,56.12,6505400
2022-05-25,55.95,56.1,55.03,55.56,8517400
2022-05-26,55.49,56.32,55.47,55.67,5930800
2022-05-27,55.93,56.79,55.67,56.79,8631200
2022-05-31,56.67,56.95,55.77,56.62,8767500
2022-06-01,56.52,56.78,55.3,56.04,7621800
2022-06-02,55.98,56.17,54.75,56.15,7719200
2022-06-03,55.97,56.15,55.3,55.59,6221300
2022-06-06,55.86,56.24,55.42,55.63,4556100
2022-06-07,55.19,56.42,55.12,56.33,5929700
2022-06-08,56.12,56.26,55.68,55.78,3861200
2022-06-09,55.62,56.13,54.51,54.54,7124600
2022-06-10,53.9,54.61,53.48,54.16,8265400
2022-06-13,53.62,53.71,52.53,52.73,8704100
2022-06-14,53.02,53.09,51.5,52.08,7096500
2022-06-15,52.5,53.34,51.92,52.59,9212300
2022-06-16,52.02,52.71,51.65,52.21,7999200
2022-06-17,52.3,52.73,51.75,52.38,11416100
2022-06-21,52.8,53.52,51.92,53.28,10582700
2022-06-22,53.3,54.1,53.12,53.69,10349500
2022-06-23,53.93,54.69,53.91,54.37,6459900
