Date,Open,High,Low,Close,Volume
2021-07-12,27.76,28.51,27.46,28.27,3116500
2021-07-13,28.38,28.52,27.62,27.76,2818900
2021-07-14,28.0,28.68,27.5,27.57,2839900
2021-07-15,27.41,27.86,26.86,27.09,2858100
2021-07-16,27.36,27.45,25.94,26.25,5277700
2021-07-19,25.47,25.69,25.07,25.54,4865600
2021-07-20,25.64,26.56,25.49,26.35,3720100
2021-07-21,26.66,27.23,26.66,27.01,3354200
2021-07-22,26.99,27.04,26.42,26.75,2113500
2021-07-23,26.79,26.88,26.19,26.48,2259000
2021-07-26,26.62,26.99,26.32,26.94,2722700
2021-07-27,26.64,26.95,26.09,26.57,2420800
2021-07-28,26.86,27.3,26.35,27.05,2728500
2021-07-29,27.61,27.91,27.26,27.62,3178100
2021-07-30,27.68,28.5,27.6,27.71,6078900
2021-08-02,27.87,28.2,26.54,26.54,4825600
2021-08-03,26.84,27.9,26.28,27.8,5978400
2021-08-04,27.98,28.27,26.94,27.16,5817200
2021-08-05,27.37,27.77,27.16,27.24,2873300
2021-08-06,27.69,28.03,27.53,27.94,2525200
2021-08-09,27.92,28.9,27.77,28.89,4936600
2021-08-10,29.0,30.18,28.98,29.85,5461200
2021-08-11,30.16,30.56,29.64,30.28,3826900
2021-08-12,30.16,30.33,29.35,30.08,3938200
2021-08-13,30.07,30.16,29.67,29.77,3065100
2021-08-16,29.34,29.34,28.44,28.81,3319800
2021-08-17,28.53,28.9,27.26,27.68,4570600
2021-08-18,27.58,28.16,27.36,27.42,2695400
2021-08-19,26.69,26.97,25.85,26.23,6122000
2021-08-20,26.57,27.27,26.49,27.25,4993100
2021-08-23,27.67,28.09,27.56,27.73,3472800
2021-08-24,28.32,28.93,28.24,28.65,3026600
2021-08-25,28.48,28.96,28.12,28.69,2037700
2021-08-26,28.65,28.72,28.06,28.17,2284900
2021-08-27,28.4,29.16,28.4,28.97,2451400
2021-08-30,29.12,29.17,28.51,28.66,1847700
2021-08-31,28.67,28.74,28.28,28.55,4014800
2021-09-01,28.48,28.5,27.69,28.29,2764400
2021-09-02,27.79,28.94,27.7,28.84,4160800
2021-09-03,28.92,29.24,28.46,28.59,2908700
2021-09-07,28.32,29.01,28.14,28.59,3323900
2021-09-08,28.55,28.68,27.44,27.68,2190600
2021-09-09,27.42,28.33,27.19,28.07,1899900
2021-09-10,28.37,28.74,28.15,28.26,2833100
2021-09-13,28.77,28.83,28.15,28.57,2933100
2021-09-14,28.9,29.22,28.31,28.49,3574200
2021-09-15,28.8,29.97,28.7,29.91,3555000
2021-09-16,29.85,30.37,29.49,30.01,2942600
2021-09-17,29.8,30.04,29.05,29.89,5064600
2021-09-20,28.51,28.87,27.99,28.6,4359200
