Date,Open,High,Low,Close,Volume
2021-07-12,371.87,373.49,367.53,373.12,340300
2021-07-13,370.93,374.86,368.29,373.61,328700
2021-07-14,376.37,382.16,367.71,369.19,572600
2021-07-15,369.0,369.07,360.21,365.95,529500
2021-07-16,367.49,370.4,365.11,365.9,852200
2021-07-19,360.91,367.71,356.87,367.14,383600
2021-07-20,369.09,380.26,366.33,378.34,368500
2021-07-21,378.53,391.06,378.38,390.82,319300
2021-07-22,389.41,392.72,385.38,390.53,311800
2021-07-23,392.58,400.99,390.04,399.46,292400
2021-07-26,396.58,402.4,394.79,398.19,335100
2021-07-27,396.69,396.69,381.36,392.71,515600
2021-07-28,395.35,416.57,390.65,415.6,581500
2021-07-29,413.88,425.22,412.69,424.34,798500
2021-07-30,420.06,434.87,418.49,433.21,462200
2021-08-02,435.7,441.25,434.37,438.22,497900
2021-08-03,440.5,443.56,430.92,440.23,286900
2021-08-04,441.49,453.53,441.49,449.76,231300
2021-08-05,450.67,453.92,443.2,446.92,362400
2021-08-06,442.0,446.25,439.25,445.29,218500
2021-08-09,445.29,447.77,438.15,443.34,203500
2021-08-10,446.4,446.4,436.8,442.0,255600
2021-08-11,443.03,444.31,434.72,442.82,187500
2021-08-12,439.78,446.78,434.32,445.82,270100
2021-08-13,444.34,451.37,443.96,448.24,168600
2021-08-16,445.59,448.4,437.92,442.15,263900
2021-08-17,437.62,439.08,427.47,436.5,332400
2021-08-18,436.64,446.42,432.96,441.55,336400
2021-08-19,436.97,455.46,436.34,450.53,274800
2021-08-20,452.47,460.56,450.86,459.16,356500
2021-08-23,461.28,469.28,461.07,467.84,388300
2021-08-24,469.75,473.77,467.21,467.99,240200
2021-08-25,467.78,473.44,459.63,466.0,353700
2021-08-26,465.36,473.25,463.95,469.81,394700
2021-08-27,469.51,479.06,467.6,477.28,280100
2021-08-30,480.65,486.52,474.98,484.97,233900
2021-08-31,486.1,486.1,475.28,477.25,390200
2021-09-01,480.7,483.63,476.51,478.36,256200
2021-09-02,482.04,486.02,479.23,480.23,297200
2021-09-03,480.03,485.78,478.81,484.19,244000
2021-09-07,483.22,487.75,477.97,479.59,308900
2021-09-08,477.76,478.77,471.48,474.48,279400
2021-09-09,475.14,477.58,470.26,470.88,438500
2021-09-10,476.34,487.09,472.68,476.37,304700
2021-09-13,479.37,479.77,465.23,471.89,300400
2021-09-14,474.31,479.37,469.43,477.76,283800
2021-09-15,477.92,479.67,472.42,478.27,392900
2021-09-16,473.53,482.87,473.09,481.01,411800
2021-09-17,478.36,485.47,471.18,479.74,811300
2021-09-20,469.64,472.44,463.01,471.16,500200
2021-09-21,474.62,478.23,468.22,475.07,328300
2021-09-22,478.08,490.31,475.61,489.78,339300
2021-09-23,489.78,503.03,486.19,499.25,374400
2021-09-24,500.07,502.77,493.91,499.41,201300
2021-09-27,494.77,497.69,487.36,490.95,181000
2021-09-28,480.88,482.67,470.05,472.68,374900
2021-09-29,475.49,479.84,465.94,467.87,340300
2021-09-30,474.38,477.01,467.23,467.94,365500
2021-10-01,470.4,473.19,451.53,466.39,383800
2021-10-04,463.42,466.11,445.29,447.98,397700
2021-10-05,452.35,454.72,445.59,453.29,586700
2021-10-06,447.82,453.47,444.34,450.69,249500
2021-10-07,456.53,462.47,455.55,455.89,221900
2021-10-08,456.83,459.6,451.16,452.53,260200
2021-10-11,449.2,456.62,444.28,444.91,186800
2021-10-12,448.8,450.12,443.25,445.74,243600
2021-10-13,451.18,453.25,445.75,449.87,248700
2021-10-14,456.52,463.54,456.52,463.47,222800
2021-10-15,466.36,470.89,463.76,464.42,231500
2021-10-18,462.6,476.39,461.58,473.38,274700
2021-10-19,475.1,480.03,473.82,478.93,172300
2021-10-20,477.89,484.32,477.43,483.66,212500
2021-10-21,483.81,499.89,483.17,499.62,265500
2021-10-22,501.52,507.91,493.16,493.3,316900
2021-10-25,494.92,507.76,491.64,504.75,227700
2021-10-26,505.61,511.19,502.29,505.24,182000
2021-10-27,503.48,514.02,502.51,506.86,301000
2021-10-28,510.66,532.45,503.1,530.72,432100
2021-10-29,494.66,508.94,482.78,507.31,626700
2021-11-01,509.08,516.51,500.74,510.99,394500
2021-11-02,510.98,518.06,503.08,517.46,318300
2021-11-03,520.38,522.55,512.44,520.44,266200
2021-11-04,523.81,528.61,511.23,516.58,700900
2021-11-05,521.34,530.38,516.52,527.41,373900
2021-11-08,531.83,537.45,525.58,529.41,244900
2021-11-09,530.92,535.5,521.37,534.35,297000
2021-11-10,528.45,533.3,514.59,519.03,209800
2021-11-11,524.95,536.6,521.66,535.43,193300
2021-11-12,536.79,543.83,527.78,542.36,248300
2021-11-15,545.48,545.48,536.93,543.51,197500
2021-11-16,541.93,556.78,540.89,556.07,222600
2021-11-17,556.28,556.28,541.77,544.08,244000
2021-11-18,548.81,549.41,537.78,541.57,223400
2021-11-19,541.13,553.13,540.49,550.88,267900
2021-11-22,552.54,559.96,538.04,538.59,239500
2021-11-23,544.54,544.54,520.61,526.98,303700
2021-11-24,519.75,533.82,513.0,533.49,269800
2021-11-26,526.71,537.12,512.41,516.54,195100
2021-11-29,525.99,546.74,523.57,544.82,294000
2021-11-30,542.97,543.06,524.17,534.34,397400
2021-12-01,543.89,553.78,534.86,536.02,303200
2021-12-02,533.67,542.62,528.09,535.3,264800
2021-12-03,539.86,545.33,515.82,525.8,200900
2021-12-06,526.14,526.14,480.24,492.59,591000
2021-12-07,505.26,522.97,504.82,520.17,392500
2021-12-08,517.19,525.4,510.02,520.39,227000
2021-12-09,518.28,529.54,495.54,497.78,452000
2021-12-10,504.95,512.36,481.52,486.02,505400
2021-12-13,490.65,495.37,463.17,463.43,695500
2021-12-14,461.54,465.66,452.03,461.41,514700
2021-12-15,463.8,474.32,450.12,473.46,525300
2021-12-16,474.58,478.2,454.39,459.07,432900
2021-12-17,461.76,473.41,454.54,466.3,736000
2021-12-20,457.96,467.11,455.35,460.98,398500
2021-12-21,467.95,471.09,458.26,468.68,260300
2021-12-22,467.92,477.2,466.84,475.77,208000
2021-12-23,475.0,478.7,474.63,478.48,236000
2021-12-27,482.69,495.74,482.11,493.43,194500
2021-12-28,495.9,495.9,480.36,480.87,157800
2021-12-29,481.59,485.75,479.09,481.1,147600
2021-12-30,483.78,484.19,474.09,475.09,175100
2021-12-31,475.43,481.4,474.23,476.86,166300
2022-01-03,475.37,480.41,469.78,478.33,300800
2022-01-04,482.58,487.34,459.33,474.85,328400
2022-01-05,471.17,472.52,445.04,445.16,473700
2022-01-06,445.06,453.02,434.41,450.07,387700
2022-01-07,448.94,454.13,429.36,429.84,411200
2022-01-10,423.38,435.26,411.95,434.33,441300
2022-01-11,437.34,439.53,423.36,437.4,448100
2022-01-12,442.67,448.25,430.12,433.92,359600
2022-01-13,438.1,440.53,418.56,419.13,309600
2022-01-14,413.76,425.31,412.96,423.55,462500
2022-01-18,414.38,416.51,402.02,402.45,363700
2022-01-19,406.28,413.66,397.47,400.15,547200
2022-01-20,405.17,410.86,390.56,390.67,454800
2022-01-21,386.12,405.51,383.07,384.16,610500
