Date,Open,High,Low,Close,Volume
2021-09-23,62.37,63.54,62.28,62.69,12813500
2021-09-24,63.15,64.05,62.95,63.17,14714700
2021-09-27,63.08,63.74,62.94,62.96,8630600
2021-09-28,63.12,63.35,62.36,62.92,11836200
2021-09-29,63.17,64.96,63.14,64.44,16054500
2021-09-30,64.86,65.78,64.45,64.46,16248600
2021-10-01,69.99,72.38,69.19,69.86,102497300
2021-10-04,72.23,72.57,70.73,71.31,53553300
2021-10-05,71.04,71.56,69.77,70.03,28977800
2021-10-06,69.94,70.1,68.78,69.22,17608000
2021-10-07,69.98,70.95,69.54,70.32,14190500
2021-10-08,70.09,70.2,69.11,69.19,12121100
2021-10-11,70.06,70.06,68.54,68.59,11279700
2021-10-12,68.81,68.81,68.01,68.3,10945000
2021-10-13,68.3,68.36,67.61,67.75,9462600
2021-10-14,67.77,68.37,66.92,67.22,14607900
2021-10-15,67.11,67.85,66.92,67.22,12866800
2021-10-18,67.57,67.57,66.17,66.21,13075500
2021-10-19,67.56,68.24,67.03,68.22,15577100
2021-10-20,68.07,69.73,68.06,69.57,11465500
2021-10-21,69.61,69.74,68.89,69.66,9893600
2021-10-22,69.64,69.92,69.41,69.64,7543600
2021-10-25,69.54,70.13,68.61,70.08,9365900
2021-10-26,70.28,70.68,70.12,70.59,9352500
2021-10-27,70.78,70.78,69.77,69.98,8465400
2021-10-28,71.55,74.54,71.37,74.28,28854700
2021-10-29,74.22,75.91,73.95,75.56,18678600
2021-11-01,75.56,76.06,74.91,75.38,10943900
2021-11-02,75.72,77.6,75.07,76.4,14671400
2021-11-03,76.18,76.74,75.7,76.1,10883900
2021-11-04,77.55,78.44,76.61,77.7,19519800
2021-11-05,70.62,72.09,69.81,70.04,37623900
2021-11-08,69.01,71.13,68.55,70.95,18655700
2021-11-09,71.76,71.84,70.29,70.99,10512000
2021-11-10,71.49,72.1,70.97,72.1,9855900
2021-11-11,72.02,72.31,71.68,72.1,5761500
2021-11-12,71.95,72.26,71.27,72.09,8206700
2021-11-15,72.22,72.24,71.57,71.82,7108200
2021-11-16,71.8,72.68,71.44,72.18,10565200
2021-11-17,72.4,72.66,70.88,70.89,10286300
2021-11-18,70.63,71.35,70.39,71.27,9833600
2021-11-19,70.69,71.01,69.19,69.26,17581100
2021-11-22,69.51,70.43,69.12,70.06,10880200
2021-11-23,69.93,71.74,69.8,71.06,12130800
2021-11-24,71.06,71.14,70.34,70.61,8537000
2021-11-26,67.56,68.59,66.17,67.93,18022000
2021-11-29,65.58,66.51,63.51,64.27,34192400
2021-11-30,64.15,64.39,63.37,64.29,30179900
2021-12-01,64.82,66.0,63.84,63.88,21435900
2021-12-02,63.83,64.17,62.9,63.41,15345300
2021-12-03,63.58,63.72,62.36,62.94,14508900
2021-12-06,62.9,63.38,62.48,63.01,13506800
2021-12-07,61.81,62.41,61.36,62.03,17635100
2021-12-08,62.25,63.0,61.86,62.83,14331400
2021-12-09,63.02,63.13,62.38,62.53,11938000
2021-12-10,62.75,62.84,62.0,62.32,11398800
2021-12-13,62.11,63.03,61.76,63.01,17486100
2021-12-14,62.69,64.14,62.51,63.87,18949700
2021-12-15,63.86,65.31,63.86,65.23,14263400
2021-12-16,65.41,66.3,65.21,65.76,16601700
2021-12-17,66.33,67.35,65.41,65.57,28040600
2021-12-20,65.58,66.27,64.93,66.2,11818800
2021-12-21,66.06,66.08,64.88,65.44,14947800
2021-12-22,65.36,66.33,65.09,65.98,9256000
2021-12-23,66.1,66.1,65.28,65.61,9894900
2021-12-27,65.84,66.37,65.64,66.33,6334700
2021-12-28,66.43,66.83,66.02,66.54,5727100
2021-12-29,66.53,66.86,66.25,66.66,5926100
2021-12-30,66.81,67.24,66.68,66.83,5859100
2021-12-31,66.83,67.18,66.38,66.39,6019500
2022-01-03,66.34,66.65,65.28,66.59,9441200
2022-01-04,66.19,66.94,65.75,66.72,11981700
2022-01-05,66.93,69.14,66.93,68.34,17447900
2022-01-06,68.26,68.94,67.53,68.29,11359200
2022-01-07,68.32,69.76,67.97,69.57,15212000
2022-01-10,69.77,71.43,69.02,71.36,19636800
2022-01-11,71.4,71.52,69.87,70.75,11585100
2022-01-12,70.24,70.54,69.89,70.35,13057000
2022-01-13,70.11,70.8,69.59,70.45,9678100
2022-01-14,70.69,70.91,69.97,70.5,9478000
2022-01-18,70.26,71.18,70.01,70.64,14493100
2022-01-19,70.15,71.02,69.72,70.42,11448200
2022-01-20,69.94,70.92,69.76,69.96,12069600
2022-01-21,70.41,70.62,68.65,69.29,18461700
2022-01-24,69.11,69.4,66.4,68.29,17289000
2022-01-25,67.94,69.12,67.38,68.84,13662400
2022-01-26,68.78,69.6,68.21,68.56,13046600
2022-01-27,67.94,70.69,67.94,69.81,20187200
2022-01-28,68.91,70.16,68.6,70.09,13915300
2022-01-31,70.19,70.8,70.0,70.59,13035000
2022-02-01,71.0,71.14,70.24,70.97,10803300
2022-02-02,70.87,71.3,70.4,71.05,13988200
2022-02-03,70.74,70.87,67.92,68.45,19181400
2022-02-04,68.01,68.92,67.75,68.06,10716200
2022-02-07,68.26,68.37,67.09,67.21,23615300
2022-02-08,66.79,66.99,65.68,66.63,17486500
2022-02-09,66.85,66.99,66.2,66.3,15183100
2022-02-10,66.15,66.51,65.78,66.33,12437600
2022-02-11,66.19,67.49,65.99,66.39,9342300
2022-02-14,66.39,66.45,65.07,66.25,9881100
2022-02-15,67.15,67.74,66.98,67.41,11425600
2022-02-16,66.88,67.4,66.65,66.9,9981300
2022-02-17,66.58,66.65,65.84,66.15,8889300
2022-02-18,66.12,66.59,65.75,66.16,8780500
2022-02-22,66.24,66.59,65.5,65.8,9052500
2022-02-23,66.0,66.22,65.51,65.7,9659100
2022-02-24,65.06,65.25,63.14,63.68,21135600
2022-02-25,64.28,66.96,64.26,66.12,13665900
2022-02-28,65.69,66.5,64.78,66.34,14126100
2022-03-01,66.27,67.37,65.8,66.13,9807300
2022-03-02,66.11,66.9,65.89,66.42,9697500
2022-03-03,66.51,67.17,66.2,66.84,8191100
2022-03-04,66.43,67.45,65.86,67.43,12216300
2022-03-07,66.72,67.82,65.91,67.34,14008400
2022-03-08,66.92,67.65,66.33,66.66,10184100
2022-03-09,67.24,67.76,66.75,67.39,9746000
2022-03-10,67.25,67.75,66.99,67.48,8972200
2022-03-11,67.85,68.99,67.75,67.8,9424500
2022-03-14,68.09,68.71,67.57,67.98,10085400
2022-03-15,67.89,69.06,67.65,68.73,11403000
2022-03-16,69.01,69.14,67.87,68.28,10944000
2022-03-17,68.31,69.37,68.23,69.0,10279400
2022-03-18,69.21,69.69,68.72,69.14,21064800
2022-03-21,69.63,70.32,68.97,69.1,10478300
2022-03-22,69.28,69.73,68.85,69.31,10016600
2022-03-23,69.31,70.43,69.25,69.69,8470400
2022-03-24,69.96,70.51,69.68,70.28,7605000
2022-03-25,70.44,71.13,70.32,71.09,7125600
2022-03-28,71.12,71.38,70.56,70.98,7071900
2022-03-29,71.37,71.46,70.57,71.29,7398700
2022-03-30,71.53,72.28,71.38,72.02,9326600
2022-03-31,72.46,72.88,71.62,71.71,12466800
2022-04-01,71.84,73.05,71.36,73.0,10086700
2022-04-04,72.98,73.32,72.31,72.97,9039600
2022-04-05,73.12,74.67,72.99,73.17,12040900
2022-04-06,73.73,74.78,73.52,74.27,13924300
2022-04-07,74.95,76.14,74.26,75.87,13104300
2022-04-08,75.73,76.77,75.39,76.63,11409300
2022-04-11,77.19,78.21,75.32,75.72,14381000
2022-04-12,75.17,75.65,74.48,74.84,12543000
2022-04-13,74.99,75.38,74.14,75.28,12743800
2022-04-14,75.28,76.49,74.65,75.96,22096100
2022-04-18,75.53,76.43,74.89,75.23,7995100
2022-04-19,75.14,75.24,74.4,74.98,8494700
2022-04-20,74.75,75.88,74.71,75.57,8719400
2022-04-21,75.52,76.24,74.63,75.37,8562400
