Date,Open,High,Low,Close,Volume
2021-09-07,147.05,147.07,145.49,146.04,1314900
2021-09-08,146.13,147.34,145.78,147.07,1239100
2021-09-09,147.21,150.08,147.21,148.26,2022700
2021-09-10,148.86,149.63,148.24,148.43,1112700
2021-09-13,149.67,149.71,146.46,147.2,1727200
2021-09-14,147.7,147.77,145.71,145.78,2021300
2021-09-15,146.21,147.85,145.23,146.88,2281200
2021-09-16,147.07,147.53,145.35,146.34,1659600
2021-09-17,145.64,146.71,143.7,144.13,3865000
2021-09-20,142.44,143.5,141.26,143.26,1775100
2021-09-21,144.12,144.51,143.46,143.91,1435300
2021-09-22,144.95,145.97,143.51,145.29,2106400
2021-09-23,145.78,147.34,145.78,146.63,2339700
2021-09-24,146.81,147.82,146.47,147.49,1486600
2021-09-27,147.67,147.73,144.29,144.82,1571100
2021-09-28,144.17,144.73,141.05,141.77,1848200
2021-09-29,142.39,143.56,141.98,142.89,1242100
2021-09-30,143.16,143.72,140.0,140.06,2448300
2021-10-01,140.73,144.09,140.25,142.56,1737400
2021-10-04,142.1,143.27,140.01,140.35,1711300
2021-10-05,141.34,144.16,140.84,142.94,2266600
2021-10-06,141.63,143.66,140.79,143.6,1896400
2021-10-07,144.94,146.13,144.66,145.35,1741300
2021-10-08,145.39,145.95,144.66,145.4,1029600
2021-10-11,145.43,146.63,144.99,145.55,1730600
2021-10-12,145.72,146.5,144.69,145.72,1563400
2021-10-13,146.0,146.48,144.42,146.11,1927700
2021-10-14,147.18,149.42,146.64,149.12,1853000
2021-10-15,149.98,150.94,149.51,150.36,3956600
2021-10-18,149.89,151.03,149.29,150.18,2756500
2021-10-19,151.24,152.91,150.44,152.83,2036200
2021-10-20,152.95,154.84,152.95,153.93,2048900
2021-10-21,154.86,156.76,153.44,156.33,2856300
2021-10-22,156.95,157.57,155.9,157.39,2168600
2021-10-25,157.38,158.83,156.74,156.98,1476500
2021-10-26,157.51,157.7,156.06,156.77,1945400
2021-10-27,156.88,157.64,155.29,155.59,2124500
2021-10-28,156.09,156.62,154.81,155.42,1651700
2021-10-29,155.09,156.22,154.48,154.81,2924800
2021-11-01,155.0,155.39,150.12,151.09,2038400
2021-11-02,151.55,152.95,151.19,152.3,2565900
2021-11-03,152.22,152.35,149.1,150.93,1656100
2021-11-04,150.99,151.18,148.82,149.6,1629900
2021-11-05,150.74,150.92,148.68,149.85,1458900
2021-11-08,150.8,152.75,149.43,152.22,1722800
2021-11-09,151.92,153.25,151.56,153.07,1877800
2021-11-10,152.79,154.15,151.2,153.28,1466700
2021-11-11,153.33,153.41,151.6,153.07,1078000
2021-11-12,153.54,155.04,153.13,154.72,1203400
2021-11-15,154.94,155.9,154.07,155.32,1526200
2021-11-16,155.5,156.94,155.0,156.45,1593000
2021-11-17,156.14,156.61,155.04,155.73,1326300
2021-11-18,156.05,156.28,155.01,155.46,1233800
2021-11-19,156.07,157.42,154.68,157.15,1393500
2021-11-22,157.48,158.54,156.35,157.11,1698500
2021-11-23,157.2,157.9,154.98,156.9,1731600
2021-11-24,156.53,157.92,156.02,157.58,1568600
2021-11-26,154.54,156.25,152.7,154.45,1398500
2021-11-29,155.82,156.28,154.67,155.03,2004500
2021-11-30,153.61,155.95,152.21,152.23,4614500
2021-12-01,154.19,156.65,151.87,151.97,1730600
2021-12-02,152.37,156.83,152.36,156.36,1798800
2021-12-03,157.26,157.71,153.93,155.73,1989000
2021-12-06,157.35,159.25,156.58,158.21,1763800
2021-12-07,159.71,160.98,159.43,160.18,1475200
2021-12-08,161.03,162.33,159.69,160.49,1266900
2021-12-09,157.98,160.09,156.92,158.76,1392500
2021-12-10,159.82,160.15,158.42,159.45,1203600
2021-12-13,159.69,159.69,157.84,158.39,1451400
2021-12-14,158.44,158.73,155.41,156.84,2011000
2021-12-15,156.84,158.43,155.95,158.17,1820100
2021-12-16,158.86,159.33,156.39,157.78,1992400
2021-12-17,157.61,157.84,155.03,156.21,2541200
2021-12-20,154.72,156.32,153.12,156.21,1344800
2021-12-21,157.44,157.44,155.58,156.72,1566700
2021-12-22,156.78,158.44,156.51,158.23,1045700
2021-12-23,158.8,159.49,158.17,158.31,1309400
2021-12-27,158.64,161.42,158.64,161.39,1899600
2021-12-28,161.4,162.54,160.96,161.28,863800
2021-12-29,161.4,162.33,161.29,161.39,1092300
2021-12-30,161.9,162.42,160.82,161.02,678700
2021-12-31,160.63,161.82,160.39,161.33,953400
2022-01-03,159.68,160.57,155.15,155.21,2395900
2022-01-04,155.71,156.2,152.74,155.14,2940200
2022-01-05,155.54,155.99,152.99,152.99,1749500
2022-01-06,153.41,155.16,152.39,154.71,1580400
2022-01-07,154.82,155.11,151.41,152.04,2798900
2022-01-10,151.38,153.41,148.59,153.31,2403900
2022-01-11,153.67,154.01,151.29,153.82,2304900
2022-01-12,154.43,155.48,153.85,154.42,2555800
2022-01-13,154.38,155.15,151.76,152.17,1453100
2022-01-14,151.17,151.38,147.31,149.62,2311300
2022-01-18,148.05,148.63,145.84,147.33,2847600
2022-01-19,148.21,149.71,146.76,146.9,2107600
2022-01-20,147.14,149.68,146.69,146.82,1906300
2022-01-21,147.36,148.55,145.47,145.76,3901300
2022-01-24,144.61,146.79,142.2,146.61,3755300
2022-01-25,145.28,146.56,142.93,145.39,2905000
2022-01-26,146.05,147.43,142.64,143.42,3101600
2022-01-27,138.77,140.73,136.87,137.19,5038100
2022-01-28,136.78,140.15,132.99,139.95,4058900
2022-01-31,139.91,143.42,138.93,143.09,3020200
2022-02-01,143.14,144.06,140.67,142.98,2117400
2022-02-02,142.68,144.39,142.66,144.14,1845500
2022-02-03,143.37,144.14,141.19,141.59,1914700
2022-02-04,140.63,144.13,140.08,142.73,1881000
2022-02-07,142.58,143.75,141.93,142.79,1904400
2022-02-08,142.38,143.85,140.52,143.31,2058100
2022-02-09,144.57,146.41,144.35,145.7,1698100
2022-02-10,143.32,145.57,142.21,142.97,1818300
2022-02-11,142.9,144.3,141.1,141.76,2862900
2022-02-14,141.6,143.2,140.1,141.29,2527100
2022-02-15,142.88,143.7,142.14,143.0,1779900
2022-02-16,142.56,143.99,141.83,143.37,1734900
2022-02-17,142.38,142.48,140.52,140.77,1556800
2022-02-18,140.85,142.26,140.54,141.74,1523600
2022-02-22,141.7,142.22,139.73,140.76,1816900
2022-02-23,141.29,142.02,138.42,138.52,2005900
2022-02-24,136.09,142.07,135.54,141.36,2725600
2022-02-25,141.78,145.17,141.65,144.82,1829300
2022-02-28,142.79,145.45,142.39,144.74,2822900
2022-03-01,144.47,145.65,142.68,143.18,2486300
2022-03-02,144.34,145.81,143.4,144.86,1907600
2022-03-03,145.69,146.72,144.57,145.14,1595900
2022-03-04,143.82,145.98,142.49,145.74,1593700
2022-03-07,144.53,145.53,141.25,141.38,2347200
2022-03-08,141.32,142.33,137.39,137.77,2519900
2022-03-09,140.48,143.98,140.2,141.86,2125400
2022-03-10,139.71,141.36,139.71,141.09,1704300
2022-03-11,141.68,142.3,139.17,139.32,1775200
2022-03-14,140.49,142.02,138.79,139.74,1974200
2022-03-15,141.47,145.26,140.98,144.63,2105200
2022-03-16,145.44,147.61,144.37,147.15,2196800
2022-03-17,146.92,149.76,145.48,149.75,2488300
2022-03-18,147.41,151.96,146.44,151.18,3665700
2022-03-21,151.21,152.18,149.98,150.73,1487200
