Date,Open,High,Low,Close,Volume
2021-09-13,619.67,619.75,599.92,607.46,320800
2021-09-14,611.17,619.82,607.79,616.92,277900
2021-09-15,616.72,619.71,610.76,611.34,305000
2021-09-16,613.2,616.81,608.58,615.87,506400
2021-09-17,609.49,615.16,603.06,605.96,562100
2021-09-20,595.94,602.66,590.16,599.28,446800
2021-09-21,604.96,609.6,601.61,605.05,249100
2021-09-22,610.56,611.91,601.48,609.26,224900
2021-09-23,614.2,618.12,611.65,617.22,266400
2021-09-24,614.54,624.92,610.81,624.57,215000
2021-09-27,619.35,620.04,594.4,603.15,288000
2021-09-28,592.23,594.17,563.23,564.54,717500
2021-09-29,571.07,579.34,566.8,576.72,359100
2021-09-30,581.35,588.41,571.38,574.49,321100
2021-10-01,577.34,580.66,561.9,576.72,298600
2021-10-04,573.81,575.84,547.91,554.63,481900
2021-10-05,558.53,571.17,558.3,568.62,301500
2021-10-06,562.89,568.41,555.31,566.56,252200
2021-10-07,571.6,580.09,570.51,574.65,287600
2021-10-08,575.5,577.0,564.98,566.73,184400
2021-10-11,562.91,578.81,560.69,563.98,221000
2021-10-12,569.09,569.09,559.29,562.13,164900
2021-10-13,567.93,569.89,560.31,565.01,218800
2021-10-14,572.75,579.85,571.58,578.56,217000
2021-10-15,585.67,585.67,579.89,581.8,215200
2021-10-18,581.84,586.73,578.9,585.34,181000
2021-10-19,589.76,599.3,587.72,595.86,237700
2021-10-20,598.05,601.08,584.4,588.68,291300
2021-10-21,588.64,601.98,587.11,601.02,256300
2021-10-22,603.2,613.07,603.2,612.98,270000
2021-10-25,613.48,625.8,605.12,615.75,386700
2021-10-26,615.89,623.49,606.16,607.34,310000
2021-10-27,610.54,622.53,601.06,601.56,357700
2021-10-28,601.74,619.51,601.74,618.87,291700
2021-10-29,613.77,629.09,613.68,627.89,253600
2021-11-01,631.72,632.46,607.23,620.55,229700
2021-11-02,620.45,624.9,616.75,617.93,343000
2021-11-03,617.61,621.46,603.24,609.74,265800
2021-11-04,610.53,630.12,610.01,624.86,217000
2021-11-05,628.7,628.95,616.61,616.99,271200
2021-11-08,618.96,619.22,609.38,617.43,245400
2021-11-09,617.61,623.28,612.78,616.5,289000
2021-11-10,613.68,616.31,601.56,607.25,267300
2021-11-11,611.69,612.7,604.62,606.58,141600
2021-11-12,609.14,617.42,601.1,617.25,321300
2021-11-15,619.03,628.7,615.53,625.17,165900
2021-11-16,624.68,643.05,624.68,638.6,294100
2021-11-17,639.09,641.3,626.3,630.35,252900
2021-11-18,632.88,633.93,625.67,629.41,170700
2021-11-19,629.0,631.61,619.7,621.32,277000
2021-11-22,621.44,622.35,602.33,602.43,379400
2021-11-23,601.24,604.35,588.37,598.11,343400
2021-11-24,593.85,612.45,591.42,607.85,412600
2021-11-26,597.17,605.35,585.41,587.42,228200
2021-11-29,600.6,614.3,597.07,610.55,376900
2021-11-30,604.56,614.71,594.3,595.38,539900
2021-12-01,604.07,607.44,582.44,582.99,317200
2021-12-02,583.18,602.48,583.18,595.5,446800
2021-12-03,598.4,599.22,560.55,570.79,423000
2021-12-06,572.34,578.78,560.91,575.23,373300
2021-12-07,588.49,602.76,587.16,602.59,302400
2021-12-08,601.46,611.97,597.63,611.12,258600
2021-12-09,608.98,608.98,585.74,586.38,347100
2021-12-10,592.56,596.23,586.95,594.14,192600
2021-12-13,592.8,599.68,586.27,588.1,490500
2021-12-14,580.35,582.51,554.99,559.08,520600
2021-12-15,561.92,570.26,557.34,569.81,443400
2021-12-16,574.9,581.68,559.97,562.91,405800
2021-12-17,560.41,564.54,549.98,558.27,585800
2021-12-20,548.22,550.78,542.15,547.94,462000
2021-12-21,553.96,563.42,547.45,562.47,272900
2021-12-22,563.13,572.7,559.79,571.48,265600
2021-12-23,576.22,583.23,575.03,578.18,183700
2021-12-27,581.94,586.4,577.88,585.28,176200
2021-12-28,587.01,589.43,581.37,581.69,132000
2021-12-29,582.86,585.55,578.0,581.51,155900
2021-12-30,583.37,585.1,579.11,579.38,166700
2021-12-31,578.33,582.91,577.46,579.53,149900
2022-01-03,581.08,583.73,557.12,563.34,297500
2022-01-04,572.41,573.5,552.42,559.13,381800
2022-01-05,558.23,559.79,534.62,535.48,548400
2022-01-06,532.15,535.36,520.44,532.51,705600
2022-01-07,532.51,535.52,521.82,522.12,551600
2022-01-10,513.12,515.58,499.77,512.53,1081200
2022-01-11,514.79,525.4,510.15,523.37,676700
2022-01-12,530.33,537.25,524.96,528.82,532800
2022-01-13,528.78,533.51,501.84,504.54,596600
2022-01-14,501.55,501.58,489.29,498.23,564300
2022-01-18,485.87,494.58,480.99,488.72,648900
2022-01-19,494.14,503.25,485.07,485.61,524600
2022-01-20,491.88,503.86,486.89,487.93,573100
2022-01-21,485.92,488.05,472.54,473.71,648300
2022-01-24,463.67,480.82,449.29,479.62,911400
2022-01-25,468.46,475.93,463.14,466.24,703600
2022-01-26,476.25,484.65,459.34,465.49,863700
2022-01-27,464.69,488.92,462.22,465.17,1078100
2022-01-28,457.32,481.96,451.61,480.63,550700
2022-01-31,483.44,508.12,483.43,507.1,815400
2022-02-01,509.35,516.66,498.57,515.88,890400
2022-02-02,530.85,530.85,510.22,520.07,634600
2022-02-03,510.77,516.63,505.25,511.06,660700
2022-02-04,508.38,532.74,503.71,524.68,680900
2022-02-07,521.88,530.63,516.19,520.65,614400
2022-02-08,500.31,517.4,496.53,516.58,669900
2022-02-09,508.83,533.73,506.99,531.08,490800
2022-02-10,519.83,528.27,511.6,515.6,552500
2022-02-11,516.41,520.45,501.31,505.34,470500
2022-02-14,504.25,507.38,493.67,504.12,481800
2022-02-15,515.63,521.12,510.07,516.8,382300
2022-02-16,514.08,517.52,505.41,514.18,268400
2022-02-17,508.13,510.65,500.78,503.68,440200
2022-02-18,505.37,510.22,496.15,499.43,312900
2022-02-22,494.19,505.24,489.01,494.04,597100
2022-02-23,498.57,503.11,481.16,482.75,672100
2022-02-24,466.21,483.3,464.55,481.87,1485900
2022-02-25,484.23,490.39,474.63,486.36,911600
2022-02-28,478.46,482.56,470.66,475.44,897500
2022-03-01,475.99,487.11,471.17,474.2,835600
2022-03-02,480.12,487.86,477.61,484.35,656000
2022-03-03,489.24,491.87,478.57,480.58,358200
2022-03-04,478.77,478.77,465.49,471.74,582700
2022-03-07,471.19,471.53,442.48,442.95,716100
2022-03-08,443.53,448.86,427.26,441.62,798500
2022-03-09,454.71,469.34,450.3,462.59,595600
2022-03-10,452.23,455.99,434.47,440.92,769500
2022-03-11,444.58,448.59,430.7,432.74,662600
2022-03-14,435.93,437.75,428.88,433.4,567000
2022-03-15,440.49,449.47,435.93,446.3,471900
2022-03-16,454.59,467.78,451.69,467.17,549200
2022-03-17,461.53,472.37,460.39,472.36,415900
2022-03-18,474.3,495.39,472.72,493.12,858100
2022-03-21,487.01,492.79,475.77,480.48,421900
2022-03-22,485.49,487.98,477.46,483.09,488100
2022-03-23,477.63,478.94,465.09,465.55,574800
2022-03-24,467.87,472.89,465.03,469.8,477600
2022-03-25,472.68,472.88,461.11,464.66,360200
2022-03-28,467.59,481.25,466.48,481.24,952900
2022-03-29,490.21,498.76,484.08,489.73,720300
2022-03-30,484.21,487.17,479.84,483.58,558300
2022-03-31,486.49,490.62,476.57,476.57,917000
2022-04-01,478.58,489.26,474.48,489.0,725900
2022-04-04,491.09,500.13,488.71,492.33,611400
2022-04-05,489.74,490.15,483.79,486.38,550700
2022-04-06,480.47,483.03,474.35,480.14,617600
2022-04-07,477.98,486.08,477.0,483.32,772500
2022-04-08,484.12,485.08,478.87,479.99,588100
2022-04-11,475.74,475.74,460.45,460.66,579400
2022-04-12,463.1,470.94,453.44,455.18,508300
2022-04-13,452.05,468.79,452.05,467.46,476800
2022-04-14,468.6,470.68,457.08,457.45,440000
2022-04-18,456.22,458.88,450.15,453.0,299600
2022-04-19,453.17,465.98,450.21,464.86,468000
2022-04-20,469.15,472.32,461.82,467.72,384100
2022-04-21,473.27,473.83,448.77,449.94,421600
2022-04-22,441.88,447.7,431.83,432.18,483200
2022-04-25,428.2,439.66,426.85,438.11,724700
2022-04-26,426.46,437.83,406.76,407.32,802900
2022-04-27,407.13,412.83,393.6,395.92,787200
2022-04-28,404.24,415.92,400.4,410.71,616300
2022-04-29,406.33,409.86,398.56,399.21,631900
2022-05-02,396.93,403.87,389.42,401.58,744800
2022-05-03,402.77,411.29,401.87,409.31,674500
2022-05-04,409.26,411.65,391.42,410.1,622900
2022-05-05,405.54,406.12,384.03,394.28,774400
2022-05-06,389.18,390.87,374.34,384.39,855900
2022-05-09,374.8,379.21,356.72,359.25,1276100
2022-05-10,368.63,374.65,360.44,368.54,824500
2022-05-11,366.84,379.63,364.59,367.13,785400
2022-05-12,360.93,374.7,360.64,368.67,655400
2022-05-13,375.93,390.44,375.06,387.83,675900
2022-05-16,381.91,383.68,376.25,380.09,696900
2022-05-17,393.35,393.35,377.63,387.46,679600
2022-05-18,380.35,385.65,378.35,379.62,894700
2022-05-19,375.9,392.85,375.34,389.62,823300
2022-05-20,394.04,396.84,387.2,396.29,670400
2022-05-23,398.77,399.25,390.27,396.89,387800
2022-05-24,392.08,395.95,383.06,393.98,395000
2022-05-25,392.03,398.67,389.62,396.06,472300
2022-05-26,399.31,412.94,398.4,411.24,411100
2022-05-27,417.06,426.03,417.06,425.87,540500
2022-05-31,420.89,426.39,416.7,420.34,828800
2022-06-01,403.94,427.4,403.94,409.98,600500
2022-06-02,412.31,429.43,409.56,429.15,417300
2022-06-03,421.78,422.62,414.01,416.63,298400
2022-06-06,421.22,423.96,413.93,416.83,355400
2022-06-07,412.08,424.57,412.08,424.08,233900
2022-06-08,419.76,425.23,413.2,413.86,273200
2022-06-09,412.07,415.42,405.41,405.83,239500
2022-06-10,397.99,397.99,387.52,389.64,477900
2022-06-13,377.0,378.53,369.29,373.44,955800
2022-06-14,373.5,378.16,369.76,371.54,525100
2022-06-15,377.25,384.33,368.55,377.61,436300
2022-06-16,365.8,368.78,360.74,366.56,679400
2022-06-17,365.12,376.6,364.31,367.47,742600
2022-06-21,375.19,382.12,374.35,380.33,590100
2022-06-22,375.66,387.33,375.66,380.92,564900
2022-06-23,385.56,396.84,384.02,395.97,341700
2022-06-24,399.41,411.38,397.04,410.56,630800
2022-06-27,413.82,415.02,407.33,408.39,371400
2022-06-28,407.68,415.07,391.92,392.56,321600
2022-06-29,392.69,396.41,384.31,394.59,373400
2022-06-30,390.07,396.85,379.53,391.64,427900
2022-07-01,390.55,396.95,387.42,396.93,348500
2022-07-05,392.5,401.83,386.77,401.01,349700
2022-07-06,403.82,408.53,400.33,405.03,418300
2022-07-07,403.89,414.09,403.89,413.82,402400
2022-07-08,411.22,417.82,408.16,412.35,310400
2022-07-11,408.68,413.34,404.83,410.36,277400
2022-07-12,410.05,416.36,397.43,399.4,326200
2022-07-13,391.61,399.4,388.31,393.13,491400
2022-07-14,387.22,392.2,383.7,389.7,644600
2022-07-15,396.28,401.53,394.52,398.02,584900
2022-07-18,403.12,406.62,389.32,391.51,359700
2022-07-19,397.63,406.38,397.27,404.9,982700
2022-07-20,407.23,414.31,404.48,412.71,710100
2022-07-21,413.54,426.32,412.13,425.2,438600
2022-07-22,427.61,428.62,415.1,418.01,399600
2022-07-25,418.9,418.9,411.02,416.65,430700
2022-07-26,412.72,423.78,410.8,420.85,657400
2022-07-27,426.32,433.83,425.06,430.43,505700
2022-07-28,433.41,453.61,430.66,450.69,499700
2022-07-29,451.4,459.24,450.44,457.39,657200
2022-08-01,453.23,460.16,451.15,453.13,516000
2022-08-02,449.0,461.04,448.38,453.92,307100
2022-08-03,457.79,472.38,454.29,471.63,545500
2022-08-04,471.0,473.13,464.2,472.04,446400
2022-08-05,465.24,471.88,463.9,471.49,262300
2022-08-08,478.79,481.23,472.92,475.9,293400
2022-08-09,473.65,475.23,468.0,470.3,228800
2022-08-10,485.1,488.4,478.81,486.63,277200
2022-08-11,492.41,492.41,476.64,477.35,235700
2022-08-12,481.47,483.22,475.42,482.67,330900
2022-08-15,481.04,486.05,478.6,484.5,369000
2022-08-16,478.27,482.2,472.35,479.73,229900
2022-08-17,474.18,480.96,469.96,478.65,295300
2022-08-18,478.18,478.63,474.92,476.26,161000
2022-08-19,471.52,471.98,455.12,455.79,338800
2022-08-22,448.03,452.47,444.67,450.45,363500
2022-08-23,448.82,452.19,443.22,445.32,196800
2022-08-24,446.63,450.14,444.5,445.69,215400
2022-08-25,447.7,453.51,441.87,453.21,174400
2022-08-26,454.5,454.5,433.61,434.77,347100
2022-08-29,430.34,436.18,430.34,434.37,309900
2022-08-30,436.39,438.12,427.82,431.55,241900
2022-08-31,435.84,437.4,427.75,427.93,338600
2022-09-01,424.83,435.93,419.79,435.23,516700
2022-09-02,440.29,441.98,428.99,430.51,501900
2022-09-06,431.2,438.48,428.93,435.97,399300
2022-09-07,436.21,452.08,435.21,451.8,341900
2022-09-08,449.44,461.08,448.02,459.99,331200
2022-09-09,462.94,470.84,461.84,467.95,428800
2022-09-12,468.51,475.2,468.51,473.01,415300
2022-09-13,457.17,459.97,448.35,449.39,432400
2022-09-14,452.58,453.35,439.84,446.86,331600
2022-09-15,442.32,445.95,431.92,434.55,339700
2022-09-16,430.63,435.43,425.16,435.02,641800
2022-09-19,430.39,430.61,421.45,429.97,422100
2022-09-20,426.05,431.98,422.18,426.53,321500
2022-09-21,428.67,432.62,418.72,418.72,297300
2022-09-22,416.41,416.66,401.44,406.83,557500
2022-09-23,402.41,405.71,395.42,402.29,505100
2022-09-26,403.21,409.68,398.26,400.8,540600
2022-09-27,408.51,413.21,393.73,397.12,446500
2022-09-28,401.5,412.19,397.81,408.78,467800
2022-09-29,403.06,405.7,400.37,403.14,377600
2022-09-30,402.09,410.68,401.11,401.78,501800
2022-10-03,404.71,412.44,400.82,411.11,307000
2022-10-04,419.7,429.61,418.12,429.47,375400
2022-10-05,423.06,429.93,420.4,426.25,319900
2022-10-06,422.97,426.74,415.89,415.94,341500
2022-10-07,410.7,413.31,396.43,399.92,398300
2022-10-10,397.52,399.31,384.22,387.62,470400
2022-10-11,385.47,389.95,375.1,380.4,501900
2022-10-12,381.12,385.44,376.27,382.6,516000
2022-10-13,372.34,389.04,366.74,386.82,557800
2022-10-14,392.33,393.2,368.86,370.28,408700
2022-10-17,379.82,386.91,379.82,383.84,438000
2022-10-18,397.7,397.93,386.04,389.18,300100
2022-10-19,382.73,384.92,376.53,379.87,261000
2022-10-20,378.84,380.52,371.86,374.98,542000
2022-10-21,375.97,383.19,369.71,382.43,774000
2022-10-24,386.43,393.1,378.43,392.6,643300
2022-10-25,396.57,427.46,396.57,427.15,735600
2022-10-26,424.84,439.32,423.75,430.18,602100
2022-10-27,434.14,442.21,431.14,433.62,438200
2022-10-28,433.95,453.46,433.32,451.77,443900
2022-10-31,449.68,455.78,446.32,446.62,708200
2022-11-01,455.79,461.15,444.25,447.78,379100
2022-11-02,447.0,452.04,431.4,432.21,417900
2022-11-03,425.78,436.99,423.77,429.75,367300
2022-11-04,437.04,444.45,430.38,439.04,429500
2022-11-07,440.51,442.94,433.96,440.26,317900
2022-11-08,442.93,450.34,438.01,445.7,365700
2022-11-09,442.59,448.81,439.64,444.25,301100
2022-11-10,467.9,489.37,467.63,486.82,578800
2022-11-11,490.84,498.8,486.16,489.37,509800
2022-11-14,485.16,488.11,469.39,470.14,630600
2022-11-15,484.68,487.01,477.12,480.44,409300
2022-11-16,478.16,485.79,473.4,484.44,322700
2022-11-17,476.17,479.51,465.49,469.05,210100
2022-11-18,480.89,480.89,459.19,468.3,612600
2022-11-21,466.53,472.06,462.45,471.22,275600
2022-11-22,472.56,481.04,470.28,480.11,236100
2022-11-23,480.62,491.27,477.71,485.91,269100
2022-11-25,486.86,490.41,483.32,489.27,94700
2022-11-28,484.53,489.72,471.45,473.7,330600
2022-11-29,472.54,476.77,463.03,464.49,392100
2022-11-30,464.49,485.36,461.4,485.03,481600
2022-12-01,490.45,499.87,486.45,497.99,406700
2022-12-02,488.09,497.73,483.51,495.54,440000
2022-12-05,489.12,489.12,478.26,481.84,431000
2022-12-06,482.55,483.15,473.41,477.46,377700
2022-12-07,477.56,480.7,474.2,477.94,428800
2022-12-08,478.69,483.16,476.09,477.54,211000
2022-12-09,475.03,477.16,466.72,470.44,332100
2022-12-12,468.73,474.97,468.64,474.95,285000
2022-12-13,501.17,503.61,482.32,489.04,499000
2022-12-14,484.8,493.94,470.93,476.1,544700
2022-12-15,467.67,470.91,453.66,455.28,859900
2022-12-16,451.07,453.78,446.17,450.42,1062200
2022-12-19,450.73,452.32,440.1,441.2,564600
2022-12-20,439.7,442.92,429.8,437.44,686800
2022-12-21,441.9,451.16,439.14,451.16,440800
2022-12-22,445.51,447.15,434.19,441.57,361700
2022-12-23,440.89,446.61,439.17,443.0,347200
2022-12-27,442.04,447.52,434.78,439.76,399700
2022-12-28,439.91,443.65,433.56,434.04,211000
2022-12-29,439.48,452.17,437.92,450.74,272500
2022-12-30,445.41,448.36,438.86,444.29,354400
2023-01-03,448.49,455.58,435.87,440.46,345000
2023-01-04,445.1,453.82,441.62,452.84,427200
2023-01-05,446.97,450.67,438.47,438.51,325000
2023-01-06,444.56,451.92,435.03,447.96,366200
2023-01-09,454.47,469.75,451.5,458.97,312100
2023-01-10,458.29,467.98,455.6,466.17,270800
2023-01-11,472.07,481.77,469.29,481.49,364200
2023-01-12,482.45,484.05,472.63,481.42,303000
2023-01-13,474.25,483.84,474.25,482.56,320600
2023-01-17,482.85,489.09,476.91,487.37,332300
2023-01-18,490.75,502.24,482.55,483.61,407800
2023-01-19,477.84,480.54,470.45,473.53,343900
2023-01-20,475.98,489.7,473.63,488.79,345700
2023-01-23,487.84,497.94,486.3,491.86,321100
2023-01-24,489.31,499.53,487.84,496.51,319100
2023-01-25,485.6,490.99,474.95,485.81,372700
2023-01-26,489.02,495.8,483.99,492.08,622200
2023-01-27,488.25,500.88,483.57,496.58,481200
2023-01-30,489.92,493.62,481.82,483.82,628300
2023-01-31,491.55,508.08,476.64,507.7,754000
2023-02-01,518.22,535.23,505.5,529.63,913700
2023-02-02,538.54,546.8,533.8,542.92,903400
2023-02-03,533.13,543.89,531.09,541.96,494200
2023-02-06,534.1,539.64,526.85,528.56,610100
2023-02-07,527.16,537.57,521.45,535.24,280000
2023-02-08,530.13,535.16,528.87,531.9,213100
2023-02-09,535.88,540.85,528.7,530.65,727200
2023-02-10,524.18,525.83,516.55,524.67,413900
2023-02-13,528.15,537.6,523.15,536.87,403400
2023-02-14,536.23,544.82,532.05,536.6,260200
2023-02-15,530.91,541.62,528.78,541.61,349500
2023-02-16,529.89,536.9,528.28,529.46,265700
2023-02-17,524.38,526.7,515.57,521.64,438800
2023-02-21,512.9,515.02,500.83,502.48,572500
2023-02-22,505.04,505.33,497.98,501.75,386000
2023-02-23,506.54,507.89,497.55,505.32,195400
2023-02-24,498.0,499.9,490.23,496.11,298300
2023-02-27,503.61,508.1,501.42,503.41,364700
2023-02-28,503.52,509.26,498.96,499.93,335800
2023-03-01,497.12,500.25,492.48,493.51,375500
2023-03-02,488.92,495.28,486.83,495.28,387100
2023-03-03,499.41,514.41,498.38,513.83,382700
2023-03-06,515.06,522.28,514.97,519.8,568000
2023-03-07,519.81,524.6,508.86,511.25,406600
2023-03-08,509.47,514.93,505.03,513.05,254700
2023-03-09,514.22,522.05,509.72,512.27,499200
2023-03-10,512.23,514.0,497.02,500.04,595400
2023-03-13,495.76,511.41,491.97,505.8,786300
2023-03-14,517.64,534.52,517.38,524.92,639000
2023-03-15,512.18,515.44,498.4,513.93,506400
2023-03-16,511.25,536.41,511.25,523.31,456700
2023-03-17,523.8,525.22,509.85,514.23,999600
2023-03-20,517.49,521.91,511.29,521.16,353300
2023-03-21,526.87,532.68,526.05,530.74,470800
2023-03-22,529.16,539.82,523.39,523.89,414400
2023-03-23,523.06,532.06,518.56,523.68,457500
2023-03-24,518.69,521.81,513.45,519.99,323300
2023-03-27,525.06,525.06,515.97,517.35,413200
2023-03-28,517.28,520.03,511.96,519.8,222200
2023-03-29,526.16,528.56,520.33,527.48,276400
2023-03-30,532.85,532.85,522.21,525.37,328100
2023-03-31,529.94,535.97,526.72,535.87,347100
2023-04-03,529.99,534.77,526.6,533.65,330100
2023-04-04,536.38,539.1,526.1,526.96,457000
2023-04-05,523.2,527.54,513.45,515.46,318600
2023-04-06,511.48,514.52,509.7,510.94,333500
2023-04-10,505.84,506.53,490.77,505.95,444000
2023-04-11,507.77,512.59,503.23,507.13,391600
2023-04-12,512.98,516.08,507.2,508.24,375800
2023-04-13,511.43,520.03,507.57,519.52,301500
2023-04-14,518.09,529.5,515.4,517.05,538400
2023-04-17,514.33,521.78,511.63,514.69,477000
2023-04-18,519.06,525.06,514.73,521.29,406600
2023-04-19,519.39,523.91,516.59,522.27,230100
2023-04-20,517.37,527.22,516.06,523.32,208200
2023-04-21,524.24,524.8,519.96,521.42,373600
2023-04-24,522.49,525.05,518.2,521.43,389000
2023-04-25,512.99,516.09,450.96,451.1,1532500
2023-04-26,443.58,447.72,435.64,438.72,1601000
2023-04-27,446.64,449.2,439.58,444.53,1210600
2023-04-28,442.94,465.41,442.94,461.92,1107600
2023-05-01,462.28,468.49,459.71,462.47,648400
2023-05-02,459.09,459.8,446.26,448.55,659200
2023-05-03,448.41,456.31,445.38,445.95,492700
2023-05-04,444.43,448.01,441.53,441.91,453100
2023-05-05,447.75,454.13,445.06,453.49,423700
2023-05-08,454.61,458.61,451.49,452.76,461100
2023-05-09,448.84,456.01,448.84,452.75,353800
2023-05-10,458.61,462.39,450.79,455.81,559600
2023-05-11,454.52,456.77,448.58,451.69,338700
