Date,Open,High,Low,Close,Volume
2021-09-13,75.09,75.13,73.78,73.95,6498800
2021-09-14,74.13,74.48,73.83,74.0,4658200
2021-09-15,73.73,74.43,73.49,73.97,5707000
2021-09-16,73.86,74.29,73.14,73.44,5380600
2021-09-17,72.91,73.38,71.3,71.37,15390400
2021-09-20,71.29,72.16,70.52,71.42,8994100
2021-09-21,71.63,72.44,71.45,71.62,6450700
2021-09-22,71.77,72.49,71.31,71.6,5662200
2021-09-23,71.85,72.02,70.94,71.05,6414300
2021-09-24,71.03,71.45,70.37,70.55,6113800
2021-09-27,69.95,70.63,68.67,68.86,8600900
2021-09-28,68.61,68.71,67.33,67.55,9257400
2021-09-29,67.86,69.09,67.71,68.5,7496100
2021-09-30,68.93,69.43,68.1,68.65,10186800
2021-10-01,69.08,69.58,68.21,69.25,7961100
2021-10-04,69.11,69.87,68.64,69.38,6027800
2021-10-05,69.44,69.85,69.15,69.49,5434600
2021-10-06,69.29,71.07,68.76,70.97,6876200
2021-10-07,71.23,72.22,70.63,70.75,5753200
2021-10-08,70.82,70.84,70.07,70.12,3592900
2021-10-11,69.24,69.38,67.97,68.04,8798700
2021-10-12,68.28,69.22,67.82,68.95,7791200
2021-10-13,69.1,70.26,68.71,70.11,6260100
2021-10-14,70.26,71.56,70.12,71.22,6486000
2021-10-15,71.64,72.08,70.99,71.4,14634200
2021-10-18,71.11,71.39,70.61,70.81,4942100
2021-10-19,71.44,71.82,71.01,71.72,5717500
2021-10-20,72.35,74.01,72.02,73.37,6942600
2021-10-21,73.62,74.05,73.19,73.27,4945000
2021-10-22,73.41,73.95,73.21,73.81,4732400
2021-10-25,73.79,74.15,73.38,73.69,3987300
2021-10-26,73.8,75.43,73.76,74.72,6969100
2021-10-27,75.2,75.49,74.1,74.32,4356900
2021-10-28,74.24,75.61,74.08,75.55,6568400
2021-10-29,75.34,75.59,74.26,74.6,7792600
2021-11-01,74.7,75.03,74.25,74.83,5135200
2021-11-02,75.06,75.4,73.78,74.68,7266400
2021-11-03,74.9,75.01,73.65,74.52,5723200
2021-11-04,74.45,74.65,72.71,74.1,6594000
2021-11-05,74.09,74.93,73.72,74.78,4885400
2021-11-08,74.78,74.84,73.47,73.95,5391000
2021-11-09,74.04,74.46,73.75,74.26,3917600
2021-11-10,74.26,74.64,73.88,74.49,5192700
2021-11-11,74.72,74.75,73.94,74.64,5370200
2021-11-12,74.64,75.77,74.34,75.46,6467100
2021-11-15,75.98,76.37,75.6,76.36,5543000
2021-11-16,76.12,76.43,75.77,76.04,5497200
2021-11-17,75.91,76.83,75.54,76.74,6203100
2021-11-18,76.69,76.83,75.9,76.59,5537400
