Date,Open,High,Low,Close,Volume
2021-07-12,54.99,55.46,54.49,54.66,4318300
2021-07-13,54.73,55.71,54.65,54.82,5091600
2021-07-14,55.43,55.97,54.75,54.81,4808600
2021-07-15,54.88,55.2,54.57,54.92,4386400
2021-07-16,54.69,54.69,53.09,53.4,6278500
2021-07-19,52.8,53.14,51.83,52.5,8059500
2021-07-20,52.77,53.53,51.91,52.28,5804300
2021-07-21,51.74,52.49,51.55,52.21,5866800
2021-07-22,52.42,52.45,51.17,52.08,4654500
2021-07-23,51.47,52.08,51.06,52.0,7544100
2021-07-26,52.0,53.03,51.78,52.24,4609300
2021-07-27,52.22,53.13,51.78,53.04,4155200
2021-07-28,52.92,53.6,52.77,53.53,4390000
2021-07-29,54.43,54.88,54.07,54.25,5209400
2021-07-30,54.0,54.78,53.94,54.34,5480800
2021-08-02,54.11,54.25,53.55,53.61,3723600
2021-08-03,53.74,54.56,53.65,54.19,3866300
2021-08-04,54.6,54.89,53.48,53.51,4036600
2021-08-05,53.54,53.7,52.87,52.98,3376000
2021-08-06,51.96,52.28,51.17,51.74,8796000
2021-08-09,51.17,51.66,50.88,50.9,5862100
2021-08-10,50.9,51.09,50.14,50.21,7730700
2021-08-11,50.82,51.81,50.8,51.26,6053400
2021-08-12,51.15,51.15,50.17,50.47,4130700
2021-08-13,51.03,51.18,50.58,50.9,4673000
2021-08-16,50.9,51.27,50.65,50.93,3974200
2021-08-17,50.69,51.22,50.49,50.91,4816300
2021-08-18,50.75,50.89,49.19,49.23,8108900
2021-08-19,49.18,49.39,48.75,48.89,5592900
2021-08-20,48.78,49.26,48.57,48.74,4164900
2021-08-23,49.44,50.32,49.09,49.98,5288800
2021-08-24,50.29,50.33,49.68,49.72,3143800
2021-08-25,49.37,50.0,48.88,49.23,3942800
2021-08-26,48.89,49.45,48.86,48.99,3152800
2021-08-27,49.02,50.39,48.73,50.33,5029900
2021-08-30,50.54,50.66,49.54,49.75,4860200
2021-08-31,50.01,50.21,49.72,50.16,5854500
2021-09-01,50.28,50.47,49.85,50.07,5506300
2021-09-02,50.19,50.8,50.09,50.78,5015900
2021-09-03,51.58,52.01,51.1,51.61,8075800
2021-09-07,51.14,51.36,50.21,50.41,6074700
2021-09-08,50.43,50.74,50.04,50.26,4713200
2021-09-09,50.39,50.49,49.73,50.05,3900100
2021-09-10,49.95,50.26,49.71,49.77,4307300
2021-09-13,49.8,50.37,49.63,49.81,4647300
2021-09-14,49.95,50.32,49.56,49.95,4647500
2021-09-15,49.71,50.55,49.71,50.4,4004900
2021-09-16,49.52,49.76,47.92,48.4,8479000
2021-09-17,47.99,48.3,47.63,48.22,10437600
2021-09-20,47.87,47.96,46.74,47.16,10411800
2021-09-21,47.58,48.41,47.34,47.6,5627600
2021-09-22,48.0,48.59,47.68,47.72,6199900
2021-09-23,47.56,47.92,47.1,47.2,5964000
2021-09-24,47.06,47.57,46.84,47.04,4720900
2021-09-27,47.04,47.98,46.91,47.07,4915000
2021-09-28,46.72,47.85,46.51,47.66,7613100
