Date,Open,High,Low,Close,Volume
2021-09-27,195.39,198.98,194.04,197.66,1069800.0
2021-09-28,193.98,195.21,187.86,188.08,2201900.0
2021-09-29,185.09,185.89,180.49,181.3,1976600.0
2021-09-30,182.96,183.8,178.52,178.67,2343100.0
2021-10-01,179.09,179.96,174.23,175.95,3381500.0
2021-10-04,176.7,176.91,171.41,172.36,2551700.0
2021-10-05,173.94,176.59,172.11,174.8,2246300.0
2021-10-06,172.1,175.09,171.87,174.14,1847300.0
2021-10-07,176.52,180.04,176.52,176.83,1514500.0
2021-10-08,177.43,177.58,173.31,173.6,1394200.0
2021-10-11,172.71,174.37,169.43,169.61,2144000.0
2021-10-12,170.72,171.26,166.33,167.1,3021000.0
2021-10-13,168.23,169.87,166.39,167.02,2765500.0
2021-10-14,170.58,173.26,170.36,172.49,2682300.0
2021-10-15,173.67,174.89,172.49,173.14,1772500.0
2021-10-18,171.68,175.43,170.72,175.38,2028200.0
2021-10-19,175.9,179.82,174.7,179.66,2100400.0
2021-10-20,179.3,182.25,177.68,180.18,2100400.0
2021-10-21,179.06,183.82,178.79,183.58,1688600.0
2021-10-22,183.88,185.57,182.33,182.37,1829500.0
2021-10-25,183.04,184.38,182.24,182.7,1390500.0
2021-10-26,183.42,183.5,176.75,178.93,2706600.0
2021-10-27,176.71,178.04,174.08,175.51,2882400.0
2021-10-28,177.27,182.56,177.09,182.35,1930900.0
2021-10-29,180.38,184.09,179.9,183.22,1604600.0
2021-11-01,184.83,188.44,184.27,187.12,3419000.0
2021-11-02,187.47,190.16,185.34,188.42,2991100.0
2021-11-03,189.27,198.06,188.57,196.83,3378900.0
2021-11-04,197.02,200.16,196.12,200.01,2326300.0
2021-11-05,200.68,205.05,200.64,204.56,2835800.0
2021-11-08,204.02,207.52,201.83,203.49,3829600.0
2021-11-09,203.64,203.76,199.17,201.64,1625200.0
2021-11-10,199.28,200.85,194.09,195.41,2262000.0
2021-11-11,203.65,203.73,195.34,199.86,4639700.0
2021-11-12,200.3,201.17,195.58,198.69,2829000.0
2021-11-15,201.59,201.59,196.29,196.74,2003200.0
2021-11-16,196.3,200.65,195.57,200.01,1497200.0
2021-11-17,200.01,200.01,196.73,198.68,1376500.0
2021-11-18,199.55,201.29,197.36,201.21,2494200.0
2021-11-19,201.21,202.33,200.35,201.83,2124200.0
2021-11-22,202.79,205.84,200.17,202.39,2846000.0
2021-11-23,201.97,204.41,196.64,199.88,2070000.0
2021-11-24,197.58,201.79,195.5,201.62,1630900.0
2021-11-26,194.41,198.46,191.79,193.79,1776500.0
2021-11-29,197.72,204.57,196.21,204.28,2412900.0
2021-11-30,203.14,207.81,199.13,203.75,5141600.0
2021-12-01,207.38,214.07,203.15,203.42,3222500.0
2021-12-02,200.93,206.06,199.02,203.17,1934800.0
2021-12-03,205.24,208.4,202.1,207.18,2743800.0
2021-12-06,207.8,208.26,198.34,204.59,2223600.0
2021-12-07,208.88,218.84,207.98,217.92,2934400.0
2021-12-08,208.9,209.62,201.68,208.06,3880100.0
2021-12-09,205.56,208.49,205.01,205.39,1990800.0
2021-12-10,208.49,208.78,203.45,206.57,1751500.0
2021-12-13,208.33,208.33,200.74,202.31,1966600.0
2021-12-14,200.2,202.68,198.22,201.18,1687300.0
2021-12-15,202.42,209.99,200.08,209.77,2565700.0
2021-12-16,209.28,209.71,199.04,199.32,3223800.0
2021-12-17,197.75,203.51,196.12,200.01,4657400.0
2021-12-20,197.07,200.91,196.26,199.04,1336100.0
2021-12-21,202.61,205.49,200.32,205.19,1603700.0
2021-12-22,203.98,207.48,202.76,207.37,1057900.0
2021-12-23,207.37,209.6,206.92,207.91,920300.0
2021-12-27,209.1,212.94,208.14,212.88,1235800.0
2021-12-28,213.82,214.38,209.04,211.27,1362100.0
2021-12-29,210.69,213.42,210.25,210.81,1117000.0
2021-12-30,210.82,212.71,208.78,209.06,886400.0
2021-12-31,209.56,211.71,207.91,208.31,1022900.0
2022-01-03,208.86,213.42,208.57,211.45,1519300.0
2022-01-04,212.54,214.82,206.19,212.96,1965000.0
2022-01-05,211.94,214.25,205.09,205.37,1963500.0
2022-01-06,206.22,209.2,204.95,207.56,1957800.0
2022-01-07,208.51,210.33,201.08,202.41,1760200.0
2022-01-10,201.24,203.15,196.35,202.87,1926500.0
2022-01-11,203.63,208.28,201.89,208.09,1755300.0
2022-01-12,209.48,211.62,206.55,209.44,1263000.0
2022-01-13,212.16,212.5,201.74,202.89,2911000.0
2022-01-14,200.01,206.12,199.43,206.03,1722900.0
2022-01-18,201.19,202.26,198.21,198.83,2348200.0
2022-01-19,199.31,201.6,192.76,192.92,1888300.0
2022-01-20,190.22,193.67,182.36,182.55,2885000.0
2022-01-21,180.46,189.97,179.98,182.86,3812000.0
2022-01-24,179.09,186.08,171.99,185.71,3738900.0
2022-01-25,180.34,182.79,176.86,178.12,3855600.0
2022-01-26,183.31,187.7,176.99,180.12,3470600.0
2022-01-27,183.7,183.83,170.46,171.89,3786000.0
2022-01-28,170.54,173.33,164.72,173.25,4949100.0
