Date,Open,High,Low,Close,Volume
2021-07-12,126.67,127.1,124.89,125.65,1311600
2021-07-13,126.37,126.48,124.77,125.63,1004400
2021-07-14,125.84,126.83,124.83,126.2,996200
2021-07-15,125.12,127.46,124.67,126.23,826600
2021-07-16,126.23,126.83,123.62,123.85,1499600
2021-07-19,122.19,122.39,120.31,122.0,1166400
2021-07-20,122.32,124.51,121.95,123.41,1144400
2021-07-21,123.87,124.32,122.36,124.08,865600
2021-07-22,124.5,125.07,123.98,124.53,580600
2021-07-23,124.62,127.54,124.09,127.33,833600
2021-07-26,127.37,128.3,125.92,126.21,900600
2021-07-27,125.72,128.0,125.02,126.45,1573600
2021-07-28,123.62,126.49,122.08,126.33,1652000
2021-07-29,127.24,133.33,126.69,130.7,1346200
2021-07-30,130.3,131.59,129.58,131.27,1014000
2021-08-02,131.3,131.88,129.89,130.12,885400
2021-08-03,129.49,133.61,129.4,133.55,1061400
2021-08-04,133.63,133.7,131.55,131.86,979600
2021-08-05,132.61,134.02,132.12,132.75,776800
2021-08-06,133.13,133.58,132.27,133.01,525800
2021-08-09,133.1,133.26,131.65,132.75,585800
2021-08-10,133.0,134.33,132.54,132.86,829800
2021-08-11,132.92,134.89,132.66,134.77,824200
2021-08-12,134.38,136.64,134.38,136.1,635600
2021-08-13,135.98,137.38,135.37,137.05,658400
2021-08-16,136.29,137.46,135.1,137.38,683400
2021-08-17,136.98,136.98,134.23,136.46,667800
2021-08-18,135.75,137.61,134.62,134.84,1126800
2021-08-19,133.65,136.48,133.02,136.32,1001200
2021-08-20,136.5,138.51,136.23,137.79,783800
2021-08-23,138.21,139.94,137.96,138.58,710400
2021-08-24,139.14,140.02,138.47,139.26,533200
2021-08-25,138.88,140.16,138.87,139.52,701000
2021-08-26,140.3,140.3,138.39,139.54,883800
2021-08-27,139.69,142.69,139.07,141.33,876400
2021-08-30,141.33,143.63,140.35,143.31,859600
2021-08-31,143.28,143.86,140.63,140.91,2022400
2021-09-01,141.49,143.44,139.52,142.95,1131200
2021-09-02,143.49,146.43,143.08,146.36,1272400
2021-09-03,146.48,148.48,145.3,146.98,913800
2021-09-07,147.29,148.34,146.29,147.37,1366400
2021-09-08,147.15,147.15,144.32,146.28,1207000
2021-09-09,144.7,144.85,139.32,141.36,2359400
2021-09-10,142.47,143.52,141.94,142.25,1379200
2021-09-13,143.61,143.61,140.25,141.47,1242600
2021-09-14,142.07,142.07,140.52,140.88,1138000
2021-09-15,141.29,143.2,139.21,141.92,1424200
2021-09-16,142.05,142.91,141.61,142.27,861400
2021-09-17,141.87,142.49,140.56,141.36,1978200
2021-09-20,138.9,142.36,138.52,142.26,1287400
2021-09-21,143.88,146.46,142.92,145.54,1834200
2021-09-22,145.9,146.86,144.43,144.82,1122200
2021-09-23,145.58,147.66,145.57,146.26,1046200
2021-09-24,145.85,147.97,145.15,147.87,805000
2021-09-27,147.71,148.41,145.33,145.7,917600
2021-09-28,144.69,144.77,142.58,143.25,930000
2021-09-29,144.49,145.06,142.05,143.08,914600
2021-09-30,143.99,145.08,139.26,139.57,1729200
2021-10-01,140.32,140.53,136.17,139.35,1021400
2021-10-04,139.29,140.07,137.88,138.29,1085800
2021-10-05,139.23,142.01,138.7,141.34,1440000
2021-10-06,140.64,143.06,139.9,142.92,675400
2021-10-07,143.83,145.21,142.85,143.35,1162800
2021-10-08,143.18,144.38,139.36,140.4,1072600
2021-10-11,141.03,141.5,139.91,140.05,556200
2021-10-12,140.48,141.04,138.45,139.47,745400
2021-10-13,139.67,140.09,137.82,138.98,776000
2021-10-14,140.88,144.44,139.85,144.26,1079800
2021-10-15,145.64,148.75,145.32,147.64,1243400
2021-10-18,147.64,150.29,147.64,150.16,874000
2021-10-19,151.42,152.0,149.01,150.34,619800
2021-10-20,151.15,153.25,150.32,152.85,977600
2021-10-21,153.53,156.18,153.05,155.54,1116400
2021-10-22,156.18,158.05,156.18,157.02,1081400
2021-10-25,157.4,160.17,157.1,158.47,1085600
2021-10-26,159.75,160.81,158.2,158.99,1129000
2021-10-27,153.62,160.69,148.92,158.08,1261400
2021-10-28,159.37,163.92,159.32,163.51,843800
2021-10-29,162.42,167.97,162.42,166.6,1046400
2021-11-01,167.77,168.98,166.14,168.34,1051000
2021-11-02,168.47,170.53,165.62,169.31,952400
2021-11-03,168.96,170.42,167.04,170.0,1091200
2021-11-04,170.17,174.99,169.15,173.39,1311400
2021-11-05,174.25,176.01,165.7,170.25,1689400
2021-11-08,170.77,171.79,168.12,171.53,1047800
2021-11-09,169.29,172.55,169.29,171.77,1409200
2021-11-10,171.77,172.16,167.48,168.38,999600
2021-11-11,169.31,170.67,168.41,170.51,594600
2021-11-12,170.82,176.48,170.7,174.42,1044800
2021-11-15,174.34,175.95,173.46,175.54,985600
2021-11-16,174.72,177.69,173.79,176.36,1151400
2021-11-17,176.28,177.18,173.09,176.15,978000
2021-11-18,176.25,176.92,171.65,171.8,1588600
2021-11-19,171.59,172.93,170.42,171.71,1492800
2021-11-22,172.97,175.67,172.3,172.95,960400
2021-11-23,172.63,174.52,170.59,173.23,1110400
2021-11-24,172.31,175.42,170.65,175.13,885600
2021-11-26,172.06,175.23,170.82,171.82,744800
2021-11-29,175.12,178.06,173.94,174.34,1376200
2021-11-30,174.5,175.52,172.36,173.44,2610200
2021-12-01,175.67,177.37,171.09,171.12,1873600
2021-12-02,170.98,175.11,168.97,174.36,1261600
2021-12-03,174.92,177.49,172.18,175.3,1267400
2021-12-06,176.06,176.75,170.11,172.44,1617400
2021-12-07,174.18,182.43,173.64,177.75,2010000
2021-12-08,177.93,180.82,173.87,174.24,1531000
2021-12-09,174.13,176.62,173.05,173.23,1324400
2021-12-10,174.03,175.93,173.24,173.99,1311800
2021-12-13,176.13,176.49,170.27,175.27,1771000
2021-12-14,174.31,174.83,169.08,171.93,1176800
2021-12-15,172.81,174.06,170.9,172.66,1142200
2021-12-16,173.69,175.68,171.0,171.5,1483400
2021-12-17,170.91,170.95,165.33,166.33,2370600
2021-12-20,163.87,165.3,159.78,163.03,1572800
2021-12-21,164.25,165.98,162.05,165.76,1091000
2021-12-22,165.56,168.29,165.25,168.0,1192000
2021-12-23,168.45,170.59,168.3,170.09,787800
2021-12-27,170.59,173.78,170.59,173.65,601200
2021-12-28,174.1,175.07,173.37,174.16,741200
2021-12-29,174.4,176.61,173.73,176.19,541800
2021-12-30,177.22,177.22,173.81,173.98,488200
2021-12-31,173.85,175.65,172.65,175.01,589600
2022-01-03,174.85,175.8,167.06,169.14,1576800
2022-01-04,169.51,174.05,168.02,173.35,1725800
2022-01-05,172.87,173.33,166.73,167.14,1783200
2022-01-06,166.57,167.75,164.82,167.1,1536200
2022-01-07,166.41,166.88,161.77,162.42,2020600
2022-01-10,160.83,161.45,157.28,161.23,1920400
2022-01-11,159.1,159.69,155.38,158.94,1766000
2022-01-12,160.17,160.33,155.48,158.36,2267800
2022-01-13,159.61,159.81,154.53,155.21,1835600
2022-01-14,157.76,159.06,151.38,154.37,3026200
2022-01-18,151.58,155.01,151.58,153.22,1937800
2022-01-19,153.64,155.28,151.9,152.57,1537800
2022-01-20,153.51,155.58,149.67,149.91,2691200
2022-01-21,149.62,149.98,144.58,144.94,13531000
2022-01-24,144.05,151.49,143.11,150.92,2863000
2022-01-25,148.02,149.28,145.03,146.48,1713000
2022-01-26,147.67,149.18,141.61,142.63,2019800
2022-01-27,144.52,145.69,139.17,139.65,1822400
2022-01-28,139.75,143.33,137.25,143.32,1642200
2022-01-31,143.04,147.5,142.54,147.44,1797800
2022-02-01,148.82,152.26,146.07,149.52,2454800
2022-02-02,151.38,158.64,148.73,158.33,3053800
2022-02-03,157.74,162.96,157.01,160.0,2519600
2022-02-04,158.43,159.7,150.35,151.18,1841800
2022-02-07,150.77,152.7,148.9,149.37,1229000
2022-02-08,149.75,153.29,148.86,151.66,1421800
2022-02-09,153.54,155.01,152.09,154.26,1147600
2022-02-10,151.47,154.54,148.87,150.0,1345000
2022-02-11,150.39,150.52,143.46,144.37,1722800
2022-02-14,144.7,145.56,142.53,143.54,1377600
2022-02-15,146.27,147.67,143.95,145.33,1174200
2022-02-16,143.94,145.43,141.33,145.17,1148000
2022-02-17,144.04,144.37,141.17,141.49,1372000
2022-02-18,141.92,143.2,140.23,140.62,1186600
2022-02-22,140.47,143.12,138.31,139.95,1671000
2022-02-23,140.39,141.32,137.59,137.94,1592400
2022-02-24,136.76,144.25,135.55,143.89,1674000
2022-02-25,142.95,148.97,142.71,148.36,1666800
2022-02-28,146.69,154.08,146.65,153.35,2895000
2022-03-01,152.4,154.06,149.43,151.58,2952400
2022-03-02,152.67,156.58,151.8,155.42,1457400
2022-03-03,155.55,159.92,155.55,158.59,1945600
2022-03-04,159.16,160.5,155.13,155.59,1360600
2022-03-07,155.56,156.16,147.27,147.62,1859600
2022-03-08,146.64,150.49,144.8,146.32,1804600
2022-03-09,149.82,151.1,146.62,150.0,1761400
2022-03-10,148.07,152.22,147.03,151.4,1175000
2022-03-11,153.41,155.21,149.14,149.76,1239400
2022-03-14,149.98,150.28,144.74,145.93,1392600
2022-03-15,147.46,151.68,145.5,151.02,1797600
2022-03-16,151.97,158.09,151.97,158.08,1480600
2022-03-17,157.34,157.99,154.92,157.77,935200
2022-03-18,157.96,160.83,155.11,160.47,1919400
2022-03-21,158.87,159.83,153.98,156.31,1310000
2022-03-22,156.77,158.97,155.69,157.84,955800
2022-03-23,156.82,156.88,153.19,153.82,898800
2022-03-24,154.64,155.53,153.35,154.79,771200
2022-03-25,154.86,155.5,149.18,153.36,1276400
2022-03-28,153.77,156.03,151.21,154.42,1329600
2022-03-29,155.49,156.7,152.5,156.49,1510200
2022-03-30,155.38,155.85,150.99,152.17,1239200
2022-03-31,153.12,155.25,145.8,145.99,2295400
2022-04-01,146.33,146.8,135.27,136.13,3912800
2022-04-04,135.92,137.28,133.23,135.74,2872400
2022-04-05,135.39,137.66,130.49,131.64,4405600
2022-04-06,129.91,131.48,126.5,128.34,2753200
2022-04-07,127.96,129.86,125.72,129.04,1966200
2022-04-08,128.37,128.37,125.78,127.04,3582400
2022-04-11,126.55,128.41,125.78,126.16,1887800
2022-04-12,127.0,129.54,125.63,127.09,2331600
2022-04-13,127.42,131.03,127.35,130.3,2440000
2022-04-14,129.75,131.21,128.29,129.41,3177000
2022-04-18,128.72,130.7,127.72,129.72,1881400
2022-04-19,130.08,134.49,129.53,133.84,2647400
2022-04-20,134.97,137.33,134.23,135.35,2629200
2022-04-21,135.92,139.1,133.86,134.46,2195000
2022-04-22,134.04,134.54,131.27,131.5,1544400
2022-04-25,130.99,136.92,130.99,136.77,2643400
2022-04-26,135.41,137.46,132.99,133.01,2784800
2022-04-27,134.54,137.44,128.82,132.95,4109000
2022-04-28,136.44,143.92,134.37,142.86,2972200
2022-04-29,140.87,143.58,136.47,136.92,2189200
2022-05-02,137.13,139.53,133.62,136.88,1859000
2022-05-03,137.3,138.89,135.44,137.62,1381200
2022-05-04,137.41,143.52,137.41,142.25,1665200
2022-05-05,139.38,140.55,135.54,138.48,2018000
2022-05-06,137.66,138.84,132.51,137.03,1624600
2022-05-09,134.81,135.84,131.82,132.56,2104600
2022-05-10,135.02,136.32,130.19,134.01,2065400
2022-05-11,133.19,136.24,131.43,132.38,1507600
2022-05-12,131.17,133.61,127.76,131.8,2269400
2022-05-13,132.77,135.97,132.21,133.5,1668200
2022-05-16,132.66,132.84,127.98,128.3,1526800
2022-05-17,130.42,132.99,129.23,132.82,1252200
2022-05-18,130.01,130.22,114.77,115.59,3704400
2022-05-19,114.61,119.88,113.06,116.56,3008400
2022-05-20,117.88,119.43,114.34,118.87,2142400
2022-05-23,119.85,122.75,118.9,122.23,2041400
2022-05-24,121.13,121.26,117.81,120.48,1538800
2022-05-25,119.22,123.82,119.08,122.86,1664800
2022-05-26,123.49,128.62,123.49,127.56,1518000
2022-05-27,128.21,130.19,127.88,129.11,1852400
2022-05-31,127.38,128.23,124.0,126.37,4180600
2022-06-01,126.35,128.77,124.98,125.97,2236000
2022-06-02,125.97,131.36,125.97,130.89,1339200
2022-06-03,129.62,132.52,128.64,131.24,1618600
2022-06-06,130.98,132.31,127.31,131.66,1974200
2022-06-07,129.65,133.15,126.93,130.68,1559800
2022-06-08,129.18,129.51,123.6,124.24,1659800
2022-06-09,123.54,126.61,123.0,123.45,1364000
2022-06-10,121.11,122.82,119.15,120.96,1697200
2022-06-13,118.9,120.17,116.48,117.3,2137800
2022-06-14,118.82,120.36,115.77,117.18,1552200
2022-06-15,118.04,120.83,116.61,118.55,1400800
2022-06-16,115.87,116.79,113.77,114.97,2044800
2022-06-17,115.14,116.56,113.38,113.58,2964400
2022-06-21,115.73,117.58,115.02,116.64,1490600
2022-06-22,115.15,116.6,114.42,115.34,1247600
2022-06-23,116.4,121.37,115.27,121.17,1696400
2022-06-24,122.46,128.42,122.34,126.12,2610000
2022-06-27,128.97,130.14,126.5,127.26,1746800
2022-06-28,126.92,129.53,122.35,122.69,1391800
2022-06-29,123.47,125.68,120.32,124.93,1418800
2022-06-30,122.84,127.09,121.9,125.41,1955200
2022-07-01,124.72,128.03,123.32,127.73,1622000
2022-07-05,126.1,127.05,123.51,126.75,1426200
2022-07-06,128.43,130.55,126.52,129.28,1174000
2022-07-07,130.31,134.15,129.93,133.93,1597800
2022-07-08,133.54,135.02,130.6,133.6,1338200
2022-07-11,131.95,132.79,131.12,131.89,1158200
2022-07-12,129.77,132.8,128.31,128.61,1914200
2022-07-13,124.49,126.92,121.14,122.0,2029800
2022-07-14,120.48,123.22,119.16,122.78,1340200
2022-07-15,124.43,126.65,123.75,124.94,1457600
2022-07-18,126.05,129.23,125.71,127.97,1479800
2022-07-19,129.2,133.05,128.04,132.44,990800
2022-07-20,132.24,135.54,131.54,135.36,1252600
2022-07-21,135.55,139.33,135.0,138.08,2172200
2022-07-22,138.24,139.02,135.8,136.51,1770200
2022-07-25,135.95,137.26,133.56,134.84,1619800
2022-07-26,134.37,136.09,131.82,133.64,1831800
2022-07-27,133.58,134.13,128.5,133.83,3534000
2022-07-28,135.46,144.12,135.09,143.46,2346200
2022-07-29,142.62,148.93,142.39,148.52,2632800
