Date,Open,High,Low,Close,Volume
2021-07-12,43.11,43.58,42.9,43.19,1690500
2021-07-13,42.92,43.15,42.39,42.43,1995400
2021-07-14,42.63,42.92,41.39,41.64,2144700
2021-07-15,41.17,41.59,40.9,41.33,2497900
2021-07-16,41.64,41.72,40.39,40.45,1882400
2021-07-19,39.19,39.43,37.75,38.09,5003600
2021-07-20,38.38,40.1,38.13,39.75,3405700
2021-07-21,40.52,41.32,40.34,40.57,2716500
2021-07-22,40.55,40.59,39.85,40.29,1666200
2021-07-23,40.12,40.26,39.5,40.18,2178500
2021-07-26,40.23,41.06,40.22,40.85,2443700
2021-07-27,40.42,40.48,39.63,40.16,2274500
2021-07-28,40.22,40.85,39.7,40.48,1930500
2021-07-29,40.87,41.18,40.6,40.82,2022600
2021-07-30,41.22,41.66,39.89,40.13,2838800
2021-08-02,40.2,41.13,39.59,39.65,1864300
2021-08-03,39.59,39.88,38.7,39.72,2759500
2021-08-04,39.11,40.99,38.88,39.94,4506500
2021-08-05,40.2,40.87,39.96,40.32,2313900
2021-08-06,40.74,40.88,40.27,40.59,1606700
2021-08-09,40.19,40.38,39.76,39.96,1963200
2021-08-10,40.18,40.78,40.05,40.7,1676200
2021-08-11,40.76,40.91,40.28,40.8,1460400
2021-08-12,40.92,41.23,40.61,41.21,1719700
2021-08-13,41.18,41.31,40.46,40.5,1244200
2021-08-16,40.12,40.62,39.79,39.96,1976000
2021-08-17,39.58,40.22,38.94,39.6,2137300
2021-08-18,39.38,39.94,38.94,39.04,1961600
2021-08-19,38.48,38.87,37.46,38.05,3274100
2021-08-20,37.81,38.95,37.69,38.94,2129900
2021-08-23,39.77,40.24,39.52,40.14,2374800
2021-08-24,40.36,41.06,40.26,40.9,2220800
2021-08-25,40.85,41.72,40.67,41.28,1738900
2021-08-26,41.21,41.38,40.56,40.58,1490400
2021-08-27,41.01,41.89,40.93,41.58,1726300
2021-08-30,41.65,41.74,40.94,40.96,1578900
2021-08-31,40.77,41.01,40.43,40.56,2946100
2021-09-01,40.55,40.68,40.19,40.22,1643800
2021-09-02,40.53,41.25,40.5,41.15,1557100
2021-09-03,41.2,41.46,40.81,41.06,1207500
2021-09-07,40.81,41.29,40.4,40.52,1983300
2021-09-08,40.7,41.15,40.29,40.43,1454900
2021-09-09,40.27,40.99,39.93,40.47,1545700
2021-09-10,41.0,41.08,40.47,40.54,1560300
2021-09-13,41.08,41.7,40.95,41.25,2243600
2021-09-14,41.62,41.62,40.69,40.97,1748000
2021-09-15,41.17,43.04,41.11,43.02,3784700
2021-09-16,43.02,43.3,42.47,42.91,2389800
2021-09-17,42.77,43.21,42.42,42.6,4598700
2021-09-20,41.45,41.45,40.24,40.92,4309100
2021-09-21,41.55,41.76,40.81,41.17,2838500
2021-09-22,41.74,42.77,41.74,42.36,2257700
2021-09-23,43.17,44.54,42.81,44.37,3559000
2021-09-24,44.1,44.59,43.88,44.38,3197700
2021-09-27,45.08,46.08,44.91,45.49,3343400
2021-09-28,45.91,46.16,44.84,45.01,2713300
2021-09-29,45.24,45.92,44.71,45.42,2228100
2021-09-30,45.58,45.58,44.74,44.78,2663300
2021-10-01,45.03,46.1,44.62,45.91,2052400
2021-10-04,46.39,47.48,46.18,46.38,3036500
2021-10-05,47.18,47.55,46.24,46.5,2351200
2021-10-06,46.0,46.54,45.2,46.41,2414400
2021-10-07,46.49,47.25,46.47,46.91,1924600
2021-10-08,47.25,47.81,47.06,47.59,1455400
2021-10-11,48.13,48.48,47.59,47.8,1885500
2021-10-12,47.88,49.05,47.59,48.61,2165700
2021-10-13,48.09,48.98,47.71,48.86,2036300
2021-10-14,49.5,50.02,49.24,49.85,1924400
2021-10-15,50.2,50.73,50.16,50.29,1960600
2021-10-18,50.59,51.19,49.96,50.34,2919600
2021-10-19,50.54,50.79,50.06,50.3,1748100
2021-10-20,50.23,50.91,50.0,50.3,1702400
2021-10-21,50.04,50.38,49.11,49.66,3054700
2021-10-22,49.66,50.13,49.13,50.05,2285000
2021-10-25,50.5,50.96,50.34,50.87,1771900
2021-10-26,50.97,51.57,50.81,50.85,2060600
2021-10-27,50.54,50.91,50.17,50.36,1975300
2021-10-28,50.23,50.78,50.1,50.58,1744100
2021-10-29,50.57,50.7,49.58,49.84,2444400
2021-11-01,50.14,50.45,49.75,50.25,1637700
2021-11-02,50.14,50.57,49.85,50.19,3198000
2021-11-03,50.06,51.44,49.58,50.08,3246500
2021-11-04,50.7,50.9,49.07,49.7,2554100
2021-11-05,50.37,50.73,50.05,50.7,1851200
2021-11-08,51.15,51.31,50.61,50.83,2158100
2021-11-09,50.82,50.83,49.94,50.66,2397500
2021-11-10,50.39,50.8,48.6,49.25,2670400
2021-11-11,49.16,49.77,49.06,49.63,2068400
2021-11-12,49.29,49.63,48.96,49.43,1718700
2021-11-15,49.43,49.83,48.78,49.64,2334500
2021-11-16,49.83,49.99,49.02,49.48,2006000
2021-11-17,49.2,50.19,49.15,49.75,2088400
2021-11-18,49.75,50.14,49.06,49.79,1785300
