Date,Open,High,Low,Close,Volume
2021-09-07,46.52,46.91,45.59,45.8,3771900
2021-09-08,45.59,45.74,45.06,45.67,3087000
2021-09-09,45.94,46.32,45.69,46.18,5366850
2021-09-10,46.22,46.7,46.05,46.4,3743250
2021-09-13,46.98,47.17,46.14,46.83,5179800
2021-09-14,47.02,47.09,46.3,46.58,4129200
2021-09-15,46.67,47.36,46.5,46.94,6230100
2021-09-16,47.01,47.05,45.7,45.75,5197500
2021-09-17,46.44,46.44,44.93,45.26,6922950
2021-09-20,44.67,44.71,44.08,44.33,8808450
2021-09-21,44.33,44.51,43.69,43.83,4573650
2021-09-22,44.35,44.74,44.02,44.08,4730400
2021-09-23,44.19,45.25,44.12,44.86,3102600
2021-09-24,44.68,45.02,44.54,44.69,1718850
2021-09-27,44.8,45.61,44.78,45.26,2349750
2021-09-28,45.3,45.58,44.74,44.85,2504850
2021-09-29,44.8,45.31,44.5,44.99,1766550
2021-09-30,45.11,45.2,43.79,43.8,2763300
2021-10-01,43.94,44.51,43.55,44.09,2375250
2021-10-04,44.13,44.44,43.54,43.72,2421150
2021-10-05,43.73,45.68,43.27,45.4,5650200
2021-10-06,44.9,45.45,44.53,45.42,1903650
2021-10-07,45.9,46.31,45.79,46.07,3229950
2021-10-08,46.33,47.27,46.12,47.04,3235650
2021-10-11,47.06,47.14,46.42,46.51,2332350
2021-10-12,46.5,46.93,46.26,46.38,2751450
2021-10-13,46.58,46.89,45.9,46.7,2633700
2021-10-14,46.95,48.18,46.87,48.02,2981850
2021-10-15,48.28,48.54,47.96,48.22,2619600
2021-10-18,47.64,48.17,47.42,47.61,2948550
2021-10-19,47.98,48.02,47.48,48.01,1871700
2021-10-20,47.73,48.31,47.59,48.24,2340600
2021-10-21,47.99,48.19,47.59,48.14,2385900
2021-10-22,48.28,48.68,48.14,48.28,1346700
2021-10-25,48.49,48.49,47.99,48.41,2941050
2021-10-26,47.07,49.17,46.95,48.22,5620350
2021-10-27,48.2,48.2,46.52,47.6,3584550
2021-10-28,49.02,49.73,48.05,49.61,3138150
2021-10-29,49.5,50.16,49.47,49.74,2564550
2021-11-01,49.79,51.04,49.78,50.55,2295150
2021-11-02,50.43,50.99,50.08,50.87,2703150
2021-11-03,50.62,50.72,50.04,50.23,1875750
2021-11-04,50.18,50.48,49.5,49.71,2460450
2021-11-05,50.11,50.49,49.84,49.95,2360250
2021-11-08,50.64,50.81,48.84,49.35,2705700
2021-11-09,49.28,49.69,48.83,48.85,2704950
2021-11-10,48.66,49.76,48.57,49.65,3557700
2021-11-11,49.57,50.19,49.4,49.91,1451400
2021-11-12,50.02,50.16,49.53,49.86,1366650
2021-11-15,49.94,50.13,49.57,49.72,1612500
2021-11-16,49.82,50.34,49.73,49.83,2422350
2021-11-17,49.62,49.76,49.12,49.57,1567800
2021-11-18,49.48,49.49,48.35,48.46,2138850
2021-11-19,48.39,48.43,47.6,48.12,2367300
2021-11-22,48.09,50.22,47.85,49.47,5142000
2021-11-23,49.31,50.22,49.23,50.1,2475000
2021-11-24,50.07,50.21,49.22,49.42,1690350
2021-11-26,48.42,48.58,47.86,48.21,1530900
2021-11-29,48.46,48.48,47.6,47.98,2273550
2021-11-30,47.69,47.91,46.15,46.47,3786600
2021-12-01,47.31,47.65,45.88,45.93,3114000
2021-12-02,46.37,47.01,46.23,46.77,2918850
2021-12-03,47.34,48.13,47.3,47.73,3420750
2021-12-06,48.08,49.2,47.95,48.81,2814000
2021-12-07,49.06,49.43,48.65,48.81,2776050
2021-12-08,48.82,49.67,48.82,49.53,2571000
2021-12-09,49.07,49.78,49.07,49.36,1860900
2021-12-10,49.86,50.21,49.5,49.66,2339100
2021-12-13,49.6,49.73,48.81,49.22,2923800
2021-12-14,49.19,50.2,49.0,49.12,2223150
2021-12-15,49.13,49.52,48.35,49.07,3538350
2021-12-16,49.58,49.74,48.54,48.69,3936150
2021-12-17,48.31,48.42,46.79,47.32,7793850
2021-12-20,46.62,47.29,45.93,46.54,3932400
2021-12-21,47.0,47.66,46.79,47.25,3144450
2021-12-22,47.74,48.12,47.43,47.75,2084550
2021-12-23,47.85,48.57,47.76,48.14,1901250
2021-12-27,48.37,48.68,47.97,48.63,1197150
2021-12-28,48.55,49.31,48.48,49.25,1204500
2021-12-29,49.27,49.77,49.08,49.66,1172850
2021-12-30,49.75,49.88,49.52,49.54,957750
2021-12-31,49.44,50.24,49.4,50.02,1330950
2022-01-03,50.02,50.59,49.84,50.14,2118150
2022-01-04,50.41,52.71,50.12,52.56,3666000
2022-01-05,52.75,53.72,52.59,52.75,3734250
2022-01-06,53.04,53.73,52.49,53.28,2782500
2022-01-07,53.1,53.48,52.78,52.94,2507850
2022-01-10,52.72,53.32,52.02,52.34,2790600
2022-01-11,52.32,52.47,51.43,52.36,2192850
2022-01-12,52.38,52.55,51.76,52.45,1726800
2022-01-13,52.64,54.28,52.63,54.02,2902950
2022-01-14,53.78,54.74,53.38,54.69,3235500
2022-01-18,54.27,54.76,53.69,54.39,2714250
2022-01-19,54.57,54.57,53.26,53.36,2160600
2022-01-20,53.43,53.6,52.21,52.31,2072550
2022-01-21,52.44,52.84,51.78,51.89,2734050
2022-01-24,51.31,51.98,50.27,51.66,5370300
2022-01-25,51.88,54.41,49.67,53.24,7207800
2022-01-26,53.92,55.29,52.56,53.21,4149750
2022-01-27,53.39,54.23,52.37,52.83,2784900
2022-01-28,52.62,53.11,51.74,53.08,2776200
2022-01-31,52.69,52.82,51.89,52.7,2896350
2022-02-01,52.6,54.1,52.21,54.03,2943000
2022-02-02,53.64,54.58,53.25,54.46,2977950
2022-02-03,54.41,54.74,53.6,53.75,3016200
2022-02-04,53.48,53.99,52.6,53.57,2024700
2022-02-07,53.77,54.0,53.19,53.64,1864950
2022-02-08,54.03,54.14,52.9,53.27,2681250
2022-02-09,53.8,54.03,53.36,53.85,2071800
2022-02-10,53.4,54.03,52.6,52.89,2228700
2022-02-11,52.94,53.86,52.5,52.79,1990200
2022-02-14,52.9,53.23,52.31,52.89,1816950
2022-02-15,53.34,54.19,53.11,53.65,2460300
2022-02-16,53.57,54.23,53.02,54.02,2135100
2022-02-17,53.76,54.26,53.14,53.26,2417250
2022-02-18,53.12,53.94,52.99,53.36,2253000
2022-02-22,53.43,53.94,52.89,53.24,2240700
2022-02-23,53.39,53.48,51.86,51.92,2365950
2022-02-24,51.63,52.47,50.87,52.3,3405450
2022-02-25,52.58,52.98,51.83,52.16,3029400
2022-02-28,51.45,52.4,51.3,52.22,2480700
2022-03-01,52.04,52.28,50.33,50.79,2904900
2022-03-02,51.09,52.42,50.92,52.12,3483150
2022-03-03,52.3,52.73,51.56,52.13,2334750
2022-03-04,51.72,51.72,49.51,50.02,4094400
2022-03-07,49.93,50.01,47.19,47.32,3702000
2022-03-08,47.67,49.16,47.37,47.5,3873750
2022-03-09,48.41,50.22,48.24,49.67,4179600
2022-03-10,48.76,49.23,48.22,49.0,2608050
2022-03-11,49.31,49.85,48.56,48.66,2051250
2022-03-14,49.23,49.97,49.06,49.57,3181950
2022-03-15,49.93,50.27,49.27,49.87,2271600
2022-03-16,50.25,51.75,50.11,51.37,2940600
2022-03-17,50.6,51.98,50.37,51.34,2794200
2022-03-18,50.91,51.01,49.65,50.43,4801800
2022-03-21,50.48,50.98,49.78,50.46,2229450
2022-03-22,50.77,51.27,50.44,50.71,1945500
2022-03-23,50.46,50.66,49.89,50.01,2169000
2022-03-24,50.05,51.19,49.75,50.59,2158350
2022-03-25,50.56,50.93,50.17,50.6,1134300
2022-03-28,50.43,50.86,49.75,50.79,1764600
2022-03-29,50.8,51.9,50.8,51.73,2262150
2022-03-30,51.72,51.72,50.52,50.85,1883400
2022-03-31,50.98,51.0,50.07,50.09,2996250
2022-04-01,50.39,50.71,48.03,48.47,2970150
2022-04-04,48.08,48.45,46.63,48.07,3493800
2022-04-05,47.1,47.62,46.54,47.12,4093650
2022-04-06,46.9,47.61,46.53,47.48,2985600
2022-04-07,47.25,47.7,46.8,47.36,2598150
2022-04-08,47.44,47.65,47.03,47.24,2486550
2022-04-11,47.16,48.36,46.92,46.97,2365500
2022-04-12,46.76,47.63,46.66,46.87,2685750
2022-04-13,46.82,47.42,46.75,47.35,2096700
2022-04-14,47.4,47.95,47.32,47.61,6718800
2022-04-18,47.32,47.99,47.29,47.69,2039850
2022-04-19,47.78,48.99,47.62,48.86,1857900
2022-04-20,49.34,50.0,49.34,49.83,1986900
2022-04-21,50.1,50.67,49.87,50.11,2115900
2022-04-22,49.57,49.82,48.66,48.74,2459250
2022-04-25,48.55,49.27,47.45,49.11,4128300
2022-04-26,48.92,50.13,46.8,47.68,4432950
2022-04-27,48.03,48.72,47.51,47.97,3000900
2022-04-28,48.3,48.69,47.51,48.38,2996100
2022-04-29,48.06,48.82,47.12,47.24,2812050
2022-05-02,47.48,48.23,46.92,47.78,2657400
2022-05-03,47.99,49.07,47.91,48.39,2311650
2022-05-04,48.52,50.19,48.22,50.06,2701200
2022-05-05,49.48,49.63,47.91,48.46,2782050
2022-05-06,48.35,48.51,47.14,48.06,2108100
2022-05-09,47.66,48.89,47.51,48.55,3342600
2022-05-10,49.49,49.5,47.55,47.83,2536500
2022-05-11,47.6,48.31,47.02,47.17,2569350
2022-05-12,47.07,47.81,46.81,47.68,1752000
2022-05-13,47.85,48.41,47.55,47.83,2185800
2022-05-16,47.99,47.99,46.79,47.56,2338200
2022-05-17,48.26,48.72,47.85,48.6,2358300
2022-05-18,48.39,48.48,46.26,46.35,3701550
2022-05-19,45.94,47.09,45.5,46.5,2385900
2022-05-20,46.5,46.74,44.65,45.58,2494950
2022-05-23,46.23,47.28,46.18,46.75,2826600
2022-05-24,46.59,47.05,46.0,46.96,2447100
2022-05-25,46.99,47.89,46.8,47.69,2607450
2022-05-26,47.97,48.57,47.85,48.05,3104700
2022-05-27,48.58,49.04,48.49,48.92,3520950
2022-05-31,48.81,50.02,48.17,49.59,5674950
2022-06-01,49.72,50.76,48.83,50.56,3992850
2022-06-02,50.84,51.17,50.07,50.8,2536350
2022-06-03,50.54,50.69,50.12,50.42,2854950
2022-06-06,50.82,50.99,50.53,50.62,2511750
2022-06-07,50.45,51.05,49.61,50.81,4175100
2022-06-08,50.6,51.3,50.33,51.04,4465800
2022-06-09,50.89,51.33,50.25,50.27,2236650
2022-06-10,49.64,49.65,48.49,48.6,2609400
2022-06-13,47.77,48.28,47.14,47.39,2876100
2022-06-14,47.73,48.41,47.41,48.06,2551200
2022-06-15,48.53,49.65,48.3,49.03,3809400
2022-06-16,48.31,48.4,46.26,46.58,2690250
2022-06-17,46.55,47.07,46.0,46.78,4294650
2022-06-21,47.95,48.37,47.21,48.26,2039550
2022-06-22,47.67,48.09,47.3,47.72,2137650
2022-06-23,47.83,48.04,46.14,46.59,2954700
2022-06-24,46.93,48.27,46.84,48.09,3331050
2022-06-27,48.39,48.55,47.51,47.87,2202000
2022-06-28,48.0,48.83,47.47,47.52,1888950
2022-06-29,47.61,47.72,46.92,47.47,1868550
2022-06-30,46.93,47.68,46.43,47.02,2842200
2022-07-01,46.96,47.63,46.47,47.33,1693650
2022-07-05,46.37,46.79,45.7,46.75,2506500
2022-07-06,46.75,46.86,45.92,46.44,1851750
2022-07-07,46.64,47.65,46.54,46.96,2358450
2022-07-08,47.15,47.15,45.92,46.3,2273400
2022-07-11,45.43,45.83,45.15,45.28,3345450
2022-07-12,45.3,46.54,45.18,45.87,2504400
2022-07-13,45.0,46.31,45.0,45.3,2868000
2022-07-14,44.62,45.22,43.97,45.16,2867700
2022-07-15,45.72,45.94,45.05,45.71,9470400
2022-07-18,46.03,46.47,45.6,45.86,2179950
2022-07-19,46.36,48.1,46.36,47.99,3696750
2022-07-20,47.53,48.53,47.48,48.16,2220450
2022-07-21,47.97,48.57,47.78,48.25,1645050
2022-07-22,48.47,48.65,48.1,48.39,1838400
2022-07-25,48.29,49.25,48.29,49.13,2598300
2022-07-26,49.97,50.26,47.93,49.66,5160750
2022-07-27,49.88,51.08,49.55,50.86,2866650
2022-07-28,51.02,51.98,50.74,51.95,2437350
2022-07-29,51.89,52.44,51.5,52.26,2645550
2022-08-01,52.01,52.37,51.56,51.87,2300100
2022-08-02,51.27,52.17,51.24,51.53,2140950
2022-08-03,51.79,52.02,51.29,51.87,2274600
2022-08-04,52.02,52.05,51.64,51.9,3269850
2022-08-05,51.43,52.09,51.18,52.04,1297350
2022-08-08,52.46,52.85,52.1,52.3,1669650
