Date,Open,High,Low,Close,Volume
2021-07-12,89.02,89.78,88.5,89.36,2487500
2021-07-13,89.06,89.15,87.42,87.49,3251000
2021-07-14,87.67,88.23,86.46,87.18,2377800
2021-07-15,80.52,85.44,80.16,84.95,7070200
2021-07-16,83.57,86.16,83.17,86.05,4555800
2021-07-19,85.25,85.62,83.79,84.61,3959500
2021-07-20,84.84,85.89,84.13,84.47,3198100
2021-07-21,84.55,85.35,84.05,84.11,2576100
2021-07-22,83.94,84.01,83.13,83.56,3876800
2021-07-23,83.82,84.83,83.6,84.75,2095700
2021-07-26,84.45,84.96,84.35,84.67,1836100
2021-07-27,84.46,86.11,84.08,85.78,2216100
2021-07-28,85.78,85.84,84.53,84.56,2894800
2021-07-29,84.96,85.97,84.74,85.67,1867200
2021-07-30,85.58,85.89,84.86,85.13,2355100
2021-08-02,85.56,86.1,84.94,85.03,1510600
2021-08-03,85.46,86.59,85.0,86.43,2069900
2021-08-04,86.2,86.21,85.21,85.3,1870900
2021-08-05,85.52,85.52,84.25,85.37,2403000
2021-08-06,85.78,87.17,85.35,86.71,3067700
2021-08-09,86.93,87.31,86.52,86.89,1522000
2021-08-10,86.74,87.12,86.12,86.2,2120500
2021-08-11,86.33,86.91,85.69,86.86,2050700
2021-08-12,86.87,87.2,86.36,86.73,1803100
2021-08-13,86.84,86.93,85.89,85.99,1413400
2021-08-16,85.61,86.98,85.2,86.87,3565000
2021-08-17,86.33,86.36,84.6,85.59,3631800
2021-08-18,84.94,86.13,84.45,85.5,3890100
2021-08-19,85.41,86.75,85.3,86.06,1750300
2021-08-20,86.22,88.22,85.84,87.29,3638800
2021-08-23,87.11,87.86,86.99,87.04,1898500
2021-08-24,87.13,87.49,86.14,86.45,1601100
2021-08-25,86.37,86.78,86.02,86.08,1669900
2021-08-26,86.03,86.31,85.66,86.09,2663900
2021-08-27,86.38,87.36,85.9,87.22,2913300
2021-08-30,87.29,87.43,85.92,86.02,1922700
2021-08-31,86.19,87.05,85.93,86.19,2547100
2021-09-01,86.1,86.45,85.16,86.25,1872300
2021-09-02,86.28,86.82,85.87,86.2,2193900
2021-09-03,86.04,86.49,85.44,86.09,1405300
2021-09-07,85.64,85.8,84.21,84.33,1803500
2021-09-08,84.33,84.76,84.14,84.36,2279800
2021-09-09,84.26,84.52,83.37,83.4,2095800
2021-09-10,83.44,83.89,82.62,83.31,1943200
2021-09-13,83.78,84.4,83.17,84.1,2506700
2021-09-14,84.02,84.3,83.12,83.38,2455900
2021-09-15,83.48,83.84,82.86,83.48,2546200
2021-09-16,83.53,83.53,82.79,83.19,1482000
2021-09-17,82.91,83.17,82.46,82.85,4029700
2021-09-20,82.25,82.73,81.54,82.49,2250400
2021-09-21,82.66,83.43,82.33,82.37,1882100
2021-09-22,82.98,82.99,82.15,82.34,1894900
2021-09-23,82.55,82.74,81.84,81.92,2424600
2021-09-24,82.24,82.57,81.68,81.91,1690100
2021-09-27,81.82,82.57,81.1,81.13,2155000
2021-09-28,81.1,81.41,80.41,80.83,3803800
2021-09-29,80.28,82.3,80.28,81.54,2531300
2021-09-30,81.87,82.32,80.83,80.87,2472900
2021-10-01,81.14,81.98,80.23,81.36,2685800
2021-10-04,81.32,81.86,80.45,80.8,2831100
2021-10-05,81.37,82.0,80.95,81.64,2973300
2021-10-06,81.51,82.76,81.22,82.64,2269700
2021-10-07,82.99,83.59,81.56,81.63,3075200
2021-10-08,81.73,82.16,80.89,81.44,2023600
2021-10-11,81.56,82.78,81.56,81.68,1842000
