Date,Open,High,Low,Close,Volume
2021-09-17,45.59,46.67,45.51,46.41,4720600
2021-09-20,45.37,46.09,44.62,45.2,2994200
2021-09-21,45.14,45.49,44.45,44.94,1958800
2021-09-22,45.43,46.38,45.14,45.68,2596900
2021-09-23,45.89,46.21,45.13,45.19,2569100
2021-09-24,45.09,45.57,44.63,45.31,2243400
2021-09-27,45.08,46.26,44.72,46.12,3253200
2021-09-28,45.65,46.21,44.73,45.03,2305900
2021-09-29,45.21,46.08,45.21,45.72,1578500
2021-09-30,45.89,45.95,43.8,43.81,2148500
2021-10-01,44.2,44.42,43.49,44.01,2536800
2021-10-04,43.83,44.75,43.63,44.13,1704600
2021-10-05,44.39,44.77,43.85,44.4,1644300
2021-10-06,44.11,45.19,43.97,44.84,1844000
2021-10-07,45.12,46.08,45.12,45.47,1620600
2021-10-08,45.53,45.76,44.98,45.16,1423900
2021-10-11,45.18,45.59,45.01,45.08,1415900
2021-10-12,45.15,45.85,44.98,45.67,2176300
2021-10-13,45.76,46.24,45.42,45.59,2396700
2021-10-14,45.84,47.07,45.78,46.98,1855400
2021-10-15,47.35,47.57,46.14,46.19,2921100
2021-10-18,45.97,47.14,45.75,47.11,2196700
2021-10-19,47.24,47.35,46.81,46.97,1830900
2021-10-20,47.17,48.24,47.14,47.91,1875400
2021-10-21,47.59,48.11,47.29,47.8,1319100
2021-10-22,48.02,48.58,47.36,47.44,1970500
2021-10-25,47.39,47.91,47.08,47.57,3076900
2021-10-26,47.1,47.7,45.67,46.45,3646300
2021-10-27,47.07,49.0,46.5,46.51,4439300
2021-10-28,46.81,46.91,46.02,46.43,3058300
2021-10-29,46.49,47.29,45.79,45.88,2763300
2021-11-01,45.85,46.71,45.52,46.45,1870800
2021-11-02,46.56,46.56,45.18,45.6,2397500
2021-11-03,45.36,46.97,45.36,46.17,2932500
2021-11-04,46.64,47.54,46.51,46.83,2068300
2021-11-05,47.32,48.37,47.16,48.12,2583700
2021-11-08,48.14,48.35,47.54,47.96,2039700
2021-11-09,48.38,49.87,48.3,49.53,2608600
2021-11-10,49.09,49.66,48.22,48.3,2804100
2021-11-11,48.61,49.02,48.36,48.37,2812600
2021-11-12,48.65,49.23,48.42,49.0,1829200
2021-11-15,49.11,49.18,48.14,48.25,1821400
2021-11-16,48.43,49.62,48.16,49.16,1721200
2021-11-17,49.1,50.05,48.73,49.96,2592000
