Date,Open,High,Low,Close,Volume
2025-10-27,70.32,101.26,70.32,95.06,69700.0
2025-10-28,98.76,103.23,92.77,94.5,172600.0
2025-10-29,94.26,96.64,91.88,93.8,91700.0
2025-10-30,93.86,94.74,91.44,93.16,122600.0
2025-10-31,94.76,95.73,91.17,94.76,282500.0
2025-11-03,97.75,100.28,94.76,96.75,10626200.0
2025-11-04,99.24,103.73,97.55,100.65,6091300.0
2025-11-05,104.74,105.13,93.14,99.39,7108500.0
2025-11-06,99.74,100.89,93.09,93.09,4096200.0
2025-11-07,91.92,94.76,88.45,92.07,3282800.0
2025-11-10,94.69,99.14,93.36,96.35,3220400.0
2025-11-11,98.2,101.89,95.26,96.28,2492600.0
2025-11-12,96.42,96.42,91.02,91.72,2740700.0
2025-11-13,91.27,91.51,84.6,85.68,3926100.0
2025-11-14,83.93,86.83,81.41,83.27,2466200.0
2025-11-17,81.42,83.88,79.0,81.25,2504600.0
2025-11-18,79.3,81.82,77.81,78.78,3116500.0
2025-11-19,78.93,80.1,75.53,79.42,3325400.0
2025-11-20,81.8,83.29,74.31,74.71,3072500.0
2025-11-21,74.78,77.74,73.03,75.61,2736100.0
2025-11-24,76.14,76.54,72.62,73.35,5002100.0
2025-11-25,72.81,78.86,72.75,77.81,3033500.0
2025-11-26,77.75,80.53,76.8,79.03,2234700.0
2025-11-28,79.14,81.1,79.14,80.94,947300.0
2025-12-01,78.86,80.94,77.28,77.46,1622200.0
2025-12-02,78.03,80.34,77.83,79.61,2182000.0
2025-12-03,79.83,80.9,78.76,80.13,1244700.0
2025-12-04,79.86,83.42,79.67,83.31,1826200.0
2025-12-05,83.26,83.7,81.67,81.89,1980300.0
2025-12-08,81.8,84.54,81.67,84.15,1653000.0
2025-12-09,83.85,85.08,83.56,84.94,1404900.0
2025-12-10,83.64,87.79,82.58,86.04,2396800.0
2025-12-11,85.6,86.08,83.36,84.65,2563500.0
2025-12-12,84.23,84.44,78.21,78.8,2778200.0
2025-12-15,79.51,80.57,75.52,76.49,2338300.0
2025-12-16,76.36,78.99,76.0,78.36,2971700.0
2025-12-17,78.79,78.84,75.53,76.12,2017500.0
2025-12-18,78.18,80.54,77.62,78.89,2565700.0
2025-12-19,79.23,79.86,77.04,79.56,6553300.0
2025-12-22,80.81,82.58,80.4,81.74,1723300.0
2025-12-23,81.39,83.11,80.98,83.02,1244100.0
2025-12-24,83.22,83.49,82.56,83.22,637000.0
2025-12-26,83.48,84.28,83.32,84.06,851200.0
2025-12-29,83.85,84.23,82.85,83.44,1117700.0
2025-12-30,83.96,84.85,83.33,83.86,1142800.0
2025-12-31,83.94,83.94,81.41,81.5,1098000.0
2026-01-02,81.54,86.16,81.46,84.83,1221100.0
2026-01-05,84.85,86.71,84.83,84.96,1269500.0
2026-01-06,85.06,91.74,84.85,90.98,2103900.0
2026-01-07,91.83,92.77,89.18,90.15,1655400.0
2026-01-08,89.75,90.58,88.17,89.34,2336800.0
2026-01-09,90.01,91.72,88.68,90.15,2140500.0
2026-01-12,89.79,92.78,89.18,90.75,2865300.0
2026-01-13,90.93,91.87,88.77,89.51,2735400.0
2026-01-14,88.29,89.78,85.52,89.72,1266400.0
2026-01-15,93.47,97.66,92.72,92.95,4533800.0
2026-01-16,94.0,99.95,93.79,97.07,4156500.0
2026-01-20,93.8,97.45,92.95,94.96,1719400.0
2026-01-21,96.45,103.68,95.17,102.51,4158800.0
