Date,Open,High,Low,Close,Volume
2021-09-24,85.23,88.28,84.88,87.67,5984100
2021-09-27,88.9,92.06,88.79,89.34,6276600
2021-09-28,89.02,91.47,88.63,88.91,4014400
2021-09-29,89.37,89.84,87.15,87.65,3248000
2021-09-30,87.32,87.51,85.33,85.99,3201000
2021-10-01,89.23,90.8,88.39,89.26,5114400
2021-10-04,88.97,90.09,87.38,88.03,3290100
2021-10-05,88.7,89.47,87.4,87.98,2253100
2021-10-06,86.36,87.7,85.49,87.07,2423200
2021-10-07,87.87,87.87,85.59,85.84,3003000
2021-10-08,86.2,87.05,84.68,84.81,2565700
2021-10-11,84.6,85.77,83.62,84.42,2253300
2021-10-12,84.54,86.27,84.14,85.72,2997500
2021-10-13,85.56,85.65,83.56,83.85,2753200
2021-10-14,84.43,85.21,83.85,84.01,2070400
2021-10-15,84.65,85.65,83.4,83.45,3269900
2021-10-18,83.32,83.74,81.78,83.02,2428800
2021-10-19,83.12,83.12,81.3,81.66,2912800
2021-10-20,81.69,82.58,80.84,81.12,2365800
2021-10-21,81.31,82.1,80.44,80.94,1793400
2021-10-22,80.47,82.05,80.1,81.81,2315800
2021-10-25,81.77,82.75,81.24,82.09,1907100
2021-10-26,83.4,83.86,81.57,81.61,2231400
2021-10-27,81.88,82.3,80.64,80.71,1987700
2021-10-28,80.64,81.95,79.78,81.45,1895700
2021-10-29,81.21,83.44,80.75,81.62,3366300
2021-11-01,81.62,85.48,81.16,85.34,3315800
2021-11-02,84.82,85.61,83.53,84.86,2156700
2021-11-03,84.27,87.33,83.86,86.78,2829000
2021-11-04,87.26,87.86,85.27,85.78,1782800
2021-11-05,90.43,94.79,90.28,93.45,10283900
2021-11-08,94.1,95.0,90.13,90.59,4918300
2021-11-09,89.11,89.91,87.43,88.31,3738600
2021-11-10,87.06,88.46,84.93,85.8,2739600
2021-11-11,86.04,86.11,83.3,83.43,2759500
2021-11-12,83.47,83.76,80.69,81.76,3909200
2021-11-15,82.37,84.04,82.18,82.42,3021200
2021-11-16,82.17,82.23,80.05,80.57,3514100
2021-11-17,80.19,81.21,79.29,80.5,2417100
2021-11-18,80.96,81.17,79.35,80.18,2285800
2021-11-19,79.27,79.29,76.08,77.79,4430500
2021-11-22,78.31,79.1,76.28,76.63,3096500
2021-11-23,77.3,77.79,75.65,76.22,2262600
2021-11-24,75.58,77.29,74.54,75.73,2147700
2021-11-26,68.67,69.15,65.66,65.72,10722900
2021-11-29,69.73,70.11,65.8,67.57,7839900
2021-11-30,66.49,67.83,64.66,67.5,8624200
2021-12-01,68.65,69.97,62.06,62.13,9692100
2021-12-02,63.8,66.99,62.11,66.59,7070300
2021-12-03,65.74,66.81,63.97,64.54,4668700
2021-12-06,66.41,71.95,65.47,69.85,8184800
2021-12-07,70.53,71.97,68.7,69.26,5259900
2021-12-08,70.77,74.92,70.23,72.86,6857200
2021-12-09,70.8,72.91,70.8,72.22,2760300
2021-12-10,73.18,73.46,71.04,72.99,3503900
2021-12-13,71.43,71.64,68.53,69.75,4254300
2021-12-14,68.75,70.86,68.72,69.22,4257100
2021-12-15,68.86,69.03,65.9,68.28,4385300
2021-12-16,68.83,69.94,66.1,66.51,5156400
2021-12-17,66.33,70.8,66.32,70.0,7720900
2021-12-20,67.82,72.08,67.34,70.24,6111800
2021-12-21,71.83,74.64,71.69,74.02,6787400
2021-12-22,73.81,77.3,73.06,76.82,4272700
2021-12-23,77.8,77.89,75.24,76.88,3859500
2021-12-27,74.23,76.16,73.04,75.85,2967100
2021-12-28,74.96,77.39,74.95,75.65,2363500
2021-12-29,74.86,76.16,73.82,75.62,3038600
2021-12-30,75.48,77.28,74.16,74.78,5293900
2021-12-31,74.09,75.59,73.69,74.34,3085400
2022-01-03,74.99,79.03,74.99,78.14,4677100
2022-01-04,79.49,80.75,79.01,79.64,4519400
2022-01-05,81.21,81.21,77.25,77.93,3362000
2022-01-06,78.63,80.11,74.89,75.33,5830400
2022-01-07,76.17,79.76,75.79,78.32,5106900
2022-01-10,78.95,79.04,74.62,77.26,4035500
2022-01-11,76.81,79.59,75.96,79.01,2990700
2022-01-12,79.31,79.92,77.97,79.52,2599900
2022-01-13,79.73,82.48,79.56,80.71,4265000
2022-01-14,80.55,81.44,79.1,81.35,2589200
2022-01-18,80.24,81.52,79.2,79.59,2528200
2022-01-19,79.65,80.05,78.03,78.91,3083800
2022-01-20,78.88,82.32,78.23,78.48,5003800
2022-01-21,78.14,78.27,74.97,76.46,5059300
2022-01-24,74.55,76.28,71.03,76.11,5615500
2022-01-25,74.97,77.98,73.37,77.5,4118500
2022-01-26,78.79,81.14,77.72,78.41,4343500
2022-01-27,79.16,79.54,72.98,73.44,4027600
2022-01-28,73.15,73.91,69.52,72.04,5426500
2022-01-31,71.78,75.36,70.33,75.22,3954600
2022-02-01,75.35,79.11,75.18,78.53,4679000
2022-02-02,78.05,79.23,77.07,78.54,3430300
2022-02-03,77.77,78.53,76.36,76.72,4822300
2022-02-04,75.54,76.07,72.42,73.07,8205700
2022-02-07,74.17,80.12,74.17,79.23,6927600
2022-02-08,80.65,83.69,79.29,83.41,6361900
2022-02-09,84.11,86.62,84.09,85.12,5728700
2022-02-10,84.45,87.54,83.87,84.91,5284700
2022-02-11,85.2,86.51,80.99,81.17,5555600
2022-02-14,81.6,83.32,79.82,80.0,4028400
2022-02-15,82.81,84.01,81.03,83.4,3551400
2022-02-16,82.98,85.85,82.66,84.16,4238900
2022-02-17,82.6,83.39,81.73,82.31,2697500
2022-02-18,81.78,82.5,80.2,80.91,3985200
2022-02-22,79.55,81.95,79.27,80.29,3491800
2022-02-23,81.32,81.74,77.16,77.39,4613800
2022-02-24,73.21,78.88,73.04,78.67,4650300
2022-02-25,79.28,81.08,78.06,80.97,3125800
2022-02-28,79.15,79.47,76.47,78.03,4949400
2022-03-01,76.83,76.83,70.62,71.22,7786600
2022-03-02,72.24,73.45,71.4,72.94,4290100
2022-03-03,73.56,74.61,69.26,69.46,5136800
2022-03-04,67.67,68.66,65.94,67.28,5647600
2022-03-07,66.04,67.17,60.95,61.18,9472700
2022-03-08,62.63,64.84,59.41,62.39,6770500
2022-03-09,66.23,68.14,65.01,65.8,4942600
2022-03-10,64.77,68.61,63.97,67.21,4325700
2022-03-11,68.1,68.1,66.02,66.15,2844000
2022-03-14,65.85,68.11,64.29,65.85,3950100
2022-03-15,67.08,69.33,66.7,68.35,3836200
2022-03-16,69.61,72.23,69.27,72.07,4873000
2022-03-17,70.04,72.47,69.43,72.47,2736500
2022-03-18,72.03,74.29,71.14,73.65,4270400
2022-03-21,72.8,73.32,71.78,73.13,3160100
2022-03-22,73.21,75.16,72.5,74.34,3117400
2022-03-23,73.47,74.52,72.59,72.95,3186800
2022-03-24,73.2,74.44,72.5,74.31,2455000
2022-03-25,74.31,75.21,73.81,74.38,2883900
2022-03-28,74.72,76.14,74.34,75.93,1992500
2022-03-29,77.34,78.5,76.4,78.26,3383400
2022-03-30,77.73,78.97,77.2,78.77,3419700
2022-03-31,78.75,82.56,78.75,80.99,5446800
2022-04-01,81.53,81.7,79.81,80.88,2556900
2022-04-04,80.45,80.98,79.4,80.65,2241600
2022-04-05,83.05,84.71,80.18,80.66,3637200
2022-04-06,79.22,79.31,76.21,77.63,3155600
2022-04-07,77.45,77.63,74.24,76.56,3077000
2022-04-08,76.36,76.53,74.49,75.27,1999600
2022-04-11,74.44,77.32,73.98,76.13,1829500
2022-04-12,76.75,77.61,75.87,76.16,1934700
2022-04-13,77.52,79.79,77.45,79.24,2497400
2022-04-14,79.76,82.07,79.61,79.83,2276800
2022-04-18,79.24,80.17,78.3,78.62,1514000
2022-04-19,79.3,82.08,79.3,81.67,2438000
2022-04-20,81.67,83.12,81.21,81.54,1867700
