Date,Open,High,Low,Close,Volume
2021-07-12,81.91,83.53,81.44,83.16,634500
2021-07-13,83.2,83.73,82.43,82.83,635850
2021-07-14,82.75,83.52,81.15,81.41,661350
2021-07-15,80.88,82.68,80.54,81.82,712800
2021-07-16,82.27,82.29,79.7,79.83,551550
2021-07-19,77.89,78.36,76.29,76.96,1522500
2021-07-20,76.56,79.56,76.33,78.88,794550
2021-07-21,80.15,81.21,79.99,80.99,811800
2021-07-22,80.68,80.92,79.53,79.69,494400
2021-07-23,80.08,80.72,79.59,79.74,906600
2021-07-26,79.73,81.29,79.58,80.67,1728150
2021-07-27,80.08,80.45,79.17,80.05,927600
2021-07-28,80.25,81.16,79.13,80.79,960450
2021-07-29,80.88,82.6,80.16,81.29,1118250
2021-07-30,81.16,82.08,79.82,80.34,994800
2021-08-02,80.82,82.96,80.73,80.9,1326300
2021-08-03,81.11,81.11,78.78,80.37,709650
2021-08-04,79.43,80.69,79.43,79.69,637950
2021-08-05,80.21,80.97,80.01,80.96,945900
2021-08-06,82.0,83.43,82.0,83.07,722400
2021-08-09,82.91,84.48,82.35,84.04,667950
2021-08-10,84.05,85.96,83.79,85.12,774600
2021-08-11,85.12,85.97,84.42,85.93,736800
2021-08-12,85.94,87.1,85.59,86.35,756300
2021-08-13,86.65,86.75,85.7,86.21,462900
2021-08-16,85.39,85.6,84.04,85.51,472950
2021-08-17,84.66,85.15,83.39,84.45,429750
2021-08-18,83.97,85.12,83.61,83.73,468150
2021-08-19,82.6,83.75,81.9,82.63,449850
2021-08-20,82.72,84.69,82.61,84.28,898800
2021-08-23,84.91,85.25,84.63,84.95,518850
2021-08-24,85.09,85.57,84.86,85.28,899850
2021-08-25,85.72,87.91,85.51,86.97,596850
2021-08-26,87.09,87.27,86.1,86.62,960300
2021-08-27,86.87,88.81,86.71,88.73,627000
2021-08-30,88.82,88.82,87.11,87.12,520500
2021-08-31,87.12,87.79,86.51,86.81,890400
2021-09-01,86.72,87.24,85.63,86.9,582450
2021-09-02,87.38,87.42,86.71,86.94,416850
2021-09-03,86.83,87.31,86.08,86.28,403800
2021-09-07,86.22,87.2,85.88,85.96,465450
2021-09-08,85.82,86.14,84.97,85.12,663000
2021-09-09,85.11,87.42,85.01,85.55,838950
2021-09-10,86.12,86.18,83.9,84.23,759150
2021-09-13,85.01,85.35,83.9,84.66,539400
2021-09-14,85.07,85.53,83.02,83.27,628650
2021-09-15,82.98,84.63,82.32,84.3,550650
2021-09-16,84.74,84.99,83.4,83.43,604800
2021-09-17,83.14,84.22,82.27,82.97,1857900
2021-09-20,80.87,81.79,79.98,81.2,919650
2021-09-21,81.39,82.03,79.54,79.95,642900
2021-09-22,80.56,81.68,80.52,80.9,1185200
2021-09-23,82.03,85.43,81.89,85.26,1148000
2021-09-24,84.84,87.64,84.79,86.68,1209200
2021-09-27,87.29,88.44,87.23,87.93,818000
2021-09-28,88.04,88.52,86.36,86.72,788000
2021-09-29,86.9,87.53,86.18,87.1,639800
2021-09-30,87.88,88.15,85.8,86.13,1101200
2021-10-01,86.31,88.88,86.04,88.37,1129600
2021-10-04,87.79,89.7,86.87,87.16,813200
2021-10-05,87.64,88.57,86.92,88.24,1137400
2021-10-06,87.31,88.39,86.1,88.18,673700
2021-10-07,89.3,90.76,89.22,89.47,667100
2021-10-08,89.51,90.21,88.78,89.94,683500
2021-10-11,91.33,91.84,90.08,90.09,582700
2021-10-12,90.26,91.35,89.69,90.58,622100
2021-10-13,90.62,91.12,89.09,90.05,698100
2021-10-14,91.11,91.68,90.56,91.58,506300
2021-10-15,92.87,94.28,91.86,93.53,772600
2021-10-18,93.41,94.42,93.22,93.68,615400
2021-10-19,93.87,94.13,93.16,93.68,976700
2021-10-20,93.66,94.9,93.45,94.9,735000
2021-10-21,90.92,95.26,90.84,94.95,3253700
2021-10-22,95.39,96.08,93.96,95.7,1014100
2021-10-25,96.17,96.17,94.73,95.2,823200
2021-10-26,95.67,96.57,95.25,95.53,953900
2021-10-27,94.97,96.13,93.22,93.22,1030100
2021-10-28,92.66,93.87,91.5,92.94,1247200
2021-10-29,93.31,93.52,91.81,92.02,1002600
2021-11-01,92.8,93.36,92.15,92.97,697600
2021-11-02,93.05,94.3,92.38,94.2,725900
2021-11-03,94.11,95.59,93.94,95.27,849800
2021-11-04,94.82,95.02,93.12,93.78,604600
2021-11-05,94.44,95.34,93.21,93.34,613300
2021-11-08,94.06,94.33,93.19,93.75,523000
2021-11-09,93.47,93.82,92.48,93.24,500000
2021-11-10,93.16,93.62,92.8,92.91,558000
2021-11-11,93.13,94.34,92.79,94.04,518600
2021-11-12,93.52,94.01,92.27,93.32,1654400
2021-11-15,93.43,93.62,92.09,92.72,931500
2021-11-16,92.81,93.86,92.25,92.94,712400
2021-11-17,92.69,92.69,91.48,91.97,723400
2021-11-18,92.04,92.31,90.81,91.37,624300
2021-11-19,91.22,92.49,89.65,91.6,975700
